mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.150759,0.0163946,0.162525,0.0968403,0.0175084,0.0689091,0.079729,0.0728972,
addlong_r,0.161771,0.0148343,0.0155926,0.00147792,0.0859249,0.00193566,0.112946,0.172829,
addmagDist_r,0.032202,0.148942,0.100679,0.0228543,0.0408902,0.0825484,0.0936204,0.035122,
addmagIsch_r,0.050124,0.0322958,0.077906,0.112393,0.0940977,0.136296,0.100013,0.141619,
addmagMid_r,0.148394,0.114247,0.0364126,0.0832669,0.0627984,0.0837333,0.0923464,0.0100212,
addmagProx_r,0.0871474,0.174066,0.038803,0.15856,0.10043,0.107497,0.0139091,0.0339764,
bflh_r,4.34914e-05,0.971433,8.7796e-09,0.00255889,0.0128553,0.043881,0.0404989,0.430544,
bfsh_r,4.72208e-05,0.97143,8.14035e-09,0.00255917,0.0128591,0.0438805,0.0404963,0.430542,
edl_r,0.148777,0.0939033,0.0227834,0.171043,0.0334761,0.146811,0.0444571,0.0387103,
ehl_r,0.132758,0.173171,0.057133,0.136645,0.134311,0.165469,0.107239,0.155491,
fdl_r,0.135167,0.146283,0.116739,0.173263,0.107612,0.0305405,0.0749895,0.166913,
fhl_r,0.0283409,0.0465541,0.14103,0.113615,0.0101559,0.131158,0.033844,0.0381049,
gaslat_r,0.0327045,0.110863,0.0620007,0.0459446,0.138322,0.0900734,0.0245605,0.0130808,
gasmed_r,0.130522,0.135602,0.0957917,0.150789,0.112258,0.0880765,0.0478884,0.0734297,
glmax1_r,0.0468286,0.000329577,0.0101814,2.68562e-07,0.0811442,1.05627e-06,0.00119701,0.989049,
glmax2_r,0.0468619,0.000307624,0.0101862,2.97147e-07,0.0811887,8.97424e-06,0.00107933,0.98905,
glmax3_r,0.0468248,0.00033533,0.0101785,1.74818e-07,0.0811398,5.84754e-06,0.00119914,0.989051,
glmed1_r,0.10727,0.0214866,0.140729,0.113781,0.0483562,0.160897,0.0738992,0.161959,
glmed2_r,0.150873,0.070816,0.157701,0.0842294,0.0876168,0.0625757,0.0520541,0.145761,
glmed3_r,0.164406,0.114891,0.131836,0.168411,0.0548708,0.0639305,0.113287,0.0829997,
glmin1_r,0.127669,0.0472637,0.165515,0.125971,0.0455277,0.125461,0.157048,0.037603,
glmin2_r,0.106773,0.00962099,0.084271,0.0570253,0.153758,0.0847288,0.126412,0.151441,
glmin3_r,0.13643,0.153005,0.0465854,0.0649483,0.120939,0.058833,0.019576,0.0956153,
grac_r,0.145296,0.111729,0.114802,0.00396943,0.0340451,0.00386176,0.152141,0.126311,
iliacus_r,0.171487,0.164818,0.133228,0.101151,0.036643,0.145981,0.15907,0.0028859,
perbrev_r,0.0511885,0.0800646,0.136067,0.00337715,0.106928,0.0770554,0.11852,0.0458168,
perlong_r,0.119045,0.0808512,0.0347062,0.159842,0.0202702,0.116479,0.0653428,0.0350034,
piri_r,0.0705629,0.16038,0.138136,0.0172694,0.150016,0.0279248,0.0294104,0.0467684,
psoas_r,0.0667171,0.087887,0.0375699,0.156586,0.0575146,0.145936,0.0740135,0.0272601,
recfem_r,0.221103,7.23447e-05,9.97688e-13,8.84968e-22,0.40545,0.0194671,0.875067,0.012949,
sart_r,0.221104,7.78284e-05,6.65317e-13,1.75e-21,0.405445,0.0194656,0.875069,0.0129491,
semimem_r,4.52838e-05,0.971431,8.6509e-09,0.00255907,0.0128584,0.0438811,0.0404971,0.430543,
semiten_r,1.54992e-05,0.971421,8.20635e-09,0.00255559,0.0128718,0.0438976,0.0404973,0.430547,
soleus_r,0.0270986,0.0421697,0.155538,0.114076,0.0244826,0.0288491,0.0330534,0.0400323,
tfl_r,0.221103,7.13873e-05,1.09644e-12,5.53665e-21,0.405451,0.0194673,0.875067,0.012949,
tibant_r,0.171007,0.114713,0.140259,0.140036,0.0144746,0.0161532,0.0989482,0.152215,
tibpost_r,0.0966872,0.0391304,0.138331,0.053699,0.172628,0.0262415,0.138808,0.121275,
vasint_r,0.148812,0.0640764,0.0363888,0.0642198,0.165329,0.120463,0.100354,0.166929,
vaslat_r,2.59784e-15,0.12944,0.0190939,3.67811e-17,0.918429,0,9.09058e-31,7.7224e-13,
vasmed_r,1.82701e-16,0.12944,0.0190939,1.1119e-15,0.918429,0,1.69556e-31,4.78071e-13,
addbrev_l,0.151759,0.0450102,0.0578254,0.111887,0.144886,0.095222,0.161579,0.0432105,
addlong_l,0.122865,0.118369,0.00912394,0.153587,0.042841,0.07404,0.169441,0.152705,
addmagDist_l,0.0498748,0.0853471,0.0355632,0.12899,0.124623,0.0788538,0.0844353,0.167432,
addmagIsch_l,0.00297728,0.0720876,0.078913,0.17007,0.110524,0.134042,0.0191396,0.105433,
addmagMid_l,0.137401,0.0949499,0.0264779,0.0655807,0.116765,0.0111027,0.129115,0.0113351,
addmagProx_l,0.0450704,0.143045,0.0528749,0.107893,0.0200101,0.0898672,0.0546101,0.0161874,
bflh_l,0.121396,0.00457328,0.300445,0.801971,9.04269e-08,0.170928,0.171695,0.00102073,
bfsh_l,0.121396,0.0045733,0.300445,0.801971,8.16177e-08,0.170928,0.171695,0.00102073,
edl_l,0.115508,0.0155772,0.0371789,0.0151197,0.0397588,0.0648335,0.147493,0.0904273,
ehl_l,0.113795,0.103777,0.103509,0.140277,0.0565897,0.156648,0.0309799,0.0355043,
fdl_l,0.0228353,0.00460958,0.0977171,0.136561,0.172604,0.034448,0.156295,0.0279167,
fhl_l,0.0262936,0.165267,0.122974,0.129073,0.146103,0.171857,0.0373175,0.122152,
gaslat_l,0.0708404,0.077553,0.146246,0.0543789,0.0281954,0.167444,0.128967,0.0638214,
gasmed_l,0.127349,0.109953,0.16106,0.134738,0.110275,0.123748,0.043138,0.0874177,
glmax1_l,0.193274,0.000277778,0.906313,0.0170309,0.000563763,0.0810443,0.206801,0.320461,
glmax2_l,0.193264,0.000165889,0.906297,0.0170519,0.000647755,0.0810595,0.206785,0.320466,
glmax3_l,0.193261,0.000124075,0.906291,0.0170595,0.000679309,0.0810654,0.206779,0.320468,
glmed1_l,0.0171812,0.0584964,0.138584,0.0312852,0.146209,0.0133591,0.0461771,0.159301,
glmed2_l,0.0569702,0.168977,0.0663621,0.104003,0.171265,0.0839163,0.0231209,0.036188,
glmed3_l,0.138169,0.151583,0.111941,0.0476532,0.156399,0.161483,0.0420995,0.128086,
glmin1_l,0.0394573,0.0885489,0.150262,0.0603798,0.0203767,0.0515045,0.0224291,0.0856523,
glmin2_l,0.119594,0.0410705,0.128551,0.162659,0.0968247,0.102498,0.0845858,0.0174989,
glmin3_l,0.128836,0.0247157,0.111486,0.029114,0.000681104,0.103583,0.0257464,0.152451,
grac_l,0.0145478,0.0982719,0.103402,0.152466,0.0297507,0.0514822,0.0938907,0.165675,
iliacus_l,0.0813576,0.126028,0.114627,0.0638258,0.0705815,0.13046,0.057633,0.0985572,
perbrev_l,0.0331472,0.111733,0.0145472,0.169807,0.17306,0.132716,0.0261729,0.0319403,
perlong_l,0.00596858,0.0101525,0.119071,0.0145948,0.0690047,0.0724714,0.0448133,0.102001,
piri_l,0.0720384,0.0758718,0.11671,0.141464,0.165472,0.0975707,0.0314041,0.0139402,
psoas_l,0.0768958,0.149894,0.0017074,0.0124562,0.0788904,0.166057,0.0785914,0.114225,
recfem_l,0.966282,0.000157706,2.43114e-08,0.0466051,0.0529329,0.210116,0.00186956,0.000346826,
sart_l,0.966259,8.17657e-06,4.70052e-06,0.0466099,0.0530701,0.210157,0.00180785,0.000341723,
semimem_l,0.121396,0.00457323,0.300445,0.801971,1.49949e-07,0.170928,0.171695,0.00102073,
semiten_l,0.121396,0.00457322,0.300445,0.801971,1.58287e-07,0.170928,0.171695,0.00102072,
soleus_l,0.100722,0.150597,0.118053,0.171903,0.0353936,0.164234,0.154594,0.102789,
tfl_l,0.966266,4.33755e-05,5.54036e-06,0.0466069,0.0530416,0.210151,0.00181202,0.000339223,
tibant_l,0.100263,0.0679137,0.0937892,0.158046,0.0539629,0.139964,0.000993881,0.171416,
tibpost_l,0.14927,0.105351,0.138049,0.0816111,0.131929,0.136077,0.0205426,0.120581,
vasint_l,0.151282,0.0972933,0.0404721,0.117614,0.172834,0.153102,0.119934,0.0421637,
vaslat_l,0.017534,0.00299152,0.00519219,0.0316712,0.0200604,0.971228,0.000481376,5.8365e-06,
vasmed_l,0.0175229,0.00306475,0.00518893,0.031684,0.019941,0.971156,0.000661076,4.96832e-05,
