mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.00142254,0.0276407,0.00487188,0.00401244,0.0373728,0.00999303,0.0416343,0,
addlong_r,0.0374144,0.0340646,0.0169803,0.00326099,0.0616031,0.0280003,0.0715678,0.00311796,
addmagDist_r,0.0966806,0.0167957,0.0720632,0.113215,0.283887,0.272179,0.102963,0.191649,
addmagIsch_r,0,0.00228705,0.142426,0.337456,0.381953,0.208793,0.106758,0,
addmagMid_r,0.143633,0.11184,0.074455,0.0923951,0.146067,0.281381,0.0858332,0.291751,
addmagProx_r,0.0802031,0.0876993,0.0434328,0.0703269,0.0935742,0.123126,0.0504632,0.0576203,
bflh_r,0.279251,0.0568069,0.344571,0.00314625,0.013367,0.0092425,0.0145276,0.0129556,
bfsh_r,0.280052,0.0510604,0.355602,0.00504398,0.00470555,0.0220079,0.0225814,0.00414786,
edl_r,0.0829901,0.0757804,0.0884019,0.085562,0.0375555,0.0727197,0.0632017,0.0699605,
ehl_r,0.293734,0.084018,0.0746459,0.0754977,0.0195462,0.0777139,0.0544346,0.0980676,
fdl_r,0.0515871,0.0976272,0.410615,0.0992208,0.368729,0.077715,0.44175,0.0582677,
fhl_r,0.00650295,0.183223,0.360656,0.146729,0.261787,0.179212,0.466948,0.0631036,
gaslat_r,0.171734,0.0881151,0.321444,0.0626661,0.0520056,0.0774162,0.0538825,0.0287425,
gasmed_r,0.262315,0.209489,0.327466,0.0628416,0.0662479,0.0524946,0.0547523,0.0411257,
glmax1_r,0.0468636,0.656103,0.0197569,0.0366044,0.0151197,0.0464291,0.017892,0.0125188,
glmax2_r,0.0378751,0.641313,0.0324464,0.0385798,0,0.0506121,0.0166135,0.033512,
glmax3_r,0.0339125,0.64238,0.0405375,0.0183787,0.0034575,0.0617243,0.039451,0.0211641,
glmed1_r,0.00947838,0.00274497,0.260515,0.263107,0.134166,0.177759,0.349602,0.0164634,
glmed2_r,0,0.0027505,0.243151,0.345093,0.0455731,0.116967,0.280694,0.00531703,
glmed3_r,0.00786273,8.56677e-05,0.267296,0.206966,0,0.0706667,0.0319164,0,
glmin1_r,0.00096655,0.0355311,0.400515,0.199829,0.0622837,0.234886,0.335057,0.00152018,
glmin2_r,0.0139876,0.000965796,0.340344,0.120467,0,0.10283,0.21853,0.0169643,
glmin3_r,0.014553,0.00391818,0.192815,0,0.013343,0.0377113,0.0759802,0.00272155,
grac_r,0.225992,0.0348583,0.00625421,0.0708421,0.013601,0.0140612,0.0545117,0.132463,
iliacus_r,0.0307066,0.365469,0.0148625,0.0518892,0.037585,0.00761418,0.0233778,0.018533,
perbrev_r,0.0225416,0.111939,0.365011,0.319928,0.172029,0.219678,0.281256,0.0380841,
perlong_r,0.0471721,0.00359264,0.358629,0.336217,0.255845,0.233569,0.289186,0.0678386,
piri_r,0.00739442,0.00782518,0.384311,0.0156736,0.0303267,0.0823398,0.0134781,0.00542264,
psoas_r,0.109704,0.299816,0.0235352,0.0631378,0.0183902,0.0251814,0.00631264,0.0417105,
recfem_r,0.193903,0.0833598,0.00124151,0.0589678,0.0252295,0.0182598,0.0320822,0.667156,
sart_r,0.19391,0.0834078,0.00123543,0.0589238,0.0252872,0.0180584,0.0320661,0.66715,
semimem_r,0.278727,0.0553625,0.344874,0.0047008,0.013477,0.00947389,0.0157911,0.0124261,
semiten_r,0.278057,0.0506923,0.35199,0.0130455,0.00433138,0.0216857,0.0230744,0.00232735,
soleus_r,0,0,0.307509,0.000871477,0.0170012,0,0.00352263,0.0156075,
tfl_r,0.19389,0.0834055,0.001655,0.0589982,0.0255778,0.0161747,0.03229,0.667654,
tibant_r,0.449972,0.0379429,0.0761598,0.0625874,0.00603763,0.0116731,0.00390926,0.014625,
tibpost_r,0.0502885,0.03693,0.413855,0.168503,0.378056,0.097182,0.423979,0.0550952,
vasint_r,0.00612786,0.0339036,0.0667354,0.289561,0.121881,0.000995511,0.132564,0,
vaslat_r,0.521841,0.0380567,0.0363052,0.0335471,0,0.00363065,0.00940006,0.0162723,
vasmed_r,0.52341,0.0383179,0.0376614,0.0302198,0,0.00169446,0.0146753,0.0160257,
addbrev_l,0.0658559,0.0260577,0.0619236,0.0708053,0.0186362,0.187693,0.0024856,0,
addlong_l,0.0156445,0,0.160336,0.204945,0.0837885,0.044785,0.0192339,0.013944,
addmagDist_l,0,0.00182012,0.00880504,0,0.00560312,0.00329212,0,0.00803838,
addmagIsch_l,0.0492891,0.0457007,0.00113785,0.0693328,0.0577941,0.0564355,0.0716719,0.0232584,
addmagMid_l,0.0348428,0,0,0.0610417,0.00455054,0.00818399,0.000963925,0,
addmagProx_l,0.0524095,0.0422266,0.0768418,0.116021,0.00947411,0.0469072,0,0.0371533,
bflh_l,0.0265227,0.00830902,0,0.576685,0.100497,0,0.035751,0.0158296,
bfsh_l,0.0310064,0.0130094,0.00604671,0.563824,0.114486,0,0.03579,0.00287213,
edl_l,0.0997311,0.0126125,0.0257809,0.0054005,0.0432714,0.0670392,0.066331,0.0468419,
ehl_l,0.218495,0.125086,0.0742526,0.05531,0.0505116,0.0520811,0.0205825,0.107664,
fdl_l,0.0913207,0.0390411,0.0723161,0.0778734,0.073789,0.0846473,0.0674635,0.0689949,
fhl_l,0.0793687,0.0819242,0.0745445,0.0704286,0.0664326,0.0868703,0.0698475,0.0999977,
gaslat_l,0.0569048,0.0451005,0.0672376,0.0672777,0.0998425,0.0230832,0.0655017,0.0595211,
gasmed_l,0.022096,0.0486175,0.0395086,0.034558,0.0601696,0.0298002,0.0392867,0.0630443,
glmax1_l,0.0681802,0.0731671,0.00202226,0.0543183,0.15316,0.683724,0.0845669,0.017527,
glmax2_l,0.0682106,0.0731537,0.002027,0.0542685,0.153193,0.683719,0.0845568,0.0174879,
glmax3_l,0.068214,0.0731522,0.00202752,0.054263,0.153196,0.683719,0.0845557,0.0174836,
glmed1_l,0.0359173,0.0177449,0.0479008,0.0316366,0,0.00541134,0.0415482,0.0277203,
glmed2_l,0.00672295,0.0647455,0.0570229,0.0195269,0.0419144,0.00386754,0.183474,0.00721298,
glmed3_l,0,0.0146161,0.21226,0.0194323,0.122128,0.007626,0.160498,0.00238484,
glmin1_l,0.0502287,0.0449376,0.0924039,0.0345902,0.000759375,0.0105215,0.0276479,0.0198798,
glmin2_l,0.0465193,0.0483464,0.0593145,0.0773414,0,0,0.0114355,0.00441241,
glmin3_l,0.0802733,0.089703,0.201713,0.0920291,0.0217918,0.00599248,0.181541,9.10193e-07,
grac_l,0.0462136,0.0262835,0.0581534,0.100286,0.245924,0.0352661,0.0153808,0,
iliacus_l,0.0303006,0.079653,0.147605,0.290034,0.228942,0.346703,0.293606,0.126058,
perbrev_l,0.0864694,0.0900466,0.0416833,0.0232167,0.0970814,0.0962332,0.105229,0.0865663,
perlong_l,0.0776939,0.0583787,0.0678394,0.0897928,0,0.0676497,0.082568,0.0733922,
piri_l,0.00246872,0.0644337,0.110423,0.0815523,0.087737,0.00363635,0.0986526,0.0530366,
psoas_l,0.00449318,0.172513,0.248008,0.330246,0.352832,0.398436,0.188363,0.280299,
recfem_l,0.0494859,0.00685286,0.00480323,0.00785762,0.227391,0.0339425,0.661166,0.00189048,
sart_l,0.0494534,0.00687051,0.00464468,0.00786192,0.227342,0.0339012,0.661161,0,
semimem_l,0.0183286,0.0131738,0,0.582412,0.112549,0.00452918,0.0245718,0.0100854,
semiten_l,0.0275658,0.0133721,0,0.591712,0.10023,0.00813768,0.0216661,0.0115412,
soleus_l,0.0285566,0.0424326,0.0656268,0.0369768,0.0558583,0.0390609,0.0508013,0.0677134,
tfl_l,0.0494517,0.00689554,0.00459313,0.00787576,0.227348,0.0339021,0.661181,0,
tibant_l,0.11752,0.0849041,0.00462749,0.0731455,0.0384749,0.0433028,0.0561226,0.0668523,
tibpost_l,0.0816146,0.0573275,0.0413997,0.0362226,0.0610097,0.0408668,0.0801969,0.0811991,
vasint_l,0.0795578,0.0466304,0.0373975,0.0557921,0.0612026,0.0686728,0.0581535,0.0689644,
vaslat_l,0.00513472,0.0166448,0.0163039,0.0036683,0.677907,0.0118484,0.00462667,0.0128749,
vasmed_l,0.00513467,0.0166531,0.016294,0.00368299,0.677901,0.0118463,0.00462556,0.0128765,
