time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.07,0.0282084,0,0,0.000255533,0.000414931,0.0218566,0.0114596,0.0324798,0.0398994,0.0729783,0.0845336,0.0840983,0.00339404,0,0.0251236,0.0217527,0.0245096,0.00790078,0.00781413,0.00457598,0.00615426,0.00811871,0.00872568,0.0577467,0.0135354,0.0247283,0.0753697,0.0269487,0.036458,0,0.0375642,0,0.0297908,0.00666235,0.0496089,0.0495297,0.0841472,0.01979,0,0,0.0175621,0.0138174,0.00216146,0,0.00287152,0.005515,0,0.0188057,0.012407,0.0164958,0.000216117,0.00124187,0,0,0.0131135,0.00145188,0.0016778,0.014742,0.00186921,0.00822,0.025321,0.00336739,0,0.0253593,0.0192013,0.0834768,0.0808936,0.0251928,0.0350082,0,0.0362006,-6.41258e-08,0.000236244,0.0200441,0.085235,0.0246561,0,0,0,0,
0.075,0.0167214,-0.000528237,-0.00997245,-0.00356136,-0.0162698,0.00777909,0.0087939,0.031056,0.0413389,0.0745758,0.084704,0.0839594,0.00198403,-0.00126969,0.0234355,0.0197971,0.0193834,0.00888613,0.00808927,0.0108979,0.0130409,0.0127576,0.0108665,0.0502234,0.0182028,0.0221957,0.0740683,0.0284394,0.0395615,0.00251171,0.0431578,-0.0024754,0.0265617,0.00499265,0.052131,0.0530394,0.0843316,0.0235747,0.00158629,0.00170939,0.045797,0.0286263,0.0132095,0.00059067,0.0147758,0.0319095,-0.000883486,0.0180222,0.0138653,0.0192191,0.00058762,0.00126994,-0.00240324,-0.00228422,0.0097778,0.000854998,0.00372657,0.00618403,0.00118904,0.0010699,-0.0141283,-0.00447576,-0.00747738,0.0267822,0.0207502,0.0797815,0.0792207,0.0233029,0.0378835,0.0010758,0.0325173,-0.00123346,-0.00147549,0.0182685,0.0843343,0.0296987,0.000305162,0.00229465,0.00241479,0.00240991,
0.08,0.0193402,-0.000518795,-0.00310479,0.000424894,-0.0191204,0.0138088,0.00655661,0.0298435,0.0425129,0.0755997,0.0847793,0.0839461,0.00112137,-0.00205675,0.022297,0.0183727,0.0160005,0.00985545,0.0084669,0.0135774,0.0144694,0.0139097,0.0116141,0.0507505,0.018196,0.0204562,0.0731933,0.0294088,0.0404517,0.00374158,0.0443996,-0.0036534,0.0236713,0.00340217,0.0543039,0.055164,0.0843887,0.0253549,0.00253126,0.00269567,0.0520025,0.0332365,0.0151971,0.0010048,0.0185172,0.0395246,-0.00139698,0.0188862,0.0147341,0.0212683,0.00095971,0.0012956,-0.00361439,-0.00343575,0.00777932,0.00105218,0.00528944,0.00242474,-0.000543127,-0.00228909,-0.0274538,-0.0114091,-0.00957063,0.0275082,0.0205653,0.0776448,0.0778793,0.0217296,0.0381882,0.00175054,0.0324817,-0.00198578,-0.00277585,0.0168259,0.08402,0.0338844,0.000463141,0.00349007,0.00365619,0.00364339,
0.085,0.0187222,-7.42917e-05,0.00139765,0.00815617,-0.0206307,0.0130819,0.00472036,0.0288273,0.0434416,0.0764738,0.0848272,0.083966,0.000359422,-0.00233886,0.0215367,0.0173265,0.0136789,0.0108283,0.00927172,0.0169433,0.014946,0.0146929,0.0115874,0.048825,0.0171695,0.0190538,0.0724374,0.0301158,0.040309,0.0047208,0.0442507,-0.00377748,0.0210921,0.00220484,0.0561883,0.0564525,0.0844378,0.0254837,0.00341078,0.00350938,0.052088,0.0348765,0.0177489,0.00163568,0.0211869,0.0419159,-0.00166225,0.0197381,0.0150346,0.0227783,0.00131895,0.00130975,-0.00389154,-0.00361029,0.00664101,0.000931317,0.00731165,0.00136852,-0.000399361,-0.00565842,-0.0395916,-0.016207,-0.0102117,0.0280074,0.0204442,0.0758593,0.0766307,0.0202856,0.0382439,0.0025091,0.0320743,-0.00227865,-0.00298488,0.0155244,0.0838815,0.0373044,0.000809257,0.00436611,0.00450971,0.00425275,
0.09,0.0191231,0.000861926,0.0140773,0.00434434,-0.0207186,0.0143617,0.00311527,0.0277011,0.0441507,0.0772883,0.0848695,0.0840024,-0.000254969,-0.00238517,0.0211708,0.0166714,0.012107,0.0119027,0.0104485,0.020396,0.0161485,0.0157266,0.01132,0.0478522,0.0166092,0.018031,0.0717472,0.0307603,0.039437,0.00510453,0.0441008,-0.00373447,0.0186149,0.00133871,0.0578605,0.0572947,0.0844942,0.0246243,0.00383916,0.00384992,0.0520909,0.0351958,0.0197379,0.0022067,0.0235705,0.0420919,-0.00173226,0.0204879,0.0154645,0.0241307,0.00165028,0.00131292,-0.00398282,-0.00357869,0.0062456,0.00128802,0.00881701,0.00271498,0.000314349,-0.00794893,-0.0480953,-0.0185682,-0.0105229,0.0282493,0.0210873,0.0740914,0.0754043,0.0189481,0.0386474,0.00300094,0.0313603,-0.00235053,-0.00301147,0.014299,0.0837945,0.0399362,0.00116432,0.00480808,0.00493522,0.00455421,
0.095,0.0177867,0.000605914,0.00947282,0.00598077,-0.0211483,0.0136773,0.00169434,0.0264266,0.0446599,0.0780466,0.0849132,0.0840522,-0.000827695,-0.00235912,0.0210013,0.0162292,0.0109612,0.0128062,0.0117163,0.0225231,0.0177386,0.0167582,0.0112066,0.0464717,0.0170539,0.0172805,0.0710706,0.0314433,0.0385837,0.0052485,0.0441837,-0.00365929,0.0162274,0.00081386,0.0593954,0.057922,0.0845604,0.0236918,0.00401268,0.00395407,0.0521837,0.0348276,0.0214223,0.00270786,0.0252914,0.0421962,-0.00170888,0.0210156,0.0160221,0.0253053,0.00194769,0.00130859,-0.00405498,-0.00343708,0.00634451,0.00131753,0.0102073,0.00107727,0.000915512,-0.00915964,-0.0503527,-0.0210167,-0.0107265,0.028274,0.0214966,0.0722315,0.0741613,0.0176988,0.0389774,0.0033147,0.030383,-0.00235964,-0.00300179,0.0131396,0.0837153,0.0415254,0.00150723,0.00513374,0.00526302,0.00481888,
0.1,0.0155648,0.000573311,0.0122492,0.00758613,-0.0214694,0.011926,0.000499409,0.0250071,0.0449868,0.0787411,0.0849628,0.0841137,-0.00140698,-0.00230534,0.020886,0.0158592,0.0100053,0.0137703,0.0131974,0.0254513,0.0192809,0.0182286,0.011596,0.045158,0.0162382,0.0166243,0.0703617,0.0322214,0.0372267,0.00529361,0.0443564,-0.0060708,0.0139199,0.000564505,0.0608704,0.0584525,0.0846377,0.022723,0.00404825,0.00394297,0.0523241,0.034165,0.0228022,0.00317496,0.026765,0.0423053,-0.00164306,0.0212828,0.0163667,0.02621,0.00221301,0.0013014,-0.0041305,-0.00452782,0.00677685,0.00169768,0.0117761,0.00304468,-0.00116126,-0.00979786,-0.0515689,-0.023342,-0.0108995,0.0284035,0.0209761,0.0702643,0.0728891,0.016521,0.0391117,0.00352474,0.0292078,-0.00235124,-0.00298532,0.0120471,0.083632,0.0417561,0.00182056,0.00545247,0.00559638,0.0051105,
0.105,0.0135147,0.000190629,0.0130344,0.0088103,-0.0223153,0.00990508,-0.000299581,0.0235165,0.0451493,0.0793681,0.0850173,0.0841862,-0.00193393,-0.00223578,0.0207337,0.0154658,0.00907492,0.0148217,0.0148217,0.0282451,0.0221869,0.0200173,0.0124059,0.0437473,0.0181486,0.0161807,0.0696835,0.0331056,0.0364917,0.00529395,0.0444438,-0.00425218,0.0117129,0.000623842,0.0623529,0.0589428,0.0847233,0.0222821,0.00400612,0.00387126,0.0525689,0.0334184,0.0238861,0.00363628,0.0281285,0.0424394,-0.0015526,0.0212843,0.0169089,0.0271144,0.00245336,0.00129522,-0.00421569,-0.00152332,0.00743138,0.00209196,0.0135875,0.000157629,-0.00373145,-0.00996021,-0.0530714,-0.0249885,-0.0110626,0.0287725,0.0214189,0.0682111,0.0715818,0.015397,0.0392496,0.00367867,0.0278836,-0.00233649,-0.00296621,0.0110291,0.0835444,0.0412384,0.00209936,0.00579681,0.00596261,0.00543996,
0.11,0.00857737,-0.000288793,0.0147663,0.0103446,-0.0228782,0.00786524,-0.00119041,0.0220323,0.0451626,0.0799371,0.085077,0.0842678,-0.00234324,-0.00215214,0.0204819,0.0149795,0.00807017,0.0160494,0.0167382,0.0320205,0.0240822,0.0221597,0.01371,0.042355,0.0171044,0.0156977,0.0689284,0.0340941,0.0345644,0.00526955,0.0443242,-0.0039688,0.00965681,0.000655327,0.0638911,0.059425,0.0848203,0.0217575,0.0039157,0.00376283,0.0529127,0.0325548,0.0247341,0.00411302,0.0296334,0.0426089,-0.00144201,0.0210331,0.0172162,0.0278322,0.00267623,0.00129259,-0.00428771,-0.00362238,0.00824407,0.00265879,0.0156017,0.00431384,-0.00672509,-0.00998579,-0.0543273,-0.0261455,-0.0112137,0.02941,0.0204583,0.0660827,0.0702414,0.0143105,0.0391251,0.0038019,0.0264528,-0.00231693,-0.00294182,0.0100943,0.0834526,0.0400879,0.00234518,0.00617172,0.0063624,0.00580503,
0.115,0.00429185,-0.00144121,0.0156434,0.0113191,-0.0243634,0.00495631,-0.00260996,0.0206268,0.0450387,0.0804449,0.0851362,0.0843571,-0.00217816,-0.0020579,0.020101,0.0143608,0.00694843,0.0172139,0.0188602,0.0355493,0.0266708,0.0245651,0.0154244,0.0408676,0.018257,0.0155613,0.0682939,0.0351581,0.0327828,0.00522759,0.043938,0.00128759,0.00780464,0.00115162,0.0655062,0.0599016,0.0849241,0.0211172,0.00379135,0.00362794,0.0533191,0.0317334,0.0253657,0.00461418,0.031135,0.0428157,-0.00131017,0.0205532,0.0189725,0.0294617,0.00288882,0.0012956,-0.00437654,-0.00424928,0.00917833,0.00337988,0.0178454,-0.00155737,-0.00835087,-0.00992789,-0.0557379,-0.0270546,-0.0113409,0.029823,0.0201138,0.063903,0.0688721,0.0132533,0.038855,0.00390668,0.024945,-0.00229109,-0.00290916,0.00924675,0.0833538,0.0404839,0.00256396,0.00657324,0.00679029,0.00620069,
