mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0538431,0.00318103,0.0713544,0.0680677,0.0470346,0.0471096,0.0343375,0.0716417,
addlong_r,0.0181866,0.0524823,0.0634971,0.00333056,0.0201608,0.046944,0.0352435,0.0510044,
addmagDist_r,0.0721886,0.0200001,0.0454278,0.0462728,0.0490817,0.0509806,0.0068761,0.00157073,
addmagIsch_r,0.0580465,0.0644407,0.000953246,0.0356829,0.0552563,0.0676064,0.0107209,0.073653,
addmagMid_r,0.053539,0.0425422,0.0628385,0.0237665,0.00785084,0.0242571,0.0320627,0.003544,
addmagProx_r,0.0189304,0.0165161,0.0410543,0.00440461,0.0212713,0.0235406,0.00349003,0.0529153,
bflh_r,0.0392207,0.0829119,0.0438845,0.0460318,0.0116783,0.00857364,0.413553,0.0242781,
bfsh_r,0.0392207,0.082912,0.0438845,0.0460318,0.0116783,0.00857364,0.413553,0.0242782,
edl_r,0.073671,0.0104569,0.0320229,0.054308,0.00296617,0.0295243,0.0439834,0.0727831,
ehl_r,0.0668337,0.0377716,0.0422931,0.0358726,0.0174987,0.0482894,0.0209633,0.0191268,
fdl_r,0.0588761,0.0273897,0.0308186,0.00404332,0.015577,0.00887747,0.0658336,0.0158125,
fhl_r,0.0701646,0.0139832,0.0522752,0.0211537,0.0569311,0.0695716,0.0479504,0.00212629,
gaslat_r,0.0610643,0.0374862,0.0731628,0.0442122,0.0223453,0.0182417,0.0537868,0.010719,
gasmed_r,0.0268749,0.0161704,0.0606673,0.0621743,0.0564353,0.036783,0.0457895,0.04548,
glmax1_r,0.00890385,1.67038e-14,7.24009e-07,3.01835e-09,0.0731719,0.0255545,8.22546e-08,0.271581,
glmax2_r,0.00890384,1.81937e-14,7.24007e-07,3.01673e-09,0.0731719,0.0255545,8.22544e-08,0.271581,
glmax3_r,0.00890383,9.33922e-15,7.24007e-07,3.01849e-09,0.0731719,0.0255545,8.22551e-08,0.271581,
glmed1_r,0.0703184,0.0419825,0.029666,0.0117744,0.0152536,0.0265525,0.037187,0.0683465,
glmed2_r,0.0407612,0.0278431,0.0411946,0.059795,0.0672392,0.0219581,0.0407626,0.0607435,
glmed3_r,0.0386081,0.0169197,0.0106011,0.0186666,0.0686938,0.0161359,0.0544745,0.0111181,
glmin1_r,0.0341866,0.045731,0.036323,0.0342184,0.0550066,0.0529258,0.058278,0.00681761,
glmin2_r,0.0249582,0.0365215,0.0543466,0.0291984,0.0421324,0.00291447,0.0650975,0.00426352,
glmin3_r,0.0259184,0.00603342,0.034627,0.0580555,0.00557038,0.0649566,0.020832,0.0447936,
