mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0,0,0,0.00102723,0,0,0,0.0378208,
addlong_r,0,0,0.000392835,0.000259206,0,0,0,0,
addmagDist_r,0.172506,0.000274223,0.268396,0.000319793,0.409612,0,0,8.98625e-05,
addmagIsch_r,0.00826021,2.8679e-05,0.00341997,0,0,0,0.000704516,0,
addmagMid_r,0.0188288,0.0001237,0.520412,0,0.000137483,0,0,0.0206921,
addmagProx_r,0.00435163,8.31454e-05,0.512009,0.000382921,0.317582,0,0.00105057,0.963702,
bflh_r,0.00315621,0.0944096,0.050175,0.11696,0,0.0161169,0.499818,0.202153,
bfsh_r,0.00319866,0.0944065,0.05017,0.116949,0,0.0161124,0.499815,0.202148,
edl_r,0.0933104,0.131609,0.00413297,0.373095,0.18205,0.556842,0.0720724,0,
ehl_r,0.0464184,0.00416027,0.00429031,0.474962,0.232661,0.420352,0.0194657,0.030038,
fdl_r,0.576523,0.0569251,0.0743094,0.0522164,0.0333071,0.00395665,0.0598255,0.155875,
fhl_r,0.0342872,0.123829,0.0669858,0.0249969,0.00182422,0,0.00272118,0.152764,
gaslat_r,0,0,0.0220469,0.339973,0,0,0.0203677,0,
gasmed_r,0,0,0,0.497925,0,0.00126282,0.00125259,0,
glmax1_r,0.0190677,0.0530516,0.0784397,0.0894549,0.00034198,0.0479831,0.0518975,0.208783,
glmax2_r,0.0191087,0.0530994,0.0784168,0.0895189,0.000342876,0.0479837,0.0519057,0.208808,
glmax3_r,0.0190687,0.0530453,0.078435,0.0894552,0.000342358,0.047986,0.0518975,0.208788,
glmed1_r,4.94896e-05,0,1.36317e-05,0,0,0.000180088,0,0,
glmed2_r,2.42839e-05,0.000133395,0,0,0,0.000108906,0.000106492,0,
glmed3_r,0.00035191,6.21632e-05,0,0,0,0.000134905,0,0.000352836,
glmin1_r,0,0,0,5.91327e-05,1.62039e-05,0,6.74606e-05,0,
glmin2_r,1.66289e-05,0.000160553,0,0,0,0,0,0.000117007,
glmin3_r,0.0715854,0,0,0,6.65695e-05,0.00150124,1.46278e-05,0,
grac_r,0.151418,0,0,0,0.00043926,0,0,0.00020076,
iliacus_r,0.000571655,0,0.000510865,0.000285983,0.00314691,6.14389e-05,0.00234687,0.558384,
perbrev_r,0.877608,0.0838153,0.0949539,0.0244035,0.0341132,0.00719667,0.101744,0.198092,
perlong_r,0.00537483,0.370223,0.252351,0.0349965,0.444551,0,0.040604,0.468004,
piri_r,0.0580676,0.0206902,0.00594309,0.0664512,0.0233897,0.0454618,0.000445475,0.0192066,
psoas_r,0.000187629,0.00245816,0.0443775,0,0.0892147,0,0.592385,0.696961,
recfem_r,0,0.0375772,0.357007,0.300106,0.10489,0,0.272364,0.0727951,
sart_r,0.000542492,0.0375955,0.356943,0.299944,0.104873,0,0.272289,0.0727856,
semimem_r,0.00283823,0.0944327,0.0502119,0.117046,0,0.016151,0.499838,0.202191,
semiten_r,0.00265893,0.0944458,0.0502327,0.117094,0,0.0161703,0.49985,0.202212,
soleus_r,0,0.0838237,0.151732,0.0359998,0,0,0,0.156683,
tfl_r,0,0.037669,0.357021,0.300293,0.104916,0.000100274,0.272498,0.0729934,
tibant_r,0.0266572,0,0.0120388,0.0272002,0.0570007,0.26523,0,0.00559439,
tibpost_r,0.00841633,0.033962,0.0993833,0.0406759,0.00430634,0,0.000263479,0.0389194,
vasint_r,0,0.872616,0.0242676,0,0.635314,0,0,0.25777,
vaslat_r,0.011441,0.225141,7.08117e-06,0.0587404,0.0190641,0.180976,0.404824,0.0674984,
vasmed_r,0.0114411,0.225141,6.49696e-06,0.0587404,0.0190642,0.180976,0.404824,0.0674984,
addbrev_l,0.00030735,0.00512535,5.50019e-05,0,0.000858688,0.000381415,0.00724407,0.112879,
addlong_l,0.00028025,0.000383903,0.000165071,0,0,0.000790688,0,0.000851269,
addmagDist_l,0.490338,0,0,0.00224573,0,4.45247e-05,0,0,
addmagIsch_l,0.00443597,0,0,0.000340236,0,0,0,0,
addmagMid_l,0.0294831,0,0,0,0.000868403,0,0,0,
