time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
-0,0.000418929,0.000656959,0.179248,0.000568902,0.0105822,0.139455,0.0079592,0.00778515,0.0722851,0.0688931,0.105769,0.125227,0.11221,0.0955582,0.0326735,0.0306463,0.0273484,0.00240904,0.00498574,0.0030927,0.0034533,0.0194634,0.000111705,0.000108857,0.000370653,0.0382528,0.0942531,0.0130159,0.00675875,0.00780246,0.02284,0.00763177,0.00760251,0.0554158,0.0277614,0.0686784,0.190154,0.0685343,0.018943,0.0309086,0.000108338,0.000796703,0.231106,0.0731041,0.0168328,0.236159,0.0241149,0.0257133,0.114547,0.129129,0.116051,0.0151183,0.101255,0.0230159,0.0248092,0.0243263,0.0441876,0.00283503,0.00283927,2.90422e-06,0.00286893,0.0231014,0.00239077,0.00110461,0.00205663,0.115101,0.0712432,0.0269106,0.0143317,0.0307745,0.086717,0.0236704,0.0238588,0.0287102,0.0555595,0.123879,0.0149654,0.0657699,0.0961098,0.0597318,
0.005,0.000528971,0.000691719,0.193522,0.000646479,0.0117046,0.13578,0.00790986,0.00765467,0.0793705,0.100297,0.113148,0.154055,0.117709,0.0976683,0.0327928,0.0302886,0.0266186,0.00257348,0.00646962,0.00410354,0.00454253,0.0253737,9.46001e-05,0.000130202,0.000523275,0.0409607,0.11846,0.0141668,0.00740368,0.00778143,0.0226795,0.00763177,0.00760251,0.0579705,0.0354915,0.0909127,0.208154,0.061927,0.019397,0.0323734,0.000130005,0.000949915,0.241323,0.0819641,0.0179786,0.258418,0.0238679,0.0255668,0.126937,0.140212,0.13434,0.015004,0.122024,0.0269104,0.0244188,0.024207,0.058418,0.00371731,0.00375635,5.80845e-06,0.00358616,0.029641,0.00250206,0.00131717,0.00260356,0.127214,0.0735424,0.0265196,0.0136025,0.0302873,0.0843609,0.0235512,0.0236837,0.0261937,0.071596,0.139554,0.0134152,0.0462188,0.135155,0.0581936,
0.01,0.00063129,0.000656959,0.192174,0.000612,0.011896,0.120865,0.00790075,0.00761118,0.0740403,0.0840978,0.11233,0.169644,0.113873,0.0923879,0.0312425,0.0290365,0.0262322,0.00249126,0.00747203,0.00484247,0.00531803,0.0294297,9.46001e-05,0.000134471,0.000654094,0.0389853,0.13293,0.0136561,0.00807837,0.0077792,0.0226476,0.00757214,0.00760251,0.0568193,0.0404731,0.0823229,0.209909,0.0484915,0.0192928,0.0325964,0.000151673,0.000919273,0.240035,0.078732,0.0181219,0.254998,0.0237789,0.0255405,0.119686,0.133404,0.12723,0.0150286,0.112095,0.0266141,0.0242453,0.024207,0.0690367,0.00433843,0.00441665,5.80845e-06,0.00399155,0.0338528,0.00241691,0.00122638,0.00296409,0.121985,0.0698862,0.0253939,0.0195072,0.0301212,0.0829524,0.0234915,0.0236425,0.0247025,0.0826078,0.126619,0.013296,0.0378782,0.168989,0.0554895,
0.015,0.000889984,0.000643056,0.196178,0.00062062,0.0116866,0.111151,0.00789924,0.00761118,0.0826044,0.0969261,0.11031,0.176583,0.112184,0.095158,0.0296327,0.0280229,0.0261034,0.00248304,0.00810395,0.00536553,0.00584387,0.032057,0.000121479,0.000168622,0.00100294,0.0402482,0.140617,0.0143194,0.0104747,0.00777875,0.0226431,0.00757214,0.00760251,0.056567,0.0434137,0.0905955,0.206486,0.0499017,0.0190835,0.0324983,0.000151673,0.000965236,0.237125,0.0789317,0.0183128,0.266618,0.023753,0.0255372,0.12755,0.140836,0.131873,0.0166201,0.114834,0.0287158,0.0242453,0.024207,0.0769048,0.00475721,0.00487519,5.80845e-06,0.00418255,0.0363367,0.00236127,0.00125088,0.00324882,0.124209,0.0716095,0.0257074,0.0276609,0.0300817,0.0824072,0.0234915,0.0236373,0.0275309,0.0899737,0.135542,0.0158598,0.0382987,0.198139,0.0535281,
0.02,0.00103864,0.000643056,0.200942,0.00062924,0.0112907,0.103728,0.00857781,0.00815483,0.0825276,0.103435,0.108288,0.177817,0.11196,0.0961712,0.0283806,0.027367,0.0261892,0.00249949,0.00845752,0.00571216,0.00617307,0.0335878,0.000131951,0.0001889,0.00115557,0.0409165,0.143557,0.014396,0.0132876,0.00827532,0.0239574,0.008228,0.00826721,0.0566942,0.0448785,0.0968491,0.201567,0.0466689,0.0188823,0.0323301,0.000151673,0.00104184,0.234428,0.0798576,0.0185725,0.278624,0.0244538,0.0264784,0.132012,0.14478,0.135521,0.016822,0.116425,0.0284814,0.0254164,0.025638,0.0826831,0.00501366,0.00517599,5.80845e-06,0.00422933,0.0375489,0.00233713,0.00127178,0.00347825,0.12519,0.0709393,0.0257596,0.0263651,0.0291278,0.0802321,0.0243859,0.0244565,0.0271208,0.0946815,0.139597,0.0159194,0.0326061,0.223079,0.052226,
0.025,0.00112358,0.00063958,0.205229,0.00063786,0.0107796,0.0942184,0.00926246,0.00878547,0.0763098,0.104014,0.106346,0.175339,0.112283,0.0927367,0.0276055,0.0270093,0.026318,0.00252415,0.00860234,0.00592388,0.00635424,0.0342915,0.000116243,0.000198505,0.00124278,0.0407914,0.143215,0.0141285,0.01476,0.00877503,0.0253807,0.00888385,0.00893191,0.0569548,0.0452932,0.0981457,0.1965,0.0373591,0.018705,0.0321537,0.000151673,0.00107248,0.232568,0.0814283,0.0188201,0.285637,0.0252809,0.0274231,0.128144,0.140245,0.137098,0.0165584,0.119468,0.0305486,0.0267176,0.0270689,0.0868738,0.00515012,0.0053484,8.71267e-06,0.00418255,0.037846,0.00233948,0.0013006,0.0036667,0.124995,0.0687273,0.0251705,0.0198766,0.0280137,0.0774702,0.0252802,0.025322,0.0235572,0.0974518,0.132652,0.0141307,0.0187667,0.244238,0.0512,
0.03,0.000872609,0.000729955,0.198488,0.00062924,0.010952,0.143193,0.00983704,0.00935088,0.0811533,0.0774696,0.105131,0.171465,0.110739,0.10074,0.0271285,0.0267708,0.026361,0.00248304,0.00859105,0.00602558,0.00641611,0.0343609,0.000145565,0.000184631,0.000872125,0.0493594,0.141218,0.0189949,0.0131195,0.00923626,0.0267127,0.00942046,0.00947198,0.0576607,0.0449791,0.0779966,0.192353,0.151634,0.0185498,0.0319828,0.000151673,0.000919273,0.229985,0.0795846,0.0185187,0.288264,0.0260275,0.0282104,0.124538,0.144548,0.130171,0.0193257,0.115022,0.0281542,0.0278886,0.0281421,0.0898587,0.00519246,0.00542543,8.71267e-06,0.00406951,0.0374705,0.00232708,0.00124872,0.00374454,0.136614,0.0913454,0.0277653,0.0265262,0.0269911,0.0747674,0.0259957,0.0260587,0.0378639,0.0988126,0.14882,0.0180062,0.159672,0.262006,0.0501684,
0.035,0.000486499,0.000681291,0.198297,0.00062924,0.0106373,0.125087,0.010294,0.00980755,0.0796322,0.0900301,0.103704,0.165866,0.108992,0.0908794,0.0268304,0.0265919,0.026318,0.00248304,0.00846881,0.00604219,0.00638959,0.0339723,7.36554e-05,0.000120597,0.000370653,0.043057,0.137618,0.0178998,0.00979834,0.00966841,0.0279597,0.00989745,0.00992896,0.0569609,0.0441776,0.0831601,0.187539,0.0396253,0.018415,0.0318209,0.000151673,0.000903951,0.228106,0.0800634,0.0184203,0.277451,0.0266335,0.028823,0.123954,0.143068,0.12944,0.0181149,0.120976,0.0404838,0.0287561,0.0289172,0.0919294,0.00516423,0.00542176,8.71267e-06,0.00392139,0.0366428,0.00231836,0.00125736,0.00367285,0.133561,0.0805635,0.0272156,0.0209383,0.0261139,0.0723649,0.0265323,0.0266358,0.0214419,0.0991519,0.132701,0.0141307,0.021047,0.276731,0.0489898,
0.04,0.000322402,0.00063958,0.203473,0.00062924,0.0101282,0.0999877,0.0106401,0.0101772,0.0804131,0.111123,0.102999,0.159338,0.108553,0.0867115,0.0265919,0.0264727,0.0262751,0.00247482,0.00826569,0.00599237,0.00629459,0.0332533,3.87476e-05,9.92524e-05,0.000196228,0.0396905,0.132991,0.0165057,0.00660957,0.0100782,0.0291398,0.0101956,0.0102613,0.0567988,0.0430697,0.0998323,0.183509,0.0325467,0.0183006,0.0316698,0.000130005,0.00102652,0.226415,0.0799788,0.0187306,0.28567,0.0270786,0.0292542,0.130525,0.146353,0.133445,0.0169872,0.120198,0.0398306,0.0293199,0.0294539,0.0933047,0.00508424,0.00536307,8.71267e-06,0.00375377,0.0355173,0.00231534,0.00125232,0.00351307,0.129191,0.074164,0.0259966,0.0151012,0.0253897,0.070337,0.0269497,0.0270479,0.0169817,0.0987551,0.135304,0.012819,0.00675673,0.288729,0.0476369,
0.045,0.00100582,0.0006222,0.210293,0.00062924,0.00958497,0.089183,0.0115191,0.0109383,0.0806486,0.121982,0.102968,0.152561,0.110368,0.0887935,0.0265323,0.0264727,0.0264039,0.00248304,0.0080118,0.00589482,0.0061554,0.0323099,9.66945e-05,0.000187833,0.00119917,0.0417124,0.127872,0.0157269,0.0113738,0.0109492,0.0315269,0.0110303,0.0111337,0.057476,0.0418159,0.111182,0.180847,0.0340748,0.0182316,0.0315439,0.000130005,0.00117973,0.225063,0.0801958,0.0192647,0.304838,0.0280063,0.0303663,0.135125,0.148018,0.140025,0.0186179,0.119348,0.037215,0.0306645,0.0309444,0.0941578,0.00496896,0.00526036,8.71267e-06,0.00357836,0.0342118,0.0023197,0.00127826,0.00351307,0.126529,0.0706951,0.0259365,0.0249769,0.0239264,0.0668014,0.0279633,0.0280474,0.0214743,0.0978214,0.138706,0.0153828,0.0110066,0.298289,0.0459552,
