time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
-0,3.06862,4.05067,6.20513,3.56689,0.109469,-3.08464,-2.1959,-3.55194,-11.1139,-11.0822,4.18004,2.77298,15.8846,17.4321,-2.32117,-2.86446,10.7751,10.8052,-29.0084,-29.3092,
0.005,4.0155,3.65186,2.49346,3.59945,0.310778,-3.05489,-1.89667,-3.31397,-12.2737,-11.2062,3.50206,2.63585,17.4085,17.6629,-2.46629,-2.84103,11.1352,11.0133,-28.9517,-29.4709,
0.01,3.32142,3.37706,3.84291,3.60062,0.371815,-3.03434,-1.2308,-3.167,-12.4339,-11.2828,3.08256,2.5171,17.725,17.843,-2.46831,-2.82218,11.2231,11.1776,-28.9891,-29.5928,
0.015,3.24979,3.23736,3.59753,3.58296,0.460394,-3.02672,-1.05161,-3.11149,-12.5788,-11.3116,3.05876,2.42129,18.0997,17.9708,-2.56172,-2.8048,10.8944,11.2929,-29.1022,-29.6697,
0.02,3.20009,3.19506,3.47011,3.58186,0.519578,-3.02675,-0.807986,-3.10789,-12.6461,-11.3138,2.88003,2.35478,18.4911,18.0594,-2.63901,-2.78997,10.6849,11.3641,-29.1065,-29.7073,
0.025,3.08083,3.20304,3.30369,3.62893,0.592005,-3.02901,-0.297114,-3.11206,-12.7094,-11.3137,2.52236,2.31861,18.7658,18.1191,-2.66144,-2.77946,11.1121,11.3979,-29.0261,-29.7128,
0.03,3.64482,3.22746,4.21173,3.71025,0.276615,-3.0305,-1.22989,-3.10895,-13.2028,-11.3167,2.4764,2.31372,18.8536,18.1674,-2.68873,-2.77457,11.0133,11.4041,-29.0905,-29.6958,
0.035,3.49374,3.23612,4.00962,3.7795,0.323487,-3.02777,-0.878788,-3.10023,-13.1326,-11.3179,2.01905,2.32443,18.5353,18.2251,-2.56301,-2.77509,8.89743,11.4023,-29.04,-29.6689,
0.04,3.03722,3.22286,3.44699,3.82045,0.520134,-3.02016,-0.975627,-3.08756,-12.9627,-11.3185,1.81583,2.33514,18.6554,18.2976,-2.57359,-2.7784,10.0208,11.4057,-29.2785,-29.6405,
0.045,2.92117,3.20004,3.28763,3.82859,0.607114,-3.01164,-0.219911,-3.07678,-12.6328,-11.3208,2.16097,2.33942,19.2555,18.3703,-2.75255,-2.78181,10.443,11.4157,-29.0872,-29.6154,
0.05,2.80306,3.18728,3.15271,3.8077,0.670579,-3.00647,0.124207,-3.07792,-12.44,-11.3182,2.06003,2.35096,19.6642,18.4072,-2.83735,-2.78625,10.5395,11.4123,-28.8827,-29.5879,
0.055,2.69133,3.19222,2.93864,3.79041,0.729616,-3.00594,0.338809,-3.08437,-12.3063,-11.3103,1.94037,2.37604,19.7572,18.3915,-2.84982,-2.79132,10.5595,11.387,-28.6525,-29.5585,
0.06,3.25269,3.19735,3.82464,3.79548,0.398687,-3.00721,-0.679609,-3.07838,-12.6775,-11.3057,1.91988,2.40745,19.627,18.3245,-2.83736,-2.79438,10.9307,11.3425,-28.4578,-29.5288,
0.065,3.20193,3.19749,3.65979,3.79614,0.411464,-3.00797,-0.715617,-3.06604,-12.6117,-11.3044,1.38481,2.43901,19.0121,18.2205,-2.63595,-2.7959,6.05276,11.2848,-28.9363,-29.5,
0.07,2.8875,3.19645,2.96485,3.77142,0.589597,-3.00672,-0.568319,-3.05747,-12.4362,-11.303,1.45573,2.4734,18.5401,18.1141,-2.54868,-2.7998,10.2717,11.2262,-29.2997,-29.4804,
0.075,2.80875,3.19026,2.47715,3.72157,0.706323,-3.00418,0.122282,-3.05309,-12.1423,-11.2991,1.80207,2.50927,18.3241,18.0384,-2.56293,-2.80458,10.3262,11.1807,-29.095,-29.4768,
0.08,2.85608,3.18448,2.24938,3.66948,0.756958,-3.00003,0.357352,-3.0497,-11.8946,-11.2923,2.03111,2.5389,18.2426,18.0183,-2.59266,-2.80769,10.2781,11.1603,-29.0278,-29.4908,
0.085,2.91716,3.19404,2.20927,3.65263,0.769934,-2.99523,0.401312,-3.04238,-11.6936,-11.2839,2.17757,2.55668,18.321,18.0694,-2.64198,-2.80758,10.2636,11.1706,-28.9994,-29.5177,
0.09,2.93049,3.23357,2.28881,3.67619,0.770229,-2.99232,0.365223,-3.03422,-11.5298,-11.2766,2.26844,2.56389,18.5779,18.1778,-2.71405,-2.8061,10.388,11.2042,-28.962,-29.5481,
0.095,2.81386,3.29534,2.33482,3.72212,0.792981,-2.99275,0.417038,-3.0245,-11.462,-11.2725,2.33591,2.55409,18.7825,18.3125,-2.75744,-2.80372,10.455,11.2518,-29.0164,-29.5748,
0.1,2.59005,3.36605,2.19549,3.75653,0.855667,-2.99716,0.61914,-3.01995,-11.5674,-11.2639,2.11801,2.5173,18.6133,18.4349,-2.67148,-2.79856,10.5686,11.3023,-29.1361,-29.5914,
0.105,2.49535,3.4354,2.00149,3.76933,0.901842,-3.00467,0.772215,-3.02089,-11.828,-11.2477,1.90645,2.44769,18.0998,18.5252,-2.49997,-2.78949,10.4159,11.3511,-29.3293,-29.5954,
