time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
-0,0.039217,4.2039e-45,0.0489374,5.60519e-45,1.26117e-44,0.0678168,0.142372,0.054226,
0.005,0.039217,4.2039e-45,0.0489374,5.60519e-45,1.26117e-44,0.0678168,0.142372,0.054226,
0.01,0.039217,4.2039e-45,0.0489374,5.60519e-45,1.26117e-44,0.0678168,0.142372,0.054226,
0.015,0.039217,4.2039e-45,0.0489374,5.60519e-45,1.26117e-44,0.0678168,0.142372,0.054226,
0.02,0.0416125,4.2039e-45,0.0527764,7.00649e-45,1.68156e-44,0.0640161,0.140776,0.0558804,
0.025,0.0438017,5.60519e-45,0.0558876,7.00649e-45,2.24208e-44,0.0607941,0.137956,0.0572347,
0.03,0.0457497,5.60519e-45,0.0582911,8.40779e-45,1.41752e-38,0.0581012,0.134085,0.058502,
0.035,0.0474111,5.60519e-45,0.059992,9.80909e-45,2.41082e-32,0.0558707,0.129428,0.0598992,
0.04,0.0487072,5.60519e-45,0.0610081,1.12104e-44,2.53699e-27,0.0540539,0.124347,0.0615841,
0.045,0.0517991,7.00649e-45,0.0648075,2.65194e-36,2.85635e-14,0.0490039,0.11725,0.0655794,
0.05,0.054019,8.40779e-45,0.0664772,3.52669e-30,0.00146082,0.0453653,0.108971,0.0687037,
0.055,0.0553326,8.40779e-45,0.0662113,4.11629e-24,0.00393862,0.0429964,0.100186,0.0713034,
0.06,0.0556288,8.40779e-45,0.064633,1.0762e-21,0.00590473,0.0415624,0.0919886,0.0745047,
0.065,0.0549638,8.40779e-45,0.0619981,9.35283e-23,0.00786359,0.0408152,0.0853584,0.0778078,
0.07,0.0533996,8.40779e-45,0.0587272,4.11326e-27,0.00972633,0.0404519,0.0814082,0.0810188,
0.075,0.0510387,8.40779e-45,0.055248,7.58698e-34,0.0113173,0.0402584,0.0811051,0.0838473,
0.08,0.0480522,9.80909e-45,0.0519693,7.91734e-42,0.0124827,0.0400955,0.0852534,0.0858762,
0.085,0.0446345,1.26117e-44,0.0492816,1.26117e-44,0.0131383,0.0398875,0.0944008,0.0866211,
0.09,0.0410185,2.38221e-44,0.0475244,1.12104e-44,0.0132723,0.039559,0.108799,0.0856392,
0.095,0.037426,4.9148e-27,0.0469579,1.12104e-44,0.012862,0.0390592,0.128332,0.0826562,
0.1,0.0332309,0.00169118,0.0474638,1.26117e-44,0.0114895,0.0385884,0.152387,0.0763426,
0.105,0.0287999,0.00450763,0.0490839,5.82291e-32,0.00923769,0.0381299,0.179895,0.0672915,
0.11,0.0248876,0.00717271,0.0517468,4.75127e-12,0.00651897,0.037643,0.209248,0.0567894,
0.115,0.0208726,0.0103628,0.0560055,0.00333327,0.000508234,0.0350303,0.239324,0.0444793,
0.12,0.0168978,0.0159874,0.0609837,0.0175735,2.42967e-11,0.0272046,0.267944,0.00986785,
0.125,0.0158299,0.0168449,0.0633158,0.0194524,1.12104e-44,0.0260242,0.289235,8.40779e-45,
0.13,0.0159147,0.0162452,0.0643045,0.0183315,5.60519e-45,0.0261173,0.303192,4.2039e-45,
0.135,0.0170644,0.0155183,0.0646572,0.0174077,4.2039e-45,0.0266963,0.30939,4.2039e-45,
0.14,0.0192125,0.0147201,0.0642592,0.0166599,4.2039e-45,0.0277772,0.307301,2.8026e-45,
0.145,0.0222692,0.0139194,0.0630854,0.0160729,4.2039e-45,0.0292833,0.296962,2.8026e-45,
0.15,0.0261114,0.0132119,0.0612099,0.0156459,5.60519e-45,0.031017,0.279021,4.2039e-45,
0.155,0.0305941,0.0127006,0.0588345,0.0153822,8.40779e-45,0.0327627,0.254743,4.2039e-45,
0.16,0.0355638,0.01248,0.0562818,0.0152854,4.91143e-20,0.0343629,0.225961,9.80909e-45,
0.165,0.0425938,0.00975057,0.0501373,0.0144599,0.0144801,0.0359134,0.19221,6.42035e-17,
0.17,0.0494299,0.00588823,0.0459611,0.00398234,0.016149,0.0415686,0.159075,0.0249401,
0.175,0.0560403,0.00332845,0.0433561,1.00815e-19,0.0211352,0.043643,0.129369,0.0389248,
0.18,0.0625239,0.00132703,0.0429251,1.12104e-44,0.026829,0.0432011,0.105147,0.0488561,
0.185,0.0692829,9.23066e-16,0.0449916,7.00649e-45,0.0317123,0.0428505,0.0874394,0.0579299,
0.19,0.0764761,5.36067e-21,0.0498896,5.60519e-45,0.0353183,0.0427048,0.0769585,0.0651352,
0.195,0.0852904,9.30532e-18,0.058053,5.60519e-45,0.0376988,0.042574,0.0738633,0.0710119,
0.2,0.0962555,8.23554e-08,0.069474,4.2039e-45,0.0386573,0.0424043,0.077797,0.07532,
0.205,0.10774,0.0044303,0.0831965,4.2039e-45,0.037047,0.0427146,0.0879087,0.0746321,
0.21,0.122627,0.00811716,0.0992553,5.60519e-45,0.0341698,0.0427985,0.103203,0.0729136,
0.215,0.140179,0.0129653,0.116289,5.60519e-45,0.029771,0.0428364,0.122135,0.0689504,
0.22,0.160203,0.0189581,0.132972,5.60519e-45,0.0241999,0.0427442,0.142936,0.0631015,
0.225,0.182137,0.0259008,0.147994,7.00649e-45,0.0180096,0.0423958,0.163868,0.0558162,
0.23,0.205025,0.033397,0.160171,8.40779e-45,0.0117887,0.0416501,0.183435,0.0476883,
0.235,0.227605,0.0408625,0.168582,9.80909e-45,0.00606883,0.0404037,0.200535,0.0395091,
0.24,0.248882,0.0476427,0.172506,4.43723e-39,0.00204623,0.0387381,0.214111,0.0315848,
0.245,0.268141,0.0577399,0.173582,6.21152e-36,1.42224e-16,0.0402634,0.224243,5.47917e-13,
0.25,0.284722,0.0610672,0.167956,4.72081e-37,1.54138e-25,0.0378087,0.228045,7.07395e-22,
0.255,0.29774,0.063638,0.159054,1.13602e-31,1.50114e-29,0.0361686,0.226959,6.00711e-23,
0.26,0.306317,0.0653634,0.147772,1.82321e-27,5.11165e-28,0.0356387,0.221446,1.81259e-19,
0.265,0.309528,0.0661421,0.135272,1.07886e-20,2.40932e-20,0.0363818,0.212607,1.42664e-10,
0.27,0.306836,0.0604255,0.120533,4.54834e-17,6.29124e-12,0.0342536,0.200769,0.0302783,
0.275,0.29858,0.0576743,0.108396,1.01775e-27,2.10305e-06,0.0363696,0.189556,0.0383892,
0.28,0.286443,0.0535797,0.0966872,1.42996e-36,0.00532345,0.0397131,0.178517,0.0435039,
0.285,0.271077,0.0494019,0.0876595,7.14662e-43,0.00728248,0.0436151,0.169873,0.0504179,
0.29,0.254254,0.0456297,0.0808271,1.4013e-44,0.00824146,0.0479312,0.163857,0.0568042,
0.295,0.237148,0.042877,0.0760363,1.4013e-44,0.00808491,0.0522823,0.160938,0.0621318,
0.3,0.220875,0.0416076,0.0729697,1.4013e-44,0.00687492,0.0562209,0.161259,0.0659964,
