time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
-0,0.000383935,0.000601239,0.159552,0.000547406,0.00722227,0.0566962,0.014284,0.0140447,0.0614272,0.0662541,0.0659193,0.0601995,0.0802221,0.0747268,0.0197042,0.0197042,0.0197042,0.00218786,0.00284727,0.00172805,0.00194776,0.0109107,9.69841e-05,9.82511e-05,0.000352983,0.030498,0.0480725,0.0110237,0.00484885,0.0163502,0.0163613,0.0139527,0.0141426,0.0474784,0.0161969,0.0553276,0.102252,0.0673179,0.0173388,0.0173388,6.72549e-05,0.000691898,0.164924,0.0677283,0.0134288,0.188882,0.0159043,0.015906,0.084188,0.0833538,0.0934673,0.0135386,0.0981811,0.0208075,0.0185313,0.0183061,0.0185516,0.00160566,0.00160217,1.92596e-06,0.00172239,0.01308,0.00182545,0.00104849,0.00121909,0.0782752,0.0602831,0.0193981,0.0129348,0.0300552,0.0301791,0.0158988,0.0159173,0.0264936,0.0299207,0.101054,0.0145524,0.0565038,0.0340833,0.034687,
0.005,0.000613701,0.000709251,0.217741,0.000684008,0.005077,0.0522832,0.0114626,0.011108,0.06883,0.106271,0.0842943,0.07129,0.101367,0.082498,0.0225948,0.0225948,0.0225948,0.00270211,0.00357839,0.00217004,0.00244199,0.0137133,7.61477e-05,0.000144649,0.000612621,0.0355862,0.0569248,0.0124771,0.00695328,0.0119552,0.0119521,0.0110103,0.0111865,0.0605913,0.0117151,0.0877849,0.130599,0.0602584,0.00796557,0.00796556,4.21223e-05,0.00116926,0.207332,0.0851272,0.0225258,0.283041,0.019081,0.0190801,0.105534,0.102038,0.121688,0.0138372,0.122664,0.0247842,0.0196005,0.0192724,0.019482,0.00201177,0.00201963,2.50606e-06,0.00216757,0.0164466,0.00228267,0.00132032,0.00211412,0.0938492,0.064773,0.020303,0.0122344,0.0331358,0.0337363,0.0190743,0.0191002,0.0237928,0.0328665,0.1238,0.0126847,0.0378199,0.0334209,0.0342963,
0.01,0.000694251,0.000610722,0.177019,0.000592393,0.00411618,0.0409332,0.0121418,0.011881,0.0624538,0.0769928,0.0704051,0.0616957,0.0867894,0.0731874,0.021728,0.021728,0.021728,0.0023605,0.00310228,0.00188213,0.00211536,0.0118892,8.76432e-05,0.00013076,0.000723398,0.0313361,0.0499746,0.0115902,0.00780175,0.0145401,0.0145545,0.0117953,0.0119634,0.0509061,0.0143648,0.0636717,0.109049,0.046294,0.0109739,0.0109739,3.36438e-05,0.000805166,0.179719,0.0738017,0.0156023,0.200489,0.0198219,0.0198241,0.0878983,0.0869294,0.102367,0.01396,0.107509,0.0240902,0.0224877,0.0222197,0.02245,0.00174464,0.00174963,3.64562e-06,0.00187776,0.0142543,0.00197059,0.00114762,0.00252944,0.0835394,0.059266,0.019573,0.0182715,0.0302225,0.0306122,0.0198168,0.0198386,0.0228002,0.0299805,0.100634,0.0133348,0.0317493,0.0328527,0.0335037,
0.015,0.00108895,0.000633634,0.198332,0.00061908,0.00405281,0.0477784,0.0146273,0.0142859,0.0718629,0.0981675,0.0793875,0.0660225,0.0941238,0.0820422,0.0249737,0.0249737,0.0249737,0.00248265,0.0032436,0.00196888,0.00221235,0.012431,0.000126575,0.000193273,0.00120551,0.0344547,0.0530546,0.0124942,0.0129931,0.0160722,0.0160734,0.0141994,0.0143844,0.0557162,0.0158688,0.081119,0.119924,0.0493222,0.0150012,0.0150012,3.15157e-05,0.00106728,0.187939,0.0771645,0.0205644,0.261445,0.0210837,0.0210832,0.10445,0.101575,0.113523,0.0161923,0.112584,0.0262488,0.0288989,0.0286744,0.0289651,0.00182555,0.00183861,5.05915e-06,0.00196499,0.0149097,0.00208217,0.00120665,0.00422782,0.0884377,0.0630469,0.0219746,0.0258871,0.037106,0.0375926,0.0210779,0.0211,0.0268576,0.0368319,0.118241,0.0169913,0.0329234,0.0376022,0.0383601,
0.02,0.00111576,0.000634629,0.203445,0.000629673,0.003419,0.0448903,0.0150299,0.0146766,0.0705203,0.102362,0.0803688,0.0661369,0.0955541,0.080796,0.0247011,0.0247011,0.0247011,0.0025071,0.00328941,0.00199627,0.0022442,0.0126066,0.000124378,0.000197588,0.00123751,0.0344818,0.0531318,0.0123881,0.0152916,0.0144013,0.0144026,0.0145918,0.0147699,0.0564616,0.0141867,0.0844655,0.121856,0.0455879,0.013187,0.013187,2.47579e-05,0.00112277,0.190604,0.0782554,0.0216158,0.270467,0.0204246,0.0204238,0.104897,0.101362,0.115526,0.0156247,0.113858,0.0257984,0.0278821,0.0276538,0.0279247,0.00185016,0.00186531,4.73814e-06,0.00199432,0.015121,0.00210691,0.00122393,0.00434369,0.088447,0.061355,0.0212216,0.0237311,0.0358017,0.0363471,0.0204187,0.0204419,0.0253023,0.0355167,0.118938,0.0158082,0.0274095,0.035606,0.0363991,
0.025,0.00116111,0.000633493,0.20621,0.000641446,0.0020712,0.0364003,0.0109848,0.0106485,0.0643232,0.101403,0.0792701,0.065189,0.0961023,0.0749114,0.024375,0.024375,0.024375,0.00253965,0.00336863,0.00204315,0.00229413,0.0129109,9.62501e-05,0.000197415,0.00128833,0.0339882,0.0525986,0.0120785,0.0138786,0.013425,0.0134252,0.0105633,0.0107207,0.0568927,0.013202,0.0831732,0.12196,0.0357692,0.00538943,0.00538943,9.7258e-06,0.00111253,0.195194,0.0801429,0.0214342,0.261577,0.0172444,0.0172454,0.0972318,0.0936496,0.115923,0.0152249,0.117096,0.0279122,0.0278686,0.0276298,0.0278602,0.00189252,0.00190896,3.73896e-06,0.00203992,0.0154834,0.0021425,0.00125377,0.0045178,0.0879278,0.0589063,0.0199627,0.0173333,0.0345819,0.0352283,0.0172391,0.0172644,0.0209896,0.0342724,0.108685,0.0133523,0.0147523,0.0296316,0.0304494,
0.03,0.000626862,0.000815773,0.17227,0.000623131,0.0204809,0.140881,0.0137353,0.0134867,0.0700904,0.0681668,0.0826371,0.0859515,0.0910107,0.0903076,0.02599,0.02599,0.02599,0.00241749,0.00320043,0.00193999,0.00220859,0.0122605,0.000151188,0.000166931,0.000632329,0.0459543,0.0690682,0.0176113,0.00743649,0.0327902,0.0327606,0.0133148,0.0136171,0.0588891,0.0326175,0.0553369,0.126847,0.16203,0.0177217,0.0177216,0.000195159,0.000650533,0.185306,0.0761059,0.0127039,0.251586,0.0309193,0.0309237,0.0951465,0.10234,0.1059,0.0192923,0.111439,0.025287,0.0218248,0.0215029,0.0216423,0.00182672,0.00179933,5.65659e-06,0.0019382,0.0147056,0.00208815,0.00118178,0.00222313,0.100726,0.0883978,0.0265455,0.0247358,0.041228,0.0413349,0.0309127,0.0309354,0.0404213,0.0411765,0.132432,0.0198486,0.153119,0.0392973,0.0400128,
0.035,0.000174062,0.00060842,0.191332,0.000629217,0.000618324,0.016839,0.0132368,0.0129491,0.0678301,0.0915148,0.0785167,0.0634497,0.0900839,0.0680249,0.0223408,0.0223408,0.0223408,0.00247854,0.00329258,0.00199622,0.00224125,0.0126211,2.24105e-05,6.14078e-05,6.09162e-05,0.0320333,0.0524196,0.0150328,0.00309636,0.0268915,0.0268879,0.0128502,0.0130184,0.0535758,0.0266882,0.0738612,0.114435,0.0264554,0.00606817,0.00606819,2.97819e-07,0.000925296,0.190771,0.0783353,0.0178981,0.20177,0.0357905,0.035792,0.0964069,0.0973533,0.108785,0.01608,0.119115,0.03798,0.0255788,0.0251403,0.0253113,0.00184329,0.00185033,4.49093e-06,0.00199925,0.0151323,0.002096,0.00120742,0.000184931,0.0927978,0.0651943,0.0209155,0.0183672,0.045855,0.0467072,0.0357853,0.0358101,0.0144125,0.0454817,0.104538,0.0121703,0.00418056,0.0335646,0.0343116,
0.04,0.00022728,0.000603524,0.208027,0.000621267,0.000640055,0.0229485,0.0110334,0.0106672,0.0688584,0.113864,0.0829226,0.0630966,0.0922393,0.0704526,0.0214773,0.0214773,0.0214773,0.00245958,0.00326608,0.0019804,0.00222286,0.0125192,1.98835e-05,8.74958e-05,0.000136635,0.0317773,0.0509694,0.0138546,0.00147501,0.0230195,0.022992,0.0105739,0.0107307,0.0559456,0.0227789,0.0925061,0.120078,0.0315829,0.00500786,0.00500787,1.33712e-07,0.00123589,0.189277,0.0777049,0.0237454,0.269926,0.0291803,0.0291777,0.105578,0.102836,0.11421,0.0152748,0.117121,0.0360602,0.0241467,0.0237541,0.0239383,0.00182863,0.00184197,3.09274e-06,0.00198237,0.0150166,0.0021018,0.00119877,0.000424336,0.0896432,0.0624203,0.0199974,0.0130828,0.0479058,0.0488543,0.0291742,0.0291983,0.0148988,0.0475452,0.115607,0.0124001,0.00476735,0.0321049,0.0329851,
0.045,0.0016129,0.000607379,0.217343,0.000625125,0.00135074,0.0394959,0.0122479,0.0118395,0.0689748,0.121561,0.0855283,0.0659657,0.0973284,0.0760321,0.027361,0.027361,0.027361,0.00247645,0.00328497,0.00199286,0.00223747,0.0125912,0.0001251,0.000264269,0.00184431,0.036189,0.053037,0.0133481,0.0200674,0.0192046,0.0191782,0.0117515,0.0119185,0.058882,0.0189575,0.0989061,0.126511,0.0337247,0.00597294,0.00597293,4.39036e-07,0.00136118,0.190388,0.0781541,0.0261152,0.317029,0.0193511,0.01935,0.107585,0.102759,0.120886,0.0181265,0.116322,0.0335162,0.0367127,0.0365364,0.0367926,0.00184716,0.00187284,5.20155e-06,0.00199184,0.0151067,0.00211775,0.00123148,0.00648134,0.0883567,0.060349,0.0216972,0.0236584,0.0456318,0.0464696,0.0193457,0.0193707,0.0217721,0.0452834,0.118147,0.0165511,0.00984755,0.0300685,0.0309894,
