iteration,loss,learning rate,
1,349.781,0.02,
2,280.287,0.02,
3,230.306,0.02,
4,210.894,0.02,
5,202.396,0.02,
6,197.231,0.02,
7,191.646,0.02,
8,187.521,0.02,
9,186.332,0.02,
10,187.175,0.02,
11,187.692,0.02,
12,185.974,0.02,
13,182.32,0.02,
14,177.873,0.02,
15,173.319,0.02,
16,169.267,0.02,
17,166.193,0.02,
18,163.005,0.02,
19,158.998,0.02,
20,155.649,0.02,
21,152.545,0.02,
22,149.894,0.02,
23,148.226,0.02,
24,146.468,0.02,
25,144.335,0.02,
26,141.966,0.02,
27,140.375,0.02,
28,139.229,0.02,
29,137.547,0.02,
30,136.085,0.02,
31,135.314,0.02,
32,134.424,0.02,
33,133.399,0.02,
34,132.323,0.02,
35,131.061,0.02,
36,130.627,0.02,
37,129.211,0.02,
38,128.172,0.02,
39,127.316,0.02,
40,126.385,0.02,
41,125.614,0.02,
42,125.531,0.02,
43,125.76,0.02,
44,124.494,0.02,
45,123.674,0.02,
46,123.145,0.02,
47,122.843,0.02,
48,123.381,0.02,
49,122.697,0.02,
50,120.886,0.02,
51,119.679,0.02,
52,118.506,0.02,
53,117.777,0.02,
54,117.37,0.02,
55,115.922,0.02,
56,114.276,0.02,
57,113.356,0.02,
58,112.608,0.02,
59,112.065,0.02,
60,111.525,0.02,
61,111.077,0.02,
62,110.594,0.02,
63,110.173,0.02,
64,109.768,0.02,
65,109.232,0.02,
66,108.673,0.02,
67,108.105,0.02,
68,107.648,0.02,
69,106.639,0.02,
70,106.266,0.02,
71,106.538,0.02,
72,106.563,0.02,
73,105.883,0.02,
74,106.091,0.02,
75,105.924,0.02,
76,105.026,0.02,
77,104.864,0.02,
78,104.601,0.02,
79,103.668,0.02,
80,103.218,0.02,
81,103.333,0.02,
82,102.793,0.02,
83,101.798,0.02,
84,101.179,0.02,
85,100.852,0.02,
86,100.347,0.02,
87,99.7987,0.02,
88,99.2089,0.02,
89,98.9924,0.02,
90,98.608,0.02,
91,98.2055,0.02,
92,97.7485,0.02,
93,97.6754,0.02,
94,97.2382,0.02,
95,97.0625,0.02,
96,96.9113,0.02,
97,96.3945,0.02,
98,96.0615,0.02,
99,95.9608,0.02,
100,95.9882,0.02,
101,96.0945,0.02,
102,96.5257,0.02,
103,96.4163,0.02,
104,95.8812,0.02,
105,95.855,0.02,
106,95.903,0.02,
107,95.4543,0.02,
108,95.2492,0.02,
109,95.2791,0.02,
110,95.4768,0.02,
111,95.2883,0.02,
112,95.0792,0.02,
113,94.9624,0.02,
114,94.8569,0.02,
115,94.3957,0.02,
116,94.0734,0.02,
117,93.4238,0.02,
118,93.0493,0.02,
119,92.7599,0.02,
120,92.2965,0.02,
121,91.7996,0.02,
122,92.0172,0.02,
123,91.9445,0.02,
124,91.7172,0.02,
125,91.7048,0.02,
126,91.9035,0.02,
127,91.38,0.02,
128,90.9311,0.02,
129,91.0398,0.02,
130,90.3678,0.02,
131,90.0422,0.02,
132,89.9317,0.02,
133,89.6227,0.02,
134,89.8901,0.02,
135,89.6446,0.02,
136,90.0566,0.02,
137,89.9165,0.02,
138,89.9269,0.02,
139,89.9952,0.02,
140,90.27,0.02,
141,90.2391,0.02,
142,89.9275,0.02,
143,90.1147,0.02,
144,89.6998,0.02,
145,89.0582,0.02,
146,89.1652,0.02,
147,88.6154,0.02,
148,88.4735,0.02,
149,88.3414,0.02,
150,88.1216,0.02,
151,88.9875,0.02,
152,89.3226,0.02,
153,88.7305,0.02,
154,88.3971,0.02,
155,88.2191,0.02,
156,88.0585,0.02,
157,88.1594,0.02,
158,88.6139,0.02,
159,89.6665,0.02,
160,87.7358,0.02,
161,87.4327,0.02,
162,87.3541,0.02,
163,87.3163,0.02,
164,87.2526,0.02,
165,88.0454,0.02,
166,88.2115,0.02,
167,88.0453,0.02,
168,87.8357,0.02,
169,87.7445,0.02,
170,87.9222,0.02,
171,87.6754,0.02,
172,87.3227,0.02,
173,87.18,0.02,
174,87.1165,0.02,
175,87.3014,0.02,
176,87.543,0.02,
177,87.7203,0.02,
178,87.355,0.02,
179,87.1004,0.02,
180,86.8346,0.02,
181,90.1442,0.02,
182,90.2005,0.02,
183,96.9351,0.02,
184,96.0796,0.02,
185,95.3981,0.02,
186,88.3926,0.02,
187,89.3326,0.02,
188,88.3475,0.02,
189,88.2818,0.02,
190,89.4532,0.02,
191,89.1663,0.02,
192,88.161,0.02,
193,88.0643,0.02,
194,88.6177,0.02,
195,87.7,0.02,
196,87.4678,0.02,
197,87.8069,0.02,
198,88.0778,0.02,
199,93.5077,0.02,
200,88.5056,0.02,
