time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
-0,0,0.00180212,0.00690908,0.0214675,0.0324873,0.166411,0.431594,0.0550881,
0.005,0.0059658,0.000599352,0.0120014,0.0194604,0.00705648,0.281223,0.542467,0.0352203,
0.01,0.010537,0,0.0143599,0.0279744,0.0184033,0.193653,0.470296,0.0274803,
0.015,0.00815754,0,0.0240198,0.0310037,0.0288853,0.256697,0.491725,0.0251312,
0.02,0.00623615,0.00342966,0.0246486,0.028002,0.0217949,0.270041,0.498677,0.0196534,
0.025,0.00066082,0,0.0256792,0.0345371,0.00268616,0.267578,0.510705,0.00808221,
0.03,0.0354533,0.00099361,0.0125695,0.0319598,0.00739623,0.156462,0.48498,0.164579,
0.035,0.0415635,0.00427143,0.000928671,0.075085,0.00157155,0.222546,0.499186,0,
0.04,0.0260034,0,0.00235769,0.0660652,0.00215517,0.297248,0.495169,0,
0.045,0,0.000357208,0.0368369,0.0541412,0.00170077,0.327382,0.498032,0.000267823,
0.05,0,0.00212932,0.020594,0.047746,0,0.308834,0.495666,0,
0.055,0,0.00534467,0.0156051,0.0527087,0.000506895,0.282777,0.487262,0,
0.06,0.0200931,0,0,0.039753,0.00822265,0.170685,0.47244,0.156292,
0.065,0,0,0,0.0763242,0,0.203095,0.501029,0,
0.07,0.0193854,0.0018931,0,0.0844832,0.00502618,0.227297,0.464884,0,
0.075,0.0131489,0.00436254,0.0201426,0.0623462,0.0029477,0.237438,0.464252,0,
0.08,0.00538908,0.00455572,0.0250653,0.0530949,0.00496829,0.239854,0.473351,0,
0.085,0,0.00779011,0.0234697,0.0494548,0.00655044,0.253512,0.490646,0,
0.09,0,0.0119446,0.0176331,0.0500905,0.00308619,0.27285,0.515773,0,
0.095,0.000727181,0.00431058,0.00954453,0.0474771,0.0224284,0.259854,0.536153,0,
0.1,0.00589591,0.000261509,0,0.0493156,0.030589,0.214061,0.543042,0,
0.105,0.0228606,0.000306871,0.00721835,0.0483738,0.0203786,0.160155,0.542219,0.00416888,
0.11,0.0467796,0.0060052,0.0199939,0.0410597,0.0118506,0.168856,0.530142,0,
0.115,0.0605876,0.0050667,0.0344576,0.033119,0.0137143,0.19078,0.518299,0,
0.12,0.0525895,0.000283899,0.0393601,0.0326726,0,0.243962,0.517064,0.000372674,
0.125,0.0354003,0.00392143,0.0433999,0.0381564,0,0.293109,0.528385,0,
0.13,0.0094463,0.00219358,0.0309957,0.037205,0.000416816,0.334093,0.543245,0.00238687,
0.135,0,0,0.0108564,0.038408,0.0011149,0.324961,0.556005,0,
0.14,0,0,0,0.0360855,0.0306244,0.285407,0.564218,0.000323637,
0.145,0.00112378,0,0,0.0319077,0.05367,0.23701,0.563726,0,
0.15,0.0109428,0,0,0.0263329,0.0608546,0.204785,0.552521,0,
0.155,0.0189335,0.00194579,0.00464886,0.0202151,0.0596437,0.189839,0.53771,0,
0.16,0.03686,0.000473942,0.0166993,0.017046,0.0605966,0.179399,0.529745,0,
0.165,0.0328764,0,0.0324608,0.000442914,0.0573957,0.184388,0.515084,0.0309282,
0.17,0.0225973,0.000839844,0.0342458,0,0.0310116,0.208269,0.549282,0.0244341,
0.175,0,0.0066108,0.027721,0,0.015571,0.265392,0.496382,0.0196819,
0.18,0.0179729,0.0065015,0.00365549,0.0127899,0.00235224,0.189666,0.497735,0.0167399,
0.185,0.0525131,0,0.0258848,0,0.0375913,0.135348,0.471925,0.0335584,
0.19,0.0578477,0,0.0384138,0,0.00746839,0.158884,0.468004,0.03907,
0.195,0.07339,0.00830204,0.0393774,0.000902708,0.0297539,0.182307,0.479877,0.0299929,
0.2,0.0685798,0.0191685,0.0485362,0.0417233,0.0204509,0.244514,0.441602,0.0301731,
0.205,0.0668674,0.0205189,0.0687015,0.0328165,0,0.189917,0.450978,0.0261284,
0.21,0.105974,0.0459535,0.0850121,0.0375946,0.0232259,0.166462,0.433056,0.0186986,
0.215,0.154686,0.0291476,0.109883,0.0200743,0.0564647,0.0984768,0.482118,0.0202528,
0.22,0.156459,0.00645587,0.145501,0.0189093,0.0833946,0.276575,0.418471,0.0169751,
0.225,0.161017,0.0302463,0.148551,0,0.0865654,0.197262,0.371064,0,
0.23,0.189706,0.0409338,0.139638,0.0102362,0.0161555,0.0609639,0.385099,0.044088,
0.235,0.223134,0.0534716,0.161147,0.00495859,0.0175186,0.109599,0.422761,0.0170871,
0.24,0.246857,0.0452189,0.160564,0.0278262,0.00804968,0.122358,0.463792,0.0168929,
0.245,0.269711,0.0429287,0.139667,0,0.0246565,0.205352,0.442645,0.0202991,
0.25,0.284816,0.0428302,0.140433,0.00155178,0.0369607,0.135233,0.426518,0.0300074,
0.255,0.307907,0.0267021,0.123971,0.00544121,0.0616203,0.0137461,0.432166,0.0947528,
0.26,0.310623,0.0497506,0.128181,0,0.0180072,0.15791,0.456551,0.017472,
0.265,0.287546,0.0386199,0.126843,0.00487077,0.0444668,0.160713,0.441098,0.019097,
0.27,0.294737,0.0450131,0.126249,0.0100426,0.00222696,0.0407247,0.435405,0.0668394,
0.275,0.271983,0.0339766,0.104457,0,0.0496396,0.154688,0.524313,0.0287465,
0.28,0.25014,0.0276883,0.0704267,0,0.0448456,0.156156,0.554616,0.0432232,
0.285,0.236559,0.038535,0.044344,0.0113832,0.036007,0.140127,0.543109,0.0533454,
0.29,0.217707,0.0170554,0.03722,0.0203507,0.0683071,0.139419,0.52246,0.0454211,
0.295,0.197976,0.00198634,0.0308966,0.0265414,0.0646976,0.102768,0.509801,0.0499997,
0.3,0.20058,0.00988209,0.0317681,0.0287216,0.0506906,0.117005,0.536755,0.0521464,
0.305,0.185282,0.0211081,0.0292867,0.0263235,0.0513866,0.166253,0.565721,0.0548713,
0.31,0.147637,0.0122063,0.0414695,0.0265997,0.0774888,0.125976,0.555349,0.0518282,
0.315,0.164422,0.0109694,0.0632769,0.0343717,0.0533429,0.118142,0.538142,0.0663704,
0.32,0.168268,0.0169909,0.0585776,0,0.0251636,0.171296,0.569627,0.0525847,
0.325,0.172751,0.0802517,0.0559339,0,0.0137766,0.200219,0.580688,0.0348964,
0.33,0.17376,0.0760757,0.0408445,0,0.019404,0.193628,0.571707,0.0460427,
0.335,0.164756,0.0418373,0.0233866,0,0.0759039,0.182444,0.56198,0.0649483,
0.34,0.180424,0.0376778,0,0.0157399,0.0906076,0.165541,0.566135,0.0603516,
0.345,0.219636,0.0404218,0.0120892,0.0350036,0.0747752,0.0878205,0.557229,0.0545693,
0.35,0.295812,0.0444518,0.0214478,0.0497061,0.0612738,0,0.539545,0.0710054,
0.355,0.312687,0.0502328,0.048944,0.0507519,0.03089,0.0546889,0.529641,0.0762962,
0.36,0.336012,0.0646078,0.0585271,0.0360763,0.0098443,0.099409,0.527021,0.0711237,
0.365,0.344085,0.0599915,0.0664416,0.0170242,0.0251113,0.136951,0.536881,0.0674106,
0.37,0.326106,0.0441312,0.0422826,0,0.0446577,0.169762,0.570503,0.0649308,
0.375,0.318667,0.0315301,0,0.0157065,0.0846226,0.165231,0.58059,0.0585098,
0.38,0.327879,0.0140301,0,0.0360544,0.125179,0.0837565,0.562205,0.0489139,
0.385,0.344027,0,0.0152481,0.0339787,0.135717,0.033685,0.527196,0.0510188,
0.39,0.332303,0.00210494,0.0378475,0.0172489,0.146486,0.0810252,0.523334,0.0566995,
0.395,0.281668,0,0.0786684,0,0.0861079,0.156775,0.551978,0.0526458,
0.4,0.216859,0.0185918,0.0730768,0.00776333,0.0306465,0.200414,0.563002,0.0491019,
0.405,0.177714,0.00758082,0.0500002,0.0187034,0.0345651,0.229901,0.574713,0.0263695,
0.41,0.138415,0.00450125,0.0364808,0.0577527,0.0672971,0.254281,0.566388,0.00726836,
0.415,0.112102,0.0010436,0.0303044,0.0679602,0.0808037,0.260817,0.576451,0.0137143,
0.42,0.0711819,0.0142899,0.0096156,0.0307264,0.0918369,0.247246,0.581223,0.0258935,
0.425,0.0587529,0.0181106,0,0.0329785,0.091553,0.233133,0.580794,0.0181824,
0.43,0.0506428,0.0292603,0.0083481,0.0175745,0.0878797,0.225883,0.58649,0.0127083,
0.435,0.0524756,0.0426271,0.00759843,0.00242086,0.0717208,0.229473,0.606261,0.0142793,
0.44,0.0741041,0.0274595,0,0.0415758,0.0821272,0.2141,0.61276,0.0274249,
0.445,0.0738332,0.0125537,0.00110963,0,0.098459,0.179176,0.580973,0.0454038,
0.45,0.0949258,0.0206999,0,0,0.0447992,0.146014,0.584269,0.0452937,
0.455,0.0986986,0.0200406,0,0,0.0198622,0.140793,0.567872,0.0389184,
0.46,0.0734385,0.0159568,0.0103959,0.00702908,0.0169547,0.179875,0.544359,0.0458535,
0.465,0.0385226,0.0034301,0.0101552,0.0338485,0.0142585,0.238032,0.531546,0.0403447,
0.47,0.0201847,0.0335453,0,0.0602167,0.00347303,0.268002,0.553827,0.0213022,
0.475,0.0248288,0.0284535,0,0.0637157,0.0533069,0.23473,0.579508,0.0134027,
0.48,0.0584758,0.0159412,0.00960978,0.0267419,0.0787697,0.114468,0.60551,0.0323122,
0.485,0.104435,0,0.0100543,0.0118123,0.0878763,0.0477799,0.574927,0.0453427,
0.49,0.0922657,0.00981952,0.0186087,0,0.0715607,0.0870232,0.551605,0.0481706,
0.495,0.0829879,0.0106905,0.0246116,0.00741911,0.0424873,0.147825,0.552921,0.0280491,
0.5,0.0699661,0.00633841,0.0119453,0.00651484,0.0272151,0.208283,0.593955,0.0139609,
0.505,0.0541516,0.00612385,0.0215582,0,0.0416871,0.253796,0.644981,0.0112205,
0.51,0.0371185,0.00468254,0,0,0.050011,0.274064,0.648842,0.0185916,
0.515,0.0128566,0,0,0.00174994,0.0820584,0.274202,0.667921,0.0162427,
0.52,0,0.00868356,0,0.00331232,0.0638065,0.235086,0.705121,0.00913074,
0.525,0.01057,0.0149088,0,0.00316501,0.0344826,0.154877,0.730789,0.011582,
0.53,0.062029,0.0263266,0,0,0.00338146,0.0658955,0.711334,0.0162186,
0.535,0.105659,0.000336666,0.00141171,0,0.0215643,0.0666629,0.604574,0.0210039,
0.54,0.0532303,0.000488703,0.00475573,0.0140954,0.0396481,0.154038,0.520784,0.01805,
0.545,0,0,0.0179789,0.0161639,0.0418006,0.274318,0.547877,0.00193313,
