time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
-0,0.000651586,0.00170496,0.00291831,-6.25939e-08,0.00179582,0.0102381,0.00112788,0.00238826,0.00801884,0.00710161,0.00202518,0.00779219,0.00478387,0.00243169,0.00358228,0.00329988,0.00350506,0.00120793,0.0013689,0.000588136,0.00142304,0.00266332,0,0.00131006,0.0102074,0.00475971,0.00670042,0,0.0104338,0.000843929,0.0137139,0,0.00195385,0.00381724,0.0153383,0.00695848,0.010467,0.00504443,0,0.00191824,0.000284408,0.00132472,0.0112163,0.00286355,0.00211816,0.0148765,0,0.00572293,0.0102447,0.0161797,0.0100798,0.00260951,0.0161221,0.0132206,0.00316737,0.00303248,0.0043679,0.00125601,0.00110039,0,0.0013237,0.00322343,0.000131368,0.000926266,0.0080437,0.0223818,0.0213118,0,0.0113273,0,0.0195479,0,0.00357379,0.00362795,0.00606831,0.0109433,0.00268081,0.00569935,0.0015215,0.00172692,
0.005,0.000689003,0.00169503,0.00951364,1.58363e-05,0.00191843,0.0102882,0.001143,0.00238185,0.00814322,0.00777257,0.00210625,0.00834597,0.00492291,0.00245537,0.00367304,0.00335247,0.00354187,0.00120611,0.00155551,0.000786605,0.00144093,0.00303542,2.2893e-05,0.00132069,0.0101822,0.00486021,0.00723566,2.76028e-05,0.0104646,0.000843135,0.0136789,1.02701e-05,0.00197051,0.00392091,0.0155933,0.00755479,0.0108661,0.0048518,1.22593e-07,0.00198415,0.000255494,0.00132379,0.0117699,0.00300826,0.00212422,0.0157323,-2.85092e-06,0.00571977,0.0104392,0.0163701,0.0103,0.00261981,0.0164098,0.013306,0.00315632,0.00303242,0.00519659,0.00142912,0.00126232,3.02712e-05,0.00152827,0.00379304,0.000166506,0.000952805,0.00808475,0.022576,0.0213461,1.17173e-05,0.0112838,1.49308e-06,0.0194903,-1.61734e-06,0.00356437,0.00357423,0.00667581,0.0112371,0.00264788,0.00503207,0.0018205,0.00173343,
0.01,0.000734924,0.00168826,0.00984423,1.53981e-05,0.00194009,0.00962261,0.00115183,0.00237659,0.00814674,0.0079472,0.00216131,0.00892612,0.00499542,0.00244961,0.0036073,0.00330007,0.00352429,0.00119567,0.00167163,0.000888103,0.00155647,0.00332928,2.39578e-05,0.00132336,0.0101849,0.00485454,0.00780824,2.80747e-05,0.0105068,0.000842673,0.0136739,1.01084e-05,0.00197577,0.00397368,0.0158244,0.00775227,0.0112269,0.00435187,3.67779e-07,0.00200679,0.000258518,0.00131939,0.0119101,0.00300407,0.00213448,0.015829,-2.03637e-06,0.00571861,0.0105213,0.0164429,0.0104281,0.00262744,0.0164884,0.0133423,0.00314481,0.00303377,0.00590451,0.00153547,0.0013633,3.22002e-05,0.00159982,0.00415512,0.000198317,0.000943828,0.00811199,0.0226159,0.0213255,1.19494e-05,0.0116081,6.22116e-07,0.0194217,-7.27803e-07,0.0035602,0.00349703,0.00729468,0.0112747,0.00262007,0.00435833,0.00210241,0.00170803,
0.015,0.00083338,0.00168355,0.0101081,1.70881e-05,0.00192493,0.00901317,0.00115687,0.00237531,0.00829284,0.00825306,0.00219413,0.00946224,0.00503284,0.00245645,0.00350534,0.00323698,0.00351171,0.00119482,0.00174482,0.000946345,0.00163055,0.00352796,2.61539e-05,0.00132762,0.010203,0.00489165,0.00834584,2.84285e-05,0.0106509,0.000842276,0.0136741,9.94664e-06,0.00197753,0.00400368,0.0160071,0.00804245,0.011528,0.00419777,1.22593e-07,0.00201068,0.000260975,0.00132267,0.0118735,0.00300607,0.00214906,0.0162747,-9.77457e-07,0.00571855,0.0106695,0.0165776,0.0105713,0.00268091,0.0165683,0.0134054,0.00314512,0.00303606,0.00644972,0.00160503,0.00143027,3.46486e-05,0.00163392,0.00437607,0.000227599,0.000946978,0.00813181,0.0226667,0.0213315,1.22974e-05,0.012076,0,0.0193883,1.61734e-07,0.00355976,0.00352167,0.0078543,0.0114232,0.00268255,0.00412605,0.00235783,0.00168074,
0.02,0.000883081,0.00168007,0.0103177,1.80896e-05,0.00189128,0.00852813,0.00117437,0.00241776,0.00839385,0.00857306,0.00221106,0.00993417,0.00505671,0.00246444,0.00341611,0.0031905,0.00351251,0.00120065,0.00178878,0.000981661,0.00168527,0.00365269,2.90821e-05,0.0013299,0.0102124,0.00493474,0.00882747,2.86645e-05,0.0108271,0.000846507,0.0137504,9.86578e-06,0.00202892,0.00402437,0.0161389,0.00836375,0.0117669,0.00402994,-1.22593e-07,0.00200766,0.000263242,0.00133158,0.0117903,0.0030231,0.00216928,0.0168138,3.25819e-07,0.00577167,0.0108343,0.0167209,0.0107227,0.0027215,0.0166466,0.0134349,0.00321843,0.00311951,0.00686276,0.00164862,0.00147485,3.85809e-05,0.00164528,0.0044926,0.000255416,0.000953357,0.00814666,0.0227104,0.0213266,1.28775e-05,0.0120797,-7.4654e-07,0.019288,1.29387e-06,0.00360755,0.00352442,0.0083399,0.0115887,0.00272301,0.00379879,0.00258481,0.00165977,
0.025,0.000905947,0.00167607,0.0104971,1.834e-05,0.00184579,0.00795605,0.00119885,0.00247668,0.00837499,0.00882744,0.00221713,0.0103297,0.00507534,0.00245465,0.00335624,0.00316322,0.00351784,0.00121036,0.00181179,0.00100422,0.00172715,0.00372196,3.34743e-05,0.00132998,0.0102172,0.00495574,0.00924073,2.92543e-05,0.0109302,0.000854374,0.0138403,9.86578e-06,0.00209555,0.00404031,0.0162233,0.00861652,0.0119486,0.0036526,-7.35557e-07,0.00200248,0.000266455,0.00133701,0.0117182,0.00305502,0.00219051,0.0171981,1.62909e-06,0.00583898,0.0109342,0.016786,0.0108658,0.00274098,0.0167413,0.0134933,0.0033126,0.00321846,0.00717099,0.00167423,0.00150316,4.31809e-05,0.00164192,0.00453374,0.000282036,0.000962571,0.0081571,0.0227334,0.0212974,1.35736e-05,0.0117373,-1.36866e-06,0.0191518,2.42601e-06,0.00367483,0.00343727,0.00874509,0.0116196,0.00269935,0.00306592,0.00278365,0.00164362,
0.03,0.000832813,0.00168007,0.0103486,1.63996e-05,0.00184247,0.0103869,0.00122474,0.00253452,0.00843911,0.00863769,0.00221773,0.0106486,0.00507519,0.00248034,0.00331893,0.00314599,0.0035177,0.00121291,0.00182009,0.00101824,0.00175599,0.00374917,3.82659e-05,0.00132581,0.0101956,0.00525067,0.00958237,3.0198e-05,0.0108514,0.000864819,0.0139268,9.70404e-06,0.00215681,0.00405935,0.0162669,0.00842497,0.0120828,0.00769829,-1.59371e-06,0.00199637,0.000269856,0.00132072,0.0116309,0.00303987,0.0021843,0.0173932,3.25819e-06,0.00590139,0.010979,0.016881,0.0109411,0.00283487,0.0167591,0.0134779,0.00340337,0.0033013,0.00739872,0.00168674,0.00151985,4.90423e-05,0.00162803,0.00451877,0.000307524,0.0009569,0.00815983,0.0229099,0.0215502,1.42696e-05,0.0120428,-2.1152e-06,0.0190109,3.80075e-06,0.00374234,0.00377019,0.00907044,0.0118801,0.0028013,0.0102242,0.00295627,0.0016291,
0.035,0.000690326,0.0016729,0.0102934,1.24562e-05,0.00180824,0.00985059,0.00124851,0.00258389,0.00846132,0.00867541,0.00221376,0.0108878,0.0050594,0.00245595,0.00329599,0.0031339,0.00351051,0.00122007,0.00181718,0.00102677,0.00177724,0.00374578,4.43219e-05,0.001314,0.0101637,0.00523595,0.00984916,3.11416e-05,0.0106496,0.000877049,0.0140084,9.54231e-06,0.00220985,0.00405986,0.016278,0.00836025,0.0121709,0.00649989,-2.69704e-06,0.0019899,0.000274959,0.00131314,0.0115594,0.00304626,0.00218777,0.0170858,5.05019e-06,0.00595265,0.0110084,0.0169387,0.0109978,0.0028631,0.0168444,0.0137282,0.0034759,0.00336519,0.00756521,0.00168844,0.00152731,5.49778e-05,0.00160656,0.00446486,0.000331416,0.000958791,0.00815129,0.0229725,0.0215838,1.50817e-05,0.0117875,-2.98616e-06,0.0188809,5.25636e-06,0.00380174,0.00364106,0.00932048,0.0118592,0.00276063,0.00715555,0.00310436,0.0016136,
0.04,0.000566358,0.00166245,0.0104231,6.32199e-06,0.00175625,0.00849118,0.00126875,0.00262486,0.00849166,0.00905391,0.00220889,0.0110483,0.00504294,0.00241903,0.00327915,0.00312593,0.00350093,0.00122736,0.00180661,0.0010313,0.00179282,0.00371948,5.08437e-05,0.00130541,0.0101493,0.00509743,0.0100406,3.23212e-05,0.0104353,0.00089027,0.0140879,9.46144e-06,0.00225084,0.00405541,0.0162639,0.00869336,0.0122217,0.00434185,-4.04556e-06,0.00198336,0.000263809,0.00132441,0.0114989,0.00305102,0.00221622,0.0172892,7.08656e-06,0.00599056,0.0111046,0.0170183,0.0110786,0.00284869,0.0168965,0.0138357,0.00352836,0.00341315,0.00768513,0.00168309,0.00152814,6.1952e-05,0.00158088,0.0043844,0.000353909,0.000960444,0.00813546,0.0229512,0.0215219,1.60098e-05,0.0114177,-3.7327e-06,0.0187674,6.8737e-06,0.0038493,0.00331936,0.00950191,0.011859,0.00268114,0.00345812,0.00322959,0.00159621,
0.045,0.000845853,0.00165333,0.0106478,3.69304e-06,0.00169747,0.00763135,0.0012972,0.00269257,0.00851978,0.00944925,0.00220544,0.0111347,0.00504429,0.00240111,0.00327343,0.00312495,0.00350046,0.00123731,0.00179095,0.00103278,0.00180418,0.00367782,5.84303e-05,0.00131226,0.0102043,0.00508111,0.0101593,3.38547e-05,0.0106971,0.000908251,0.0142355,9.29971e-06,0.00232569,0.00405966,0.0162326,0.00909631,0.012248,0.00365309,-5.63927e-06,0.00197675,0.000262297,0.00134531,0.0114528,0.00306059,0.00226012,0.0179956,9.12293e-06,0.00606141,0.0112287,0.017097,0.0111986,0.0028861,0.0169247,0.0138539,0.00362136,0.00350821,0.00776994,0.00167217,0.00152337,6.88521e-05,0.00155142,0.00428636,0.000374806,0.000968556,0.00812768,0.0228997,0.0214384,1.64739e-05,0.011921,-4.72809e-06,0.0185883,8.5719e-06,0.00392404,0.00325865,0.00962238,0.0119093,0.0027108,0.00260072,0.00333318,0.00157504,
