time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.175,-35.4343,30.5315,-5.1137,3.40351,1.97154,-1.37353,52.4421,4.65609,-3.87616,1.43796,1.52498,-17.0138,-2.25917,30.2789,-3.33653,2.84647,-1.91656,-4.73713,0.0831332,0.986999,
0.18,-44.2799,0.26296,-2.38207,19.7673,0.874566,-1.02994,53.5587,1.26457,-3.75846,7.58992,1.44086,-15.8835,-2.78935,14.5969,-3.24096,1.37592,-2.12063,-5.49752,0.0894127,0.714575,
0.185,-29.26,-15.3254,16.8566,30.0901,-2.19346,-0.754331,71.8822,2.39827,3.17071,12.0127,7.16784,-13.8557,-0.786374,0.234557,-1.58105,0.315679,1.1588,-5.72847,0.406936,0.503004,
0.19,-26.9411,-25.8216,19.8049,38.6098,-2.2706,-0.977923,76.2463,7.41842,7.94245,16.8857,5.72682,-10.6954,-2.03274,-12.4861,-1.96878,-0.341223,1.20471,-5.35169,0.560734,0.362502,
0.195,-22.983,-27.2973,26.4539,43.1691,-2.79735,-1.7281,75.9252,16.4315,11.5222,21.2425,5.89342,-6.12733,-2.28359,-23.2848,-4.59973,-0.622916,4.44859,-4.27891,0.732607,0.30454,
0.2,-20.2509,-23.0469,29.6406,42.2275,-2.70281,-2.33252,74.1006,27.3734,13.9805,24.651,9.6607,0.174403,-0.516612,-31.952,-1.70084,-0.583211,5.38495,-2.4377,0.835271,0.339812,
0.205,-18.1286,-19.1613,30.2396,35.7764,-1.98716,-2.05843,72.0658,37.6174,15.6199,27.0493,13.4939,8.45058,-2.52176,-38.3374,-1.06834,-0.306007,5.9459,0.197327,0.908132,0.475726,
0.21,-16.5699,-19.8309,27.7044,24.6694,-0.690009,-0.531181,69.947,45.54,16.6975,28.5045,15.8621,18.8619,-2.06687,-42.3969,-1.5607,0.0941573,6.22508,3.57293,0.970968,0.713738,
0.215,-17.2436,-26.3149,22.0208,10.0832,2.60117,2.21933,67.6878,50.8121,16.5336,29.1447,20.0151,31.2003,-1.76237,-44.1145,-0.973435,0.475163,13.0402,7.53195,1.03716,1.04698,
0.22,-18.5125,-37.3252,12.7289,-6.8414,6.54136,5.87014,65.0056,54.2279,14.9145,29.1924,22.0931,45.008,-1.58322,-43.5763,-1.37012,0.679947,3.81166,11.8018,1.11198,1.45869,
0.225,-22.3135,-50.0615,-3.46346,-24.8859,15.6913,9.92711,62.2714,57.161,13.0413,28.961,25.6834,59.4927,-0.670402,-40.9494,-1.85106,0.555146,4.0992,16.0028,1.20438,1.92189,
0.23,-34.6128,-61.8497,-24.4881,-42.3596,22.7714,13.8578,57.505,60.6438,2.72723,28.7498,28.1247,71.6908,0.904052,-35.4738,-2.6833,-0.00941801,4.81484,18.9305,1.30761,2.35107,
0.235,-36.22,-71.278,-40.7428,-57.1656,29.0385,17.2185,54.2104,64.7592,-0.0665207,28.7063,29.248,78.963,2.28676,-26.4174,-6.97443,-1.07672,5.80903,19.6356,1.41788,2.65408,
