time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.175,107.668,0,2.57886,0,11.8419,100.614,0,22.3262,238.399,141.191,40.2351,122.205,228.418,156.781,206.622,184.129,205.962,4.47188,51.6655,31.4307,59.1223,49.5806,266.714,7.36351,39.0042,141.08,344.869,193.017,448.121,0,9.72421,0,55.2774,398.547,72.4364,743.671,525.241,0,917.368,398.211,9.86069,0,0.252045,0,3.63848,20.5867,0,15.2827,0.0715559,5.25471,0,0,0.0630226,0.337257,41.9866,22.5911,0.0647666,0,0,0.0210862,33.9757,23.5428,0,0,60.8398,6.72097,0,0,29.3902,5.11732,369.068,0,0,0.409042,0.0889701,0,0,0,0,0,31.8164,22.1647,22.5042,84.4933,56.2219,44.2875,54.8795,4.96492,18.695,42.3508,27.0584,0.861639,4.97359,1.58444,5.32856,7.7306,5.4143,2.59021,5.31531,8.17938,
0.18,40.3876,0,2.85824,0,12.7751,153.57,0,22.3238,245.192,143.867,40.6403,122.611,228.492,157.558,206.008,258.621,254.009,4.39089,53.2229,34.0678,59.0138,49.7725,268.814,11.1944,42.233,141.734,345.471,195.236,483.82,0,13.7193,0,110.927,399.49,74.0014,747.185,525.877,0,977.757,424.515,9.80828,0,0.336667,0,4.31073,21.171,0,15.7579,0.0760226,5.3928,0,0,0.0514703,0.295375,41.9536,22.2824,0.160314,0,0,0.0190635,35.0901,29.6806,0,0,63.2966,6.85752,0,0,29.8427,5.11539,369.056,0,0,0.354841,0.0921847,0,0,0,0,0,21.5046,22.2867,22.8184,84.5104,76.1743,57.4905,76.2007,1.8979,10.3626,64.2016,25.2153,0.900138,2.50781,1.64059,6.7105,9.40218,6.8754,2.80263,1.94559,8.25381,
0.185,196.787,2.41785,1.79737,0,15.4766,230.967,0,12.1604,260.152,151.767,39.7725,120.632,202.078,120.187,177.416,248.541,240.389,0.81335,49.5497,34.6861,64.448,50.5984,215.424,11.9526,55.3439,142.794,344.951,155.072,533.65,13.3778,16.6541,0,95.3365,353.015,79.7178,792.114,519.403,10.2586,1213.86,524.548,15.0219,2.00234,1.50522,0.25069,8.43039,29.0884,0,10.6426,1.43199,7.97893,0,0,0,0,6.56776,7.17124,0.224914,0,0,0,13.9328,21.6415,0,0,84.9955,6.10208,0,0,38.618,21.0699,368.501,0,0,0,0.150178,4.15646,0,16.6994,19.4323,23.7745,20.361,19.2042,17.9834,80.3461,80.9258,64.0648,97.8471,2.51032,8.13052,106.938,25.8905,0.386759,2.33007,0.701485,6.54884,9.84191,7.14355,0,2.10518,11.8314,
0.19,190.544,3.36903,1.33917,0,16.2011,282.194,0,4.18972,274.568,158.532,40.7085,121.443,184.88,92.7169,168.065,258.574,239.793,7.14493,54.9607,33.9773,66.5231,55.6938,217.514,13.7456,63.6749,144.717,346.866,150.345,551.335,15.1662,19.4989,0,92.2787,327.658,83.5477,828.541,515.171,11.5602,1274.49,547.868,16.9781,2.72113,2.16931,0.0941743,9.52266,32.8353,0,6.8251,3.10608,9.78907,0,0,0,0,27.0344,14.2859,0.135606,0,0,0,40.2757,16.2185,0,0,89.5673,5.93058,0,0,41.3878,31.7596,368.038,0,0,0,0.198221,5.27965,0,19.0695,27.657,3.94551,18.9217,18.1325,16.6294,77.2579,81.9033,62.4859,103.973,2.76228,4.89543,132.072,25.1342,0.145235,1.96912,0.201083,1.98537,9.7461,7.41412,0,1.86487,13.2823,
0.195,250.305,4.06175,0.582844,0,15.8249,323.788,0,0.643685,287.78,164.227,40.9351,121.096,171.492,70.9976,165.316,264.615,234.492,4.85076,58.342,34.1973,67.6099,57.936,206.112,15.1833,66.5494,144.272,345.358,139.231,555.328,21.6941,22.0558,0,88.4386,313.119,86.7414,855.459,510.896,15.1393,1264.74,537.905,17.1119,3.4837,2.60939,0.32418,10.0968,34.5009,0,2.93368,4.21635,11.1989,0,0,0,0,8.23806,16.4826,0.793352,0,0,71.9711,17.3146,8.72596,0,0,104.488,5.57618,0,0,59.8916,38.2201,367.475,0,0,0,0.197432,7.77876,0,25.8018,42.2401,45.015,17.1045,17.1038,14.6178,73.9611,81.3421,60.1454,105.244,2.49985,3.255,152.348,27.0792,0.0085457,1.75283,0.0197521,11.6914,9.92018,7.08409,0,2.21194,14.0782,
0.2,283.416,3.92842,0.228944,0,14.4154,351.54,0,0.455102,298.705,168.546,40.8662,120.537,160.509,53.1726,166.161,267.369,223.779,4.64767,61.9625,33.9816,68.1886,61.8976,204.702,16.2822,69.4429,143.416,343.288,130.553,551.398,24.7557,24.3842,0,83.918,308.348,90.0371,873.547,508.269,15.7682,1238.44,520.066,17.1152,4.3652,3.20773,0.726245,11.0961,36.0187,0,0.644245,4.90332,12.2686,0,0,0,0,33.6799,15.7525,1.14985,0,0,3.00664,5.69763,5.46809,0,0,130.562,5.03156,0,0,98.6173,43.2517,366.784,0,0,0,0.132071,9.03783,0,29.6372,51.6536,49.2077,15.0313,16.1447,13.029,70.3323,80.0563,57.1263,103.798,2.1808,2.71519,167.659,29.133,0.00146166,1.60042,0,7.72194,10.055,8.53122,0,2.79083,15.5054,
0.205,307.011,3.37577,1.21466,0,11.0339,364.773,0,1.04795,307.276,171.587,40.7559,120.15,151.142,38.2558,168.553,266.186,208.064,5.2275,66.0067,34.4728,69.0448,69.8607,215.316,16.9176,73.187,142.701,341.418,125.122,543.561,26.396,26.5397,0,78.4717,309.553,93.981,885.261,507.221,15.1289,1208.91,501.959,16.7682,5.4476,3.98698,1.24046,12.4488,37.4173,0,0.326615,5.37445,13.1828,0,0,0,0,13.0162,16.1692,1.59471,0,0,0,39.6955,2.87777,0,0,161.524,4.36307,0,0,150.417,48.0914,365.917,0,0,0,0.0407634,9.78948,0,32.709,59.0011,53.5375,12.7845,15.2219,12.042,66.4868,78.2551,53.4485,101.126,1.89544,2.38356,178.473,31.3526,0.0179395,1.52008,0,6.22534,10.266,7.99448,0,3.66327,17.5162,
0.21,318.96,2.5723,0,0,1.66022,363.526,0,1.92372,313.267,173.396,40.6244,119.92,143.062,25.9645,171.121,261.115,190.582,6.46757,69.6249,33.9373,70.7296,81.2574,236.394,17.0604,76.2549,141.898,339.601,121.695,534.008,27.4443,28.5163,0,72.1425,312.765,98.9006,892.093,506.862,13.8542,1176.68,483.699,17.4924,6.76265,4.96917,1.82074,14.4811,38.377,0,2.56792,5.74037,14.0127,0,0,0,0,29.4245,16.1861,2.1241,0,0,0,16.7714,0,11.7765,0,192.24,3.5913,0,0,205.929,53.0998,364.802,0,0,0,0,10.4162,0,35.5038,65.0586,57.6062,10.4121,14.3109,11.3797,62.4361,75.9915,49.3659,97.4448,1.60083,1.84359,177.074,33.8252,0.0342214,1.51857,0,8.68662,10.6155,8.87144,0,4.76913,19.8166,
0.215,319.951,1.59012,0,0,11.8752,348.996,0,1.8307,317.554,174.449,40.9172,121.679,139.514,17.7334,173.429,253.358,170.704,28.2729,78.2457,40.414,84.4359,105.046,272.786,16.7178,79.8836,143.452,340.366,123.715,524.803,28.2318,30.1812,0,65.1156,330.631,104.919,897.067,510.63,12.2945,1141.44,464.888,19.2541,8.21751,6.10641,2.48641,16.2391,39.7376,0,0.825202,6.06779,14.975,0,0,0,0,17.1141,16.3551,2.70169,0,0,0,9.26648,0,0,0,221.084,2.81555,0,0,258.853,58.7207,363.356,0,0,0,0,11.0607,0,38.0093,70.334,201.259,7.97002,13.5261,10.8845,58.2668,72.9199,44.9604,93.0129,1.47325,1.49141,169.276,36.7181,0.0740077,1.62975,0,7.81179,11.2122,9.40935,0,6.76266,23.4094,
0.22,310.272,0.582173,0,0,8.11114,324.685,0,0.973816,320.554,175.084,42.0469,125.918,139.744,23.1159,174.829,243.635,145.557,51.5019,90.9385,47.4432,101.094,134.86,325.759,15.944,80.6825,146.462,344.554,131.28,517.106,28.8713,31.8487,0,57.7281,361.292,112.131,901.617,517.738,10.5562,1101.91,444.669,23.429,9.76204,7.37578,3.25604,17.8254,44.1007,0,0,6.39756,16.0886,0,0,0,0,27.0562,16.5211,3.56792,0,0,0,4.48755,0,0,0,239.053,2.07568,0,0,304.074,65.4096,361.416,0,0,0,0,11.8323,0,40.4018,75.4299,0,5.55146,12.7827,10.3999,54.1116,69.625,40.4443,87.8924,1.32762,1.17514,158.825,40.2101,0.110573,1.78483,0,8.96479,12.0669,10.3699,0,8.76898,28.2961,
0.225,289.286,0.0122867,0,0,1.74848,291.661,0,0.433887,322.08,175.26,43.1648,131.183,142.454,18.2386,174.975,232.651,123.125,143.296,119.694,14.0908,159.458,198.183,403.307,14.8162,83.7112,152.067,346.426,147.353,510.813,29.3776,33.4046,0,50.2229,402.57,120.596,905.232,527.43,8.73572,1057.15,422.545,33.2353,11.3283,8.81002,4.15201,21.1363,54.6333,0,0,6.78075,17.5021,0,0,0,0,22.7806,16.7553,4.54923,0,0,0,0,0,0,0.0872003,257.104,1.36819,0,0,350.841,73.6269,358.819,0,0,0,0,12.8073,0,42.7812,80.8423,0,3.15515,11.9915,9.97731,50.0012,66.5531,36.008,82.2301,1.32156,0.739137,146.711,44.9444,0.225933,2.09823,0,9.69203,13.4446,11.8298,0,13.5496,37.5599,
0.23,259.409,0,0,0,0,244.345,0,0.377736,322.985,175.347,48.4044,149.003,170.183,82.9404,173.629,221.05,101.776,205.214,154.301,195.927,192.335,237.503,491.901,13.4014,86.1082,163.125,368.213,170.271,506.542,29.7367,34.6313,0,42.7633,533.046,130.364,908.763,559.187,6.90015,1007.22,398.755,52.3782,12.9444,10.7675,5.17348,24.8427,73.2272,0,0,7.21809,19.0457,0,0,0,0,26.0968,17.0744,5.32488,0,0,0,0,0,0,0.188533,261.144,0.78747,0,0,377.877,83.7674,355.316,0,0,0,0,13.9837,0,45.3929,86.9375,3.73391,1.00415,11.2979,9.65489,46.0909,62.3612,31.8365,74.8457,1.2116,0.402388,131.438,50.9433,0.319026,2.37852,0,11.0592,15.2126,13.6701,0,15.9486,48.9751,
0.235,223.52,0,0,0,0,210.479,0,0.618874,323.131,175.285,51.9807,159.524,175.336,85.9798,170.681,209.611,56.7947,276.689,190.825,133.258,231.9,283.279,592.071,11.7133,88.535,168.595,373.818,200.787,504.314,29.9335,35.495,0,35.4665,579.828,141.497,911.724,572.435,5.11017,952.899,373.556,78.5949,14.7431,13.1084,6.31529,28.2747,97.0742,0,0,7.67877,20.629,0,0,0,0,27.2218,17.5173,7.12035,0,0,0,0,0,0,0.446523,257.277,0.347124,0,80.2117,394.213,96.1553,350.597,0,0,0,0,15.3718,0,49.9058,94.1232,6.85049,0,10.7215,0,42.41,57.5114,28.0416,68.7101,1.10301,0,117.352,56.3235,0.409654,2.6337,0,12.7506,16.8028,16.1617,0,15.2507,62.5622,
