time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.175,0.684776,0.194916,0.744943,0.305271,0.726752,0.704676,-0.0798411,0.579905,1.24371,1.33299,1.10052,1.20913,1.22959,1.12439,1.22797,1.04635,1.20453,1.00667,0.837434,0.792825,1.17603,1.01487,0.833122,0.737979,1.09974,1.31837,1.34679,1.1518,1.29071,0.367383,0.964231,-0.264906,0.672118,1.14647,1.26582,1.39259,1.35504,-0.0522657,1.07893,0.968153,0.75495,0.322921,0.509551,-0.170082,0.562393,0.840285,-0.453528,0.901636,0.483795,0.629062,0.461946,0.355234,-1.79279,-2.75719,0.79739,0.630035,0.472242,-0.129081,-0.372918,0.147617,0.849928,1.02798,0.0446055,0.45377,1.08322,0.568144,0.277491,0.232725,1.01505,0.769647,1.58585,-0.863097,0.317369,-2.61738,0.562201,0.461657,0.255451,0.332941,-0.498752,-0.0105115,1.27361,1.35832,1.25075,1.57442,0.732463,0.66398,1.00635,0.7147,0.811203,0.744185,0.620778,0.625355,0.730773,0.613568,0.667552,0.640167,0.666293,0.679192,1.01292,1.00424,
0.18,0.677417,0.194916,0.744879,0.305271,0.726659,0.703179,-0.0798411,0.579908,1.2429,1.33243,1.10021,1.20902,1.22958,1.12426,1.228,1.04456,1.20302,1.00668,0.837314,0.792727,1.17603,1.01486,0.832939,0.736315,1.09961,1.31821,1.34664,1.15159,1.29029,0.367383,0.963885,-0.264906,0.666371,1.14643,1.26508,1.39242,1.35496,-0.0522657,1.07859,0.967828,0.754955,0.322921,0.509438,-0.170082,0.562263,0.840173,-0.453528,0.90143,0.483734,0.628879,0.461946,0.355234,-1.79262,-2.757,0.797394,0.630058,0.472143,-0.129081,-0.372918,0.147835,0.849813,1.02762,0.0446055,0.45377,1.08314,0.567974,0.277491,0.232725,1.01504,0.769648,1.58585,-0.863251,0.317369,-2.6172,0.562167,0.461657,0.255451,0.332941,-0.498752,-0.0105115,1.26384,1.35822,1.25006,1.57441,0.731885,0.663417,1.00554,0.709197,0.808383,0.74349,0.618552,0.625316,0.728023,0.613497,0.66745,0.640173,0.666187,0.679135,1.00721,1.00424,
0.185,0.680109,0.197481,0.744065,0.30434,0.727347,0.70317,-0.0834347,0.576774,1.24228,1.33236,1.09843,1.20738,1.22399,1.11966,1.22563,1.04145,1.20004,1.00455,0.834672,0.790449,1.17705,1.01283,0.828899,0.733551,1.10143,1.31668,1.34503,1.14726,1.29132,0.372462,0.963417,-0.269264,0.657468,1.14344,1.26693,1.39298,1.35354,-0.0481053,1.08143,0.970416,0.757062,0.324628,0.510564,-0.169663,0.565017,0.841887,-0.455141,0.899306,0.485215,0.630363,0.457942,0.352086,-1.79254,-2.75688,0.789941,0.626343,0.472003,-0.139157,-0.384392,0.0527962,0.842307,1.02298,0.0383107,0.453535,1.0838,0.566401,0.276458,0.22546,1.0154,0.774068,1.58538,-0.865629,0.31503,-2.61762,0.562225,0.464175,0.253104,0.339715,-0.496073,-0.00461517,1.25379,1.35238,1.24483,1.56682,0.73191,0.662763,1.00613,0.703666,0.801786,0.745529,0.615908,0.622039,0.724684,0.608574,0.666348,0.63984,0.665462,0.669131,1.00063,1.00591,
0.19,0.679984,0.200956,0.742946,0.302941,0.728001,0.703435,-0.0898004,0.570773,1.24192,1.3327,1.09637,1.20561,1.21673,1.11291,1.22262,1.03814,1.19668,1.00523,0.832224,0.787796,1.17831,1.01136,0.824768,0.730567,1.10363,1.31548,1.34378,1.14235,1.29285,0.378164,0.963061,-0.277311,0.647574,1.13973,1.2705,1.3943,1.35203,-0.0434342,1.08582,0.974429,0.759553,0.326909,0.512358,-0.16942,0.56833,0.84411,-0.458381,0.895614,0.488536,0.632792,0.452315,0.346915,-1.79468,-2.75844,0.787282,0.624701,0.471698,-0.153215,-0.399583,-0.140966,0.840663,1.01653,0.0305321,0.453164,1.08456,0.564406,0.275242,0.216509,1.01563,0.781568,1.58482,-0.870415,0.310577,-2.62535,0.562359,0.467296,0.249361,0.347429,-0.49233,0.00229817,1.24314,1.34547,1.23864,1.55842,0.732059,0.661905,1.00742,0.698061,0.791819,0.747845,0.612955,0.617224,0.720384,0.601425,0.659482,0.639205,0.664581,0.655396,0.993153,1.00771,
0.195,0.681024,0.205052,0.741368,0.300693,0.728239,0.703793,-0.0968658,0.563569,1.24191,1.33346,1.09441,1.20387,1.20897,1.10534,1.21918,1.03478,1.19302,1.00514,0.829746,0.784942,1.17997,1.01029,0.820288,0.727398,1.10609,1.31451,1.34281,1.13703,1.29463,0.386202,0.962879,-0.286395,0.637765,1.13556,1.27531,1.3963,1.35046,-0.0373578,1.09063,0.97876,0.762173,0.329795,0.514575,-0.16892,0.571913,0.84681,-0.462286,0.890227,0.492926,0.635905,0.445157,0.340106,-1.7975,-2.76044,0.780341,0.623669,0.472046,-0.16772,-0.41505,-0.085759,0.834056,1.00844,0.0227781,0.452581,1.08457,0.562354,0.273884,0.207838,1.01522,0.790848,1.58415,-0.876132,0.305651,-2.63412,0.562482,0.471766,0.244686,0.357821,-0.486699,0.0798385,1.23158,1.33809,1.23102,1.55013,0.732134,0.660738,1.00887,0.692345,0.779485,0.750116,0.610648,0.611537,0.71555,0.593683,0.663771,0.638731,0.663192,0.641627,0.986256,1.00959,
0.2,0.682006,0.208961,0.739638,0.297253,0.727752,0.703997,-0.104195,0.557033,1.2424,1.33474,1.09269,1.20222,1.20118,1.09738,1.21551,1.03146,1.18896,1.00525,0.82755,0.782113,1.18223,1.00985,0.81595,0.724057,1.10866,1.31363,1.342,1.13182,1.29653,0.395269,0.962926,-0.295847,0.628013,1.13106,1.28106,1.39889,1.34871,-0.0310349,1.09531,0.982922,0.765271,0.333379,0.517394,-0.167971,0.576196,0.850636,-0.46653,0.883816,0.497829,0.639529,0.43689,0.33272,-1.80091,-2.76283,0.778881,0.62244,0.472722,-0.184071,-0.431655,-0.0833249,0.823037,0.999094,0.0164997,0.451936,1.08421,0.560337,0.272401,0.199531,1.01444,0.801313,1.58334,-0.882346,0.300585,-2.64317,0.562477,0.476791,0.240013,0.36973,-0.479849,0.164582,1.21884,1.33052,1.22203,1.54187,0.732046,0.65917,1.01014,0.686494,0.766592,0.752123,0.60916,0.605737,0.710338,0.585681,0.663333,0.63847,0.663062,0.627623,0.980062,1.01194,
0.205,0.682722,0.212299,0.738699,0.292488,0.725893,0.703827,-0.111751,0.551632,1.24342,1.33648,1.09112,1.20057,1.19358,1.08938,1.21172,1.02819,1.18438,1.00577,0.825653,0.779372,1.18509,1.01008,0.811958,0.720498,1.11133,1.31268,1.34112,1.12689,1.29849,0.404837,0.963254,-0.305573,0.61827,1.12645,1.2877,1.4019,1.34684,-0.0249634,1.09966,0.986762,0.768743,0.337814,0.52101,-0.166447,0.581515,0.856055,-0.471047,0.877514,0.502938,0.643405,0.428164,0.325356,-1.80475,-2.76556,0.773148,0.621321,0.473816,-0.202879,-0.449781,-0.0955451,0.822777,0.988488,-0.0500003,0.451375,1.08358,0.558251,0.270808,0.191743,1.01354,0.812651,1.58235,-0.888993,0.29543,-2.6523,0.562284,0.482023,0.235823,0.382848,-0.472048,0.256762,1.20462,1.32274,1.21207,1.5336,0.731734,0.65711,1.0111,0.680448,0.753363,0.753739,0.608617,0.599902,0.704848,0.577091,0.661315,0.638452,0.662237,0.61352,0.974604,1.01489,
0.21,0.682955,0.21485,0.736155,0.286273,0.720354,0.703093,-0.119561,0.547498,1.24501,1.33867,1.08963,1.19892,1.18632,1.08159,1.20786,1.02494,1.17922,1.00689,0.8242,0.77683,1.18876,1.01123,0.808646,0.716658,1.11416,1.3117,1.3402,1.12245,1.30048,0.41469,0.963901,-0.315578,0.608476,1.12185,1.2953,1.4052,1.34496,-0.0193928,1.10357,0.990217,0.773215,0.343279,0.52563,-0.164276,0.588473,0.863505,-0.475804,0.872877,0.508123,0.647425,0.41937,0.318237,-1.80897,-2.7687,0.770853,0.620205,0.475393,-0.224562,-0.469722,-0.126068,0.817408,0.976228,-0.0322996,0.450969,1.08291,0.556023,0.269111,0.184701,1.01268,0.82456,1.58113,-0.896056,0.290235,-2.66147,0.561953,0.487353,0.232268,0.397063,-0.463464,0.355929,1.18879,1.31477,1.20169,1.52518,0.731143,0.654498,1.01164,0.674219,0.739575,0.755103,0.609126,0.594053,0.699229,0.568199,0.661575,0.638697,0.661972,0.599246,0.96994,1.01854,
0.215,0.682552,0.216464,0.731272,0.278545,0.718827,0.701631,-0.127631,0.543951,1.24701,1.34112,1.08751,1.19657,1.17843,1.07264,1.20396,1.02167,1.1733,1.00789,0.822865,0.774264,1.19373,1.01291,0.805924,0.712463,1.11722,1.31002,1.33828,1.11824,1.30248,0.424737,0.964847,-0.325854,0.598577,1.11653,1.30395,1.40855,1.34251,-0.0144352,1.10702,0.993271,0.778776,0.349873,0.531401,-0.161363,0.596755,0.872508,-0.480816,0.867266,0.513275,0.651287,0.410767,0.311496,-1.81569,-2.77228,0.766061,0.61914,0.47747,-0.249236,-0.49156,-0.157236,0.809359,0.962015,-0.036278,0.450704,1.08215,0.553389,0.267317,0.178809,1.01176,0.836774,1.57962,-0.90357,0.285021,-2.67065,0.560532,0.492712,0.22941,0.412257,-0.454197,0.461862,1.17117,1.30664,1.19086,1.5165,0.730177,0.651275,1.01168,0.667788,0.72509,0.755921,0.610745,0.588209,0.693536,0.559178,0.660636,0.639209,0.661766,0.584703,0.966025,1.02295,
0.22,0.68138,0.217127,0.725293,0.269298,0.715823,0.69934,-0.135966,0.54037,1.24917,1.34361,1.08481,1.19384,1.17096,1.06436,1.20007,1.01836,1.16619,1.00964,0.821841,0.771726,1.19986,1.01602,0.804089,0.707844,1.12061,1.30817,1.33612,1.11428,1.30444,0.434927,0.966177,-0.336388,0.588535,1.11143,1.31374,1.41174,1.34008,-0.0101606,1.10998,0.995919,0.784891,0.357659,0.538431,-0.15759,0.606008,0.882581,-0.486059,0.858886,0.518333,0.654961,0.402498,0.305187,-1.82459,-2.77637,0.763307,0.618121,0.480279,-0.277607,-0.515635,-0.189235,0.798767,0.945883,-0.0488759,0.450725,1.08143,0.55028,0.265432,0.174605,1.0111,0.849064,1.57772,-0.911505,0.279861,-2.67983,0.557297,0.498075,0.227243,0.428385,-0.444271,0.425823,1.15168,1.29823,1.17976,1.50754,0.728813,0.647401,1.01115,0.661157,0.710004,0.75604,0.613504,0.582404,0.68782,0.55009,0.660309,0.63998,0.661806,0.570083,0.962785,1.02817,
