time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.175,4.754e-11,0.000945893,3.24314e-07,0.348625,0.00252476,0.770536,0.0251055,0.986776,
0.18,3.06646e-13,0.00101392,1.50969e-09,0.348627,0.00171449,0.770513,0.0253584,0.98685,
0.185,2.24233e-12,0.000812904,2.21549e-08,0.348648,0.00285796,0.770539,0.0250213,0.986777,
0.19,4.09213e-12,0.000691766,1.67999e-08,0.348679,0.00255464,0.770523,0.0251545,0.986844,
0.195,3.15364e-35,0.00547011,1.34632e-31,0.382876,1.5285e-06,0.667437,2.02111e-24,0.997634,
0.2,1.26117e-44,0.00930588,1.90577e-43,0.420008,8.65798e-06,0.55865,6.88274e-36,1,
0.205,1.08141e-38,0.0135329,4.27158e-36,0.457085,0.00141699,0.45012,5.81905e-30,0.998154,
0.21,6.85466e-22,0.017421,8.48944e-21,0.490868,0.00837077,0.348866,7.27563e-17,0.991163,
0.215,6.64711e-05,0.0217899,0.000633722,0.517906,0.0127539,0.261934,0.0126774,0.976628,
0.22,0.00860597,0.0260366,0.00231066,0.535544,0.0215347,0.194514,0.00838886,0.955578,
0.225,0.0176413,0.0306984,0.00350666,0.54142,0.0349054,0.14966,0.00315146,0.926873,
0.23,0.0261688,0.036432,0.00144719,0.534304,0.0521408,0.128258,0.00527992,0.89043,
0.235,0.0326501,0.0429529,0.00160466,0.514504,0.0729658,0.129065,0.00442042,0.847697,
0.24,0.0388599,0.0505077,0.00157447,0.48313,0.0969045,0.14988,0.00313241,0.799903,
0.245,0.0448517,0.0592571,0.000678258,0.442562,0.122819,0.18737,0.00284287,0.748434,
0.25,0.0495349,0.0691682,0.000396247,0.396502,0.149137,0.237056,0.00185229,0.694693,
0.255,0.0531524,0.080309,4.45851e-05,0.349324,0.174199,0.294048,0.00134026,0.640057,
0.26,0.0555375,0.0927149,7.58032e-06,0.305484,0.196233,0.353298,0.000771586,0.586742,
0.265,0.057012,0.106336,2.68102e-06,0.269275,0.213668,0.409641,0.000479759,0.537874,
0.27,0.057846,0.121031,1.43257e-06,0.244382,0.225177,0.458273,0.00038482,0.496783,
0.275,0.0582101,0.136601,3.05123e-06,0.233454,0.229874,0.495845,0.000436048,0.465985,
0.28,0.0582286,0.152862,1.37828e-06,0.238014,0.227366,0.520469,0.000697681,0.447037,
0.285,0.0579635,0.169773,9.26219e-06,0.258574,0.217887,0.531308,0.0013855,0.440519,
0.29,0.0572368,0.187313,2.80041e-05,0.294759,0.202244,0.527785,0.00337635,0.445881,
0.295,0.0559198,0.205128,3.78039e-05,0.345456,0.181763,0.509638,0.00785514,0.461333,
0.3,0.0541459,0.222389,3.27024e-05,0.408829,0.158118,0.477801,0.015684,0.483818,
0.305,0.0524026,0.237975,0.000832939,0.482542,0.133262,0.434485,0.0249871,0.509194,
0.31,0.0511457,0.251035,0.00320656,0.563873,0.109058,0.383132,0.0335208,0.532715,
0.315,0.0474793,0.26058,0.0152622,0.649972,0.086771,0.327823,0.0267911,0.550591,
0.32,0.0418354,0.266683,0.0357067,0.736705,0.0673174,0.273694,0.00625855,0.559541,
0.325,0.0421535,0.271195,0.0436271,0.81796,0.051467,0.226897,0.00661937,0.555836,
0.33,0.0438911,0.273818,0.0492963,0.888592,0.0392128,0.191254,0.0100765,0.539033,
0.335,0.0431415,0.274263,0.0616195,0.944327,0.0302941,0.169396,0.00115862,0.509397,
0.34,0.0448472,0.273895,0.0673079,0.98173,0.0246024,0.163724,0.00207943,0.466268,
0.345,0.0460045,0.272948,0.0731513,1,0.0216044,0.173904,0.00131471,0.411756,
0.35,0.0468128,0.272568,0.0782196,0.999337,0.0208144,0.197752,0.000269882,0.348844,
0.355,0.0476733,0.273792,0.0813361,0.980729,0.0215183,0.230959,0.000987633,0.28198,
0.36,0.0481277,0.276739,0.0839363,0.945807,0.0231562,0.267591,0.0013358,0.216488,
0.365,0.0504407,0.281367,0.0810609,0.89647,0.0253551,0.301776,0.0100815,0.156642,
0.37,0.0508204,0.286151,0.0833103,0.836179,0.0276513,0.327932,0.00955675,0.106332,
0.375,0.0510891,0.290593,0.0865583,0.768955,0.0299187,0.342648,0.00699193,0.0665185,
0.38,0.0650786,0.297061,0.0538345,0.697911,0.0328029,0.347064,0.0661152,0.0315483,
0.385,0.0548901,0.298341,0.0860799,0.631461,0.0350458,0.339687,0.013202,7.07861e-07,
0.39,0.0567721,0.30013,0.0861132,0.568125,0.0356481,0.310217,0.0139417,5.48479e-11,
0.395,0.065321,0.302682,0.0683274,0.510123,0.0363441,0.274827,0.0440186,1.1957e-12,
0.4,0.0569612,0.301505,0.0918964,0.460674,0.0363602,0.235623,0.00371831,8.69815e-13,
0.405,0.0594895,0.301115,0.0864399,0.416991,0.0363118,0.196829,0.0115704,8.25823e-12,
0.41,0.0764718,0.302083,0.0421067,0.378294,0.0361906,0.161711,0.084569,6.44956e-09,
0.415,0.058691,0.29561,0.0850233,0.349132,0.0347909,0.130385,0.00886445,0.00159421,
0.42,0.0584564,0.290814,0.0813966,0.322812,0.0321035,0.0979478,0.0106868,0.0220987,
0.425,0.0583164,0.286281,0.0760585,0.300229,0.0298244,0.0769107,0.0153927,0.0328517,
0.43,0.0534708,0.280857,0.0822783,0.280878,0.0269899,0.0605021,0.000609056,0.04657,
0.435,0.0551409,0.276545,0.0726994,0.262688,0.0240935,0.0488107,0.0132563,0.0611417,
0.44,0.0517096,0.270794,0.0779848,0.246193,0.0207404,0.0389323,0.00199642,0.0787606,
0.445,0.0528172,0.264953,0.0745178,0.229744,0.0173139,0.030731,0.00704625,0.0969658,
