mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0153526,0.174619,0,0.0494969,0.0108923,0.0445811,0.0435312,0.213382,
addlong_r,0.0109782,0.248231,0.00790066,0.0362713,0.0038577,0.00507212,0.0485897,0.160486,
addmagDist_r,0.00542616,0.0186079,0,0.00487304,0,0.00631969,0.00319846,0.00104647,
addmagIsch_r,0.0363584,0.0239984,0.0625875,0.0165836,0.0789882,0.031432,0.0266327,0.0128049,
addmagMid_r,0.0146452,0.14704,0.00181619,0.00706655,0.0131314,0,0.0244282,0.0405199,
addmagProx_r,0.00204397,0.242917,0.0112671,0.0786254,0,0.0177153,0.0171411,0.280738,
bflh_r,0.00455065,0.000912141,0.0186213,0.0936855,0.00162928,0.212216,0.0734971,0.0734966,
bfsh_r,0.00452464,0.000913126,0.0186198,0.0936836,0.00164559,0.212206,0.0735397,0.0734945,
edl_r,0.00314587,0.0155923,0.0444898,0.0606567,0.00240593,0.197111,0.075931,0.431086,
ehl_r,0.0280469,0.0038643,0.0779208,0.0499809,0,0.227462,0.073459,0.453503,
fdl_r,0.0231248,0.112963,0.00859673,0.0930024,0.397553,0.0761811,0.0554911,0.059301,
fhl_r,0.0766555,0.0913877,0.025062,0.0697409,0.427128,0.0430904,0.00368988,0.0364545,
gaslat_r,0,0.044732,0.00566954,0.023169,0.371233,0,0,0,
gasmed_r,0.0138164,0.0463867,0,0,0.338494,0,0.0135181,0.000207044,
glmax1_r,0.000817537,0.077431,0.0246531,0.382923,0.00215311,0.0667506,0.0285027,0.0738922,
glmax2_r,0.000634163,0.0666512,0.0212241,0.388435,0,0.0579276,0.0156123,0.0706238,
glmax3_r,0.00700873,0.0725701,0.0253524,0.395038,0.00330102,0.0555643,0.0435429,0.0597004,
glmed1_r,0,0,0,0.00483438,0.486489,0.00575379,0,0,
glmed2_r,0.000124279,0.119587,0.047049,0.0351738,0.458095,0.0124107,0,0.133479,
glmed3_r,0,0.111333,0.0632337,0,0.441194,0,0.0284078,0.0863968,
glmin1_r,0.000643002,0.00480932,0,0,0.478218,0.0202686,0,0.0125037,
glmin2_r,0,0.00559619,0.00194257,0.166663,0.452554,0.0936171,0,0.0425234,
glmin3_r,0.00328274,0.464421,0,0.371584,0.44209,0.296689,0.0191243,0.363014,
grac_r,0.0816966,0.123273,0.00992134,0.0810272,0.0606134,0.00200019,0.0756694,0.0535523,
iliacus_r,0.262726,0.00263902,0.289642,0.0649754,0.0110619,0,0.24396,0,
perbrev_r,0.0776064,0.0604982,0.000692008,0.0811668,0.453676,0.0547235,0.0558773,0.0592796,
perlong_r,0.00116067,0.093678,0.0173679,0.0643205,0.453066,0.0433919,0.0419662,0.0401858,
piri_r,0.0110536,0.162077,0.107767,0,0.297822,0.110553,0.085344,0.145359,
psoas_r,0.266013,0.158233,0.262063,0.120264,0.0137641,0.161709,0.27495,0.0589714,
recfem_r,0.0148201,0.0149884,0.00423161,0.000171786,0.0148473,0.00931318,0.00973573,0.023902,
sart_r,0.0147716,0.0143646,0.00420429,0,0.0146592,0.00847021,0.00958842,0.0280846,
semimem_r,0.00497371,0.00123705,0.0190826,0.0944436,0,0.213358,0.0737672,0.0741171,
semiten_r,0.00452854,0.000912986,0.0186199,0.0936838,0.00164313,0.212208,0.0735333,0.0734948,
soleus_r,0,0.0996894,0.0118689,0.068747,0.337122,0,0.00225251,0,
tfl_r,0.0147692,0.0143525,0.00420248,0,0.0146586,0.00846198,0.00959596,0.0281085,
tibant_r,0.0202041,0.00163193,0.0157567,0.0727274,0.00463069,0.257854,0.088745,0.465341,
tibpost_r,0.0304736,0.106256,0.00833488,0.085377,0.406399,0.0107123,0.0252042,0.011173,
vasint_r,0.0776235,0.053615,0.0653697,0.0102993,0.00960313,0.00690273,0.0811593,0.0429276,
vaslat_r,0.00071561,0.00861234,0.00935848,0.0424734,0.0129535,0.0283281,0.0398705,0.13876,
vasmed_r,0.000718753,0.00861141,0.00935828,0.0424773,0.0129541,0.0283141,0.0398773,0.138769,
addbrev_l,0,0.497025,0.00611274,0.0104087,0.048603,0.0241166,0.0023608,0.0104872,
addlong_l,0.0281724,0.429963,0.000606717,0.00136824,0.106815,0.0244634,0.054334,0.0708437,
addmagDist_l,0.00649308,0.0374393,0.0308148,0,0,0.0244803,0.0407609,0.00755513,
addmagIsch_l,0.00907636,0.00586794,0.0559427,0.0135334,0.0147286,0.0594153,0.0606247,0.0155739,
addmagMid_l,0.00120662,0.0551334,0.00165984,0.00938554,0.0249733,0.0554263,0.0284948,0.0240016,
addmagProx_l,0,0.404868,0.0363826,0,0.0950756,0.0410431,0.00455698,0.0345357,
bflh_l,0.292897,0.0959084,0.422109,0.0206492,0.0179608,0.0104979,0.256738,0,
bfsh_l,0.244444,0.0825386,0.434334,0.0229985,0.0487752,0.0155035,0.274981,0,
edl_l,0.0592439,0.0232962,0.0653346,0.0232006,0.0292206,0.0199895,0.00372287,0.0714798,
ehl_l,0.0549165,0.0566448,0.066414,0.0897772,0.0744888,0.0535432,0.00546366,0.0650625,
fdl_l,0.080422,0.0867805,0.0861576,0.0845773,0.0866667,0.0872381,0.0816166,0.0944759,
fhl_l,0.0761855,0.080895,0.0848102,0.0779282,0.0931769,0.0693739,0.0830058,0.080446,
gaslat_l,0.044163,0.00602295,0.0915824,0.0935513,0.0476861,0.044926,0.0154938,0.0759703,
gasmed_l,0.0669247,0.0333866,0.0614082,0.0409619,0.0498187,0.0347481,0.0615691,0.0698789,
glmax1_l,0.079474,0.37743,0.0688305,0.164459,0.0208612,0.0550369,0.000764736,0.00339359,
glmax2_l,0.0669097,0.358896,0.0706274,0.16029,0.0274495,0.05363,0.00431244,0.00552031,
glmax3_l,0.0617145,0.376841,0.0864341,0.169536,0.0280828,0.0480586,0.0171408,0.00144261,
glmed1_l,0.0583081,0.00250214,0.0271158,0.0455588,0.0173388,0.0992253,0.272021,0.0703727,
glmed2_l,0.0205653,0.0144113,0.0611988,0.0143757,0.0113612,0.0482413,0.0836056,0.025666,
glmed3_l,0.0162416,0.00552802,0.0668763,0.0338766,0.0197215,0.0192536,0.0478135,0.0359107,
glmin1_l,0.0650191,0,0.0440027,0.0253355,0.0140002,0.0882902,0.126747,0.110182,
glmin2_l,0.464207,0,0.498187,0.0501798,0.00445089,0.0474832,0.390275,0.0304409,
glmin3_l,0.0844179,0.0855535,0.0855883,0.0733888,0.0871561,0.0904933,0.088118,0.0870558,
grac_l,0.0114854,0.0923772,0.0560169,0.0188498,0.0836925,0.0735511,0.045823,0.0628024,
iliacus_l,0.0150129,0.19061,0.0243639,0.483448,0.0332645,0,0,0.0972552,
perbrev_l,0.0864422,0.0405114,0.0627179,0.0540021,0.0878105,0.0878783,0.0850182,0.0888265,
perlong_l,0.0453785,0.0377265,0.0185471,0.0496471,0.0688538,0.0233051,0.0545141,0.0686465,
piri_l,0.134008,0.0229945,0.125263,0.0315608,0.00807217,0.0774012,0.142624,0.0461064,
psoas_l,0,0.236231,0,0.498044,0.09156,0.00623424,0,0.0226989,
recfem_l,0.00980318,0.018537,0.00427965,0.0129479,0.0425452,0,0.00176502,0.0122799,
sart_l,0.00980318,0.018537,0.00427965,0.0129479,0.0425452,0,0.00176502,0.0122799,
semimem_l,0.297659,0.0985018,0.410473,0.00928841,0.0198784,0.0198552,0.244182,0.00354554,
semiten_l,0.299304,0.0983889,0.409937,0.00966763,0.0218926,0.0208351,0.245365,0.000570744,
soleus_l,0.0319303,0.0322952,0.0376905,0.0444417,0.0268783,0.0505398,0.0360127,0.0542532,
tfl_l,0.00980455,0.018539,0.00427843,0.0129454,0.0425457,0,0.00176469,0.012281,
tibant_l,0.0412918,0.0321275,0.0587659,0.0477671,0.0540296,0.0625369,0.0475145,0.0702711,
tibpost_l,0.0723528,0.0954255,0.0866067,0.0847623,0.082998,0.0792058,0.0791076,0.0946417,
