time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
-0,4.72821,3.9123,5.03403,5.21419,-3.46234,-3.15034,2.61671,2.0036,-11.565,-11.3197,13.4883,3.30535,4.38007,16.1632,-4.62153,-2.74417,-1.72979,-13.5339,-20.5959,-29.3472,
0.005,4.10393,3.57196,4.79692,5.15093,-3.24779,-3.11494,2.64864,1.73137,-11.5942,-11.437,13.3434,3.1603,4.74395,16.4327,-4.6803,-2.72088,-1.78147,-13.7136,-20.6205,-29.5149,
0.01,3.95874,3.352,4.26569,5.06154,-3.15686,-3.0923,2.41012,1.54921,-11.5235,-11.5071,13.298,3.03358,5.0892,16.6498,-4.79532,-2.70202,-1.80321,-13.8534,-20.6416,-29.6426,
0.015,3.97578,3.26143,4.17869,4.96163,-3.12802,-3.08613,2.28796,1.45828,-11.4722,-11.5296,13.1984,2.93045,5.04401,16.8114,-4.77283,-2.68456,-1.81567,-13.9481,-20.6274,-29.725,
0.02,4.0189,3.26116,4.14405,4.88825,-3.23653,-3.08979,2.23029,1.42248,-11.4426,-11.5259,13.0319,2.85773,4.9325,16.9297,-4.74012,-2.66952,-1.8186,-14.0021,-20.6016,-29.7681,
0.025,4.17057,3.30314,4.20735,4.87409,-3.35592,-3.09629,2.22687,1.40082,-11.4218,-11.5201,12.851,2.8165,4.82466,17.0147,-4.69083,-2.6586,-1.81383,-14.0215,-20.583,-29.7786,
0.03,4.56355,3.35326,4.46378,4.90596,-3.54901,-3.10152,2.23454,1.37764,-11.4133,-11.5178,12.7785,2.80784,4.81622,17.0833,-4.69352,-2.65303,-1.80418,-14.0152,-20.5802,-29.7664,
0.035,5.01619,3.37952,4.68851,4.93792,-3.6782,-3.10105,2.25245,1.35142,-11.4093,-11.5146,12.7252,2.8161,4.81471,17.1567,-4.65421,-2.65289,-1.79069,-14.0023,-20.5874,-29.7439,
0.04,5.44289,3.37562,4.86834,4.9544,-3.78352,-3.09399,2.28028,1.32286,-11.4116,-11.5117,12.6614,2.82558,4.81303,17.2408,-4.61128,-2.6558,-1.77496,-13.9953,-20.59,-29.7197,
0.045,5.49711,3.35411,4.56981,4.95113,-3.4966,-3.08464,2.36875,1.29721,-11.3439,-11.511,12.0882,2.82957,4.49298,17.3213,-4.23038,-2.65911,-1.7565,-13.9949,-20.4701,-29.6984,
