time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
-0,0.00194251,0.000927323,0.000958328,0,0.00185577,0.00425697,0,0,0,0,0,0,0.000710577,0.00124123,0.00440965,0.00353265,0.00292978,0,0,0,0.000935414,0.000751729,0,0.00105396,0.0091351,0.0195291,0.0233116,0,0.00486777,0,0.00307403,7.81498e-05,0,0,0.0023214,0,0,0,0.00120588,0.00189615,0.00265211,0.00111412,0,0,0.00121095,0.00654127,0,0.00170534,0,0,0.0265248,0.00142279,0.000183375,0.000274211,0.00361812,0.00372125,0.00237995,4.05153e-05,0,9.00446e-08,0.000577691,0,0,0.000173642,0.00268317,0.030347,0.0365973,0,0.0134018,0,0.01869,0.000160576,0,0,0,0,0.000148852,0,0,0,0,0.000381823,0,0,0.0132605,0,0.0299733,0,0,0.00234347,0,0,0,0,0.0136409,0,0.0133701,0,0,0.00318641,
0.005,0.00160205,0.000823145,0.000622397,-0.000143312,0.00142963,0.00410868,-2.67142e-05,6.4743e-05,8.39616e-06,4.90235e-05,2.87801e-05,1.81211e-05,0.000698017,0.00120191,0.00488556,0.00343712,0.00249122,8.14491e-05,6.73586e-05,6.87562e-05,0.00141943,0.00113528,0.000256427,0.00100626,0.00928845,0.0192035,0.023218,9.03954e-05,0.0050733,-1.80489e-06,0.00381724,2.19081e-05,-3.82004e-05,-5.88599e-05,0.00263438,9.51375e-05,3.54582e-05,-0.000121282,0.00109841,0.0017711,0.00330995,0.00132008,0.000197813,6.91609e-05,0.00168868,0.00754007,2.26389e-05,0.00191111,-1.15024e-05,-1.57121e-05,0.0265318,0.00144236,0.000159858,0.000249213,0.00368435,0.00376396,0.00278448,-0.000135166,-0.000115829,-0.000138489,-5.02925e-05,-0.0004005,-0.000230482,0.000280578,0.002693,0.0303755,0.0366435,-5.93916e-05,0.0136632,-3.64738e-06,0.0183025,0.000127719,1.23108e-05,1.76161e-05,-4.7446e-05,-2.21554e-05,0.000158684,4.67656e-05,4.20265e-05,3.67009e-05,0,0.000484407,0.00011059,7.35467e-05,0.0134294,0,0.0300825,0,0,0.00201619,0.00120937,1.3728e-05,2.77438e-05,-8.4274e-06,0.0143774,0,0.0141759,3.04217e-05,0.0003987,0.00423592,
0.01,0.00159854,0.000774404,0.000600215,-0.00016788,0.00142166,0.00408574,-2.66532e-05,6.68408e-05,8.18626e-06,4.97979e-05,2.87801e-05,1.79707e-05,0.000686935,0.00117288,0.00521011,0.00333419,0.0024372,8.77976e-05,7.12878e-05,7.37341e-05,0.00155706,0.00133432,0.000349468,0.000973704,0.00928922,0.0191441,0.0231872,9.77411e-05,0.0050492,-1.67596e-06,0.00409436,-3.30256e-05,-3.84115e-05,-6.04139e-05,0.00286525,0.00010341,3.56494e-05,-0.000236542,0.00104345,0.00171125,0.0033641,0.0013859,0.000252207,7.25206e-05,0.0018045,0.00760244,2.26389e-05,0.00207849,-1.14319e-05,-1.57121e-05,0.0265401,0.00145504,0.000136722,0.000224814,0.0036135,0.00369265,0.00289079,-0.000303519,-0.000129631,-0.000160369,-0.000329596,-0.000596514,-0.000304735,0.000372357,0.00268744,0.0303946,0.0366751,-6.09797e-05,0.0134883,-3.77315e-06,0.0181583,9.56861e-05,1.2373e-05,1.75253e-05,-4.82502e-05,-2.22557e-05,0.000167926,4.7648e-05,4.24553e-05,3.70461e-05,0,0.000553343,0.000123206,7.80267e-05,0.0134287,0,0.03011,0,0,0.00199081,0.00195727,1.4256e-05,2.79172e-05,-7.45501e-06,0.0146357,0,0.014317,3.52071e-05,0.000592386,0.00425797,
0.015,0.00160786,0.000748243,0.000622753,-0.000175511,0.00145128,0.00417467,-2.72631e-05,9.187e-05,7.97636e-06,6.44353e-05,4.58615e-05,2.3234e-05,0.000674597,0.0011563,0.00533885,0.00324592,0.00244648,0.000140678,9.30547e-05,7.57045e-05,0.0015934,0.0014262,0.000512363,0.000956038,0.00924926,0.0191267,0.0231801,0.000133951,0.00497514,-2.96517e-06,0.00425457,-1.71123e-05,-3.64417e-05,-5.88599e-05,0.00300929,0.000137309,5.92564e-05,-0.000199171,0.00101288,0.00167924,0.00334196,0.00139469,0.00038469,7.16192e-05,0.00181733,0.00753606,2.2418e-05,0.00219708,-1.12202e-05,-1.51422e-05,0.0265398,0.00146083,0.00011349,0.000200672,0.00350278,0.00359758,0.00289125,-0.000298956,-0.000130374,-0.000164872,-0.000602837,-0.000729656,-0.000349631,0.000441964,0.00269188,0.0302842,0.0366909,-5.89152e-05,0.0131713,-3.77315e-06,0.0180305,6.40654e-05,1.23108e-05,1.69805e-05,-4.69865e-05,-2.14537e-05,0.000177069,4.68286e-05,4.19193e-05,3.63558e-05,0,0.000596496,0.000124427,7.80889e-05,0.0133095,0,0.0300319,0,0,0.00197709,0.00223667,1.4696e-05,2.80039e-05,-5.51022e-06,0.0145704,0,0.0142576,4.63161e-05,0.000721429,0.00419229,
0.02,0.00153314,0.000735941,0.000643986,-0.000172068,0.00152097,0.00414604,-2.20788e-05,0.000122252,7.55655e-06,7.62071e-05,6.12922e-05,2.75199e-05,0.000670312,0.00115036,0.00533341,0.00319106,0.00247557,0.000190168,0.000112888,7.70526e-05,0.00158688,0.0014392,0.000648535,0.000942326,0.00916712,0.0191499,0.0231611,0.000165494,0.00489098,-1.09582e-06,0.00432223,-1.55864e-05,-3.46125e-05,-5.56546e-05,0.00308611,0.000164145,8.06651e-05,-0.000164676,0.00100856,0.00167482,0.0032525,0.00137423,0.000486379,6.8997e-05,0.00178679,0.00747493,2.17554e-05,0.0022703,-1.06556e-05,-1.44095e-05,0.0265422,0.00146388,9.00687e-05,0.000176615,0.00343039,0.00355321,0.00284038,-0.000285751,-0.000123685,-0.000157488,-0.000866199,-0.000805103,-0.000370444,0.000488462,0.00267724,0.0302195,0.036669,-5.52628e-05,0.0129003,-3.9618e-06,0.0179151,3.33717e-05,1.2373e-05,1.6254e-05,-4.50335e-05,-2.02507e-05,0.000185623,4.46857e-05,3.97751e-05,3.47451e-05,0,0.000602177,0.000119543,7.60978e-05,0.0134557,0,0.0301693,0,0,0.00185702,0.00228053,1.5752e-05,2.78305e-05,-2.70109e-06,0.0144342,0,0.0141839,6.10142e-05,0.000790279,0.0040872,
0.025,0.00150212,0.000731425,0.000656204,-0.000162855,0.00156598,0.00416121,-2.21398e-05,0.00014323,7.13674e-06,8.52683e-05,7.5144e-05,3.09035e-05,0.000666766,0.00115188,0.00523686,0.00316695,0.00250618,0.000236917,0.000131723,7.97489e-05,0.00157042,0.00142796,0.000755429,0.000936859,0.00908921,0.0191537,0.0231395,0.000192976,0.00484969,-2.32057e-06,0.00434504,-1.42784e-05,-3.17985e-05,-5.26436e-05,0.00310266,0.000184524,0.000100258,-0.000140994,0.00100975,0.00167938,0.00317366,0.00134402,0.000558041,6.66206e-05,0.00174415,0.00743911,2.13137e-05,0.00230672,-1.01617e-05,-1.38397e-05,0.0265459,0.00146584,6.63614e-05,0.00015273,0.00340957,0.0035591,0.00277419,-0.00026653,-0.000113918,-0.000143711,-0.00107006,-0.000839329,-0.000374079,0.000515312,0.00267483,0.0301956,0.0366482,-5.12928e-05,0.012721,-4.02469e-06,0.0178103,3.39897e-06,1.2373e-05,1.54368e-05,-4.28507e-05,-1.93484e-05,0.000193685,4.2984e-05,3.84885e-05,3.35946e-05,0,0.000595076,0.000112625,7.43556e-05,0.0135912,0,0.030259,0,0,0.0018409,0.00224615,1.7072e-05,2.8264e-05,9.72392e-07,0.0143185,0,0.0141108,8.32323e-05,0.000814955,0.0039929,
0.03,0.00148546,0.000729634,0.000675895,-0.000147686,0.00161483,0.00440848,-1.95172e-05,0.000159217,6.577e-06,9.0767e-05,8.69862e-05,3.30089e-05,0.000666692,0.00115985,0.00509629,0.003162,0.00254234,0.000279553,0.000148688,8.20304e-05,0.00154214,0.00140569,0.000828329,0.000940981,0.00902039,0.0192121,0.0231126,0.000214667,0.00494519,-2.96517e-06,0.00432197,-1.22075e-05,-2.79996e-05,-4.84671e-05,0.00307899,0.000197135,0.000117079,-0.000122309,0.00101833,0.00169138,0.00311402,0.00131208,0.000600443,6.3097e-05,0.00168977,0.00744868,2.05407e-05,0.00231446,-9.52655e-06,-1.26185e-05,0.0265484,0.00146811,4.22732e-05,0.000128673,0.00342916,0.00360781,0.00270215,-0.000239289,-0.000100753,-0.000123631,-0.00117851,-0.000835564,-0.00035981,0.000526072,0.00272154,0.0302126,0.0366423,-4.58935e-05,0.0126359,-3.89892e-06,0.0177257,3.81097e-06,1.21864e-05,1.42563e-05,-3.98638e-05,-1.78447e-05,0.000201157,4.09041e-05,3.63443e-05,3.19839e-05,0,0.000579344,0.000102858,7.16178e-05,0.0137629,0,0.030382,0,0,0.0018553,0.00216709,1.8744e-05,2.84374e-05,5.29414e-06,0.0143696,0,0.0141282,0.000110236,0.000800473,0.00390704,
0.035,0.00152519,0.000730646,0.000685384,-0.000129633,0.0016405,0.0045818,-1.75655e-05,0.000169055,6.01725e-06,9.28581e-05,9.66034e-05,3.3836e-05,0.000669204,0.001171,0.00493204,0.00316784,0.00257697,0.000317716,0.00016428,8.46231e-05,0.00151108,0.00137609,0.000871951,0.000950402,0.00898698,0.0192413,0.0230924,0.000230655,0.00510164,-2.64287e-06,0.00426856,-1.07906e-05,-2.49745e-05,-4.39992e-05,0.00303093,0.000202381,0.000131415,-0.000104787,0.00103229,0.00170868,0.00309134,0.00128718,0.000620109,5.94095e-05,0.00163249,0.00744868,1.99885e-05,0.00230209,-8.89144e-06,-1.16416e-05,0.0265492,0.00147054,1.76139e-05,0.000104702,0.00347135,0.00366888,0.00263548,-0.000206448,-8.6208e-05,-0.00010103,-0.00120657,-0.000804296,-0.000331727,0.000525323,0.0027877,0.0302417,0.0366496,-4.04943e-05,0.0126126,-4.40201e-06,0.0176546,4.32596e-06,1.25595e-05,1.30759e-05,-3.71067e-05,-1.62406e-05,0.000208334,3.78789e-05,3.38785e-05,2.96829e-05,0,0.000560772,9.23789e-05,6.85689e-05,0.0138183,0,0.0304232,0,0,0.00193764,0.00207423,2.0504e-05,2.87842e-05,1.01561e-05,0.0143405,0,0.0140819,0.00014493,0.000756461,0.00383432,
0.04,0.00156339,0.000731425,0.000695111,-0.000113533,0.00165527,0.00467036,-2.30547e-05,0.000162255,5.73738e-06,9.24708e-05,0.000104714,3.3836e-05,0.000669795,0.00118157,0.00476095,0.0031749,0.0026019,0.000354293,0.000180621,9.01194e-05,0.00149088,0.00135069,0.0008972,0.000954608,0.00898005,0.01925,0.0230833,0.000243186,0.00522868,8.18644e-06,0.00419105,-1.55864e-05,-3.18689e-05,-4.09882e-05,0.00297619,0.000202684,0.000143553,-7.02233e-05,0.00106605,0.00174798,0.00308439,0.0012716,0.000627017,5.73609e-05,0.0015828,0.00744313,2.29702e-05,0.00228092,-8.32691e-06,-1.08275e-05,0.0265495,0.00147312,-6.28386e-06,8.03885e-05,0.00352268,0.00373396,0.00258356,-0.000173815,-7.37864e-05,-8.04098e-05,-0.00118255,-0.00076005,-0.000296737,0.0005213,0.00283589,0.030262,0.0366508,-3.57303e-05,0.0126192,-9.93595e-06,0.017595,7.82793e-06,1.6974e-05,1.22586e-05,-3.6762e-05,-1.50376e-05,0.000215314,2.66602e-05,2.46584e-05,2.00187e-05,0,0.000544821,8.37311e-05,6.73245e-05,0.0138388,0,0.0304391,0,0,0.00197606,0.00200221,2.3672e-05,3.02581e-05,1.59905e-05,0.0142965,0,0.0140189,0.000194664,0.000697967,0.00378881,
0.045,0.00162635,0.000729089,0.000647426,-9.6131e-05,0.00157609,0.00439786,-2.42745e-05,0.000143954,5.17763e-06,8.87534e-05,0.000110527,3.24074e-05,0.000660782,0.00118512,0.0046003,0.00319221,0.00264609,0.000386973,0.000195964,9.47861e-05,0.00145764,0.00129753,0.000902408,0.000947542,0.00897404,0.0191239,0.0230232,0.000249927,0.00532595,1.26342e-05,0.00410136,-1.62403e-05,-3.2502e-05,-3.66174e-05,0.00291702,0.000196227,0.00015292,-4.35987e-05,0.00110207,0.00178979,0.00299383,0.00124731,0.000619726,5.40831e-05,0.00152742,0.00725294,2.4185e-05,0.0022508,-7.55067e-06,-9.60636e-06,0.0265341,0.0014703,8.09285e-06,5.57326e-05,0.0035903,0.00381468,0.00253912,-0.000138692,-5.96662e-05,-5.8439e-05,-0.0011217,-0.000696774,-0.000251476,0.000512599,0.00283923,0.0301034,0.0365232,-2.96164e-05,0.0125779,-1.29545e-05,0.0175325,9.88791e-06,1.95232e-05,1.08965e-05,-3.48091e-05,-1.33334e-05,0.000222197,1.85298e-05,1.79041e-05,1.31157e-05,0,0.000502215,7.3252e-05,6.46489e-05,0.0131144,0,0.0300377,0,0,0.00209201,0.00190813,2.64e-05,3.14719e-05,2.26892e-05,0.0132641,0,0.0132934,0.000258584,0.000618033,0.00374753,
