time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.175,0.166131,0.121596,0.00231569,0.00812609,0.0136453,0.158099,0.398893,0.354242,0.171182,0.155447,0.126807,0.102297,0.0265403,0.00682387,0.15633,0.266225,0.215012,0.00758746,0.0128354,0.00706762,0.000324893,0.00987732,0.022725,0.0528023,0.543367,0.00640826,0.00333326,0.128156,0.662538,0.0566297,0.0615915,0.38512,0.465827,2.54318e-06,0.0610345,0.132891,0.0833065,0.096316,0.204145,0.268211,0.0435616,0.0400978,0.00663231,0.016185,0.0309038,0.0161579,0.0541877,0.0624711,0.0670309,0.0961135,0.149703,0.122438,0.100742,0.0702549,0.0766158,0.0793909,0.104236,0.0037941,0.051877,0.0413331,0.00637253,0.0145135,0.115918,0.0338805,0.00102101,0.124368,0.0949237,0.136663,0.00298116,0.00587073,0.00521396,0.0440006,0.0564632,0.0593321,0.00472669,0.0831948,0.105341,0.0828727,0.0125225,0.012209,0.0674257,0.161539,0.229967,0.111996,0.784834,0.823654,0.699948,0.0186944,0.0485417,0.530227,0.0320032,0.144162,0.155639,0.154943,0.161957,0.0845133,0.0848389,0.0931003,0.110082,0.0894478,
0.18,0.16801,0.121588,0.00223057,0.0090458,0.0128557,0.204154,0.448338,0.380122,0.16773,0.153343,0.126779,0.102028,0.0243247,0.00726762,0.15121,0.370113,0.243946,0.00752321,0.012879,0.007166,0.000840874,0.00970772,0.0225794,0.0586433,0.54136,0.00885584,0.00301038,0.1269,0.659848,0.0707176,0.0849487,0.421235,0.626223,2.82575e-07,0.0732528,0.131173,0.086478,0.0958668,0.197664,0.273008,0.0534289,0.0372004,0.00768115,0.0160197,0.0381474,0.0168734,0.0581313,0.0801722,0.0645304,0.0967065,0.148758,0.120658,0.101435,0.075052,0.0764369,0.0776169,0.109854,0.00505174,0.0547051,0.0440835,0.00625511,0.0151576,0.115027,0.035011,0.0245648,0.121747,0.0943408,0.1361,0.00792988,0.00626588,0.00505013,0.0426099,0.0678512,0.0592822,0.00462708,0.0826477,0.10533,0.0917338,0.0121271,0.0118014,0.070106,0.16264,0.235058,0.109585,0.92305,1,0.814792,0.018199,0.0538099,0.581696,0.0435545,0.156561,0.192565,0.159792,0.207131,0.111867,0.110758,0.095706,0.109203,0.0999631,
0.185,0.156992,0.113052,0.00214545,0.00818214,0.0114798,0.234652,0.456361,0.373026,0.155069,0.141561,0.120117,0.0979293,0.026925,0.0105936,0.147091,0.457539,0.249471,0.0118984,0.022613,0.00855667,0.0110365,0.0190472,0.0279557,0.0585102,0.501028,0.016605,0.0137523,0.117835,0.613751,0.0787847,0.104207,0.419835,0.749736,0.010121,0.078712,0.121317,0.0825249,0.0886027,0.190104,0.261397,0.0584564,0.0330257,0.00797814,0.0152565,0.0419792,0.0160386,0.0570462,0.0916379,0.0603851,0.090184,0.137848,0.112239,0.0948065,0.0723576,0.0763773,0.0768255,0.106597,0.00463512,0.0476594,0.0385095,0.00663279,0.0143593,0.107137,0.0331551,0.00899988,0.113709,0.0879191,0.126267,0.00924159,0.00615298,0.00493406,0.0409058,0.0729788,0.0547316,0.00458399,0.0767317,0.0973259,0.0909847,0.0116383,0.0114201,0.0631924,0.141326,0.209023,0.101493,0.998045,1,0.858328,0.0159629,0.0467101,0.578867,0.0525832,0.153942,0.212089,0.151041,0.235602,0.13153,0.128466,0.0870408,0.101379,0.100176,
0.19,0.14348,0.102878,0.00225371,0.00873816,0.0102239,0.253296,0.443628,0.353844,0.145456,0.133815,0.11323,0.0923976,0.0225601,0.0104121,0.145097,0.530442,0.242932,0.0102506,0.0181567,0.00820008,0.00838234,0.015128,0.0259798,0.055253,0.468109,0.0192141,0.0138667,0.108807,0.573059,0.0825996,0.119907,0.402258,0.842948,0.00449408,0.0798842,0.114516,0.0769497,0.0828994,0.18552,0.247314,0.0599602,0.0279194,0.00778265,0.0148596,0.0433965,0.0147865,0.0541206,0.0984044,0.0563955,0.0820581,0.128459,0.104832,0.0880692,0.0676941,0.0763773,0.0765935,0.100642,0.00776929,0.0445292,0.0367984,0.00877015,0.016562,0.102719,0.0306605,0.0323963,0.10592,0.081805,0.118445,0.0146077,0.00587073,0.00488299,0.0398466,0.0739924,0.0507407,0.00457134,0.0704636,0.0902637,0.0861817,0.0113333,0.0112167,0.0617083,0.127524,0.198491,0.0952173,1,1,0.860085,0.0142277,0.0509934,0.551667,0.0597429,0.144457,0.220007,0.139694,0.252043,0.145421,0.14023,0.0817639,0.094576,0.0943602,
0.195,0.132147,0.0942876,0.00315701,0.0106222,0.0100852,0.263119,0.42037,0.330268,0.142899,0.135287,0.11564,0.0922305,0.0215903,0.0136312,0.151261,0.590646,0.232226,0.0104816,0.0182319,0.00888704,0.0104429,0.0158639,0.026299,0.0508626,0.456072,0.024965,0.0135026,0.105396,0.554026,0.0835692,0.132541,0.37764,0.911076,0.00761343,0.0786103,0.115673,0.0801481,0.0824797,0.183344,0.235481,0.0591032,0.0234461,0.00733154,0.0149003,0.0431817,0.0136537,0.0501245,0.101547,0.0547821,0.0758823,0.126168,0.102269,0.0848661,0.0642477,0.077689,0.0774805,0.0948973,0.0110625,0.0400739,0.0368783,0.00590003,0.0147463,0.106298,0.0298711,0.0893321,0.102153,0.0808664,0.117812,0.0308252,0.00553204,0.00498394,0.0371226,0.0723229,0.0500408,0.00470929,0.0661893,0.0883937,0.0810063,0.0111278,0.011071,0.068895,0.13722,0.226348,0.0955063,1,1,0.838852,0.0161744,0.0642238,0.517524,0.0656905,0.133035,0.220862,0.132014,0.260394,0.155314,0.148164,0.0872462,0.0923182,0.0858485,
0.2,0.12296,0.0873105,0.00505288,0.0132583,0.011291,0.266412,0.392356,0.305753,0.144408,0.142692,0.118765,0.091705,0.0173525,0.0151083,0.162722,0.639782,0.221764,0.00714275,0.0115111,0.00802093,0.00486915,0.00958039,0.0217474,0.0463413,0.449428,0.0253769,0.00751643,0.105909,0.541731,0.0827107,0.142539,0.3506,0.958416,0.000827381,0.076096,0.122351,0.0800698,0.0855324,0.18211,0.226627,0.0566308,0.019922,0.00676013,0.0152783,0.0418603,0.0126401,0.0457979,0.101965,0.0548153,0.0721588,0.128529,0.103496,0.084231,0.062747,0.0789411,0.0786267,0.0903332,0.0180098,0.0395496,0.0426392,0.00635801,0.0183339,0.113263,0.0314707,0.148959,0.100216,0.0834674,0.121207,0.057596,0.00530624,0.00532625,0.0339396,0.068984,0.0522644,0.00509508,0.0633602,0.0905388,0.0771412,0.0109394,0.0109076,0.0791705,0.165214,0.277923,0.0994017,1,1,0.805578,0.0217403,0.0764345,0.483434,0.0707735,0.121804,0.217519,0.12888,0.263137,0.162325,0.153436,0.0946368,0.0918778,0.0763144,
0.205,0.114383,0.0806544,0.00754378,0.0157276,0.0123308,0.264873,0.362793,0.281727,0.14482,0.150738,0.121587,0.0911454,0.0116001,0.0178447,0.176638,0.679294,0.213692,0.00524939,0.00881259,0.00726524,0.00327601,0.00710301,0.0187066,0.0417798,0.439758,0.0264998,0.00307869,0.107812,0.525712,0.080746,0.150273,0.32339,0.98853,7.34696e-05,0.0731001,0.12991,0.0793125,0.0893102,0.180907,0.220161,0.0529036,0.0137462,0.00610225,0.0152702,0.039789,0.0117458,0.0416959,0.100401,0.0546506,0.0700199,0.132019,0.10566,0.0848835,0.0627659,0.0800143,0.0797456,0.0870972,0.0242988,0.0373838,0.0483752,0.00492355,0.0204353,0.119629,0.034783,0.207006,0.0977017,0.0882652,0.12564,0.0931314,0.00524979,0.00601775,0.0312795,0.0647508,0.0556588,0.00583622,0.0606338,0.0938413,0.0748819,0.010726,0.0106997,0.0888404,0.185524,0.329175,0.102518,1,1,0.766584,0.0273447,0.0870522,0.451373,0.0752419,0.11142,0.211818,0.128697,0.262028,0.167277,0.156835,0.101365,0.0910171,0.0655555,
0.21,0.105454,0.0738212,0.00994129,0.0183135,0.0140114,0.259799,0.333452,0.258796,0.142354,0.155024,0.123895,0.0912153,0.010182,0.0217026,0.190872,0.710454,0.208761,0.0055395,0.011678,0.00699029,0.00653143,0.00928664,0.018822,0.0376399,0.420632,0.0333404,0.00691777,0.109523,0.498682,0.0781718,0.156064,0.297092,1,0.00122327,0.0700677,0.134717,0.0798147,0.0925461,0.179264,0.215215,0.0485277,0.00953177,0.00548526,0.0160134,0.0372652,0.010911,0.0381705,0.097455,0.0546845,0.0683232,0.134822,0.107794,0.0854892,0.0638327,0.0810279,0.0807964,0.0850102,0.0323166,0.0374101,0.0542798,0.00793772,0.0269332,0.125038,0.0392691,0.25124,0.0942663,0.0921286,0.128684,0.132721,0.00553204,0.00718347,0.0295376,0.0601598,0.0591453,0.00705762,0.0580759,0.0972704,0.0742577,0.0104805,0.0104509,0.0962018,0.203427,0.370004,0.102914,1,1,0.725109,0.0328407,0.094069,0.420967,0.0792841,0.101968,0.204912,0.130064,0.258337,0.170785,0.15901,0.105161,0.0897544,0.0551556,
0.215,0.0947339,0.0657841,0.0126529,0.0203699,0.016699,0.25213,0.305347,0.237279,0.135838,0.155822,0.122288,0.0887147,0.00986345,0.0254406,0.203722,0.734386,0.206822,0.00473787,0.0104838,0.00639827,0.00699058,0.00832664,0.0167935,0.0339331,0.382917,0.0379989,0.00892691,0.109113,0.448875,0.0753138,0.160191,0.272284,1,0.000417364,0.0672254,0.136648,0.0755192,0.0937036,0.176894,0.210984,0.0438718,0.00735538,0.00495191,0.0164601,0.0344613,0.0100763,0.0354028,0.0936097,0.0545384,0.0660717,0.134666,0.108124,0.0844331,0.0649728,0.0819819,0.0817789,0.0838191,0.0400699,0.0325325,0.0574666,0.00896626,0.0314943,0.128086,0.0449818,0.294722,0.0875199,0.0940083,0.127882,0.174815,0.00609653,0.00896314,0.0287529,0.0556284,0.0616708,0.00889485,0.0542686,0.0985013,0.0743013,0.010219,0.0101864,0.101232,0.224963,0.410682,0.10164,1,1,0.682168,0.0395856,0.100295,0.390101,0.0829821,0.0926258,0.197314,0.131159,0.252761,0.173193,0.16026,0.105892,0.0856486,0.0455511,
0.22,0.0816416,0.0566066,0.0158884,0.0212728,0.0203206,0.242537,0.2791,0.217448,0.125788,0.153914,0.130057,0.0948917,0.0272053,0.0411019,0.213762,0.752052,0.207178,0.0174608,0.0361828,0.0116435,0.0345906,0.032811,0.0315635,0.0310041,0.32688,0.0624528,0.0356635,0.110684,0.378476,0.0723718,0.162891,0.249347,1,0.0296529,0.0646549,0.137728,0.0857225,0.0942339,0.173567,0.206798,0.0395277,0.00691014,0.00466856,0.0172033,0.0315808,0.0090031,0.0334521,0.0892442,0.0554702,0.0645121,0.133776,0.108306,0.0827899,0.0659842,0.0828762,0.0826931,0.0832921,0.0454341,0.0242937,0.0599072,0.00526855,0.0316047,0.13047,0.052524,0.328669,0.0817211,0.0976678,0.126823,0.216551,0.00711262,0.0114962,0.0288112,0.0513952,0.0646003,0.0114795,0.050175,0.0999635,0.0753847,0.00997137,0.00993928,0.105224,0.258375,0.456,0.0996781,0.992562,1,0.638057,0.048566,0.104783,0.355926,0.0862981,0.083823,0.189198,0.13236,0.24574,0.174676,0.160837,0.111072,0.0812755,0.0379678,
