time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.175,-27.074,32.593,25.6886,-2.19292,-1.51668,-2.3019,44.1032,6.57155,-0.861905,1.52943,0.650168,-25.6323,-5.15696,22.3198,-4.40073,3.46637,-6.73435,-8.30154,-0.146065,0.671402,
0.18,-38.1038,2.60851,29.729,17.4159,-3.66138,0.335544,49.1368,1.26306,-0.87165,7.56463,2.51509,-17.5594,-4.36052,10.0354,-4.2114,1.76084,-7.12017,-6.11379,-0.128202,0.638329,
0.185,-3.90934,-12.8477,46.0445,30.5608,-9.30459,1.7292,78.1455,0.948836,-1.40275,11.7874,6.50493,-10.0561,-4.15585,-1.17811,-3.22467,0.43502,0.910811,-4.11037,0.376783,0.618254,
0.19,6.55035,-22.8365,48.2491,42.0666,-11.4094,2.17438,89.8743,4.55942,-0.757396,16.4002,8.09213,-3.12565,-5.82027,-11.1441,-3.15248,-0.521646,3.94761,-2.29347,0.546857,0.613385,
0.195,11.8651,-23.3555,45.8342,49.1854,-11.8695,1.30656,95.3363,12.4782,-0.497649,20.4671,10.7442,3.30677,-7.36327,-19.7106,-2.63505,-1.13306,7.9677,-0.635856,0.810392,0.628002,
0.2,15.9939,-17.6582,40.9079,50.2126,-11.598,-0.0894991,96.2187,22.7628,-0.220904,23.5732,17.6786,9.39123,-8.52891,-26.7562,-1.61746,-1.43824,9.69971,0.915008,0.935878,0.668009,
0.205,18.4756,-11.6587,34.9704,45.1515,-10.2893,-0.940329,94.531,32.8681,-0.0214245,25.6687,24.0722,15.3846,-11.0176,-32.2179,-0.81753,-1.49192,10.3872,2.42873,1.00021,0.740243,
0.21,17.431,-9.84295,27.7599,35.0147,-9.74459,-0.554892,91.8351,41.0458,-0.0206449,26.8225,30.373,21.4989,-12.2714,-36.0517,-0.192083,-1.36423,10.6318,3.97899,1.03986,0.851511,
0.215,14.9024,-13.6256,19.5638,20.9461,-6.99407,1.19152,88.5907,46.8824,-0.0797036,27.1705,36.7167,27.9672,-13.5613,-38.2799,0.434518,-1.13687,10.7822,5.62639,1.06975,1.00734,
0.22,6.15173,-21.9706,8.66335,3.99705,-5.05043,3.98923,83.5573,51.0603,-0.369941,26.9394,43.0924,34.9499,-14.2237,-38.9787,0.590999,-0.898546,11.0868,7.39898,1.09688,1.21054,
