time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
-0,0.00929944,0.0148658,0.020854,0.0115313,0.0145481,0.0343313,0.011718,0.00934142,0.0100323,0.0145118,0.0259224,0.0341835,0.00519762,0.00721423,0.0416766,0.0314214,0.0267112,0.000171702,0.000525579,8.81006e-05,0.00125556,0.000749297,0.0268899,0.00298116,0.0172168,0.00609851,0.00594096,0.0339394,0.0295957,0.0102913,0.0131784,0.0116139,0.0140114,0.005856,0.013981,0.0137275,0.0359742,0.063096,0.0209528,0.0225717,0.0143692,0.00763177,0.00397871,0.00547426,0.0201526,0.0943539,0.0366466,0.0409605,0.0207523,0.0191129,0.0443756,0.042303,0.0316169,0.0361497,0.0307656,0.0294539,0.0370467,0.000214278,0.000844832,0.000531906,0.000359556,0.0050087,0.0260454,0.00899934,0.0157849,0.115447,0.129681,0.026613,0.137141,0.032435,0.0519422,0.0298604,0.0392088,0.0681516,0.0335725,0.0194119,0.0303595,0.0721978,0.0642803,0.0679307,0.0662938,0.0126525,0.00500934,0.0100215,0.175495,0.184228,0.123029,0.00657554,0.0172482,0.0178535,0.034863,0.00815057,0.00768617,0.00915122,0.196686,0.191069,0.179079,0.0068402,0.0195662,0.0224183,
0.005,0.0100207,0.0147995,0.0202762,0.0112822,0.0144884,0.0384746,0.0127611,0.00923513,0.0100705,0.0144142,0.0262637,0.0338261,0.00527426,0.00723359,0.050322,0.0309444,0.0262342,0.000173942,0.000540867,8.99851e-05,0.0012428,0.00076992,0.0266956,0.00304078,0.0177128,0.00668054,0.0063965,0.035274,0.0314458,0.0107695,0.0170945,0.0125883,0.0194372,0.00610163,0.016879,0.0134985,0.0357905,0.0624771,0.020323,0.0218902,0.0147269,0.00810875,0.00449065,0.00549679,0.0224779,0.0941125,0.0402328,0.0521183,0.0204949,0.0188663,0.0446127,0.0417729,0.0344271,0.038974,0.0310041,0.0290961,0.0428899,0.000222234,0.000834235,0.00053819,0.000362952,0.00495735,0.0258801,0.0100031,0.0162638,0.114959,0.130912,0.0263696,0.137701,0.0318388,0.0519944,0.0291123,0.0485372,0.0675999,0.0325307,0.0191655,0.0302712,0.0710972,0.0621896,0.0658875,0.0665229,0.013071,0.00492834,0.00995094,0.173937,0.182101,0.124398,0.00659728,0.0172346,0.0199826,0.0356762,0.00816375,0.00769389,0.00926945,0.198641,0.196787,0.177852,0.00684113,0.0191538,0.0231338,
0.01,0.00997545,0.0148296,0.0207793,0.011378,0.0149654,0.0383932,0.0126486,0.00876745,0.00983756,0.0143446,0.0260817,0.0328274,0.00523314,0.0072532,0.0543167,0.0293942,0.0260553,0.000161251,0.000546665,8.85717e-05,0.00120609,0.000812884,0.026473,0.00298116,0.0171985,0.00632707,0.00648994,0.0342166,0.0305451,0.0104089,0.0197384,0.0124359,0.0239685,0.00620911,0.0182179,0.0132053,0.0343604,0.0606718,0.0194587,0.0209659,0.0144884,0.00792988,0.00458342,0.00530328,0.0227761,0.0936131,0.0401151,0.0590813,0.0200043,0.0184228,0.045343,0.0407378,0.0341487,0.0384722,0.0295135,0.0276055,0.0445932,0.00020314,0.000831291,0.000541781,0.000387699,0.00512396,0.0253871,0.0100723,0.016178,0.115306,0.131979,0.0255556,0.133156,0.030229,0.0494429,0.0277432,0.0536023,0.0666078,0.031807,0.0187722,0.0297964,0.0694705,0.0598825,0.0645276,0.070067,0.0136625,0.00563125,0.0110587,0.173765,0.183006,0.125265,0.00719667,0.0169711,0.0194676,0.0341731,0.00814966,0.00784353,0.00892476,0.202665,0.202409,0.179234,0.00656893,0.0188235,0.0225972,
0.015,0.00997355,0.0145833,0.0213148,0.0114351,0.0153232,0.0396005,0.0120608,0.0083514,0.00981283,0.0143022,0.0248612,0.0314344,0.00511777,0.00748919,0.0552707,0.0280825,0.0260553,0.000141841,0.000556681,9.61097e-05,0.00117697,0.000833507,0.025816,0.00298116,0.01651,0.00630793,0.00700979,0.032407,0.0295693,0.00981727,0.021401,0.0118362,0.0276652,0.00608168,0.0185514,0.0124701,0.0324357,0.0585456,0.0188915,0.0203624,0.0143692,0.00757214,0.00447519,0.00510701,0.0220606,0.0926247,0.038391,0.0629417,0.0192941,0.0174962,0.04441,0.0391618,0.0323995,0.0364788,0.027844,0.0262938,0.0440018,0.00018988,0.000815984,0.000571406,0.000404197,0.00527517,0.0247636,0.00976082,0.0162526,0.106558,0.132113,0.0244976,0.127681,0.0289769,0.0468611,0.0267368,0.0557246,0.0657734,0.0314932,0.0182321,0.0296963,0.0673653,0.0585253,0.0639565,0.0724229,0.014169,0.0057623,0.0113144,0.171674,0.181012,0.123002,0.00730969,0.0168654,0.0191307,0.0316708,0.00803417,0.00804685,0.0084298,0.201129,0.199044,0.178322,0.00580325,0.0180095,0.0221202,
0.02,0.00906665,0.0144206,0.0216826,0.0109258,0.0162771,0.0387791,0.0114488,0.00829067,0.00915212,0.01392,0.0259395,0.0308858,0.00521917,0.00776048,0.054436,0.0272478,0.0261746,0.000153786,0.000457575,0.000106946,0.00113467,0.000695592,0.025382,0.00292154,0.0152608,0.00703248,0.00679232,0.0306451,0.0286035,0.00933607,0.0223252,0.0112354,0.0307059,0.00580761,0.0182934,0.0118371,0.031364,0.0576269,0.0187307,0.0201958,0.0137133,0.00709516,0.00428794,0.0048248,0.0209277,0.0924756,0.0362907,0.0645735,0.0187026,0.0164699,0.0447956,0.0386346,0.0303456,0.0344301,0.0269497,0.0259361,0.0423222,0.000206322,0.000693528,0.000528315,0.000383817,0.00576189,0.0243879,0.00924163,0.0160639,0.105647,0.129169,0.0236308,0.123682,0.0277844,0.0444627,0.0265229,0.0559037,0.0645087,0.0306434,0.0179422,0.0288391,0.0668086,0.0576596,0.0634675,0.074676,0.0124967,0.00622952,0.0114043,0.175129,0.185266,0.128378,0.00708105,0.0165754,0.0171735,0.0299364,0.0077527,0.00812333,0.00783701,0.199162,0.198662,0.177844,0.00572085,0.0184305,0.021524,
0.025,0.00857583,0.0143599,0.0216974,0.0103361,0.0168734,0.0388499,0.0109881,0.00850932,0.00861042,0.0136525,0.0266985,0.0307234,0.00531817,0.00799305,0.0524684,0.0268304,0.0262938,0.000162744,0.000412767,0.000112599,0.00110236,0.000642746,0.0251759,0.00292154,0.0142256,0.00721026,0.00654696,0.0292227,0.0282817,0.00905706,0.0227035,0.0108006,0.0331505,0.00567205,0.0177197,0.0114951,0.0308429,0.0573242,0.0187836,0.0202569,0.013296,0.0066778,0.00407663,0.00458027,0.0197353,0.0928071,0.0343728,0.0646381,0.0183563,0.0157679,0.0451777,0.038503,0.0284355,0.0326774,0.0267708,0.0261746,0.040335,0.000214278,0.000620525,0.000501383,0.000360041,0.00605176,0.0242103,0.00865321,0.0160731,0.1059,0.127991,0.0230684,0.121267,0.0266516,0.0423142,0.0268393,0.0548582,0.0635372,0.029571,0.0178409,0.0281449,0.0668352,0.056831,0.0626971,0.0751586,0.0116823,0.00634458,0.0113206,0.177968,0.188355,0.131845,0.00675723,0.0161732,0.0166693,0.0288463,0.00755582,0.0081134,0.00730707,0.197693,0.197708,0.177447,0.00566992,0.0188743,0.0211066,
0.03,0.0081945,0.0141502,0.0217126,0.0101092,0.0173503,0.0421531,0.0107182,0.00887982,0.00811006,0.0132356,0.0277405,0.0308995,0.00543474,0.00822439,0.0500239,0.0265919,0.0263534,0.000162744,0.000423837,0.000108359,0.00107603,0.000660791,0.0251097,0.00298116,0.0133779,0.00857635,0.00599361,0.0281312,0.0298319,0.00897006,0.0226853,0.0105624,0.0350584,0.0059705,0.0170096,0.0112054,0.0308518,0.0574938,0.0189101,0.0203955,0.0132363,0.0064393,0.00388938,0.0043624,0.0186024,0.0944699,0.0328419,0.063634,0.0182452,0.0152973,0.0451895,0.0387205,0.0267444,0.0314459,0.0270689,0.0268901,0.0383715,0.000205261,0.000548699,0.00045919,0.000377509,0.00609341,0.0242222,0.0080648,0.0166789,0.107783,0.12826,0.02283,0.120379,0.0255783,0.040427,0.0273976,0.0530879,0.0631108,0.0285101,0.01756,0.027489,0.0676464,0.055802,0.0615373,0.0749021,0.0110173,0.0060637,0.0107272,0.181605,0.192734,0.136751,0.00646949,0.0160946,0.0166045,0.0281478,0.00716523,0.00800714,0.00681128,0.2,0.202599,0.17913,0.00576621,0.0189364,0.021047,
0.035,0.00836017,0.0140115,0.0212331,0.00987639,0.0173503,0.0440284,0.0106176,0.00929587,0.00791224,0.0129724,0.028347,0.0311308,0.00553734,0.00834839,0.0473408,0.0264727,0.0263534,0.000164237,0.00044176,0.000103648,0.00105428,0.000656924,0.0251457,0.00304078,0.0131092,0.00905963,0.00568375,0.027352,0.0319676,0.00903546,0.022389,0.0104933,0.036549,0.00610126,0.0162768,0.0111339,0.0310348,0.0575847,0.0190586,0.0205565,0.0135941,0.0064393,0.00372789,0.00419188,0.0175888,0.0958622,0.0317215,0.0619315,0.0183067,0.0151599,0.0450283,0.0389636,0.0253668,0.0306433,0.0276055,0.0276055,0.0366445,0.00020314,0.000524561,0.000437195,0.000375083,0.00598557,0.0243374,0.0075456,0.0174695,0.109337,0.129179,0.0228149,0.12036,0.024684,0.038793,0.0280045,0.0509386,0.0629474,0.0275595,0.0173709,0.027151,0.0682053,0.0545001,0.0600098,0.0728986,0.010605,0.00567714,0.0100623,0.182953,0.193927,0.138893,0.00605873,0.0160192,0.017522,0.0277001,0.00694515,0.00783544,0.00643162,0.200232,0.202492,0.179465,0.00591157,0.0188349,0.0212259,
0.04,0.00865438,0.0139253,0.0209777,0.00981018,0.0172907,0.0448469,0.0106422,0.00969674,0.00779632,0.0128425,0.0288398,0.0313709,0.00563115,0.00835011,0.0446578,0.0263534,0.0262938,0.000167223,0.000435962,0.000101292,0.00102895,0.00064962,0.0251905,0.00310041,0.0131739,0.00919874,0.00578322,0.0268222,0.0335111,0.00921066,0.0219044,0.0105461,0.0376222,0.00615888,0.0155898,0.0111219,0.0312131,0.0576683,0.0192326,0.0207445,0.0139518,0.00655855,0.00360249,0.00403606,0.0166945,0.0968178,0.0309555,0.0598023,0.0183506,0.0151745,0.0449341,0.0392278,0.0242926,0.0301841,0.0282018,0.028321,0.0352251,0.000205792,0.000503367,0.000416996,0.00037945,0.00589199,0.0244585,0.00706102,0.0180318,0.109869,0.128988,0.0228756,0.12069,0.0238493,0.0373997,0.0285479,0.0486434,0.0629544,0.0267527,0.0172623,0.0269417,0.0685367,0.052955,0.0582077,0.0720962,0.0105542,0.00561665,0.00996183,0.183878,0.194663,0.140569,0.00612263,0.0161201,0.0180971,0.0274536,0.00686285,0.0077358,0.00618976,0.200193,0.202621,0.179375,0.00609211,0.0187547,0.021524,
0.045,0.0090995,0.013503,0.0176802,0.00826232,0.0151443,0.0401479,0.0108426,0.0102494,0.00760468,0.012115,0.0264201,0.0303832,0.00483793,0.00788816,0.0421536,0.0263534,0.0264131,0.000175435,0.000364795,7.58513e-05,0.000958529,0.000466592,0.0241254,0.00292154,0.0132319,0.0057494,0.00372424,0.0260741,0.0347178,0.00954667,0.0213136,0.0107732,0.0383973,0.00468731,0.0150162,0.0111499,0.0302693,0.0548478,0.0196298,0.0211739,0.0134748,0.0064393,0.0034221,0.00394919,0.0159194,0.0943206,0.0305742,0.057468,0.0174674,0.015114,0.0421425,0.0375215,0.0234677,0.0291762,0.0290365,0.029275,0.0341605,0.000145858,0.000465688,0.00054223,0.000268817,0.00468689,0.0236314,0.00671489,0.0180328,0.0979151,0.116276,0.022358,0.120035,0.0228357,0.0358136,0.0293201,0.0463879,0.0593941,0.0254088,0.0170478,0.0270161,0.0649166,0.0509884,0.0558802,0.059841,0.00778625,0.00426437,0.0077229,0.170325,0.179576,0.127959,0.0045209,0.0143515,0.0195914,0.0264609,0.00662822,0.00730048,0.00576015,0.179915,0.175676,0.166598,0.00486258,0.0177922,0.0221798,
