time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
-0,9.65732,2.12637,1.51164,0,8.32025,39.4905,0,0,0,0,0,0,1.82194,15.9601,66.4036,68.2379,33.3353,0,0,0,0.878332,0.527667,0,0.921503,201.991,295.3,826.118,0,115.89,0,9.39986,0.066073,0,0,8.76743,0,0,0.0073914,24.363,40.0843,18.2454,3.45877,0,0,2.77147,74.4616,0,6.08711,0,0,380.393,6.64015,0.133478,0.48271,49.5137,74.2639,21.8704,0.0173316,0,0,0.260888,0,0,0.0223802,30.4536,571.858,1636,0,478.584,0,132.341,0.155808,0,0,0,0,0.114649,0,0,0,8.17016,0.0163748,0,0,41.1722,34.0741,133.398,0,0,5.34058,0,0,0,0,42.8377,23.2545,41.655,0,0,9.4634,
0.005,10.394,2.15767,1.50687,0,8.36405,43.6456,0,0,0,0,0,0,1.91474,16.3347,83.5537,69.4561,32.9171,0,0,0,0.897895,0.535969,0,0.973365,203.829,295.828,826.764,0,121.373,0,11.5802,0.0322626,0,0,11.173,0,0,0.000922333,24.7611,40.2749,18.8736,3.88959,0,0,3.28587,74.8524,0,8.21256,0,0,380.543,6.84971,0.101559,0.397997,51.882,76.8097,26.3087,0.0186388,0,0,0.264639,0,0,0.0291985,31.6593,572.274,1638.82,0,492.975,0,132.655,0.114147,0,0,0,0,0.121667,0,0,0,8.11427,0.0168574,0,0,41.1202,33.7893,133.756,0,0.0518912,5.9606,0,0,0,0,43.3507,24.3515,41.6274,0,0,9.84436,
0.01,9.92365,1.84264,1.09408,0,7.72919,43.2652,0,0.167419,0,0.0484494,0.214652,0.110392,1.8393,15.3144,91.4525,66.0167,31.4615,0.45941,0.085714,0,1.04284,0.914384,0.385821,0.891964,203.872,294.353,825.033,0.539463,120.523,0,13.2743,0,0,0,13.23,0.195506,1.15579,0,21.6558,37.3619,19.4518,4.50319,0.246972,0,3.9423,75.7859,0,9.93743,0,0,380.718,7.00573,0.0826746,0.338648,50.1907,74.3815,28.4684,0,0,0,0.0446477,0,0,0.0525196,31.5389,572.822,1641.04,0,484.2,0,131.136,0.0816827,0,0,0,0,0.131246,0,0,0,8.57055,0.0235407,0,0,41.1531,33.9705,133.988,0,0.050536,5.72775,0,0,0,0,44.5075,25.1686,42.2812,0,0,9.86411,
0.015,9.91326,1.67523,1.07998,0,7.85787,44.3951,0,0.00736372,0,0.00184514,0.00287157,0.00198795,1.76867,14.6923,94.5728,62.9724,31.2783,0.0253183,0.00693529,0,1.06732,1.12028,0.0580804,0.84246,202.784,293.712,824.491,0.0172529,117.97,0,14.2539,0,0,0,14.5458,0.0195953,0.0162341,0,19.962,35.7284,19.3809,4.58006,0.0520898,0,3.99084,75.148,0,11.1932,0,0,380.702,7.07525,0.065204,0.287149,47.5935,71.1946,28.4673,0,0,0,0.0663435,0,0,0.0780204,31.6504,569.476,1642.18,0,468.759,0,129.734,0.0517964,0,0,0,0,0.140556,0,0,0,8.87379,0.0285774,0,0,40.6932,33.5676,133.56,0,0.0471812,5.62229,0.0556884,0,0,0,44.3065,24.6982,42.1475,0,0,9.6726,
0.02,9.08505,1.58321,1.12897,0,8.33916,43.77,0,0.012716,0,0.00342782,0.00581181,0.00390146,1.70735,14.4092,94.1727,60.8995,31.4093,0.0491327,0.0128388,0,1.04987,1.13273,0.130163,0.80875,200.472,293.828,823.185,0.0317184,115.114,0,14.8106,0,0,0,15.2146,0.0346979,0.0329522,0,19.1101,35.0443,18.5726,4.43033,0.100994,0,3.8564,74.9977,0,11.9857,0,0,380.758,7.11589,0.049913,0.241067,45.87,69.6288,27.5438,0,0,0,0.0659383,0,0,0.0998493,31.34,567.959,1640.62,0,455.7,0,128.432,0.024474,0,0,0,0,0.150241,0,0,0,9.1659,0.0287603,0,0,41.4053,34.4075,134.583,0,0.0419092,5.05636,0.0931157,0,0,0,43.8758,24.6453,42.0229,0,0,9.41191,
0.025,8.53248,1.53992,1.15876,0,8.75515,43.7772,0,0.0195303,0,0.00467963,0.00840264,0.00537406,1.69053,14.3722,91.4585,59.7972,31.6,0.0752976,0.0183012,0,1.02531,1.11517,0.219956,0.788338,198.319,293.574,821.776,0.045162,113.807,0,15.0472,0,0,0,15.4158,0.0472094,0.0480356,0,19.0085,35.024,17.9661,4.21423,0.149427,0,3.66175,75.2231,0,12.3824,0,0,380.838,7.14251,0.0349557,0.198334,45.2974,69.6744,26.2993,0,0,0,0.0270472,0,0,0.114681,31.3148,567.312,1639.25,0,447.109,0,127.263,0,0,0,0,0,0.159125,0,0,0,9.22562,0.027862,0,0,42.0909,35.0129,135.335,0,0.0365298,4.88019,0.0994954,0,0,0,43.5179,24.5096,41.9095,0,0,9.21731,
0.03,8.13834,1.50995,1.17409,0,9.05843,47.0215,0,0.0245412,0,0.00567254,0.0107684,0.00656902,1.67842,14.5206,87.5683,59.2091,31.7326,0.104287,0.0237897,0,1.00183,1.11487,0.309149,0.786899,196.52,294.346,819.958,0.0582977,117.407,0,15.0625,0,0,0,15.2465,0.0573694,0.0625323,0,19.0816,35.2251,17.7998,4.03837,0.188407,0,3.46144,76.5055,0,12.4725,0,0,380.892,7.17066,0.0195449,0.16194,45.6065,71.0919,25.0274,0,0,0,0.00333219,0,0,0.122282,32.34,567.805,1638.89,0,443.242,0,126.23,0,0,0,0,0,0.167917,0,0,0,9.18963,0.0264559,0,0,42.9471,35.8748,136.337,0,0.029297,4.85572,0.0946771,0,0,0,43.9526,25.2001,42.2507,0,0,9.17397,
0.035,8.26565,1.49273,1.1761,0,9.15232,49.3811,0,0.0285886,0,0.00627452,0.0128755,0.007284,1.68405,14.7786,83.102,58.9548,31.8193,0.135414,0.0288958,0,0.97791,1.09076,0.378696,0.799533,195.795,294.498,818.493,0.0696521,123.296,0,14.9142,0,0,0,14.8551,0.0639879,0.0756098,0,19.3429,35.5557,18.1524,3.94859,0.213,0,3.26492,77.6326,0,12.3358,0,0,380.908,7.2027,0.00581558,0.125754,46.4214,72.9111,23.8765,0,0,0,0,0,0,0.123859,33.8177,568.671,1639.43,0,442.436,0,125.335,0,0,0,0,0,0.176435,0,0,0,8.92554,0.0249678,0,0,43.317,36.0932,136.815,0,0.0217144,5.11901,0.0834805,0,0,0,44.0273,25.174,42.3358,0,0,9.2317,
0.04,8.586,1.48726,1.17346,0,9.16678,50.5552,0,0.0311621,0,0.0065248,0.0146173,0.00760289,1.70317,15.0537,78.5108,58.766,31.8385,0.167487,0.0338024,0,0.950485,1.0577,0.423468,0.820139,195.827,294.32,817.732,0.0787838,128.137,0,14.6554,0,0,0,14.3538,0.0668794,0.0873132,0,19.7466,35.9954,18.5491,3.92356,0.22439,0,3.08235,78.4068,0,12.0474,0,0,380.911,7.2371,0,0.0931429,47.4219,74.8485,22.9166,0,0,0,0,0,0,0.121047,34.9655,569.275,1639.58,0,443.061,0,124.568,0,0,0,0,0,0.184814,0,0,0,8.81587,0.0238833,0,0,43.5443,36.218,137.155,0,0.0152564,5.30283,0.0703823,0,0,0,44.0113,25.1846,42.3001,0,0,9.34133,
0.045,9.04316,1.45891,1.01748,0,8.19118,46.1108,0,0.0293598,0,0.00648278,0.0161061,0.00760135,1.65128,15.0584,74.1403,58.8032,32.0223,0.202537,0.0390349,0,0.895468,0.928101,0.450274,0.804762,195.965,290.915,814.041,0.0861899,131.962,0,14.3298,0,0,0,13.8619,0.0670536,0.0977139,0,20.766,37.051,17.9766,3.83622,0.227132,0,2.92528,76.5029,0,11.6926,0,0,380.532,7.20082,0,0.0635313,48.7868,77.2758,22.1984,0,0,0,0,0,0,0.117696,35.1073,564.374,1629.81,0,441.464,0,123.711,0,0,0,0,0,0.193531,0,0,0,7.23152,0.0190715,0,0,40.5638,33.1728,134.686,0,0.00663565,5.73746,0.0603455,0,0,0,39.7679,21.3841,39.4718,0,0,9.60492,
