time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
-0,2.8026e-45,0.0270563,1.00403e-06,2.8026e-45,0.0478589,0.0618503,0.0983137,0.133502,
0.005,2.8026e-45,0.0270563,1.00403e-06,2.8026e-45,0.0478589,0.0618503,0.0983137,0.133502,
0.01,2.8026e-45,0.0270563,1.00403e-06,2.8026e-45,0.0478589,0.0618503,0.0983137,0.133502,
0.015,2.8026e-45,0.0270563,1.00403e-06,2.8026e-45,0.0478589,0.0618503,0.0983137,0.133502,
0.02,4.2039e-45,0.0290093,2.02623e-06,2.8026e-45,0.0495719,0.0653041,0.0943675,0.13243,
0.025,4.2039e-45,0.0307571,4.40956e-06,4.2039e-45,0.051034,0.068072,0.0909984,0.13017,
0.03,5.60519e-45,0.0322527,7.73244e-06,5.60519e-45,0.0524241,0.070188,0.0881981,0.12689,
0.035,7.00649e-45,0.0334431,8.2539e-06,8.40779e-45,0.0539209,0.0716678,0.0859447,0.122845,
0.04,8.40779e-45,0.0342586,4.09193e-06,1.12104e-44,0.0556419,0.0725362,0.084222,0.11838,
0.045,1.96182e-44,0.0364135,5.57251e-07,3.50127e-24,0.0595457,0.0759277,0.0793513,0.112427,
0.05,6.14416e-34,0.0370776,2.2974e-08,0.00255995,0.0628823,0.077515,0.0754206,0.104955,
0.055,1.82868e-09,0.0369659,2.48257e-11,0.0044935,0.0664238,0.077588,0.0730574,0.0972361,
0.06,0.00655273,0.037332,3.6277e-12,0.00501419,0.0669267,0.0746514,0.0706921,0.0887745,
0.065,0.00905687,0.0362821,4.19983e-15,0.00561449,0.0692769,0.0718388,0.0701038,0.0826239,
0.07,0.0113387,0.03465,6.91878e-24,0.00581937,0.0714101,0.0684801,0.0701044,0.0790587,
0.075,0.0131978,0.03256,1.84866e-36,0.00572485,0.0730865,0.0649426,0.0703618,0.0789786,
0.08,0.0144225,0.0301923,1.4013e-44,0.00543226,0.0739903,0.0615795,0.0706075,0.0831327,
0.085,0.0148509,0.0277402,1.26117e-44,0.00504335,0.0737808,0.0587322,0.0706293,0.0920269,
0.09,0.0144017,0.0254201,1.26117e-44,0.00465182,0.0721639,0.0566974,0.0702214,0.105887,
0.095,0.0130168,0.0234137,1.54143e-44,0.00432031,0.0690033,0.0557114,0.0692383,0.12459,
0.1,0.0106767,0.0218363,1.13871e-25,0.00406056,0.0643627,0.0559082,0.0676214,0.147581,
0.105,0.00741902,0.0207254,7.59322e-08,0.00385464,0.0584706,0.0572614,0.0654323,0.173808,
0.11,0.00518284,0.021508,0.00503573,0.00355731,0.045412,0.0587318,0.0568551,0.201943,
0.115,0.00395414,0.0240106,0.0145611,0.00319799,0.0263815,0.0600655,0.0428808,0.23005,
0.12,1.26117e-44,0.0282897,0.0275041,0.00357051,1.26117e-44,0.0623955,0.0260603,0.256759,
0.125,5.60519e-45,0.0281223,0.0285877,0.00240241,7.00649e-45,0.0631113,0.0217195,0.276353,
0.13,4.2039e-45,0.0284966,0.0366333,0.00182545,4.2039e-45,0.0623566,5.60519e-45,0.291157,
0.135,2.8026e-45,0.0294609,0.0365721,0.000987537,4.2039e-45,0.0624463,4.2039e-45,0.296904,
0.14,2.8026e-45,0.0309054,0.0367361,0.000456595,2.8026e-45,0.0619286,4.2039e-45,0.29492,
0.145,2.8026e-45,0.0327864,0.0370617,0.000236774,2.8026e-45,0.0608,4.2039e-45,0.285262,
0.15,2.8026e-45,0.0350844,0.0374544,0.000272364,2.8026e-45,0.0591463,2.03179e-38,0.268566,
0.155,4.2039e-45,0.0377618,0.027725,0.000178109,4.2039e-45,0.0587933,0.0261254,0.243803,
0.16,9.80909e-45,0.0407637,0.0257927,0.000795761,4.2039e-45,0.0571331,0.0318466,0.216627,
0.165,0.00762071,0.0446431,0.0241827,0.000714885,7.00649e-45,0.0534808,0.0357364,0.185784,
0.17,0.0157875,0.0488096,0.0224612,0.000870067,2.55867e-12,0.0505725,0.0397813,0.155139,
0.175,0.0171077,0.0469244,0.00709671,0.00142139,0.0280851,0.051015,0.0601349,0.126792,
0.18,0.0217717,0.0485294,1.02497e-06,0.00223983,0.0419755,0.0521404,0.0706636,0.103548,
0.185,0.0281161,0.0527418,2.94375e-40,0.0033841,0.0465008,0.0546106,0.0727989,0.086773,
0.19,0.0332536,0.0580205,1.12104e-44,0.00513058,0.0499723,0.0599922,0.0749692,0.0768536,
0.195,0.0368684,0.0648523,9.80909e-45,0.00757896,0.0519874,0.0684926,0.0770909,0.0739175,
0.2,0.0387552,0.0736767,8.40779e-45,0.0108159,0.052305,0.080072,0.0790732,0.0776434,
0.205,0.038838,0.0848782,8.40779e-45,0.0149025,0.050809,0.0943852,0.0808494,0.0873553,
0.21,0.0371892,0.0987603,9.80909e-45,0.0198543,0.0475337,0.11069,0.0823814,0.102048,
0.215,0.0340426,0.115416,1.26117e-44,0.0256372,0.0426475,0.127872,0.0836098,0.120364,
0.22,0.0297926,0.134622,1.55947e-26,0.0321549,0.0364494,0.144581,0.0844485,0.140684,
0.225,0.0249854,0.155797,2.07298e-12,0.0391518,0.0293398,0.159485,0.0847478,0.161384,
0.23,0.0254451,0.182897,0.00795768,0.0462368,1.24097e-11,0.170311,0.0747862,0.181174,
0.235,0.0194182,0.203184,0.00685055,0.0526856,4.80813e-35,0.178401,0.0749774,0.198706,
0.24,0.0143938,0.222276,0.00592447,0.0580898,2.10195e-44,0.182063,0.0742942,0.213105,
0.245,1.30167e-06,0.238556,0.00425442,0.063901,1.4013e-44,0.184588,0.0765471,0.225594,
0.25,2.72971e-16,0.253481,0.00401434,0.0661001,1.26117e-44,0.178731,0.0745398,0.23072,
0.255,4.60869e-19,0.265186,0.00388265,0.0670871,1.4013e-44,0.169665,0.0734221,0.231114,
0.26,9.23432e-16,0.272895,0.00389989,0.066916,1.68156e-44,0.158311,0.0734373,0.227123,
0.265,4.74097e-07,0.27581,0.00412301,0.0656535,3.22299e-44,0.145832,0.0746136,0.219678,
0.27,0.0154915,0.274834,0.00606696,0.0608048,1.60735e-27,0.128491,0.0717011,0.20704,
0.275,0.0189773,0.267873,0.00729885,0.0570744,2.25086e-10,0.115964,0.0733604,0.19614,
0.28,0.0164681,0.251688,5.44758e-09,0.0528019,0.0232355,0.106393,0.0861698,0.185714,
0.285,0.0172718,0.236635,9.13355e-21,0.0485215,0.0300545,0.0979487,0.0908867,0.17711,
0.29,0.0171512,0.220489,1.8689e-28,0.0448558,0.0364541,0.0916993,0.0958787,0.170875,
0.295,0.0161383,0.204479,1.1646e-30,0.0422819,0.0419433,0.087408,0.100669,0.16757,
0.3,0.0144352,0.189749,3.5337e-29,0.0411282,0.0461119,0.0846742,0.104722,0.167434,
0.305,0.00675942,0.176266,1.85612e-25,0.0424381,0.0519393,0.0845083,0.108686,0.17126,
0.31,4.98681e-10,0.167283,7.01779e-19,0.0452517,0.0542822,0.0846133,0.110925,0.176914,
0.315,3.17769e-13,0.164667,1.55926e-13,0.0489908,0.0523581,0.0831832,0.110271,0.182337,
0.32,4.57583e-09,0.168602,6.72946e-10,0.0544891,0.049017,0.0818049,0.108283,0.18756,
0.325,0.0103498,0.181546,5.57613e-07,0.0601595,0.0397106,0.0777785,0.10325,0.189326,
0.33,0.0148318,0.200939,0.00351961,0.0679729,0.0287665,0.0753497,0.0949681,0.190213,
0.335,0.0250802,0.229736,0.0138825,0.0760911,0.00169585,0.072004,0.0781359,0.187886,
0.34,0.0294542,0.256864,1.09436e-09,0.0844091,2.43185e-15,0.07315,0.0904011,0.181028,
