time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
-0,0.0796941,0.0748295,0.0863527,0.0387697,0.0497025,0.120524,0.0751181,0.154736,
0.005,0.0239967,0.0244352,0.0399541,0,0.0210228,0.0876893,0.0665015,0.119975,
0.01,0.0287001,0.0232234,0.0460693,0,0.0156546,0.0975082,0.0265557,0.109796,
0.015,0.0281445,0.0231902,0.0464825,0,0.0165968,0.0981595,0.0581172,0.112215,
0.02,0.0324224,0.0246329,0.0459719,0,0.0343926,0.10101,0.032896,0.115983,
0.025,0.0290244,0.0305804,0.0397873,0,0.0323918,0.097549,0.0517583,0.118969,
0.03,0.0359126,0.0387458,0.0429987,0,0.0125548,0.101759,0.0545369,0.124282,
0.035,0.0453499,0.0476392,0.0502426,0,0.0270792,0.107785,0.0203985,0.128925,
0.04,0.0463016,0.0466504,0.0471318,0,0.0301628,0.106401,0.0432571,0.122055,
0.045,0.0520422,0.0511499,0.0462325,0,0.00331654,0.110932,0.0526107,0.118442,
0.05,0.0359855,0.0470062,0.0383584,0,0.0280234,0.114638,0.0556835,0.114935,
0.055,0.0336126,0.0447422,0.033142,0,0.0432258,0.107056,0.0485695,0.109373,
0.06,0.0245862,0.039414,0.0355222,0,0.0408486,0.107447,0.0352389,0.104597,
0.065,0.0463733,0.0462566,0.0417551,0,0.000245314,0.111481,0.0398936,0.103142,
0.07,0.0542953,0.0447881,0.043175,0,0.00616797,0.113275,0.042065,0.0983131,
0.075,0.0486125,0.0385769,0.0421621,0,0.0343813,0.10896,0.0392197,0.0959036,
0.08,0.0616728,0.0311171,0.0435509,0,0.0326972,0.0986219,0.0474411,0.0953065,
0.085,0.0531273,0.0314873,0.0404295,0,0.0319251,0.100963,0.0480251,0.102432,
0.09,0.0546111,0.0307711,0.0430309,9.79429e-05,0.0231082,0.101424,0.0485199,0.115289,
0.095,0.0577171,0.0301544,0.0436694,0.000269746,0.0204174,0.102901,0.0515777,0.131524,
0.1,0.0622832,0.0266019,0.0457931,0.00985877,0.0296703,0.103415,0.00286177,0.150463,
0.105,0.00988622,0.0248902,0.0470507,0.0117482,0.0085925,0.108369,0.0576824,0.189206,
0.11,0.0229026,0.0137875,0.0235663,0.0100045,0.0275793,0.103954,0.082633,0.212778,
0.115,0.00165878,0.00849761,0.00452872,0,0.0178944,0.106831,0.0911149,0.248085,
0.12,0,0,0,0.0089704,0.0410488,0.0928446,0.0756719,0.263387,
0.125,0,0,0.000918225,0.000338267,0.0232814,0.0805987,0.0775319,0.272611,
0.13,0,0.00260344,0,0.00105173,0.0154736,0.0812489,0.075992,0.288577,
0.135,0,0.00636532,0,0,0.0103822,0.083643,0.0758121,0.295631,
0.14,0,0.0074127,0,0,0.00713305,0.0859006,0.0767735,0.297055,
0.145,0,0.0243393,0,0,0.0013436,0.0832307,0.0737798,0.278724,
0.15,0,0.0233317,0,0,0,0.0817672,0.0736083,0.262576,
0.155,0,0.0315273,0.00106662,0,0.00533335,0.0844718,0.0720331,0.244206,
0.16,0.00454698,0.0172976,0.0171394,0.0047309,0.0098603,0.0890535,0.0493717,0.215093,
0.165,0.0164427,0.023543,0.0180927,0.000365351,0.014471,0.0953888,0.0613061,0.200203,
0.17,0.0825599,0.0291946,0.0120993,0,0.0102634,0.0752094,0.0713607,0.163523,
0.175,0.0494338,0.0377487,0.0164198,0,0.0186561,0.0840623,0.0719981,0.15023,
0.18,0.0638242,0.0560344,0.0376599,0,0,0.0868055,0.0487104,0.126803,
0.185,0.0618785,0.0556031,0.0359717,0,0.00724889,0.0939027,0.0568834,0.110408,
0.19,0.0736564,0.0634468,0.0348032,0,0.00886497,0.0981155,0.0516622,0.0980421,
0.195,0.0764613,0.0768251,0.0353866,0,0.00203267,0.108552,0.0410362,0.0987926,
0.2,0.080076,0.0888213,0.0340538,0.00171436,0,0.119907,0.0402588,0.104017,
0.205,0.0686915,0.0941666,0.0231239,0,0.019767,0.125558,0.0521312,0.107842,
0.21,0.0536589,0.102203,0.0102117,0.0115117,0.00331156,0.136758,0.0675076,0.117227,
0.215,0.0404584,0.114384,0.00357812,0.0261947,0,0.149982,0.0577577,0.133916,
0.22,0.0358835,0.135423,0,0.0296593,0,0.164616,0.0547397,0.160518,
0.225,0.0248424,0.149936,0,0.0371783,0.0159573,0.162,0.0561982,0.166543,
0.23,0.00592875,0.170345,0.0128751,0.0366821,0.0200902,0.164502,0.0423434,0.18878,
0.235,0.0357564,0.180889,0.0112043,0.0329898,0.00996212,0.164682,0.0347063,0.193784,
0.24,0.0376974,0.199035,0.0105086,0.0353636,0.00464181,0.165295,0.0305037,0.203772,
0.245,0.0182036,0.218361,0.015049,0.0402799,0.009748,0.165464,0.0277769,0.212082,
0.25,0.014379,0.23517,0.0163631,0.0427529,0.0141124,0.162972,0.0329143,0.21626,
0.255,0.0166444,0.248367,0.0166046,0.0438655,0.0206219,0.158195,0.0325189,0.21586,
0.26,0.00607582,0.257517,0.0162467,0.0444052,0.0272543,0.150733,0.0365769,0.211935,
0.265,0.00599272,0.261341,0.0154681,0.0435798,0.0321696,0.140316,0.042926,0.20432,
0.27,0.0367702,0.256544,0.0171639,0.0384212,0.0357128,0.131596,0.0398804,0.192624,
0.275,0.0288794,0.24792,0.0158151,0.0340508,0.0399326,0.120473,0.0461662,0.180895,
0.28,0.0232422,0.245472,0,0.0419914,0.0285592,0.116303,0.0551465,0.186653,
0.285,0.0135457,0.232286,0.00515319,0.0341968,0.0565627,0.114119,0.05053,0.176069,
0.29,0.00500165,0.215741,0.00836667,0.0323085,0.0196473,0.110279,0.100341,0.167394,
0.295,0.000993797,0.197551,0.0107698,0.0291788,0.0274747,0.10237,0.0971153,0.161997,
0.3,0.00234593,0.182341,0.0167337,0.0262882,0.0121131,0.100527,0.103643,0.159732,
0.305,0.019941,0.161125,0.0155602,0.0207053,0.0234304,0.0995779,0.0909446,0.151231,
0.31,0.00538881,0.159454,0.020271,0.0258237,0.00296662,0.0977615,0.0932717,0.165884,
0.315,0,0.145363,0.0178626,0.0267114,0.0392063,0.0864278,0.0966459,0.16498,
0.32,0,0.156458,0.0224135,0.0353092,0.0227298,0.0858809,0.0761795,0.176873,
0.325,0,0.169419,0.0180803,0.0443017,0.0194177,0.0793961,0.0917101,0.183847,
0.33,0.0178764,0.175119,0.00717202,0.0421472,0.0516872,0.0730098,0.0518434,0.169476,
0.335,0,0.204196,0.0224452,0.0552439,0.0125507,0.0641366,0.050156,0.162912,
0.34,0.00927737,0.238558,0.00307685,0.0715736,0.0123984,0.0631451,0.0159924,0.168841,
0.345,0.0324294,0.265748,0,0.0779225,0.00430239,0.0590623,0.0376991,0.152654,
0.35,0,0.298108,0,0.086118,0,0.0582187,0.0402146,0.14338,
0.355,0.0208776,0.320094,0,0.091147,0,0.0585113,0.0385053,0.133623,
0.36,0.00407429,0.338956,0.00226427,0.0928103,0,0.0587159,0.0407766,0.129818,
0.365,0.00638196,0.349423,0.0028065,0.0907009,0,0.0604415,0.0426899,0.127261,
0.37,0.0153611,0.353126,0.00409378,0.0856592,0,0.0641967,0.026698,0.132662,
0.375,0.0264964,0.34723,0.0035447,0.0786399,0.00044325,0.0676997,0.0282094,0.143933,
0.38,0.0281061,0.328493,0.00110782,0.0649264,0,0.0723551,0.0711614,0.156836,
0.385,0.0345696,0.304714,0,0.0533469,0.00239352,0.0794698,0.0644351,0.181097,
0.39,0.0362375,0.270429,0.0263704,0.0422365,0,0.0925755,0.017574,0.20495,
0.395,0.0363085,0.235674,0.0311324,0.0263355,0,0.100037,0.0511668,0.233577,
0.4,0.0395872,0.208391,0.03312,0.0152333,0.0017385,0.112082,0.0140654,0.266937,
0.405,0.0381009,0.176256,0.0147446,0.0222071,0.00278587,0.115243,0.0348231,0.292791,
0.41,0.033715,0.142804,0.00850869,0.0244101,0.011409,0.121808,0.0450255,0.303996,
0.415,0.0365197,0.117276,0.000782848,0.0206794,0.0144322,0.123133,0.0555701,0.308943,
0.42,0.0229574,0.099372,0,0.0141376,0.0221505,0.128476,0.0517757,0.320199,
0.425,0.0142403,0.0793348,0,0.0213722,0.0191345,0.12268,0.0628974,0.302108,
0.43,0.0142456,0.0682139,0,0.0279512,0.0136992,0.11477,0.0637265,0.282674,
0.435,0.0312189,0.0768797,0,0.00291269,0.0113699,0.107266,0.0600239,0.269002,
0.44,0.0399071,0.075282,0.00081969,0.0215102,0.00977157,0.10124,0.0529317,0.242523,
0.445,0.0462105,0.064627,0.0273104,0.0136161,0.0103922,0.104482,0.0524016,0.204248,
0.45,0.0023953,0.074627,0.00712193,0.0196173,0.0461672,0.0976057,0,0.19406,
0.455,0.00314958,0.0800696,0.00545346,0.02332,0.0398241,0.0986485,0.0113421,0.171478,
0.46,0.00247623,0.0850297,0.00487852,0.0264142,0.0486368,0.0986666,0,0.156559,
0.465,0.028066,0.0905963,0.00337105,0.0289753,0.0140662,0.100444,0.0291733,0.141955,
0.47,0.0304072,0.101187,0.00688228,0.0354947,0,0.108155,0.0397019,0.139591,
0.475,0.0521342,0.112955,0.005989,0.0319895,0,0.102514,0.0399261,0.135999,
0.48,0.0466481,0.108762,0.00843675,0.0419674,0,0.108779,0.0402918,0.136146,
0.485,0.0553572,0.117542,0.0172155,0.0251775,0,0.11496,0.0393084,0.155896,
0.49,0.0418769,0.102142,0.0108514,0.0102072,0.0330141,0.110744,0.0261325,0.159208,
0.495,0.03131,0.0910601,0.00313482,0.00225207,0.0342665,0.106532,0.0417503,0.166723,
0.5,0.0347147,0.0732043,0.00755539,0.0286656,0.00734475,0.109522,0,0.182856,
0.505,0.0225318,0.0642749,0.00686045,0.0120586,0.00114539,0.117806,0.0316163,0.216882,
0.51,0.00668941,0.056615,0.00753301,0.0162788,0,0.118524,0.042705,0.233077,
0.515,0,0.0477841,0.00100728,0.0174611,0.00922005,0.11536,0.0495606,0.241795,
0.52,0.00363665,0.0392209,0.0142075,0.0122493,0.0191606,0.121737,0,0.24776,
0.525,0.0102378,0.0288765,0.00545606,0.00329756,0.0203473,0.110324,0.0531707,0.236705,
0.53,0.00806107,0.0179484,0.00206151,0.0137706,0.0116766,0.101011,0.0611794,0.225991,
0.535,0.00977657,0.0193533,0,0.0221422,0,0.100794,0.0725769,0.227974,
0.54,0.0092505,0.0152822,0.0197258,0.0226145,0,0.095638,0.0691974,0.214572,
0.545,0.0110986,0.0117753,0.0304403,0.0192986,0,0.0907587,0.0604792,0.199209,
0.55,0.0130394,0.00593675,0.0285321,0.0121475,0.0103652,0.0762004,0.0678707,0.178754,
0.555,0.0106334,0.00490936,0.031352,0,0.0246736,0.0649026,0.0573267,0.162585,
0.56,0.023566,0.0184162,0.0563237,0.00759629,0.00668773,0.0636325,0.00405099,0.160335,
0.565,0.0150882,0.0212519,0.0557769,0.0135739,0,0.0702587,0.058291,0.149942,
0.57,0,0.0273491,0.0573849,0.0131759,0,0.0753174,0.0571773,0.146559,
0.575,0.0517999,0.0335083,0.0637053,0,0,0.0722074,0.0291182,0.133103,
0.58,0.0710196,0.0215582,0.0446418,0,0.041827,0.0515708,0.0392078,0.0984202,
0.585,0.0963474,0.0318135,0.0348502,0,0.00953224,0.0455513,0.0487147,0.0655036,
0.59,0.105068,0.0345049,0.0442574,0,0,0.0555791,0.00652583,0.0833151,
0.595,0.119724,0.053418,0.0454636,0,0,0.0637265,0.0134248,0.0542865,
0.6,0.11522,0.0421194,0.0302925,0,0.00426244,0.0577273,0.0474117,0.0665234,
