time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.107206,0.0256975,0.124373,0.0439464,0.0763923,0.251301,0.361188,0.361188,0.40275,0.393225,0.0747786,0.0261832,0.011858,0.0113745,0.204708,0.204708,0.204708,0.0146258,0.00349989,0.0867382,0.0610436,0.040045,0.0479893,0.08057,0.0867978,0.130948,0.0994808,0.0971504,0.158351,0.043673,0.043673,0.361188,0.361188,0.00562128,0.043673,0.385668,0.015426,0.0787763,0.24068,0.24068,0.0318135,0.0165791,0.0510891,0.0795215,0.0241814,0.0590419,0.050567,0.050567,0.0691871,0.151067,0.0884047,0.107139,0.0868506,0.0719573,0.109071,0.109071,0.109071,0.140718,0.0328798,0.0266369,0.244138,0.0636895,0.0908811,0.031906,0.0272857,0.109325,0.111323,0.0767296,0.0283742,0.006021,0.006021,0.050567,0.050567,0.0607917,0.006021,0.0672436,0.0520152,0.0938717,0.014109,0.014109,
0.18,0.118736,0.0261911,0.12862,0.0283852,0.0865767,0.272026,0.361188,0.361188,0.439291,0.416693,0.0536604,0.0138999,0.00936893,0.0114051,0.204708,0.204708,0.204708,0.00390271,0.00223579,0.0906448,0.0189345,0.0111513,0.0130222,0.0876172,0.0326961,0.083391,0.0824265,0.0796679,0.106103,0.043673,0.043673,0.361188,0.361188,0.00668547,0.043673,0.428442,0.00971383,0.0576423,0.24068,0.24068,0.0140253,0.00422891,0.0376124,0.0768966,0.00654586,0.0190802,0.050567,0.050567,0.0667546,0.0906646,0.0767094,0.0897022,0.0835195,0.0613707,0.109071,0.109071,0.109071,0.150296,0.0263159,0.0263143,0.27548,0.045827,0.0705033,0.0129695,0.0339111,0.0904049,0.0962425,0.0801216,0.0291819,0.006021,0.006021,0.050567,0.050567,0.0532492,0.006021,0.0537606,0.0306427,0.0776052,0.014109,0.014109,
0.185,0.129652,0.0266816,0.142101,0.0288319,0.0970212,0.291663,0.361188,0.361188,0.476553,0.450838,0.0481984,0.00796582,0.00428165,0.00752902,0.204708,0.204708,0.204708,0.00107005,0.000312385,0.0959102,0.00350363,0.00254913,0.00262582,0.09323,0.0107708,0.074957,0.0835099,0.0809103,0.0872028,0.043673,0.043673,0.361188,0.361188,0.00397229,0.043673,0.473752,0.0047835,0.0562434,0.24068,0.24068,0.00854381,0.00046139,0.035351,0.0804005,0.00251238,0.00763135,0.050567,0.050567,0.0698264,0.0732947,0.0774246,0.0904248,0.0876062,0.0642628,0.109071,0.109071,0.109071,0.161468,0.0258381,0.0267687,0.30744,0.0422917,0.0686735,0.0101614,0.051536,0.0917316,0.0978633,0.0857849,0.0448714,0.006021,0.006021,0.050567,0.050567,0.0533649,0.006021,0.0549668,0.0250282,0.0771925,0.014109,0.014109,
0.19,0.136403,0.0285956,0.152316,0.0339026,0.103558,0.303044,0.361188,0.361188,0.496358,0.473569,0.0545666,0.0103816,0.00525736,0.00851269,0.204708,0.204708,0.204708,0.00183207,0.00040356,0.0985517,0.00522431,0.00338854,0.00302044,0.0961199,0.0163643,0.0835183,0.0911664,0.0853563,0.0943666,0.043673,0.043673,0.361188,0.361188,0.00678881,0.043673,0.501037,0.00677669,0.0616843,0.24068,0.24068,0.01268,0.000767292,0.0384194,0.0839279,0.00291962,0.00937067,0.050567,0.050567,0.0750724,0.0815121,0.0831885,0.0974638,0.0937428,0.0704963,0.109071,0.109071,0.109071,0.167744,0.0270626,0.0275507,0.328184,0.0442179,0.0747787,0.0130928,0.0782687,0.099511,0.10427,0.0925999,0.068185,0.006021,0.006021,0.050567,0.050567,0.0569296,0.006021,0.0601985,0.0272076,0.0824231,0.014109,0.014109,
0.195,0.136337,0.029399,0.159556,0.0421812,0.108126,0.291768,0.337875,0.337875,0.482218,0.469876,0.0597107,0.0119127,0.00416803,0.00747632,0.224781,0.224781,0.224781,0.00190509,0.000131652,0.0923655,0.00345009,0.00200293,0.000778601,0.0904587,0.023931,0.0880526,0.0957697,0.0843316,0.0945454,0.047377,0.047377,0.337875,0.337875,0.0111985,0.047377,0.508915,0.00815796,0.0657506,0.241121,0.241121,0.0207148,0.000534096,0.0398454,0.0811131,0.0020504,0.00849704,0.043508,0.043508,0.0784941,0.0856907,0.0860744,0.101092,0.0969642,0.0769596,0.111162,0.111162,0.111162,0.161164,0.0259149,0.0255658,0.341887,0.0412087,0.0786246,0.0179106,0.144556,0.105159,0.105657,0.0990291,0.125064,0.006303,0.006303,0.043508,0.043508,0.0576095,0.006303,0.0645231,0.0270738,0.0841001,0.013957,0.013957,
0.2,0.13775,0.0307396,0.168559,0.051694,0.113453,0.284459,0.312574,0.312574,0.474209,0.472495,0.0675475,0.0149422,0.00408985,0.0073209,0.246741,0.246741,0.246741,0.00286722,2.32145e-05,0.0875209,0.00485877,0.0031935,0.00119705,0.0863521,0.0353175,0.0971209,0.103265,0.0858624,0.0998089,0.050803,0.050803,0.312574,0.312574,0.0162405,0.050803,0.522001,0.0106784,0.0719976,0.240264,0.240264,0.029123,0.000379621,0.0425527,0.0800153,0.00201668,0.00985803,0.039187,0.039187,0.0831043,0.0946638,0.0909954,0.107407,0.101768,0.0850546,0.112905,0.112905,0.112905,0.15701,0.0257982,0.0242912,0.35853,0.0401513,0.0849043,0.0234266,0.208964,0.113407,0.109533,0.106439,0.180735,0.006968,0.006968,0.039187,0.039187,0.0597356,0.006968,0.0704873,0.0288306,0.0882097,0.013706,0.013706,
0.205,0.13156,0.0298223,0.166295,0.0552698,0.111448,0.264007,0.286684,0.286684,0.443957,0.449429,0.0688694,0.0160737,0.00367441,0.00669401,0.268786,0.268786,0.268786,0.00326714,5.76023e-05,0.0796376,0.00387769,0.00348741,0.00103551,0.0788753,0.0381411,0.0970627,0.102991,0.0820848,0.0944979,0.053707,0.053707,0.286684,0.286684,0.0190141,0.053707,0.504588,0.0119139,0.0718416,0.238307,0.238307,0.0322311,7.58957e-06,0.0414338,0.0748539,0.00154035,0.00866734,0.036927,0.036927,0.0815751,0.0924713,0.0889541,0.105313,0.0993182,0.0858753,0.114452,0.114452,0.114452,0.145902,0.0242279,0.022108,0.352036,0.0364911,0.0838545,0.0256878,0.24319,0.112317,0.105671,0.105606,0.21077,0.00817,0.00817,0.036927,0.036927,0.0575796,0.00817,0.0705738,0.0275518,0.0857575,0.013378,0.013378,
0.21,0.132514,0.0326727,0.172292,0.0625517,0.119446,0.25444,0.261738,0.261738,0.419775,0.431861,0.0767482,0.0200547,0.00837721,0.0152389,0.288925,0.288925,0.288925,0.00423507,0.000217317,0.0727585,0.00590713,0.00427707,0.00114628,0.0807527,0.0478603,0.109193,0.112036,0.0812691,0.100833,0.055866,0.055866,0.261738,0.261738,0.0242486,0.055866,0.49335,0.0179028,0.0757575,0.235236,0.235236,0.0491876,0.00372726,0.0446667,0.0725346,0.00337246,0.0259728,0.036206,0.036206,0.0835971,0.0979723,0.0917413,0.108353,0.101651,0.0920208,0.115899,0.115899,0.115899,0.136194,0.0233028,0.0203067,0.350323,0.0344409,0.0881695,0.0321072,0.292624,0.116935,0.106918,0.110131,0.258168,0.010082,0.010082,0.036206,0.036206,0.0582962,0.010082,0.0735107,0.0306073,0.0873978,0.013013,0.013013,
0.215,0.125707,0.0321777,0.168285,0.0654685,0.117272,0.233216,0.239273,0.239273,0.384612,0.402987,0.0782822,0.0215532,0.00925231,0.0167078,0.305156,0.305156,0.305156,0.00472385,0.000264523,0.0642376,0.00655456,0.00481254,0.00127742,0.0745008,0.0528138,0.110379,0.111681,0.0769392,0.0986265,0.05711,0.05711,0.239273,0.239273,0.0269207,0.05711,0.467926,0.0198906,0.0753124,0.230834,0.230834,0.0548325,0.00438001,0.0441119,0.0670696,0.00355974,0.0294853,0.036635,0.036635,0.0814601,0.0975164,0.0894281,0.105781,0.098613,0.0922096,0.117266,0.117266,0.117266,0.123517,0.0216063,0.0180136,0.337644,0.031176,0.0870971,0.0345943,0.320815,0.115219,0.102727,0.108494,0.283583,0.012889,0.012889,0.036635,0.036635,0.0560415,0.012889,0.0728599,0.0303266,0.0846198,0.012663,0.012663,
0.22,0.123954,0.0347591,0.168778,0.070636,0.120918,0.22203,0.220352,0.220352,0.356328,0.380671,0.0849458,0.0251643,0.0138192,0.0241593,0.315732,0.315732,0.315732,0.00539772,0.000457888,0.0572173,0.0124091,0.00547834,0.00163144,0.0746039,0.0696397,0.120551,0.116496,0.074863,0.112967,0.057363,0.057363,0.220352,0.220352,0.0311075,0.057363,0.447127,0.0247362,0.0785879,0.224829,0.224829,0.0717914,0.00831886,0.0479971,0.0641125,0.005552,0.0468111,0.037927,0.037927,0.0828711,0.109839,0.0918953,0.108229,0.100011,0.0961033,0.11851,0.11851,0.11851,0.11285,0.0205168,0.0162192,0.32799,0.030704,0.0913774,0.0400374,0.356858,0.118842,0.10372,0.111857,0.316525,0.016765,0.016765,0.037927,0.037927,0.0569357,0.016765,0.0744779,0.0346186,0.0859687,0.012378,0.012378,
