time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.175,-32.9242,15.8519,8.65919,-18.0383,6.36406,0.166488,23.1749,3.83249,14.7893,1.56183,-1.86802,-24.5828,-2.10996,1.54852,-4.12469,0.0255303,-3.74935,-8.04213,1.52199,1.1937,
0.18,-40.821,-13.8634,13.7707,0.314274,5.70834,-0.501938,24.3978,-3.41341,15.2828,8.10896,-3.0861,-17.4022,-2.99097,-3.4243,-4.31106,0.0471663,-3.93701,-6.60153,1.57318,1.14034,
0.185,-30.3278,-30.9284,10.5049,12.3918,5.01758,-0.925095,36.5982,-5.83718,23.8463,12.8207,0.997195,-10.0694,0.173713,-8.15483,-3.20666,0.119701,-2.07956,-5.1207,2.19242,1.10996,
0.19,-26.2245,-42.4656,9.10956,24.4122,4.53444,-1.86224,41.9667,-4.53824,30.0285,17.9958,2.79773,-2.90557,-3.70994,-12.4716,-2.71855,0.237007,-1.44441,-3.6968,2.42167,1.10192,
0.195,-24.6914,-44.7575,8.2127,33.0356,4.20151,-3.11845,43.8409,1.17001,33.1756,22.5875,6.24624,4.14038,-1.93805,-16.2466,-2.56182,0.39196,-0.286933,-2.2928,2.6327,1.12047,
0.2,-24.6172,-40.6851,7.27383,36.6855,4.06957,-4.16588,43.5544,9.36524,35.5268,26.0962,9.72826,10.9759,-5.92341,-19.2966,-1.46069,0.569227,0.464358,-0.929819,2.75189,1.1668,
0.205,-25.2529,-35.5452,6.01376,35.8257,4.01851,-4.57626,42.3727,17.3775,36.7691,28.4272,12.8901,17.5137,-3.01322,-21.4335,-1.071,0.745884,1.08947,0.368068,2.85625,1.24098,
0.21,-26.0405,-32.8411,4.54039,31.4684,4.05287,-4.18705,40.9922,23.5678,37.1713,29.6309,15.1212,23.6668,-6.55091,-22.4856,-0.795605,0.891308,1.739,1.57318,2.98015,1.34165,
0.215,-26.809,-33.497,2.92071,24.4553,4.1142,-3.06794,39.6775,27.6276,36.3692,29.8231,17.5125,29.3401,-4.95859,-22.3187,-0.628466,0.968071,2.48499,2.65272,3.11744,1.46569,
0.22,-26.936,-36.3237,0.433159,15.203,4.29434,-1.42183,38.5035,30.3607,35.2964,29.2136,19.3819,34.4235,-4.9576,-20.8561,-0.554193,0.934192,3.35558,3.56881,3.28327,1.60808,
