time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,1.03007,0.82605,1.14706,0.550386,1.07615,0.736628,-0.187625,0.877505,1.11088,1.15219,1.05573,1.01831,1.02309,1.11385,1.27328,1.07544,1.08736,1.01955,0.921668,0.957747,1.10639,1.18017,1.14071,0.777905,1.04787,1.37471,1.28222,0.20482,1.35005,0.677077,0.950085,-0.449151,0.757284,1.05563,1.01399,1.24987,1.11867,0.172971,0.381951,1.02328,1.16861,0.969034,0.523936,-0.187935,0.867849,0.673944,-0.780631,0.468678,0.386325,1.28458,1.10087,0.543821,-1.47631,-2.2365,0.967167,0.760584,0.526794,0.587528,0.328668,0.532244,0.720338,0.500931,0.0188678,0.599837,0.890958,0.920185,0.945594,-0.269999,1.02832,1.0591,1.80718,-1.12568,0.340839,-2.23609,0.345833,0.357128,0.844181,-0.366535,-0.745214,-0.41163,
0.18,1.02997,0.826051,1.14696,0.550569,1.07589,0.736518,-0.187625,0.876687,1.11023,1.15161,1.05603,1.01918,1.02354,1.11385,1.27331,1.07546,1.08738,1.02019,0.921791,0.957615,1.10654,1.18086,1.14235,0.777736,1.04841,1.37534,1.28257,0.20482,1.35025,0.676145,0.949638,-0.449151,0.752496,1.05548,1.01279,1.24946,1.11904,0.172971,0.381951,1.02225,1.16864,0.969494,0.523828,-0.187935,0.86796,0.674068,-0.780631,0.468678,0.386325,1.28416,1.10166,0.543716,-1.47631,-2.23632,0.966994,0.760318,0.526676,0.587422,0.328668,0.532249,0.720185,0.500961,0.0188678,0.599853,0.890879,0.919948,0.94425,-0.269999,1.02832,1.0591,1.80718,-1.1255,0.340839,-2.23591,0.345833,0.357128,0.843735,-0.366535,-0.745214,-0.41163,
0.185,1.02958,0.826308,1.14456,0.54934,1.07319,0.735961,-0.190834,0.875599,1.10992,1.15176,1.05751,1.02106,1.0221,1.11164,1.27178,1.07422,1.08517,1.02114,0.921654,0.956179,1.108,1.18285,1.1449,0.776029,1.05076,1.3741,1.28205,0.204518,1.35164,0.678929,0.949932,-0.453225,0.746816,1.05259,1.01446,1.2503,1.12004,0.175098,0.383539,1.02304,1.17187,0.972577,0.525011,-0.187164,0.87235,0.67585,-0.782256,0.464739,0.388555,1.28663,1.10258,0.542847,-1.47998,-2.23634,0.965473,0.759086,0.527085,0.581414,0.32672,0.529044,0.712246,0.498944,0.0165631,0.600702,0.890904,0.919762,0.943136,-0.27246,1.02852,1.06207,1.80723,-1.12565,0.339719,-2.23655,0.344938,0.360616,0.844326,-0.364006,-0.743425,-0.408687,
0.19,1.02906,0.826535,1.14098,0.546998,1.06969,0.735276,-0.196734,0.874128,1.1098,1.15239,1.05928,1.02267,1.01929,1.10737,1.26966,1.0724,1.08197,1.02186,0.921444,0.95431,1.10971,1.18472,1.14668,0.773751,1.0534,1.37126,1.28039,0.204222,1.35323,0.684471,0.950409,-0.460821,0.740902,1.04718,1.01871,1.25198,1.12087,0.177939,0.385941,1.02505,1.17612,0.976061,0.526488,-0.186902,0.878347,0.678021,-0.78554,0.457934,0.391261,1.29146,1.10292,0.541233,-1.48731,-2.24008,0.963336,0.757496,0.527676,0.577143,0.323777,0.520609,0.713927,0.495706,-0.0553758,0.601709,0.890753,0.919074,0.94184,-0.277337,1.02851,1.06648,1.80721,-1.12872,0.337575,-2.24477,0.343669,0.364988,0.845335,-0.360814,-0.741128,-0.405072,
0.195,1.0284,0.826681,1.13675,0.540183,1.06576,0.734514,-0.203342,0.872405,1.11002,1.15349,1.0606,1.0234,1.01679,1.10233,1.26717,1.07006,1.07816,1.02252,0.921328,0.952565,1.11148,1.18668,1.14854,0.7713,1.05566,1.36761,1.27792,0.204044,1.35471,0.691926,0.951012,-0.46937,0.734837,1.04171,1.0252,1.25441,1.12133,0.181815,0.388993,1.02785,1.18036,0.97953,0.528103,-0.186355,0.884588,0.68032,-0.789602,0.450395,0.395484,1.29754,1.10272,0.539034,-1.49602,-2.24515,0.960931,0.75581,0.52847,0.572504,0.320979,0.512156,0.704292,0.492227,-0.0303272,0.602667,0.890123,0.917643,0.94016,-0.283158,1.02804,1.07153,1.8071,-1.13231,0.334762,-2.25369,0.341972,0.370837,0.846096,-0.35608,-0.737445,-0.399763,
0.2,1.02755,0.826659,1.13216,0.533157,1.06152,0.733648,-0.210113,0.87056,1.11063,1.15503,1.0612,1.02324,1.01034,1.09684,1.26453,1.06745,1.07406,1.02323,0.921052,0.95101,1.11331,1.18881,1.1506,0.768785,1.05754,1.36357,1.27483,0.204166,1.35605,0.70028,0.951706,-0.478114,0.728645,1.03606,1.03316,1.25741,1.12149,0.186053,0.392232,1.03105,1.18453,0.982941,0.529833,-0.185325,0.890834,0.682618,-0.793918,0.442461,0.400496,1.30359,1.10199,0.536433,-1.50527,-2.25099,0.958484,0.754202,0.529513,0.56622,0.318472,0.503635,0.707026,0.488545,-0.0305632,0.603492,0.889454,0.915401,0.937965,-0.289428,1.02746,1.07685,1.80687,-1.13617,0.331684,-2.26292,0.339861,0.377303,0.84618,-0.350478,-0.732875,-0.393517,
0.205,1.02649,0.82649,1.1274,0.525887,1.05685,0.732652,-0.216956,0.8687,1.11175,1.15711,1.06148,1.0227,1.00265,1.09125,1.26186,1.06473,1.0698,1.02415,0.92079,0.949804,1.11526,1.19126,1.15318,0.766231,1.05928,1.35943,1.27149,0.204304,1.35734,0.708873,0.952483,-0.486921,0.722344,1.03081,1.04168,1.26105,1.1216,0.190364,0.395491,1.03436,1.18868,0.986298,0.531691,-0.183696,0.89714,0.684898,-0.798341,0.434111,0.405926,1.3093,1.10111,0.53369,-1.51494,-2.2573,0.956145,0.752794,0.53086,0.558035,0.316276,0.494992,0.698466,0.484638,-0.039558,0.604168,0.888859,0.912589,0.93538,-0.296124,1.02695,1.08229,1.8065,-1.1402,0.328482,-2.27243,0.337421,0.38412,0.845721,-0.344273,-0.727655,-0.386623,
0.21,1.02511,0.825943,1.12241,0.518355,1.05162,0.731451,-0.22384,0.866897,1.11342,1.15977,1.0614,1.02173,0.994923,1.08475,1.25926,1.06201,1.06544,1.02534,0.920636,0.94897,1.11735,1.19402,1.15643,0.763525,1.06091,1.35514,1.26786,0.204541,1.35854,0.717437,0.953343,-0.495737,0.715952,1.0256,1.0503,1.26522,1.12141,0.194628,0.398708,1.03764,1.19275,0.989409,0.53369,-0.181426,0.903494,0.687114,-0.802837,0.425298,0.411589,1.31471,1.10003,0.53093,-1.52503,-2.26398,0.954026,0.751694,0.532551,0.549678,0.314428,0.48624,0.700131,0.48047,-0.0509169,0.604657,0.888147,0.909215,0.932368,-0.30328,1.02632,1.08777,1.80594,-1.14437,0.325177,-2.28216,0.334709,0.391191,0.844589,-0.337525,-0.721859,-0.379151,
0.215,1.02339,0.825101,1.11724,0.510524,1.0462,0.73002,-0.230759,0.865183,1.11571,1.16305,1.06122,1.0207,0.987505,1.07866,1.25677,1.05934,1.06101,1.0269,0.920865,0.948615,1.11959,1.19717,1.16051,0.760718,1.06252,1.35087,1.26417,0.205078,1.3597,0.725904,0.954287,-0.504551,0.709487,1.02094,1.05894,1.26987,1.12129,0.198783,0.401844,1.04083,1.19677,0.992454,0.535846,-0.178508,0.90995,0.689288,-0.807399,0.41598,0.4174,1.31998,1.09896,0.52827,-1.53554,-2.271,0.952211,0.75099,0.534619,0.541209,0.240015,0.477386,0.696743,0.475999,-0.0632856,0.604951,0.88746,0.905405,0.929005,-0.310956,1.02575,1.09325,1.80517,-1.1487,0.321768,-2.29213,0.331738,0.398494,0.843012,-0.330225,-0.715487,-0.371093,
0.22,1.02122,0.823778,1.11181,0.502319,1.03781,0.728323,-0.23773,0.863548,1.11857,1.16689,1.06091,1.01956,0.980511,1.07223,1.25445,1.05678,1.05651,1.02888,0.920966,0.948732,1.12209,1.20087,1.16555,0.757732,1.06401,1.34654,1.2604,0.206183,1.36076,0.734305,0.955325,-0.513378,0.702959,1.0164,1.06773,1.27483,1.12114,0.202787,0.404873,1.04388,1.20075,0.995309,0.538186,-0.174896,0.916563,0.691412,-0.812017,0.406121,0.423338,1.32507,1.09781,0.525728,-1.54656,-2.27844,0.950768,0.750758,0.537092,0.532606,0.157111,0.46841,0.693408,0.471189,-0.0765784,0.60504,0.886612,0.90111,0.925213,-0.319239,1.02509,1.09868,1.80417,-1.15317,0.318268,-2.30238,0.328476,0.406053,0.840897,-0.322343,-0.708518,-0.362425,
0.225,1.01834,0.821984,1.10591,0.493721,1.03551,0.726305,-0.244747,0.86194,1.12175,1.17108,1.06038,1.01812,0.974016,1.0655,1.25233,1.0544,1.05196,1.03131,0.920705,0.948515,1.12504,1.20528,1.1702,0.754572,1.06556,1.34203,1.25638,0.208062,1.36177,0.742691,0.956461,-0.522202,0.696382,1.01224,1.07678,1.27984,1.12071,0.206608,0.40777,1.04678,1.20463,0.996748,0.540727,-0.170536,0.923136,0.69345,-0.816677,0.395727,0.429376,1.33007,1.09641,0.523289,-1.55807,-2.28624,0.949767,0.751061,0.540047,0.523904,0.0716607,0.459363,0.689921,0.466056,-0.0907826,0.604807,0.885497,0.896273,0.920812,-0.328149,1.02418,1.10405,1.8029,-1.15778,0.314683,-2.31289,0.324915,0.413865,0.838438,-0.313857,-0.700936,-0.353127,
