time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.175,0,0.827784,0.340035,0,0,0.10045,0.00906277,0.0172672,
0.18,0.0410289,0.904151,0.062159,0,0,0.0492788,0.00984717,0.00882877,
0.185,0.0954632,0.971284,0.00979132,0,0,0,0,0.00421835,
0.19,0.143307,1,0.0151328,0,0,0.00408936,0.00182078,0.00148567,
0.195,0.266914,0.938799,0,0.000959495,0,0.00488005,0,0,
0.2,0.386274,0.891063,0.00292388,0,0.000304338,0.00790106,0,0,
0.205,0.452911,0.810953,0,0,0,0,0.000409032,0,
0.21,0.529468,0.737448,0,0.000312108,0.0368788,0,0,0,
0.215,0.578813,0.650538,0,0,0.0447868,0,0.000348807,0,
0.22,0.621693,0.576676,0,0,0.0746246,0.0341106,0.000264056,0,
0.225,0.654389,0.525028,0,0.0834423,0.0980913,0.0227038,0,0.00261639,
0.23,0.643547,0.459516,0.00158372,0.255103,0.0718727,0.0183627,0.05413,0.00389922,
0.235,0.604523,0.396815,0.108359,0.41094,0.0221743,0.0202338,0.139734,0,
0.24,0.558633,0.354527,0.206081,0.562978,0,0.000109944,0.170025,0,
0.245,0.480666,0.325153,0.248614,0.721973,0.00657136,0,0.163113,0.00276629,
0.25,0.407378,0.284103,0.397542,0.874267,0,0,0.00813328,0.00441723,
0.255,0.322917,0.301264,0.403183,0.930747,0,0,0,0.0106783,
0.26,0.252555,0.301141,0.406903,0.979757,0.00353053,0,0,0.00353511,
0.265,0.18852,0.300822,0.411762,0.986409,0.00193383,0,0,0,
0.27,0.135547,0.300473,0.425489,1,0.00289798,0,0,0,
0.275,0.0930059,0.325679,0.393826,0.970836,0.000348022,0,0,0,
0.28,0.0965278,0.336099,0.365981,0.879534,0,0,0,0,
0.285,0.0993655,0.340705,0.367278,0.785868,0,0.0338779,0,0.00421785,
0.29,0.136922,0.36477,0.338358,0.642646,0,0.0875718,0,0,
0.295,0.183328,0.386765,0.323527,0.468404,0,0.173092,0,0,
0.3,0.266442,0.403976,0.279319,0.362748,0,0.244437,0,0.0133286,
0.305,0.368675,0.407664,0.251233,0.287914,0,0.282233,0,0.0154341,
0.31,0.473627,0.40876,0.225863,0.192443,0,0.35177,0,0.0257653,
0.315,0.582768,0.401505,0.209239,0.115703,0,0.419975,0.00896836,0.0210728,
0.32,0.690025,0.369971,0.239876,0.0564869,0.00502862,0.473674,0.0270616,0.0263615,
0.325,0.784536,0.335916,0.275114,0.0149496,0.0182576,0.513816,0.0498469,0.0244096,
0.33,0.864254,0.291484,0.327848,0,0.0468579,0.543868,0.0733735,0.0191073,
0.335,0.93116,0.238511,0.409935,0.00780785,0.0576589,0.568986,0.0282958,0.0161148,
0.34,0.977245,0.186565,0.463564,0.0127737,0.0881142,0.568218,0.0451624,0.021601,
0.345,1,0.117332,0.651032,0.0425717,0.0803541,0.585878,0.0676438,0.00944362,
