time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.0119332,0.00361514,0.0173751,0.00159889,0.0113709,0.0182664,0,0.0230435,0.0303196,0.0310092,0.00976777,0.0043328,0.00288105,0.00665933,0.0260702,0.0174619,0.0177385,0.00292668,0.00142697,0.0091256,0.0108227,0.0130173,0.0111558,0.00857441,0.0100905,0.0337799,0.0232578,0,0.0319784,0.00429827,0.00780929,0,0.0254251,0.00306249,0.00585879,0.0337049,0.00734477,0,0,0.0242278,0.0123123,0.00306806,0.00155965,0,0.00411069,0.00464701,0,0,0,0.0264379,0.0127071,0.00231946,0,0.000315226,0.0105351,0.00894178,0.00203589,0.00422017,0,0.000997866,0.0157812,0.00103903,0,0.00223876,0.00422395,0.0110486,0.0102808,0,0.00490652,0.00322734,0.0847187,4.14428e-05,0,0.000211639,0,0,0.00572613,0,0,0,
0.18,0.0108473,0.00394622,0.0127597,-0.00045251,0.00520856,0.0155922,-0.00215875,0.0217774,0.0314775,0.0327623,0.00980607,0.00404346,0.00113784,0.00519801,0.0222302,0.0138163,0.0109918,0.00276115,0.000665426,0.00732917,0.0161917,0.0148526,0.0108601,0.00506825,0.0128817,0.0311144,0.0221984,-0.000155711,0.0343796,0.00711746,0.0122089,-0.00205248,0.0243086,0.00126946,0.00819161,0.0370071,0.00731264,0.00207659,0.00216994,0.0305391,0.0377973,0.00779692,0.00467268,0.000380404,0.0120539,0.0198393,-0.00127686,-0.00285436,0.00153595,0.0295512,0.0124517,0.00183848,-0.00169733,-0.000585151,0.00744051,0.00669502,0.00369986,-0.000118807,-0.00322921,-0.00363362,0.0005662,-0.00661115,-0.0042605,0.00340866,0.00596123,0.0103358,0.0098913,-0.00171359,0.00658559,0.00483341,0.0849638,-0.000808497,-0.00104348,-0.00119586,-0.000609423,0.00278738,0.00540534,0.00201626,0.00148961,0.00219697,
0.185,0.0104472,0.004007,0.0105684,-0.00208451,0.00334386,0.0147295,-0.0032851,0.0205748,0.0324898,0.0342233,0.00960846,0.00358159,-0.000231096,0.00415026,0.0207265,0.0121484,0.00826492,0.00238305,0.000164162,0.00674694,0.0161922,0.014462,0.00991053,0.00384212,0.012065,0.0293228,0.0213255,-0.000151051,0.0343064,0.00890767,0.0138564,-0.00314299,0.0236289,0.000418598,0.00987708,0.0395621,0.00709892,0.00317514,0.00330648,0.0339749,0.0437959,0.00834989,0.00544483,0.000600799,0.0140684,0.0234579,-0.00207638,-0.00423442,0.00244144,0.0311161,0.0121905,0.00142446,-0.00269797,-0.00147185,0.00597752,0.0056849,0.00430822,-0.00120261,-0.00454525,-0.0064935,0.0257662,-0.00983249,-0.00639341,0.00349419,0.00704743,0.00959379,0.00947706,-0.0027114,0.00741169,0.00569993,0.0846236,-0.00160038,-0.00172283,-0.00247767,-0.000977415,0.00406575,0.00501237,0.00314963,0.00244057,0.00338625,
0.19,0.0100565,0.00398879,0.00950182,-0.00343435,0.0026055,0.014055,-0.00356393,0.0194901,0.0334101,0.0354964,0.00935966,0.00317735,-0.00132546,0.00348397,0.0201298,0.0113564,0.00716422,0.00232548,-0.00018611,0.00665674,0.0156502,0.0146556,0.00992623,0.00339773,0.0106792,0.0282396,0.02068,-7.85373e-05,0.0338169,0.00994605,0.0148989,-0.00341816,0.0230416,0.00042552,0.0110138,0.041626,0.00695635,0.0039276,0.00390422,0.0354168,0.0436814,0.00824652,0.00581703,0.00101216,0.0139978,0.0243887,-0.00239516,-0.00459883,0.00323353,0.031471,0.0119697,0.00106967,-0.00303902,-0.001814,0.00534333,0.00527628,0.00491692,-0.00330897,-0.00471827,-0.00655354,0.00032037,-0.0106637,0.0149253,0.00331773,0.00863548,0.00890585,0.00905235,-0.00306454,0.00878353,0.00623675,0.0842037,-0.00177938,-0.00206789,-0.00262329,-0.00127813,0.00501955,0.00459198,0.00412348,0.0033077,0.00442537,
0.195,0.00945361,0.00387118,0.00894101,-0.0035138,0.00221059,0.0131669,-0.00362744,0.0184877,0.0341696,0.0365569,0.00922001,0.00294772,-0.00244901,0.00298044,0.0201547,0.0114089,0.0070313,0.00248484,-0.000462816,0.00664849,0.0154876,0.0151938,0.0102933,0.00312664,0.0100264,0.0275228,0.0202027,5.20551e-05,0.0335041,0.0104597,0.0155778,-0.00347443,0.022514,0.00050494,0.0116879,0.0432139,0.00695202,0.00417972,0.00406257,0.0355309,0.0435101,0.0080838,0.0061088,0.00143423,0.0137151,0.0243069,-0.0024966,-0.00481219,0.00362364,0.0312125,0.0117921,0.000764295,-0.00317201,-0.00198948,0.00523304,0.00527519,0.00563147,-0.00527704,-0.0047564,-0.00665222,0.033125,-0.01132,-0.000933503,0.00307947,0.011959,0.00830895,0.00862642,-0.00322902,0.0116398,0.00667015,0.0836367,-0.00186662,-0.00220738,-0.00268791,-0.00149958,0.00540509,0.00420011,0.00465284,0.00383216,0.00498451,
0.2,0.00860048,0.00367306,0.00852013,-0.00360544,0.00180658,0.0119868,-0.00365514,0.0175348,0.0347447,0.0374125,0.00924449,0.00289529,-0.00276466,0.00259713,0.020511,0.0119208,0.00722088,0.00283542,-0.000421492,0.00672341,0.0159579,0.0160913,0.0110455,0.0028312,0.0101602,0.0269857,0.0198509,0.000198446,0.0334242,0.0107285,0.0160829,-0.00349198,0.0220272,0.000711993,0.0120828,0.0444025,0.00707151,0.00422739,0.00407124,0.0349249,0.0435789,0.00792469,0.00641928,0.00184028,0.0136074,0.0240985,-0.00253949,-0.00504226,0.00382398,0.0310408,0.0116602,0.000493292,-0.00327311,-0.0020929,0.00545445,0.00557032,0.00650314,-0.00642189,-0.00479836,-0.00679395,0.000591148,-0.012012,-0.00578698,0.00285344,0.0148788,0.00780085,0.00820033,-0.00338359,0.0144978,0.0071037,0.0829429,-0.0019196,-0.00228208,-0.00274085,-0.001659,0.00561664,0.00387267,0.00501733,0.00420582,0.0053686,
0.205,0.00741516,0.00332377,0.00801613,-0.00370328,0.00148486,0.0104791,-0.00367109,0.0166043,0.0350708,0.0379998,0.00935485,0.0029387,-0.00277621,0.00229234,0.0210656,0.0126746,0.00752423,0.00327655,-0.000150311,0.00680793,0.0169062,0.017218,0.0120001,0.00246771,0.0105271,0.0265023,0.0195587,0.000507254,0.0333697,0.010925,0.0164617,-0.00349508,0.0215819,0.000875023,0.0124092,0.0451232,0.00724073,0.00419017,0.00402248,0.034021,0.0435861,0.00771404,0.00674859,0.00221988,0.0135925,0.0237814,-0.00256851,-0.00530314,0.00393207,0.0311051,0.0115526,0.000238813,-0.00337083,-0.00217214,0.00592283,0.00611404,0.00752592,-0.00657285,-0.00481565,-0.00693392,0.0259466,-0.0127322,-0.00704666,0.00261729,0.0167548,0.00732504,0.00776158,-0.00354931,0.0165701,0.00759561,0.0820906,-0.00196533,-0.00234862,-0.00278712,-0.00178228,0.00576505,0.00360571,0.00534302,0.00453332,0.0057098,
0.21,0.00601257,0.00298062,0.00744028,-0.00381453,0.00139713,0.00882633,-0.00368471,0.0156828,0.0351289,0.0383027,0.00956595,0.00308913,-0.00269832,0.0022253,0.0217173,0.0135305,0.007789,0.00381927,0.000317727,0.00693413,0.0184609,0.0186908,0.0131469,0.00218815,0.0111075,0.0260992,0.0193363,0.000969044,0.0334015,0.0111191,0.0167672,-0.00349398,0.0211706,0.0011346,0.0127796,0.0454168,0.00754315,0.00410954,0.00394185,0.033011,0.0437598,0.00773527,0.00711839,0.00258201,0.013719,0.0236614,-0.00259433,-0.00559791,0.00399928,0.0314016,0.0114771,-7.17062e-06,-0.00347529,-0.00224795,0.0065747,0.00685929,0.00872174,-0.00668818,-0.00483194,-0.00707989,-0.00309052,-0.0134733,-0.00761149,0.00238867,0.0183572,0.00687066,0.0073083,-0.00373454,0.0185377,0.00817137,0.0811085,-0.00201118,-0.0024179,-0.00283383,-0.0018934,0.00589878,0.00341366,0.00567461,0.00485867,0.00605554,
0.215,0.00430801,0.00252832,0.00667306,-0.00395196,0.000693134,0.00695476,-0.0037051,0.0147709,0.0348915,0.0382986,0.00982316,0.00328818,-0.00259139,0.00211319,0.0223862,0.0143843,0.00788288,0.00442918,0.000807941,0.00705106,0.0208524,0.0205532,0.0144641,0.00188996,0.0117197,0.0256934,0.0191331,0.00152801,0.0334422,0.0113323,0.0170598,-0.00349805,0.0207757,0.00132659,0.013226,0.0453075,0.00786883,0.00400077,0.00383671,0.031966,0.0441017,0.00771809,0.00756076,0.00295009,0.0139956,0.0236584,-0.00261646,-0.00592642,0.00405566,0.031864,0.0114219,-0.000254791,-0.0035931,-0.00233548,0.00736906,0.00776983,0.0101547,-0.00682327,-0.00525565,-0.00725192,-0.00707583,-0.0142489,-0.00815079,0.00217027,0.0189421,0.0063991,0.00682751,-0.00394783,0.0196218,0.00884292,0.0800102,-0.00205468,-0.00248398,-0.00288909,-0.00201226,0.00604816,0.00328281,0.00602288,0.00519299,0.00641728,
0.22,0.00250747,0.00210091,0.0057847,-0.00409585,0.00433073,0.00492508,-0.00372258,0.0138808,0.0343637,0.0379959,0.0101356,0.00354459,-0.00246273,0.00192273,0.0230376,0.0151672,0.00779098,0.00510525,0.00175295,0.00721008,0.0237751,0.0225984,0.0159064,0.00169174,0.0125853,0.0253319,0.0189572,0.0020963,0.033618,0.0115478,0.0173315,-0.00349714,0.0204006,0.00160815,0.0137255,0.0448616,0.0082514,0.00386959,0.00370931,0.0309235,0.0444876,0.00782695,0.0080581,0.00333022,0.0143584,0.0237916,-0.00263285,-0.00627449,0.00409923,0.0324952,0.0113978,-0.000501008,-0.00370928,-0.00241292,0.00829769,0.00882489,0.0118364,-0.00694145,-0.00538306,-0.00740062,-0.0126307,-0.0149923,-0.00871011,0.00195575,0.0192751,0.00591817,0.00632415,-0.00416539,0.0203806,0.00962249,0.07876,-0.00209727,-0.00254946,-0.00294032,-0.00213155,0.00619398,0.00322595,0.00638534,0.00553567,0.00679219,
