time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.145244,0.144753,0.110489,0.105608,0.145773,0.251514,0.563204,0.46905,0.449889,0.487299,0.205759,0.131691,0.0547668,0.154294,0.207668,0.207191,0.207703,0.0434289,0.0545137,0.184639,0.0450588,0.0567338,0.130712,0.10982,0.192064,0.177756,0.132184,0.143274,0.338381,0.112916,0.0801932,0.550164,0.716408,0.127581,0.0638535,0.576854,0.167198,0.134772,0.325563,0.357099,0.0366762,0.0362625,0.0683562,0.0547725,0.0269631,0.0881802,0.0662412,0.0804913,0.0937879,0.184454,0.148261,0.17614,0.181083,0.126049,0.121929,0.124135,0.175713,0.195164,0.0572838,0.0624768,0.370781,0.202842,0.165423,0.0916295,0.187722,0.110188,0.164392,0.175699,0.148802,0.00608156,0.00924463,0.0620864,0.0834069,0.100095,0.00637965,0.0992898,0.157203,0.140313,0.0176128,0.0168954,
0.18,0.149365,0.149166,0.11299,0.10138,0.163803,0.261345,0.631016,0.477462,0.454629,0.480539,0.1728,0.0920736,0.0152415,0.154027,0.205461,0.205283,0.205531,0.0279597,0.0405183,0.171083,0.0257016,0.0321086,0.0860567,0.111925,0.156301,0.119963,0.0676804,0.138066,0.317536,0.140791,0.110482,0.60502,0.996157,0.113079,0.0684311,0.565989,0.14338,0.12397,0.32372,0.363079,0.0258705,0.0207804,0.0650111,0.050074,0.027676,0.0588284,0.0648484,0.0966492,0.0925239,0.170594,0.133586,0.168718,0.192792,0.13345,0.117875,0.12026,0.212681,0.213432,0.059245,0.0662525,0.394185,0.206758,0.152593,0.108781,0.155344,0.0970288,0.15975,0.163886,0.112208,0.00602194,0.00897653,0.060033,0.101133,0.0941796,0.00629969,0.0969134,0.146748,0.12962,0.0170323,0.0163402,
0.185,0.155437,0.152557,0.112319,0.096662,0.16703,0.286884,0.64176,0.455829,0.467485,0.4786,0.139928,0.0665328,0.00420807,0.138893,0.204925,0.204865,0.204954,0.0155779,0.0251991,0.151429,0.0132714,0.016909,0.0485156,0.109531,0.107859,0.0908973,0.0459474,0.126892,0.277262,0.157078,0.135285,0.606379,1,0.0957342,0.0671019,0.550474,0.119373,0.105281,0.307936,0.347574,0.015447,0.0100468,0.0536671,0.0395639,0.0250213,0.0340312,0.0616925,0.103685,0.089028,0.150024,0.11646,0.151848,0.185162,0.128271,0.113642,0.115311,0.230053,0.244756,0.0640198,0.0707399,0.437764,0.217883,0.13417,0.115955,0.135717,0.0738569,0.141703,0.146113,0.0848716,0.00602194,0.00881194,0.0579412,0.109588,0.0834037,0.00627631,0.0911626,0.126853,0.114394,0.0164122,0.0158901,
0.19,0.163314,0.157386,0.112327,0.0929024,0.163029,0.311487,0.624082,0.430006,0.48145,0.476401,0.116598,0.0520326,0.00157748,0.12011,0.204806,0.204806,0.204886,0.00822088,0.0149433,0.136668,0.00620522,0.00821522,0.0281226,0.107325,0.0683515,0.0762245,0.0378835,0.115406,0.238495,0.165249,0.155318,0.58361,1,0.081929,0.0636309,0.537545,0.102009,0.088434,0.293016,0.328967,0.00831139,0.00421721,0.0405404,0.028765,0.021043,0.0184657,0.0592192,0.105056,0.0862381,0.131767,0.103045,0.135275,0.16947,0.118357,0.111197,0.112151,0.234698,0.26728,0.0671457,0.0734301,0.469318,0.227653,0.118493,0.117042,0.127131,0.0531269,0.121656,0.130758,0.0700152,0.00602194,0.00874706,0.0567662,0.111987,0.0734771,0.00627178,0.0859727,0.107885,0.101236,0.0160542,0.0156715,
0.195,0.17198,0.163454,0.113767,0.0889042,0.155978,0.332466,0.591963,0.403475,0.493753,0.471362,0.0993874,0.0403822,0.000665326,0.101876,0.220367,0.220725,0.220461,0.00265746,0.00582297,0.121424,0.00263051,0.00214877,0.00856351,0.106647,0.0357985,0.0639274,0.03157,0.104601,0.204004,0.167941,0.171297,0.549757,1,0.0708175,0.0603369,0.525526,0.0886904,0.0731389,0.282368,0.313429,0.00450206,0.0019808,0.027644,0.0185844,0.0168718,0.0081697,0.0551769,0.102611,0.0846434,0.11553,0.0913275,0.120499,0.151047,0.10733,0.110899,0.111376,0.231497,0.283749,0.0690786,0.0748733,0.491884,0.234922,0.10472,0.11467,0.125468,0.0342718,0.102668,0.11782,0.0648718,0.00626043,0.00895603,0.0527984,0.110233,0.0647627,0.00649203,0.0821684,0.0911091,0.0897874,0.0158083,0.0154987,
0.2,0.180059,0.169369,0.116019,0.088297,0.148685,0.347429,0.553255,0.376976,0.504243,0.472989,0.0928423,0.0394578,0.000950715,0.087607,0.241116,0.241653,0.241228,0.00141145,0.00388071,0.119468,0.00205709,0.00161437,0.00778243,0.107379,0.0235307,0.0654442,0.033213,0.0986901,0.185855,0.16703,0.183759,0.51164,1,0.0657417,0.0580675,0.522131,0.0838927,0.0659161,0.275306,0.301853,0.00400961,0.00174201,0.0183533,0.0124554,0.0131964,0.0103222,0.0506108,0.097782,0.0844696,0.108653,0.0882785,0.112025,0.134438,0.0978497,0.111734,0.111853,0.223781,0.291885,0.0704034,0.0760829,0.504265,0.240402,0.0990177,0.1106,0.129038,0.0261522,0.0896309,0.111686,0.0668282,0.00685667,0.00960755,0.0481691,0.105816,0.0602418,0.00707207,0.0803335,0.0811295,0.0849941,0.0155612,0.0152791,
0.205,0.184014,0.172193,0.117148,0.0862473,0.141704,0.349848,0.512323,0.350596,0.502712,0.463841,0.088593,0.0379088,0.0011873,0.0766721,0.262938,0.263534,0.263081,0.000428488,0.00291196,0.114821,0.000916817,0.000517641,0.00630805,0.107684,0.0183925,0.0633152,0.0325111,0.0940544,0.17438,0.163845,0.193239,0.472737,1,0.0622077,0.0569377,0.512333,0.0805327,0.0615795,0.270407,0.293422,0.00419919,0.00088465,0.0121813,0.00887429,0.0101362,0.013663,0.0466132,0.0916408,0.0836913,0.103475,0.0852664,0.10594,0.120231,0.0898974,0.113046,0.112986,0.213783,0.287605,0.0691373,0.0744284,0.49694,0.237915,0.0947706,0.105631,0.128452,0.0218699,0.0803387,0.106981,0.0673701,0.00792988,0.0109001,0.0444071,0.0998767,0.0570884,0.0081635,0.0784464,0.0741527,0.0814308,0.0152629,0.0149858,
0.21,0.182736,0.170789,0.116178,0.0826363,0.135072,0.340312,0.471597,0.324526,0.491456,0.450443,0.0877564,0.0407453,0.00146202,0.0691234,0.283508,0.284045,0.28361,0.00458323,0.00254169,0.107907,0.0108506,0.0088092,0.00584807,0.107284,0.0262554,0.0674443,0.0347326,0.0905419,0.170864,0.159314,0.200155,0.434813,1,0.0607955,0.0567279,0.502975,0.0797753,0.0584641,0.266445,0.286971,0.0103869,0.00959015,0.00844737,0.007498,0.00813597,0.0237751,0.0437517,0.0850823,0.0830756,0.102656,0.0850002,0.102606,0.108684,0.0836809,0.114477,0.114298,0.202953,0.273754,0.0656484,0.0706067,0.477671,0.231084,0.0930848,0.100687,0.140729,0.0225646,0.0752632,0.105061,0.0837553,0.00971858,0.0130611,0.0420498,0.093253,0.0553139,0.00994133,0.0775973,0.0712824,0.0798132,0.0149119,0.0146327,
0.215,0.174726,0.164427,0.11226,0.0772521,0.127944,0.318297,0.432481,0.299286,0.47325,0.435743,0.0879893,0.0444861,0.000959429,0.0643906,0.30068,0.301157,0.300814,0.0126103,0.00229926,0.0991534,0.0308262,0.0231821,0.00530754,0.105389,0.0404473,0.0717848,0.0355858,0.0874528,0.170391,0.154063,0.204865,0.398836,1,0.0606385,0.0570903,0.496925,0.0796067,0.0543793,0.262504,0.281429,0.0217997,0.0283243,0.00569869,0.0072883,0.00737403,0.0296049,0.0421742,0.078643,0.0826335,0.104694,0.0855408,0.100768,0.099351,0.0787681,0.115848,0.115669,0.192211,0.2543,0.0607659,0.0654915,0.451859,0.221879,0.0923019,0.0962669,0.16459,0.0261713,0.073502,0.104864,0.114338,0.012342,0.0163395,0.0410974,0.0865492,0.0539963,0.0125918,0.0780266,0.0722591,0.0787667,0.0145378,0.0142586,
0.22,0.16175,0.15387,0.105749,0.0706235,0.120157,0.288536,0.395856,0.2756,0.448459,0.416985,0.0889475,0.0491926,0.00087403,0.0617419,0.312664,0.313022,0.312793,0.021612,0.00243279,0.0890777,0.0544411,0.0386871,0.00530199,0.102157,0.0592939,0.0771259,0.037352,0.0846397,0.172319,0.148495,0.207727,0.365432,1,0.061084,0.0576637,0.490089,0.0799259,0.0498352,0.257906,0.275911,0.0371276,0.0516772,0.00382026,0.00795764,0.00784389,0.0379684,0.0418024,0.0726807,0.0822116,0.108259,0.0864771,0.0997644,0.091722,0.0748408,0.11716,0.116981,0.182125,0.229567,0.054825,0.0590525,0.418165,0.209557,0.0919122,0.0926646,0.194242,0.0314964,0.0740265,0.105506,0.153377,0.015979,0.0209806,0.0413501,0.0801798,0.0528768,0.0162991,0.0792679,0.0753706,0.0780234,0.014185,0.0139128,
