iteration,loss,learning rate,
1,2502.63,0.02,
2,2397.15,0.02,
3,2302.41,0.02,
4,2223.51,0.02,
5,2155.45,0.02,
6,2092.82,0.02,
7,2033.19,0.02,
8,1976.77,0.02,
9,1924.55,0.02,
10,1887.91,0.02,
11,1863.9,0.02,
12,1842.51,0.02,
13,1821.64,0.02,
14,1801.68,0.02,
15,1782.92,0.02,
16,1766.31,0.02,
17,1751.56,0.02,
18,1738.1,0.02,
19,1724.88,0.02,
20,1713.97,0.02,
21,1703.96,0.02,
22,1693.57,0.02,
23,1682.13,0.02,
24,1667.76,0.02,
25,1653.29,0.02,
26,1642.51,0.02,
27,1632.46,0.02,
28,1625.79,0.02,
29,1621.91,0.02,
30,1618.51,0.02,
31,1615.36,0.02,
32,1613.01,0.02,
33,1624.26,0.02,
34,1628.8,0.02,
35,1627.44,0.02,
36,1625,0.02,
37,1619.65,0.02,
38,1619.24,0.02,
39,1619.4,0.02,
40,1619.52,0.02,
41,1619.61,0.02,
42,1619.24,0.02,
43,1618.9,0.02,
44,1617.72,0.02,
45,1616.29,0.02,
46,1614.94,0.02,
47,1613.41,0.02,
48,1611.5,0.02,
49,1610.01,0.02,
50,1607.89,0.02,
51,1606.19,0.02,
52,1605.49,0.02,
53,1605.85,0.02,
54,1604.15,0.02,
55,1604.26,0.02,
56,1603.93,0.02,
57,1604.09,0.02,
58,1603.62,0.02,
59,1602.91,0.02,
60,1601.62,0.02,
61,1599.77,0.02,
62,1597.86,0.02,
63,1596.45,0.02,
64,1595.28,0.02,
65,1594.57,0.02,
66,1594.56,0.02,
67,1593.57,0.02,
68,1592.77,0.02,
69,1591.58,0.02,
70,1591.03,0.02,
71,1590.29,0.02,
72,1589.77,0.02,
73,1613.46,0.02,
74,1611.86,0.02,
75,1614.45,0.02,
76,1611.75,0.02,
77,1609.4,0.02,
78,1607.99,0.02,
79,1606.98,0.02,
80,1606.23,0.02,
81,1605.24,0.02,
82,1604.29,0.02,
83,1603.65,0.02,
84,1603.44,0.02,
85,1603.47,0.02,
86,1603.19,0.02,
87,1603.58,0.02,
88,1604.12,0.02,
89,1604.76,0.02,
90,1604.45,0.02,
91,1603.67,0.02,
92,1602.11,0.02,
