time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
2.295,0.296088,0.296088,0.296088,0.296088,0.296088,0.296088,0.0865661,0.0865661,0.0663766,0.067362,0.0405773,0.0392933,0.0565732,0.0565732,0.0845032,0.0851468,0.084593,0.0842684,0.0847141,0.0848943,0.0846398,0.0847137,0.0849424,0.296088,0.041848,0.0793084,0.0392603,3.89559e-05,0.0418481,0.041848,0.041848,0.0865661,0.0865661,0.0565732,0.041848,0.1023,0.0423534,0.113502,0.113502,0.113502,0,0,0,0,0,0,0,0,0.0173762,0.0161448,0.125123,0.116951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238772,0.127255,0.00271711,0,0,0,0,0,0,0,0.00686204,0.12613,0,0,0,
2.3,0.297981,0.297981,0.297981,0.297981,0.297981,0.297981,0.0642386,0.0642386,0.0964408,0.0986215,0.0186475,0.0219926,0.0677575,0.0677575,0.0656559,0.0667265,0.0660258,0.065244,0.0660449,0.0664591,0.0660069,0.0660319,0.0663692,0.297981,0.0245462,0.0376965,0.0215356,1.72829e-05,0.0245464,0.0245462,0.0245462,0.0642386,0.0642386,0.0677575,0.0245462,0.14961,0.0318475,0.129169,0.129169,0.129169,0,0,0,0,0,0,0,0,0.025412,0.0236112,0.0558792,0.0518856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105932,0.0569162,0.00125412,0,0,0,0,0,0,0,0.0100355,0.0559853,0,0,0,
2.305,0.288066,0.288066,0.288066,0.288066,0.288066,0.288066,0.0653743,0.0653743,0.0871947,0.0890796,0.0251723,0.0273607,0.0629746,0.0629746,0.0683009,0.0692428,0.0686037,0.0679417,0.0686402,0.0689876,0.0685919,0.0686266,0.0689366,0.288066,0.0268105,0.050357,0.0267508,2.39907e-05,0.0268107,0.0268105,0.0268105,0.0653743,0.0653743,0.0629746,0.0268105,0.135277,0.0349968,0.0992786,0.0992786,0.0992786,0,0,0,0,0,0,0,0,0.0229775,0.0213492,0.0771182,0.0720231,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147046,0.0786872,0.00170705,0,0,0,0,0,0,0,0.00907407,0.0776778,0,0,0,
2.31,0.344462,0.344462,0.344462,0.344462,0.344462,0.344462,0.0512001,0.0512001,0.136273,0.139841,0.0104255,0.0178853,0.0864618,0.0864618,0.0621745,0.0637461,0.0628419,0.0615607,0.06277,0.0634275,0.0627452,0.0627341,0.0632299,0.344462,0.0122747,0.0234435,0.016283,9.61434e-06,0.012275,0.0122747,0.0122747,0.0512001,0.0512001,0.0864618,0.0122747,0.212386,0.0334988,0.098039,0.098039,0.098039,0,0,0,0,0,0,0,0,0.0360748,0.0335184,0.0309947,0.0288635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589292,0.0322308,0.000757955,0,0,0,0,0,0,0,0.0142463,0.0311288,0,0,0,
2.315,0.326016,0.326016,0.326016,0.326016,0.326016,0.326016,0.0516935,0.0516935,0.125109,0.128328,0.0122864,0.0187601,0.0804787,0.0804787,0.0612144,0.062648,0.0618092,0.0606557,0.061755,0.062348,0.0617276,0.0617234,0.0621776,0.326016,0.0139989,0.0267165,0.017345,1.14491e-05,0.0139992,0.0139989,0.0139989,0.0516935,0.0516935,0.0804787,0.0139989,0.194901,0.0327463,0.0949184,0.0949184,0.0949183,0,0,0,0,0,0,0,0,0.0331048,0.0307589,0.0368734,0.0343718,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701751,0.0381261,0.000875515,0,0,0,0,0,0,0,0.0130734,0.0370693,0,0,0,
2.32,0.303064,0.303064,0.303064,0.303064,0.303064,0.303064,0.049903,0.049903,0.114158,0.117065,0.0126549,0.0183487,0.0740629,0.0740629,0.0581675,0.0594698,0.0587004,0.0576611,0.0586572,0.0591921,0.0586297,0.0586289,0.0590426,0.303064,0.0144649,0.0271234,0.0170995,1.18287e-05,0.0144652,0.0144649,0.0144649,0.049903,0.049903,0.0740629,0.0144649,0.177783,0.0309291,0.090382,0.090382,0.090382,0,0,0,0,0,0,0,0,0.0302933,0.0280732,0.0380897,0.0355121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725014,0.039286,0.000893512,0,0,0,0,0,0,0,0.0119437,0.0382989,0,0,0,
2.325,0.346507,0.346507,0.346507,0.346507,0.346507,0.346507,0.0514887,0.0514887,0.137115,0.140707,0.0104413,0.0179514,0.08699,0.08699,0.0625143,0.0640959,0.0631861,0.0618967,0.0631136,0.0637753,0.0630888,0.0630775,0.0635763,0.346507,0.0123313,0.0234923,0.0163412,9.62407e-06,0.0123316,0.0123313,0.0123313,0.0514887,0.0514887,0.08699,0.0123313,0.213699,0.0336694,0.0988156,0.0988156,0.0988156,0,0,0,0,0,0,0,0,0.0362979,0.0337256,0.0310288,0.0288927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589889,0.0322682,0.000759235,0,0,0,0,0,0,0,0.0143344,0.0311605,0,0,0,
2.33,0.30206,0.30206,0.30206,0.30206,0.30206,0.30206,0.0543448,0.0543448,0.109118,0.111812,0.0141974,0.0192193,0.0723636,0.0723636,0.0603996,0.0616369,0.0608848,0.0599195,0.0608606,0.0613615,0.0608303,0.0608374,0.0612287,0.30206,0.0174309,0.0297897,0.0182258,1.31941e-05,0.0174311,0.0174309,0.0174309,0.0543448,0.0543448,0.0723636,0.0174309,0.16975,0.0310665,0.104056,0.104056,0.104056,0,0,0,0,0,0,0,0,0.0288329,0.0267896,0.0425758,0.0396103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808705,0.0436953,0.000983341,0,0,0,0,0,0,0,0.0113864,0.0427295,0,0,0,
2.335,0.316858,0.316858,0.316858,0.316858,0.316858,0.316858,0.0549238,0.0549238,0.116,0.118899,0.0154426,0.0208855,0.07626,0.07626,0.0629241,0.0642394,0.0634489,0.0624135,0.0634164,0.0639503,0.0633838,0.063389,0.0638087,0.316858,0.0170524,0.0325201,0.0196567,1.45282e-05,0.0170526,0.0170524,0.0170524,0.0549238,0.0549238,0.07626,0.0170524,0.18058,0.0333336,0.0953341,0.0953341,0.095334,0,0,0,0,0,0,0,0,0.0306724,0.0284988,0.046748,0.0436154,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890475,0.0480855,0.00107981,0,0,0,0,0,0,0,0.0121129,0.0470384,0,0,0,
2.34,0.336909,0.336909,0.336909,0.336909,0.336909,0.336909,0.0374325,0.0374325,0.14849,0.152603,0.000530801,0.01014,0.0899062,0.0899062,0.0514413,0.053191,0.052239,0.050753,0.052114,0.0528729,0.052106,0.05207,0.0526137,0.336909,0.00266724,0.00481157,0.0081891,0,0.00266757,0.00266724,0.00266724,0.0374325,0.0374325,0.0899062,0.00266724,0.231761,0.0285528,0.0888095,0.0888095,0.0888094,0,0,0,0,0,0,0,0,0.0393657,0.0365761,0.00015732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010207,0.000108204,0,0,0,0,0,0,0,0.0155459,1.09656e-06,0,0,0,
