iteration,loss,learning rate,
1,9602.84,0.02,
2,9516.12,0.02,
3,9431.69,0.02,
4,9350.89,0.02,
5,9273.27,0.02,
6,9200.71,0.02,
7,9132.12,0.02,
8,9065.53,0.02,
9,9001.65,0.02,
10,8966.73,0.02,
11,8948.45,0.02,
12,8931.65,0.02,
13,8915.22,0.02,
14,8900.02,0.02,
15,8887.01,0.02,
16,8874.36,0.02,
17,8861.64,0.02,
18,8849.04,0.02,
19,8837.25,0.02,
20,8825.55,0.02,
21,8813.07,0.02,
22,8800.62,0.02,
23,8787.77,0.02,
24,8772.81,0.02,
25,8758.13,0.02,
26,8749.41,0.02,
27,8741.55,0.02,
28,8733.84,0.02,
29,8727.29,0.02,
30,8723.41,0.02,
31,8721.33,0.02,
32,8721.14,0.02,
33,8721.86,0.02,
34,8723.2,0.02,
35,8724.56,0.02,
36,8725.8,0.02,
37,8726.3,0.02,
38,8723.33,0.02,
39,8720.02,0.02,
40,8716.18,0.02,
41,8711.64,0.02,
42,8706.56,0.02,
43,8701.07,0.02,
44,8695.32,0.02,
45,8691.64,0.02,
46,8690.28,0.02,
47,8689.97,0.02,
48,8689.43,0.02,
49,8688.58,0.02,
50,8687.05,0.02,
51,8684.85,0.02,
52,8682.49,0.02,
53,8679.56,0.02,
54,8677.92,0.02,
55,8677.35,0.02,
56,8677.17,0.02,
57,8676.71,0.02,
58,8675.68,0.02,
59,8678.25,0.02,
60,8676,0.02,
61,8673.96,0.02,
62,8671.85,0.02,
63,8669.32,0.02,
64,8669.68,0.02,
65,8669.77,0.02,
66,8669.26,0.02,
67,8667.82,0.02,
68,8666.15,0.02,
69,8665.3,0.02,
70,8664.99,0.02,
71,8664.75,0.02,
72,8664.76,0.02,
73,8664.16,0.02,
74,8663.67,0.02,
75,8662.9,0.02,
76,8662.22,0.02,
77,8661.91,0.02,
78,8662.12,0.02,
79,8662.71,0.02,
80,8662.92,0.02,
81,8662.55,0.02,
82,8661.8,0.02,
83,8660.87,0.02,
84,8659.49,0.02,
85,8659.25,0.02,
86,8659.62,0.02,
87,8660.56,0.02,
88,8661.14,0.02,
89,8661.16,0.02,
90,8660.9,0.02,
91,8660.88,0.02,
92,8660.61,0.02,
93,8660.19,0.02,
94,8659.07,0.02,
95,8658.09,0.02,
96,8657.98,0.02,
97,8658.38,0.02,
98,8658.41,0.02,
99,8658.22,0.02,
100,8657.41,0.02,
101,8657.31,0.02,
102,8657.98,0.02,
103,8659.95,0.02,
104,8659.8,0.02,
105,8659.45,0.02,
106,8659.51,0.02,
107,8659.65,0.02,
108,8657.72,0.02,
109,8656.89,0.02,
110,8657.93,0.02,
111,8659.87,0.02,
112,8660.79,0.02,
113,8660.82,0.02,
114,8660.79,0.02,
115,8660.93,0.02,
116,8660.26,0.02,
117,8658.24,0.02,
118,8657.98,0.02,
119,8657.84,0.02,
120,8657.9,0.02,
121,8658.83,0.02,
122,8659.08,0.02,
123,8658.64,0.02,
124,8658.23,0.02,
125,8658.45,0.02,
126,8657.05,0.02,
127,8656.71,0.02,
128,8656.99,0.02,
129,8657.01,0.02,
130,8656.62,0.02,
131,8656.69,0.02,
132,8656.83,0.02,
133,8656.66,0.02,
134,8656.34,0.02,
135,8656.54,0.02,
136,8657.61,0.02,
137,8656.32,0.02,
138,8656.74,0.02,
139,8656.99,0.02,
140,8657.32,0.02,
141,8656.88,0.02,
142,8656.35,0.02,
143,8656.99,0.02,
144,8656.94,0.02,
145,8656.58,0.02,
146,8656.5,0.02,
147,8657.35,0.02,
148,8656.89,0.02,
149,8656.37,0.02,
150,8655.98,0.02,
151,8655.95,0.02,
152,8656.36,0.02,
153,8656.51,0.02,
154,8656.88,0.02,
155,8656.68,0.02,
156,8656.28,0.02,
157,8656.47,0.02,
158,8656.66,0.02,
159,8655.99,0.02,
160,8655.98,0.02,
161,8656.58,0.02,
162,8656.75,0.02,
163,8656.47,0.02,
164,8655.96,0.02,
165,8655.86,0.02,
166,8656.23,0.02,
167,8656.58,0.02,
168,8656.43,0.02,
169,8656.04,0.02,
170,8657.33,0.02,
171,8658.91,0.02,
172,8656.7,0.02,
173,8657.42,0.02,
174,8659.82,0.02,
175,8657.99,0.02,
176,8661.46,0.02,
177,8659.58,0.02,
178,8659.95,0.02,
179,8660.73,0.02,
180,8658.73,0.02,
181,8658.16,0.02,
182,8658.8,0.02,
183,8658.13,0.02,
184,8662.15,0.02,
185,8661.23,0.02,
