time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
2.295,338.051,472.168,310.588,310.409,303.722,274.968,517.732,783.868,2838.99,836.898,58.7629,31.9479,1818.45,3557.81,75.1861,103.718,63.4768,204.708,63.4802,75.8546,39.4881,41.5029,36.2574,186.197,45.4624,167.245,248.274,0,195.521,0,180.953,135.834,107.35,1008.13,175.34,2990.6,0,130.348,484.455,252.207,2.83116,0,0,2.43588,0,0,0,11.322,703.521,207.577,355.595,487.892,140.957,60.5605,0,0,6.81647,0,0,0,0,0,0,43.6162,0,1304.84,3044.61,0,0.108509,0,83.5828,31.8228,85.4174,511.269,0,170.694,1194.63,0,0,0,
2.3,337.691,471.934,310.298,310.299,303.18,274.425,517.598,783.016,2817.91,830.398,72.9546,34.5948,1818.28,4246.61,85.0079,114.386,62.8068,212.08,81.7327,104.411,44.8201,53.676,52.9434,185.968,64.6872,179.445,261.351,0,278.53,0,180.767,135.831,107.176,1009.46,175.66,2956.51,25.7028,209.351,810.061,414.516,2.83116,0,0,2.43569,0,0,0,11.322,702.403,206.971,359.225,496.221,140.957,60.5605,0,0,6.81704,0,0,0,0,0,0,43.6162,0,1325.31,3063.8,0,0.1004,0,83.5824,31.8228,85.4174,511.269,0,166.989,1209.97,0,0,0,
2.305,358.403,459.27,411.501,391.165,406.531,317.411,572.611,609.748,2757.09,810.376,87.8505,48.3378,1807.09,4294.71,125.374,167.982,102.61,232.133,135.689,202.008,49.5624,74.2994,96.9705,201.02,43.6342,192.637,286.938,27.4997,234.455,0,130.213,182.474,122.038,1092.29,84.4868,2855.93,1.15264,346.851,1269.02,651.77,0,0,5.30387,11.1626,2.50839,0,10.1086,5.86298,690.261,202.463,377.205,545.321,140.456,59.9761,11.0965,16.8388,22.3014,10.1156,13.3343,18.73,2.78201,5.14114,12.0082,43.6622,0,1392.68,3126.17,31.5294,0,0,67.5904,57.0931,91.923,543.041,0,148.364,1299.88,9.92369,26.9344,11.2356,
2.31,368.514,453.98,458.94,442.205,445.636,334.243,610.253,536.606,2706.68,799.385,99.3615,54.3506,1795.62,4382.44,128.571,175.476,113.567,233.962,151.108,241.848,48.8607,81.7916,121.624,209.335,29.2863,180.761,279.348,24.9417,251.09,0,110.323,212.172,128.556,1157.23,18.2341,2800.55,4.57217,459.228,1655.89,846.794,0,0,6.27434,14.939,3.35738,0,11.7311,6.7021,681.749,199.672,376.625,543.102,140.047,59.5608,13.0796,19.2896,28.9488,12.0387,14.8805,19.597,3.3566,6.47468,12.4343,43.7382,0,1365.59,3097.76,28.7746,0,0,58.412,72.1575,95.0651,564.953,0,138.378,1298.87,13.6676,38.0453,16.7821,
2.315,375.189,453.726,473.416,471.916,454.66,342.009,635.567,500.546,2692.5,799.07,107.913,60.3975,1785.68,4448.44,124.07,169.558,119.51,230.535,153.92,258.502,46.5086,84.0298,138.254,213.987,23.7514,179.957,285.152,35.7578,271.498,0,96.5262,229.704,132.073,1209.87,8.33766,2801.52,11.2011,570.089,2067.4,1045.96,0,0,6.97065,17.0978,3.73156,0,18.2839,6.19979,674.615,197.405,384.783,565.292,139.557,59.2902,14.728,21.5249,32.2726,13.2649,16.9887,22.5728,3.42788,6.762,14.6085,43.8232,0,1382.55,3114.94,40.2796,0,0,50.7449,82.2989,97.5755,582.973,0,131.553,1340.81,18.3605,51.0536,21.7946,
2.32,380.744,456.808,477.172,487.864,457.087,347.094,653.765,482.158,2668.27,793.716,113.615,60.8993,1776.68,4496.63,118.828,163.024,124.184,226.621,151.238,266.002,43.6728,83.4695,149.12,216.792,23.49,161.482,264.861,40.2285,291.047,0,91.6501,239.733,134.786,1254.73,21.2558,2777.55,20.1685,681.255,2479.63,1243.99,0,0,7.21485,18.9503,3.90293,0,21.6846,4.24051,667.524,195.281,379.278,547.944,138.98,59.2497,14.815,21.9501,35.5352,13.4719,17.2673,23.4838,3.47546,6.7755,15.2262,43.9107,0,1330.96,3068.84,44.8961,0,0,44.6197,90.181,99.8631,599.607,0,125.815,1313.66,20.0152,55.7157,23.4643,
2.325,385.89,462.078,479.517,494.692,458.882,351.312,668.502,471.899,2644.91,789.788,117.003,64.0131,1768.82,4526.65,113.93,157.377,129.092,223.321,145.635,268.122,40.839,80.9022,154.636,218.582,24.8928,158.716,262.751,41.6613,307.134,0,87.7541,245.798,137.221,1294.71,0,2762.24,31.2483,791.323,2868.95,1429.99,0,0,7.24741,20.8027,4.01122,0,23.5412,2.88703,660.685,193.181,383.288,557.805,138.316,59.3045,14.5535,21.6326,38.8604,13.4553,16.9621,23.2334,3.52502,6.733,15.1053,43.9951,0,1330.95,3069.96,46.4345,0,0,39.4032,96.9602,101.973,615.88,0,120.441,1334.15,20.5714,57.3436,24.0327,
2.33,390.898,468.72,481.677,497.935,460.439,355.225,681.661,465.726,2626.87,792.271,118.438,58.7694,1761.91,4539.47,109.513,152.834,134.406,220.515,139.065,266.025,38.1817,76.9367,156.014,219.73,26.7295,122.618,215.766,41.5391,320.09,0,84.4025,249.885,139.447,1331.66,0,2778.63,40.3179,895.221,3229.54,1600.19,0,0,7.18736,22.7277,4.08696,0,24.769,1.92354,653.395,191.07,364.359,498.944,137.512,59.4906,14.2081,21.0822,42.2245,13.4167,16.5428,22.6177,3.59112,6.67423,14.7853,44.0715,0,1203.52,2959.82,46.4275,0,0,34.55,103.029,103.899,632.279,0,115.182,1236.56,20.7638,57.9949,24.2771,
2.335,395.691,476.219,483.49,500.199,461.707,358.823,693.996,462.151,2659.5,810.664,118.49,55.5816,1756.4,4535.45,105.403,149.722,139.884,218.161,132.349,260.63,35.8281,72.2702,154.469,220.433,28.5983,102.782,191.942,40.5466,330.203,0,81.4162,252.947,141.468,1366.63,0,2878.65,48.6191,991.865,3561.63,1754.84,0,0,7.07706,24.7309,4.13943,0,25.7885,1.11726,646.102,188.935,361.521,488.123,136.561,59.8914,13.8142,20.4167,45.5933,13.4076,16.0969,21.8644,3.67418,6.61923,14.4164,44.1355,0,1164.13,2935.06,45.5603,0,0,30.0047,108.47,105.629,648.962,0,109.987,1221.66,20.8345,58.3113,24.4207,
2.34,400.22,484.149,485.05,501.977,462.81,362.204,705.747,460.694,2687.08,824.879,117.505,48.6859,1751.26,4516.24,101.965,148.019,145.447,215.964,125.566,252.685,33.8173,67.4977,150.865,220.748,30.3853,76.5763,137.928,39.0127,338.01,0,78.8778,255.245,143.295,1400.3,0,2960.37,54.3785,1081.28,3866.8,1894.75,0,0,6.93365,26.7995,4.17188,0,26.7594,0.400799,638.611,186.812,342.052,425.007,135.476,60.4675,13.3902,19.6697,48.9435,13.5088,15.6312,21.028,3.76847,6.57354,14.0294,44.1839,0,1021.25,2827.27,44.17,0,0,25.7744,113.271,107.151,665.991,0,104.811,1119.65,20.8591,58.5048,24.5233,
2.345,404.508,492.24,486.135,503.383,463.585,365.162,716.966,461.218,2695.04,830.185,115.972,48.4041,1741.75,4484.27,99.5678,147.358,151.126,213.819,118.492,242.762,32.1088,62.8581,145.755,220.702,32.0908,72.9005,120.545,37.1178,343.875,0,76.9205,256.942,144.895,1433.04,0,3001.46,60.6887,1163.67,4146.31,2020.75,0,0,6.76439,28.916,4.18598,0,27.7333,0,631.314,184.643,340.755,416.424,134.307,61.2192,12.9402,18.8629,52.2871,13.8155,15.356,20.2379,3.8763,6.53392,13.6255,44.2137,0,1004.41,2813.48,42.4382,0,0,21.8585,117.379,108.454,683.398,0,99.6679,1110.88,20.8544,58.6209,24.5953,
2.35,408.49,500.269,486.837,504.412,464.124,367.644,727.624,463.74,2691.62,830.318,114.229,50.1056,1705.82,4441.48,97.7614,147.331,156.743,211.717,111.833,231.722,30.6455,58.3778,139.627,220.353,33.6721,78.8913,121.481,34.9655,348.133,0,75.6087,258.001,146.252,1464.91,0,3017.8,66.5206,1239.21,4402.33,2133.57,0,0,6.57535,31.061,4.18436,0,28.7151,0,624.029,182.438,350.483,442.692,133.025,62.1636,12.4588,18.014,55.5914,14.3296,15.3466,19.4701,3.98667,6.4913,13.2,44.2232,0,1066.05,2857.81,40.4727,0,0,18.2572,120.752,109.536,701.154,0,94.564,1159.6,20.8261,58.6623,24.6364,
