time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,-0,-0,-0,-0,-0,-0,-0,-0,0.368479,0.369031,0.718218,0.252862,0.999091,0.999956,0.955581,0.956058,1,0.955819,0.955581,0.956714,0.959277,0.955428,0.955819,-0,0.365907,0.735172,0.789162,0.160863,0.375626,0.198366,0.473243,-0,-0,1,0.198478,0.584963,0.530229,0.338269,0.338269,0.338269,-0,-0,-0,-0,-0,-0,-0,-0,0.204892,-0,0.969185,0.506033,1,0.980077,0.326735,0.319282,0.714634,0.4083,0.35607,0.317076,0.385047,0.392945,0.537563,-0,0.448389,0.864356,0.950757,0.518781,0.748834,0.566123,0.450149,-0,-0,1,0.77884,0.584903,1,-0,-0,-0,
3.605,-0,-0,-0,-0,-0,-0,-0,-0,0.367395,0.367696,0.834268,0.252266,0.977879,0.975336,0.953196,0.953255,1,0.953196,0.953196,0.953375,0.953911,0.953199,0.953196,-0,0.507513,0.852996,0.788174,0.159194,0.53488,0.197889,0.471281,-0,-0,0.96679,0.198034,0.583532,0.528381,0.351122,0.351122,0.351122,-0,-0,-0,-0,-0,-0,-0,-0,0.204435,-0,1,0.502223,1,0.964755,0.317195,0.308967,0.730398,0.448963,0.356845,0.306582,0.40502,0.418828,0.764369,-0,0.638046,0.863609,0.988723,0.517589,0.8792,0.613077,0.641452,-0,-0,1,0.898513,0.583472,1,-0,-0,-0,
3.61,-0,-0,-0,-0,-0,-0,-0,-0,0.367289,0.367553,0.8981,0.252266,0.95758,0.951653,0.952898,0.952957,1,0.952898,0.952898,0.952957,0.953017,0.952955,0.952898,-0,0.625924,0.917141,0.788122,0.158777,0.677021,0.197889,0.47094,-0,-0,0.93519,0.197985,0.583413,0.528142,0.339409,0.339409,0.339409,-0,-0,-0,-0,-0,-0,-0,-0,0.20442,-0,1,0.501304,1,0.940919,0.303243,0.297102,0.716498,0.448068,0.339137,0.295433,0.392559,0.409224,0.966134,-0,0.807149,0.863573,1,0.517529,0.95127,0.618559,0.812594,-0,-0,0.973342,0.960569,0.583413,1,-0,-0,-0,
3.615,-0,-0,-0,-0,-0,-0,-0,-0,0.367268,0.367518,0.935397,0.252206,0.946567,0.938771,0.952898,0.952898,0.975715,0.952898,0.952898,0.952898,0.952898,0.952955,0.952898,-0,0.723825,0.954291,0.788081,0.158717,0.803482,0.197889,0.470896,-0,-0,0.918197,0.197985,0.583353,0.528082,0.321311,0.321311,0.321311,-0,-0,-0,-0,-0,-0,-0,-0,0.204389,-0,1,0.501088,1,0.924007,0.293823,0.289948,0.693761,0.429048,0.321071,0.288994,0.370498,0.387398,1,-0,0.957344,0.863541,1,0.51747,0.993036,0.604699,0.965197,-0,-0,0.924396,0.994529,0.583353,1,-0,-0,-0,
3.62,-0,-0,-0,-0,-0,-0,-0,-0,0.367289,0.367542,0.958182,0.252504,0.94153,0.932853,0.953136,0.953136,0.963305,0.953136,0.953136,0.953136,0.953136,0.953199,0.953136,-0,0.80372,0.976919,0.788294,0.158717,0.915454,0.197889,0.47094,-0,-0,0.910386,0.19801,0.583651,0.528321,0.304116,0.304116,0.304116,-0,-0,-0,-0,-0,-0,-0,-0,0.204587,-0,1,0.501438,1,0.914364,0.288457,0.286251,0.670754,0.404126,0.307179,0.285774,0.348557,0.364011,1,-0,1,0.863706,0.999392,0.517648,1,0.582274,1,-0,-0,0.889132,1,0.583651,1,-0,-0,-0,
3.625,-0,-0,-0,-0,-0,-0,-0,-0,0.367183,0.367446,0.972484,0.252683,0.939385,0.930319,0.953434,0.953434,0.957687,0.953434,0.953434,0.953375,0.953375,0.953444,0.953434,-0,0.867875,0.991246,0.788384,0.158717,1,0.197949,0.470996,-0,-0,0.907107,0.198034,0.583771,0.528381,0.290197,0.290197,0.290197,-0,-0,-0,-0,-0,-0,-0,-0,0.204724,-0,1,0.501787,1,0.909448,0.285535,0.284403,0.651018,0.379382,0.297699,0.284104,0.330074,0.343357,1,-0,1,0.863771,0.992799,0.517708,1,0.557172,1,-0,-0,0.86649,1,0.583771,1,-0,-0,-0,
3.63,-0,-0,-0,-0,-0,-0,-0,-0,0.367183,0.367446,0.981512,0.252981,0.938477,0.929244,0.953673,0.953673,0.955376,0.953673,0.953673,0.953673,0.953673,0.953718,0.953673,-0,0.918257,1,0.788593,0.158777,1,0.197949,0.471043,-0,-0,0.905676,0.198059,0.584069,0.528619,0.279819,0.279819,0.279819,-0,-0,-0,-0,-0,-0,-0,-0,0.204922,-0,1,0.502234,1,0.907123,0.283985,0.283329,0.635537,0.35756,0.291557,0.28321,0.315764,0.32669,1,-0,1,0.863931,0.983561,0.517887,1,0.532688,1,-0,-0,0.852874,1,0.584069,1,-0,-0,-0,
3.635,-0,-0,-0,-0,-0,-0,-0,-0,0.367076,0.367327,0.98706,0.25322,0.938066,0.928757,0.953971,0.953911,0.954533,0.953971,0.953971,0.953911,0.953911,0.953993,0.953971,-0,0.956594,1,0.788683,0.158717,1,0.197949,0.47108,-0,-0,0.90502,0.198084,0.584188,0.528679,0.272465,0.272465,0.272465,-0,-0,-0,-0,-0,-0,-0,-0,0.205059,-0,1,0.502616,1,0.906099,0.283031,0.282733,0.62405,0.339375,0.287682,0.282614,0.305211,0.31392,1,-0,1,0.863996,0.972237,0.517947,1,0.51055,1,-0,-0,0.845018,1,0.584188,1,-0,-0,-0,
3.64,-0,-0,-0,-0,-0,-0,-0,-0,0.367097,0.367351,0.990173,0.253458,0.937845,0.928498,0.954209,0.954209,0.954342,0.954209,0.954209,0.954209,0.954209,0.954237,0.954209,-0,0.984498,1,0.788873,0.158777,1,0.198009,0.471124,-0,-0,0.904722,0.198108,0.584426,0.528858,0.267433,0.267433,0.267433,-0,-0,-0,-0,-0,-0,-0,-0,0.205227,-0,1,0.503003,0.98484,0.905694,0.282375,0.282197,0.61582,0.324827,0.285237,0.282197,0.297639,0.30444,1,-0,1,0.864143,0.959357,0.518125,1,0.491499,1,-0,-0,0.840671,1,0.584426,1,-0,-0,-0,
3.645,-0,-0,-0,-0,-0,-0,-0,-0,0.366949,0.36722,0.991483,0.253637,0.937695,0.928324,0.954448,0.954448,0.954418,0.954448,0.954448,0.954448,0.954448,0.954512,0.954448,-0,1,1,0.788913,0.158717,1,0.198009,0.47115,-0,-0,0.904484,0.198133,0.584486,0.528858,0.264082,0.264082,0.264082,-0,-0,-0,-0,-0,-0,-0,-0,0.205333,-0,1,0.503317,0.965618,0.905572,0.281898,0.281779,0.610039,0.313499,0.283627,0.281779,0.292332,0.297544,1,-0,1,0.864168,0.945471,0.518125,1,0.475672,1,-0,-0,0.838332,1,0.584486,1,-0,-0,-0,
