time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0,0,0,0,0,0,0,0,0.366963,0.366963,0.212706,0.252128,0.905219,0.905219,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0,0.197787,0.216761,0.551401,0.158637,0.197787,0.197787,0.197787,0,0,0.905219,0.197787,0.583267,0.528008,0.210281,0.210281,0.210281,0,0,0,0,0,0,0,0,0.204068,0,0.520319,0.216312,0.834443,0.834443,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0,0.236114,0.572736,0.489635,0.517361,0.236114,0.236114,0.236114,0,0,0.834443,0.236114,0.583267,0.583267,0,0,0,
3.605,0,0,0,0,0,0,0,0,0.366923,0.366923,0.212707,0.252125,0.905219,0.905219,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0,0.197787,0.216762,0.551366,0.158623,0.197787,0.197787,0.197787,0,0,0.905219,0.197787,0.583229,0.52797,0.210281,0.210281,0.210281,0,0,0,0,0,0,0,0,0.204064,0,0.520287,0.216314,0.834443,0.834443,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0,0.236114,0.572699,0.489596,0.517322,0.236114,0.236114,0.236114,0,0,0.834443,0.236114,0.583229,0.583229,0,0,0,
3.61,0,0,0,0,0,0,0,0,0.366957,0.366957,0.212754,0.252176,0.905219,0.905219,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0,0.197787,0.21681,0.551444,0.15864,0.197787,0.197787,0.197787,0,0,0.905219,0.197787,0.58331,0.528039,0.210281,0.210281,0.210281,0,0,0,0,0,0,0,0,0.204102,0,0.520363,0.216361,0.834443,0.834443,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0,0.236114,0.572779,0.489657,0.517389,0.236114,0.236114,0.236114,0,0,0.834443,0.236114,0.58331,0.58331,0,0,0,
3.615,0,0,0,0,0,0,0,0,0.366938,0.366938,0.212714,0.252134,0.905219,0.905219,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0.952896,0,0.197787,0.216769,0.551387,0.158629,0.197787,0.197787,0.197787,0,0,0.905219,0.197787,0.583251,0.52799,0.210281,0.210281,0.210281,0,0,0,0,0,0,0,0,0.204071,0,0.520307,0.216321,0.834443,0.834443,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0.283486,0,0.236114,0.57272,0.489615,0.517342,0.236114,0.236114,0.236114,0,0,0.834443,0.236114,0.583251,0.583251,0,0,0,
3.62,0,0,0,0,0,0,0,0,0.366964,0.366964,0.213013,0.25244,0.905062,0.905062,0.953168,0.953168,0.953168,0.953168,0.953168,0.953168,0.953168,0.953168,0.953168,0,0.19782,0.217073,0.551713,0.158672,0.19782,0.19782,0.19782,0,0,0.905062,0.19782,0.58358,0.528241,0.21033,0.21033,0.21033,0,0,0,0,0,0,0,0,0.204287,0,0.520631,0.216624,0.834638,0.834638,0.283126,0.283126,0.283126,0.283126,0.283126,0.283126,0.283126,0.283126,0.283126,0,0.235982,0.573049,0.489813,0.517579,0.235982,0.235982,0.235982,0,0,0.834638,0.235982,0.58358,0.58358,0,0,0,
3.625,0,0,0,0,0,0,0,0,0.366851,0.366851,0.213215,0.252634,0.904906,0.904906,0.953439,0.953439,0.953439,0.953439,0.953439,0.953439,0.953439,0.953439,0.953439,0,0.197853,0.217278,0.551816,0.158653,0.197853,0.197853,0.197853,0,0,0.904906,0.197853,0.583673,0.528281,0.210387,0.210387,0.210387,0,0,0,0,0,0,0,0,0.204414,0,0.520743,0.21683,0.83483,0.83483,0.282759,0.282759,0.282759,0.282759,0.282759,0.282759,0.282759,0.282759,0.282759,0,0.235846,0.573145,0.489817,0.517609,0.235846,0.235846,0.235846,0,0,0.83483,0.235846,0.583673,0.583673,0,0,0,
3.63,0,0,0,0,0,0,0,0,0.366864,0.366864,0.213499,0.252925,0.904747,0.904747,0.953706,0.953706,0.953706,0.953706,0.953706,0.953706,0.953706,0.953706,0.953706,0,0.197879,0.217567,0.552117,0.15869,0.197879,0.197879,0.197879,0,0,0.904747,0.197879,0.583975,0.52851,0.210443,0.210443,0.210443,0,0,0,0,0,0,0,0,0.204618,0,0.521043,0.217119,0.835013,0.835013,0.282392,0.282392,0.282392,0.282392,0.282392,0.282392,0.282392,0.282392,0.282392,0,0.235709,0.573447,0.489994,0.517823,0.235709,0.235709,0.235709,0,0,0.835013,0.235709,0.583975,0.583975,0,0,0,
3.635,0,0,0,0,0,0,0,0,0.366736,0.366736,0.213715,0.253132,0.904588,0.904588,0.953971,0.953971,0.953971,0.953971,0.953971,0.953971,0.953971,0.953971,0.953971,0,0.197899,0.217787,0.55222,0.158667,0.197899,0.197899,0.197899,0,0,0.904588,0.197899,0.584067,0.528545,0.210504,0.210504,0.210504,0,0,0,0,0,0,0,0,0.204753,0,0.521157,0.217338,0.835189,0.835189,0.282012,0.282012,0.282012,0.282012,0.282012,0.282012,0.282012,0.282012,0.282012,0,0.235573,0.573542,0.48999,0.517848,0.235573,0.235573,0.235573,0,0,0.835189,0.235573,0.584067,0.584067,0,0,0,
3.64,0,0,0,0,0,0,0,0,0.366777,0.366777,0.213948,0.253373,0.904426,0.904426,0.954235,0.954235,0.954235,0.954235,0.954235,0.954235,0.954235,0.954235,0.954235,0,0.197925,0.218024,0.552494,0.158708,0.197925,0.197925,0.197925,0,0,0.904426,0.197925,0.584344,0.528763,0.210565,0.210565,0.210565,0,0,0,0,0,0,0,0,0.204925,0,0.521428,0.217576,0.835361,0.835361,0.281626,0.281626,0.281626,0.281626,0.281626,0.281626,0.281626,0.281626,0.281626,0,0.235432,0.573819,0.490165,0.518053,0.235432,0.235432,0.235432,0,0,0.835361,0.235432,0.584344,0.584344,0,0,0,
3.645,0,0,0,0,0,0,0,0,0.366615,0.366615,0.214124,0.253536,0.904265,0.904265,0.954495,0.954495,0.954495,0.954495,0.954495,0.954495,0.954495,0.954495,0.954495,0,0.197938,0.218203,0.552525,0.158669,0.197938,0.197938,0.197938,0,0,0.904265,0.197938,0.584361,0.528734,0.21063,0.21063,0.21063,0,0,0,0,0,0,0,0,0.205026,0,0.521472,0.217754,0.835524,0.835524,0.28124,0.28124,0.28124,0.28124,0.28124,0.28124,0.28124,0.28124,0.28124,0,0.235291,0.57384,0.490105,0.518015,0.235291,0.235291,0.235291,0,0,0.835524,0.235291,0.584361,0.584361,0,0,0,
