time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,148.698,268.239,54.8352,64.1661,16.6231,1.63539,147.346,14.4199,22.7347,19.8289,140.529,269.558,0,3.4079,2209.43,1861.78,1264.52,1461.67,891.153,1152.27,883.057,809.99,5.01134,74.1125,1286.71,274.959,760.41,0,3914.72,462.859,1339.31,92.4566,143.449,2.81727,691.302,82.4456,22.5836,1194.01,3592.31,1799.36,0,0,6.50447e-05,0.0521266,0,0,67.5794,32.888,73.014,0,1738.58,0.0555009,0,0,625.814,975.644,1396.05,925.688,501.932,659.954,317.96,428.591,620.889,18.6948,654.909,1205.74,2266,2417.28,3670.51,740.348,131.925,8.08453,32.8062,1.41564,393.043,202.712,77.8796,0,0,0,
3.605,148.698,268.239,54.8352,64.1659,16.6231,1.63539,147.346,14.4191,22.7232,19.8204,175.059,272.174,0,2.6735,16.488,1861.33,1271.05,1461.45,6.51371,1151.87,62.4911,26.5407,4.97208,74.1125,2221.45,359.159,776.247,0,348.777,462.724,1337.39,92.4566,143.45,1.3316,693.819,82.3949,22.5574,1358.58,4082.58,2046.66,0,0,6.50447e-05,0.0512755,0,0,67.5794,32.888,72.9826,0,1843.68,0.00470409,0,0,642.834,992.367,1484.02,1014.29,530.697,663.339,335.991,446.602,669.068,18.6948,1226.99,1213.69,2401.74,2417.27,0,854.511,215.085,8.08461,32.8062,1.32579,460.123,202.564,81.8976,0,0,0,
3.61,142.418,257.096,55.9701,66.8716,15.7381,1.07178,156.994,8.57275,23.1785,20.9927,187.116,278.109,0,0.88243,2135.79,1995.55,1367.29,1493.25,845.321,1325.63,873.639,793.875,12.3829,73.179,2261.19,354.561,767.09,10.8198,7002.72,415.697,1241.95,104.031,146.204,0.392593,661.124,94.2414,27.7621,1449.83,4340.9,2180.25,2.59622,1.04614,4.27741,4.26321,4.47921,2.05412,85.5634,31.6915,71.176,0.44644,1910.82,0.185548,0,0,698.122,1086.81,1790.55,1019.85,547.685,693.08,318.757,439.364,675.021,20.1895,1212.32,1200.82,2454.6,2435.62,5434.55,855.88,232.014,23.843,37.9833,1.43492,440.394,208.125,102.513,12.3414,33.1334,17.4507,
3.615,140.705,251.384,56.4397,68.1962,15.692,0.20205,163.08,7.75439,23.5157,21.8944,201.267,283.359,0,0.143914,208.026,2084.62,1418.37,1514.56,147.054,1435.91,186.75,109.563,16.5747,72.7697,2621.89,360.192,758.086,11.6637,1575.12,381.404,1204.67,111.222,147.629,0,633.021,102.976,31.6945,1497.52,4476.88,2245.25,3.46505,1.19678,6.04089,7.43743,5.4865,2.78856,96.5185,31.226,69.928,0.00856845,1974.9,0.430338,0,0,712.728,1124.47,1945.14,1012.73,549.299,702.145,307.305,431.236,686.835,20.7959,1418.08,1189,2503.84,2451.39,0,857.414,278.452,34.9179,40.24,1.55264,426.684,212.094,116.706,17.0323,43.2363,25.3899,
3.62,138.688,246.521,56.8797,69.3172,15.6076,0,168.044,7.19192,23.7801,22.6183,214.582,288.053,0,0,2031.26,2142.2,1445.14,1530,773.502,1501.99,772.045,758.949,20.1282,72.4167,2914.43,365.308,749.435,18.013,6867.88,355.582,1188.55,116.73,148.883,0,608.616,109.973,34.8894,1510.47,4513.7,2256.62,3.82651,2.12627,6.64797,8.72089,6.26628,3.07294,105.186,30.857,69.0416,0.0166667,2034.4,0.784744,0,0,710.741,1135.12,2000.26,993.894,542.83,704.588,296.635,422.134,686.444,21.3054,1563.17,1178.21,2548.74,2465.81,5726.76,853.836,307.273,42.3924,42.0273,1.69197,413.022,215.237,126.752,26.9229,71.0857,38.5835,
3.625,136.809,241.931,57.3427,70.4336,15.5615,0,172.648,6.52697,23.9904,23.2214,227.169,292.218,0,0,273.263,2179.93,1456.8,1542.71,493.555,1540.41,506.918,260.342,23.7597,72.0811,3197.11,370.294,741.155,21.1248,4462.31,335.854,1180.43,121.592,150.116,0,587.364,115.98,37.6655,1499.33,4481.03,2232.39,3.97949,2.7289,7.10625,9.53696,6.48284,3.20279,113.266,30.4915,68.3416,0.0238367,2089.58,1.28393,0,0,705.812,1138.11,2000.06,968.311,533.977,706.078,286.895,413.017,685.483,21.812,1663.96,1168.29,2587.14,2479.62,0,845.415,319.505,48.2232,43.7592,0.177341,399.817,217.852,134.471,31.8556,85.4659,44.8277,
3.63,135.01,237.561,57.8355,71.5842,15.5419,0,177.129,5.8259,24.165,23.7454,239,295.945,0,0,2022.58,2203.84,1460.99,1554.69,635.083,1560.57,580.214,617.53,27.6503,71.7615,3456.9,374.99,733.313,22.4731,5210.87,320.586,1175.02,126.198,151.345,0,568.797,121.441,40.225,1475.52,4410.86,2190.98,4.08667,3.0592,7.5958,10.3427,6.61391,3.30564,121.38,30.1174,67.7568,0.0303881,2140.66,1.93914,0,0,702.115,1140.04,1978.17,940.296,525.827,708.04,278.484,404.582,684.679,22.3304,1739.72,1159.13,2619.54,2493.24,5662.15,832.564,323.828,53.5621,45.5206,0.101301,387.359,220.185,140.936,34.3674,92.9581,47.9498,
3.635,133.307,233.422,58.3619,72.7781,15.5519,0,181.549,5.08334,24.3086,24.2078,250.059,299.267,0,0,379.609,2218.77,1461.72,1567.24,650.658,1571.38,576.912,558.864,31.8557,71.4578,3693.2,379.006,725.928,22.9464,5541.03,308.809,1170.44,130.691,152.569,0,552.482,126.521,42.6544,1448.45,4329.96,2146.6,4.18411,3.26298,8.17543,11.2651,6.74975,3.40785,129.758,29.7319,67.2147,0.0357017,2187.91,2.73926,0,0,699.928,1142.77,1954.09,912.673,519.384,710.554,271.414,397.078,683.868,22.8633,1794.35,1150.62,2645.52,2506.89,0,815.955,324.914,58.9504,47.3306,0.037544,375.559,222.269,146.744,35.8935,97.588,49.9124,
3.64,131.706,229.521,58.9231,74.0194,15.5938,0,185.922,4.30202,24.43,24.6271,260.339,302.236,0,0,1968.77,2228.27,1460.65,1580.96,663.559,1576.82,578.148,563.455,36.381,71.1707,3904.84,382.524,719.046,22.9709,5788.06,299.899,1165.98,135.104,153.783,0,538.095,131.33,45.0268,1423.93,4255.45,2107.59,4.28067,3.41512,8.86378,12.3388,6.89501,3.5154,138.486,29.3341,66.6945,0.0397773,2231.55,3.65886,0,0,698.866,1146.13,1935.58,887.006,514.612,713.559,265.446,390.487,682.943,23.4111,1831.04,1142.69,2665,2520.66,5589.58,796.465,324.461,64.6409,49.1926,0,364.315,224.211,152.229,37.1176,101.226,51.5685,
3.645,130.216,225.871,59.5207,75.3106,15.6688,0,190.239,3.49157,24.5239,25.0045,269.84,304.886,0,0,879.367,2234.11,1458.57,1596.21,677.689,1578.6,582.305,566.485,41.233,70.9009,4086.85,385.623,712.654,22.7497,5949.75,293.446,1161.41,139.448,154.981,0,525.352,135.881,47.3574,1404.68,4195.52,2077.32,4.37801,3.54615,9.66756,13.5728,7.04548,3.62883,147.599,28.9232,66.1647,0.0426147,2271.84,4.65658,0,0,698.559,1150.13,1923.5,863.867,511.106,716.831,260.285,384.606,681.831,23.9737,1853.07,1135.22,2678.1,2534.59,0,775.074,323.203,70.7309,51.1061,0,353.544,225.979,157.575,38.2978,104.686,53.2127,
