time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,1.22557,1.25312,1.1316,1.14339,1.06903,1.02101,1.14703,1.02482,0.516336,0.541909,0.656736,0.784801,0.396218,0.413621,0.785663,0.855231,1.25628,0.826075,0.604415,0.808176,0.865359,0.687849,0.428126,1.23973,0.841004,0.712362,0.694026,0.383408,0.722997,0.544884,1.03795,1.08638,1.23019,0.412734,0.754159,0.504674,0.468209,0.844353,0.903393,0.90959,0.901022,0.935587,0.998875,1.00314,0.824191,0.778456,1.09562,1.10383,0.520929,0.678257,0.647654,0.437993,0.307536,0.294301,0.983621,1.07213,1.11011,1.30221,1.20323,1.27579,1.27962,1.362,1.42823,1.10988,0.94166,0.637352,0.665467,1.51239,0.692936,0.672948,0.99033,1.02424,1.10022,0.373482,1.22821,0.497804,0.439289,0.75222,0.826531,0.933928,
3.605,1.22557,1.25312,1.1316,1.14339,1.06903,1.02101,1.14703,1.02482,0.516342,0.541916,0.651238,0.784143,0.396218,0.413428,0.756223,0.855235,1.25622,0.826079,0.581942,0.808182,0.846788,0.665243,0.428135,1.23973,0.838194,0.708637,0.691658,0.383408,0.706365,0.544888,1.03796,1.08638,1.23019,0.412572,0.753993,0.504682,0.468216,0.842929,0.901953,0.908226,0.901022,0.935587,0.998875,1.00314,0.824191,0.778456,1.09562,1.10383,0.520931,0.678257,0.643431,0.437998,0.307536,0.294301,0.983473,1.07201,1.10952,1.30134,1.20264,1.27576,1.27944,1.36171,1.42704,1.10988,0.938633,0.636899,0.661964,1.51239,0.650872,0.669284,0.988762,1.02424,1.10022,0.37406,1.22583,0.497812,0.437588,0.752221,0.826531,0.933928,
3.61,1.22359,1.25088,1.13203,1.14439,1.06866,1.02073,1.14864,1.02437,0.516449,0.542299,0.64566,0.783687,0.39534,0.413242,0.781115,0.855994,1.25716,0.82631,0.598468,0.80979,0.861572,0.683826,0.431111,1.23909,0.833931,0.704257,0.689263,0.387137,0.711342,0.544418,1.03726,1.08768,1.23111,0.412493,0.753416,0.505555,0.468845,0.842389,0.901357,0.907731,0.902331,0.935953,1.00113,1.00532,0.826612,0.779647,1.09888,1.10332,0.52085,0.678378,0.639601,0.438015,0.307265,0.293665,0.984672,1.07332,1.1113,1.3006,1.20294,1.27685,1.27871,1.36123,1.4267,1.11111,0.933742,0.636374,0.658606,1.51281,0.687418,0.665685,0.985819,1.02632,1.10231,0.374675,1.22272,0.497974,0.436853,0.753087,0.827324,0.93474,
3.615,1.22177,1.24837,1.13251,1.14558,1.06833,1.02003,1.15078,1.02389,0.516617,0.542919,0.640367,0.783409,0.394263,0.41307,0.766443,0.857258,1.2588,0.82669,0.589994,0.81248,0.853436,0.672733,0.434847,1.23842,0.829639,0.699717,0.686843,0.391138,0.701323,0.543645,1.03628,1.08948,1.23217,0.412403,0.752497,0.506906,0.469832,0.84271,0.901597,0.908067,0.904072,0.936372,1.00427,1.00905,0.82957,0.78125,1.10331,1.10273,0.520719,0.678429,0.636141,0.438047,0.306979,0.292953,0.986493,1.07532,1.1148,1.3001,1.20382,1.27836,1.2779,1.36076,1.42716,1.11253,0.928678,0.635789,0.655493,1.51343,0.647987,0.662447,0.982902,1.02965,1.10479,0.375333,1.21915,0.498221,0.436705,0.754268,0.828351,0.935916,
3.62,1.21997,1.24586,1.13303,1.14683,1.06803,1.01917,1.1531,1.0234,0.516818,0.543684,0.635455,0.783276,0.393031,0.412903,0.781419,0.858847,1.26086,0.827176,0.597553,0.815847,0.85901,0.682865,0.438727,1.23776,0.825327,0.695151,0.684401,0.397243,0.701237,0.542679,1.03519,1.09148,1.23325,0.41176,0.751287,0.508499,0.471015,0.84372,0.90251,0.909047,0.905992,0.937106,1.00765,1.01326,0.832944,0.783013,1.10818,1.10214,0.520555,0.678481,0.633028,0.438096,0.30669,0.292207,0.988499,1.07757,1.11942,1.29976,1.20496,1.27998,1.27705,1.36027,1.42757,1.11399,0.92399,0.635152,0.652616,1.51415,0.684524,0.659669,0.980474,1.03358,1.10736,0.376038,1.21524,0.498506,0.436893,0.756112,0.830021,0.937698,
3.625,1.2182,1.2434,1.13357,1.14812,1.06777,1.01827,1.15548,1.02291,0.517041,0.544536,0.630964,0.783272,0.391687,0.411463,0.769506,0.860643,1.26312,0.827745,0.597418,0.819609,0.858474,0.678115,0.442593,1.23713,0.82111,0.690634,0.681943,0.404356,0.69682,0.541594,1.03405,1.09355,1.23433,0.411077,0.749832,0.510213,0.472304,0.845183,0.903872,0.910435,0.907988,0.938046,1.01114,1.01763,0.836431,0.784847,1.11322,1.10153,0.520371,0.678534,0.630238,0.438173,0.306409,0.29144,0.990533,1.07989,1.12464,1.2995,1.20614,1.28163,1.27614,1.35973,1.42789,1.11549,0.919767,0.634475,0.650018,1.51492,0.64573,0.657372,0.978368,1.03779,1.10996,0.376206,1.21103,0.498813,0.437269,0.758287,0.832023,0.939764,
3.63,1.21649,1.24098,1.13414,1.14944,1.06756,1.01739,1.15786,1.0224,0.517271,0.545434,0.626902,0.783378,0.390266,0.409892,0.782665,0.862565,1.26549,0.828394,0.599997,0.82356,0.859358,0.681533,0.446415,1.23651,0.817039,0.686213,0.679474,0.411885,0.693592,0.540447,1.03287,1.09564,1.23541,0.410375,0.74817,0.511973,0.473642,0.846883,0.905473,0.912024,0.910038,0.939099,1.0147,1.02208,0.839987,0.786738,1.11836,1.10091,0.520173,0.678588,0.627749,0.438283,0.306123,0.290658,0.992555,1.08222,1.13007,1.29922,1.20727,1.28329,1.27515,1.35911,1.42816,1.11701,0.915882,0.633762,0.647709,1.51572,0.681514,0.655521,0.976377,1.04213,1.11259,0.376348,1.20652,0.499126,0.437749,0.76063,0.834197,0.941973,
3.635,1.21483,1.23863,1.13475,1.1508,1.06738,1.01653,1.16024,1.02187,0.517503,0.546355,0.623263,0.783578,0.388797,0.408233,0.773546,0.864557,1.26792,0.829126,0.602596,0.827592,0.860168,0.683384,0.45019,1.23592,0.813149,0.681957,0.677002,0.41954,0.690887,0.539277,1.03167,1.09772,1.23648,0.409668,0.746333,0.51374,0.475002,0.84867,0.907165,0.913676,0.912135,0.94022,1.01833,1.02659,0.843614,0.788685,1.12356,1.10027,0.519966,0.678643,0.62554,0.438435,0.305835,0.289863,0.994566,1.08455,1.13556,1.29885,1.20832,1.28495,1.27405,1.35839,1.42837,1.11856,0.91224,0.633023,0.645693,1.51654,0.643563,0.654045,0.974417,1.04653,1.11525,0.376468,1.20172,0.49944,0.438286,0.763075,0.836476,0.944269,
3.64,1.21324,1.23636,1.13539,1.15221,1.06726,1.01571,1.1626,1.02133,0.517729,0.547277,0.620036,0.783862,0.387301,0.406525,0.782933,0.866585,1.27039,0.829948,0.605161,0.83164,0.860995,0.685268,0.453924,1.23536,0.809457,0.677857,0.674533,0.427173,0.688577,0.538114,1.03045,1.09979,1.23755,0.408972,0.74435,0.515486,0.476361,0.850463,0.908863,0.915319,0.91428,0.941394,1.02203,1.03115,0.847317,0.790692,1.12883,1.09962,0.519751,0.678699,0.623589,0.438633,0.305547,0.289058,0.996572,1.08689,1.14105,1.29835,1.20928,1.28663,1.27285,1.35755,1.42851,1.12015,0.908762,0.632263,0.643972,1.51736,0.678394,0.652857,0.972451,1.05096,1.11793,0.37657,1.19665,0.499749,0.438856,0.765601,0.838839,0.94664,
3.645,1.21172,1.23417,1.13607,1.15366,1.06719,1.01491,1.16492,1.02076,0.517948,0.54819,0.617206,0.784218,0.385794,0.404797,0.779915,0.868627,1.27287,0.830872,0.607723,0.835661,0.861897,0.687147,0.457624,1.23482,0.805995,0.673907,0.672075,0.434706,0.686539,0.536985,1.0292,1.10182,1.2386,0.408297,0.742243,0.517199,0.477713,0.852229,0.910532,0.916928,0.916473,0.942611,1.0258,1.03578,0.851099,0.792761,1.13418,1.09895,0.519529,0.678755,0.621878,0.43888,0.30526,0.288242,0.998581,1.08923,1.14655,1.2977,1.21016,1.28832,1.27154,1.3566,1.42859,1.12176,0.905389,0.631487,0.642536,1.5182,0.641465,0.651865,0.970456,1.05541,1.12065,0.376628,1.19132,0.500052,0.439443,0.768206,0.841281,0.949084,
