time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.0131976,0.0153933,0.00664967,0.00744576,0.00309006,0.0011123,0.00768459,0.00125991,0.00368624,0.00546486,0.0188651,0.0155653,0,0.000664088,0.0137067,0.0425367,0.0428069,0.0428143,0.00937027,0.0425037,0.0132209,0.0132466,0.00195166,0.0142325,0.019048,0.0260532,0.0275035,0,0.00344358,0.00323486,0.0297835,0.0039398,0.0133982,0.000276644,0.0133003,0.00534608,0.00209301,0.0197083,0.0196031,0.0187601,-1.08783e-07,0,-8.83407e-08,0.000232772,0,0,0.00447969,0.00489586,0.00239913,0,0.0252647,0,0,0,0.0208205,0.0219906,0.0364371,0.0326378,0.0272073,0.0295947,0.0322999,0.0376404,0.0459152,0.00530747,0.0225025,0.0300764,0.0280061,0.0650794,0.00836113,0.0183103,0.0265142,0.00123968,0.00470462,0.000403119,0.0374243,0.00470914,0.00205145,7.29966e-08,0,0,
3.605,0.0076345,0.0130627,0.00764332,0.00841234,0.00199392,-0.00149704,0.00848435,0.000695922,0.00375021,0.00576869,0.0198744,0.0158569,-0.00036448,0.000357247,0.067351,0.045748,0.0466778,0.0437479,0.0395675,0.0495748,0.0876336,0.0653958,0.00539347,0.0132496,0.0192691,0.0259981,0.0272733,0.00193895,0.0238121,0.00296593,0.02606,0.00455343,0.014275,2.57343e-05,0.0127576,0.00611573,0.00241836,0.0211969,0.0209918,0.0201923,0.0055757,0.000790324,0.00651027,0.00343977,0.00968099,0.00547375,0.00612585,0.00428584,0.00235345,2.64996e-05,0.0259675,0.000101248,-7.2542e-05,-0.000144527,0.0243077,0.0254378,0.0455406,0.0329772,0.028808,0.0324009,0.0289375,0.0368675,0.0471088,0.0072618,0.0226956,0.0298385,0.0284731,0.0655686,0.0586962,0.0184154,0.0257879,0.0025101,0.00691113,0.000419736,0.0363863,0.00483753,0.00247179,0.00120992,0.00109181,0.00123769,
3.61,0.00793402,0.0126103,0.00780335,0.0086685,0.00211036,-0.00328801,0.00885617,0.000650742,0.00379454,0.00598911,0.0208949,0.0161133,-0.000536144,5.19259e-05,0.0282629,0.0478586,0.0489755,0.0443672,0.0233097,0.0540476,0.0321125,0.029108,0.00657431,0.0131445,0.021029,0.0261798,0.0270495,0.00298363,0.0147748,0.00277447,0.0246166,0.0048614,0.0144703,-0.000250807,0.0122892,0.00663051,0.00263862,0.0221841,0.0219191,0.0211133,0.00743067,0.00131346,0.0088202,0.00507695,0.0124771,0.00730545,0.00690152,0.00417129,0.00232338,2.63339e-05,0.0266163,0.000200481,-7.70122e-05,-0.000172735,0.0255758,0.0268916,0.0508229,0.0331224,0.0294542,0.0333578,0.0278433,0.0364148,0.0476249,0.00763046,0.0248364,0.029622,0.0289146,0.0659529,0.0116199,0.0185071,0.0294788,0.00323249,0.00745124,0.000436661,0.0354893,0.00492165,0.00274095,0.00197551,0.00179032,0.00201861,
3.615,0.00782141,0.0124038,0.00790275,0.00880618,0.00216438,-0.00388777,0.00908801,0.000624924,0.00382683,0.00615558,0.0218758,0.0163379,-0.000661333,-0.000251875,0.0566408,0.0492218,0.0501916,0.0448113,0.0367906,0.0567336,0.0658857,0.0564889,0.00715464,0.013115,0.0228177,0.0264282,0.0268336,0.00394145,0.026158,0.00263504,0.0240129,0.00504962,0.0145723,-0.000517035,0.0118821,0.00700014,0.00279751,0.0226888,0.0223953,0.0215519,0.00813994,0.00183062,0.00952269,0.00560557,0.0138628,0.00796674,0.0073744,0.00412163,0.00230238,4.07431e-05,0.0272138,0.000297543,-7.81885e-05,-0.000187976,0.02582,0.0273655,0.0533825,0.0329277,0.0294727,0.0336166,0.0269521,0.0358843,0.047516,0.00779842,0.0271348,0.0294242,0.0293126,0.0662843,0.0587132,0.0185372,0.0330108,0.00363159,0.00769407,0.000454714,0.0346655,0.00498033,0.00291819,0.00258977,0.00238354,0.00260476,
3.62,0.00780214,0.0122398,0.00800439,0.00892695,0.00225203,-0.00398065,0.00927192,0.000589348,0.00385122,0.0062867,0.0228024,0.0165365,-0.000749406,-0.000556131,0.0344705,0.0500959,0.0507795,0.0451746,0.0312052,0.0582644,0.0464492,0.0383758,0.00760767,0.0130945,0.0246343,0.0267014,0.0266276,0.00438275,0.0240165,0.00253242,0.0237228,0.00519015,0.0146592,-0.000576878,0.0115269,0.00728961,0.00292215,0.0228158,0.0225144,0.0216233,0.0084515,0.00211971,0.00987782,0.00581907,0.0142154,0.00827551,0.00774846,0.00407631,0.00228691,5.38272e-05,0.0277636,0.000391892,-7.56005e-05,-0.000197986,0.0257592,0.0274981,0.0541942,0.0324539,0.0291958,0.033699,0.0260179,0.0352674,0.0474116,0.0079388,0.0290022,0.0292436,0.029669,0.0665908,0.0115979,0.018489,0.0348583,0.00387904,0.00788181,0.00044179,0.0338851,0.00502594,0.00304288,0.00287891,0.00267164,0.00286668,
3.625,0.00780021,0.0120966,0.00811447,0.00904946,0.00235585,-0.00391194,0.00943764,0.000549162,0.00386958,0.00639355,0.0236692,0.0167115,-0.000808619,-0.00063862,0.0580896,0.0506455,0.0510484,0.045517,0.0347666,0.0590744,0.0510556,0.0522881,0.00805875,0.0130791,0.0263608,0.0269765,0.0264324,0.00456186,0.0277833,0.00245695,0.0235399,0.0053106,0.0147415,-0.000610373,0.0112159,0.00753163,0.00302692,0.0227052,0.0224053,0.0214735,0.00867429,0.00227285,0.0101434,0.00596229,0.0144268,0.00852384,0.00809707,0.00402807,0.00227445,6.50896e-05,0.0282688,0.000482209,-7.75611e-05,-0.00020572,0.0256608,0.0275457,0.0541352,0.0318025,0.0288462,0.0337651,0.0250813,0.0346233,0.0473246,0.00807813,0.0303356,0.0290775,0.0299762,0.0668876,0.0578838,0.0183588,0.035548,0.00406517,0.00806406,0.00029839,0.033137,0.00506277,0.00313836,0.0030214,0.00281685,0.00299276,
3.63,0.0078274,0.0119726,0.00823471,0.00917719,0.00247973,-0.00383208,0.00959428,0.000503213,0.00388388,0.0064836,0.0244741,0.0168664,-0.000846286,-0.00069123,0.0389917,0.0509849,0.0511585,0.0458746,0.03512,0.0594768,0.0504894,0.0488054,0.00853971,0.013068,0.0279476,0.0272415,0.0262495,0.00461401,0.029943,0.00240239,0.0233903,0.00542164,0.0148202,-0.000622321,0.0109424,0.00774479,0.00312066,0.0224857,0.0221878,0.0212291,0.00888076,0.00236605,0.0103987,0.0061023,0.014647,0.00877576,0.0084465,0.00397606,0.00226355,7.44472e-05,0.0287325,0.000567255,-7.79532e-05,-0.000212317,0.0255952,0.0275862,0.0538127,0.0310673,0.0285256,0.0338532,0.024183,0.0339933,0.0472409,0.0082206,0.031257,0.0289242,0.0302324,0.0671824,0.0116343,0.0181523,0.0357343,0.0042317,0.00825071,0.0001912,0.0324139,0.00509464,0.00321793,0.00310695,0.00290464,0.00307012,
3.635,0.00788199,0.011867,0.00836374,0.00931084,0.00262495,-0.00374071,0.00974468,0.000450578,0.00389442,0.00656059,0.025217,0.0170035,-0.00086799,-0.00072164,0.0577986,0.0511886,0.0511847,0.0462678,0.035471,0.0596319,0.0506275,0.0488506,0.00905759,0.0130612,0.0293652,0.0274755,0.0260792,0.00460269,0.0314026,0.00236466,0.0232453,0.00552645,0.0148952,-0.000616398,0.010701,0.00793656,0.00320767,0.0222475,0.0219483,0.020977,0.0090894,0.0024349,0.0106656,0.00625693,0.0148845,0.00904754,0.00880539,0.00392057,0.00225323,8.1569e-05,0.0291577,0.000646331,-7.79532e-05,-0.000218611,0.0255652,0.0276419,0.0535114,0.0303139,0.028264,0.0339656,0.0233309,0.0333967,0.0471508,0.00836637,0.0318601,0.0287819,0.0304367,0.0674791,0.0568409,0.017881,0.0356747,0.00439742,0.00844297,0.000114063,0.0317096,0.00512234,0.00328901,0.00317521,0.00297256,0.00313473,
3.64,0.00796699,0.0117806,0.00850173,0.00945026,0.00279152,-0.0036365,0.00988938,0.000390184,0.0039021,0.00662769,0.0258995,0.0171251,-0.000877583,-0.000733652,0.045085,0.0513006,0.0511642,0.0467049,0.0358859,0.0596302,0.051179,0.0490154,0.00961014,0.0130588,0.0305985,0.0276855,0.0259223,0.00455763,0.0323418,0.00234168,0.0230972,0.00562665,0.0149659,-0.000595566,0.0104872,0.00811244,0.0032909,0.0220429,0.0217373,0.0207639,0.00930349,0.00249368,0.0109471,0.00642933,0.0151352,0.0093411,0.00917582,0.00386137,0.00224306,8.61236e-05,0.0295473,0.000718507,-7.77964e-05,-0.000225132,0.0255608,0.027709,0.0533115,0.0295809,0.0280577,0.0340949,0.0225185,0.0328282,0.0470486,0.00851493,0.0322205,0.0286492,0.0305896,0.0677788,0.0116933,0.0175595,0.0354871,0.00456931,0.00863994,6.22629e-05,0.0310189,0.00514735,0.0033557,0.00324083,0.00303642,0.00319858,
3.645,0.00808025,0.0117133,0.00864885,0.00959512,0.00298106,-0.00351889,0.0100283,0.000320568,0.00390646,0.00668532,0.026523,0.017233,-0.000878134,-0.000731143,0.053443,0.051348,0.0511164,0.0471865,0.036331,0.059526,0.0519606,0.0493941,0.0101936,0.0130607,0.0316213,0.0278764,0.0257792,0.00449259,0.0329346,0.00233149,0.0229428,0.00572205,0.015032,-0.000561968,0.0102975,0.00827312,0.00337118,0.0218946,0.0215775,0.0206089,0.00952497,0.00254894,0.0112423,0.00661986,0.0153987,0.00965642,0.0095577,0.00379919,0.00223253,8.80282e-05,0.029904,0.000783629,-7.76396e-05,-0.000231956,0.025572,0.0277855,0.0532194,0.0288833,0.0278902,0.0342319,0.0217348,0.0322771,0.0469291,0.00866497,0.0323982,0.0285244,0.030692,0.0680815,0.0555883,0.0172035,0.0352303,0.00474991,0.0088403,6.25707e-05,0.0303381,0.00516931,0.00342072,0.00330901,0.00310183,0.00326658,
