Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
100,10,1,88.59762870032132,0.7874171126857427,242.69441451145894,0.20152008035734473
100,10,10,88.61185529396187,0.7881133658630036,263.9179421259578,0.1966302720526051
100,10,100,88.92840710312991,0.7904096013232257,800.9989662541734,0.1983442456866481
100,10,1000,92.07005248465514,0.7867634213825385,233.3641852445195,0.1886740153060893
100,10,1500,92.48771948628658,0.7832989437848246,278.6936601130879,0.19474445909769114
100,10,2000,92.74382215425283,0.7866192505464309,467.8190054978743,0.19032383793378052
100,10,3000,93.05172230538497,0.7786631392803909,272.6203354887568,0.19204306471959523
100,10,4000,93.21046594099033,0.7772417415856955,312.4641853767577,0.18944811325170893
100,10,500,91.0455359509763,0.7987099936501727,407.9888471315523,0.19934134052565036
100,10,5000,93.31400753214014,0.7765551634851722,249.5877324536873,0.1850928088482394
100,1,1,88.58737310337763,0.7857881488453413,88.89126531116806,0.20345260980597893
100,1,10,88.59524090597554,0.7918427869073229,108.94138770288333,0.18685577769092984
100,1,100,88.88166081235717,0.7885354710755073,71.17847898707524,0.17528727622728837
100,1,1000,92.05975427184786,0.7837911755942596,91.64496889327235,0.1835453224611583
100,1,1500,92.48222737194453,0.7990412122426903,108.61631163436799,0.1788245580013242
100,1,2000,92.7401373745792,0.7780318150481429,87.45940792115944,0.18945728213344268
100,1,3000,93.04988885608957,0.7763085321904775,115.68231286753802,0.19327477550585206
100,1,4000,93.2093097106517,0.7746940379564626,105.0024994299528,0.18572764937620012
100,1,500,91.0150081896263,0.7972676887267529,136.92051478268957,0.18981025059278023
100,1,5000,93.31320922873935,0.7767509669693964,98.86799918898824,0.17422175813870697
10,10,1,88.92897537742337,0.7941591904074303,2743.461487226457,0.21878128386958604
10,10,10,89.40763914804894,0.7969475213506696,2548.9237814378666,0.21717839222658683
10,10,100,92.16560446444596,0.7824705809904169,4870.121409652945,0.19988064842412476
10,10,1000,93.57728304563302,0.7720298105925693,11584.424010194569,0.1989263028654538
10,10,1500,94.15596344295322,0.7711411133918362,1541.9698489871114,0.19705905873611518
10,10,2000,94.22312572052746,0.7678209880526834,1836.009744477856,0.1983961152042589
10,10,3000,94.29020172865621,0.7689623735463201,1945.062862979952,0.189568248975983
10,10,4000,94.32857361020255,0.7682199268193026,1570.7518924888657,0.18841151351588356
10,10,500,93.80119991857599,0.7738484217839277,1983.7469513853148,0.19845615066212638
10,10,5000,94.35357182277808,0.7663094029390736,1568.9223185468354,0.1888583018690538
10,1,1,89.0644062616146,0.7848137440918151,3708.3461779115696,0.19392522005882565
10,1,10,89.38623105723002,0.7877850014510939,316.87364602962396,0.18621529902034772
10,1,100,92.54322702257053,0.7805623662405239,503.1247175240223,0.19260439335821375
10,1,1000,94.0550155148716,0.7722670099321254,7451.7973672873495,0.18832326365264176
10,1,1500,94.16229056300564,0.7698096208724958,306.46438609805296,0.18674035747659992
10,1,2000,94.22226070906645,0.7687736573092009,1169.5973936363591,0.1858518245772279
10,1,3000,94.2897449184614,0.7657563111669748,363.3306135590806,0.19075265032108313
10,1,4000,94.32824974646711,0.7743658220702939,306.6936802715091,0.175329492853463
10,1,500,93.79331118899766,0.7735353795368696,2005.721133276409,0.19064100380145496
10,1,5000,94.35340512587189,0.774513253808828,362.06521886181287,0.1731854344658779
1,10,1,92.63948878435095,0.7572019021580473,inf,0.229065502200597
1,10,10,93.21614742508447,0.7581642693878562,inf,0.22702394040826002
1,10,100,94.08279145970012,0.7574129958488871,93705.02688075817,0.2236185026519749
1,10,1000,94.41151190068993,0.7466661972441396,69262.68502893449,0.2266167307960352
1,10,1500,94.43357006133091,0.7395564584987222,176040.48760227498,0.22654941778129978
1,10,2000,94.4454568993634,0.7384979723385883,38996.597238107584,0.22660662472912016
1,10,3000,94.4580200462204,0.7368667059317824,29671.671795361875,0.22721070734520546
1,10,4000,94.46456421768177,0.7355930473280925,55197.697963021266,0.22691602991249826
1,10,500,94.35542687077351,0.7500237847243034,58591.14778745741,0.22596687462993983
1,10,5000,94.46849801243992,0.7347558203649281,43049.70579597489,0.22762915805766615
1,1,1,89.86755085630023,0.794028670507723,2556.281727724193,0.21634517390554567
1,1,10,92.63934903112792,0.7802669156650266,2277.3741468337807,0.20310129539505462
1,1,100,94.05777653462842,0.7710718530664709,1921.964798647013,0.1959071730170561
1,1,1000,94.41094621614042,0.7600164132049418,1442.116415333675,0.18584094744188928
1,1,1500,94.43327921798604,0.7600124025628061,2048.724439935911,0.18482115160067794
1,1,2000,94.4452929697029,0.7526767571705568,973.1828148502923,0.1844254338909415
1,1,3000,94.45794626317947,0.7499896429220411,2001.9413906296322,0.18135636294365265
1,1,4000,94.46451575178573,0.7523644342145765,1171.4246798618476,0.1796844129004701
1,1,500,94.35358152387514,0.7716609120281779,2896.9604933210667,0.1863807414554792
1,1,5000,94.46847080346107,0.7459681137750622,753.5192188248831,0.19117482099686112
