time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.005,0.0034943,0.00664321,0.0740548,0.106903,0.0103664,0.103292,0.0297804,0.0187159,0.0567314,0.07313,0.069533,0.0740194,0.545243,0.11721,0.0382781,0.044223,0.0668284,0.017653,0.406714,9.43658e-05,0.0169583,0.570639,0.331928,0.393237,0.326596,0.225169,0.0783376,0.217953,0.419544,0.0169272,0.05614,0.012342,0.0121631,0.0372801,0.0190198,0.10985,0.0272473,0.0223093,0.040663,0.0256976,0.00967466,0.00203601,0.152875,0.000381317,0.00417855,0.537329,0.0239641,0.0151758,0.0914499,0.0476161,0.413964,0.26067,0.050223,0.0652541,0.0448963,0.026115,0.0320176,0.00803852,0.0265765,0.00198193,0.00287368,0.115447,0.0638678,0.000113772,0.130192,0.466764,0.359521,0.0958328,0.240807,0.0371881,0.19014,0.0152091,0.0151501,0.0321965,0.0624851,0.05768,0.00626424,0.0103973,0.074563,0.0723825,
0.01,0.00295725,0.00703785,0.0747516,0.0845542,0.00600949,0.130571,0.0295006,0.0183358,0.0544164,0.0655055,0.0577159,0.0649446,0.527739,0.103593,0.0373837,0.0452659,0.0691235,0.016594,0.355594,0.000117957,0.0139056,0.488223,0.406043,0.372552,0.406826,0.290409,0.0946772,0.281249,0.336047,0.0191212,0.0691115,0.0121035,0.0119843,0.0536189,0.0245051,0.120232,0.0261794,0.0149887,0.057119,0.0258168,0.0127174,0.00275172,0.142116,0.000291343,0.00584316,0.631722,0.0292676,0.0148552,0.0842139,0.0497761,0.316773,0.231927,0.0361428,0.0579039,0.058073,0.0260553,0.0329716,0.00673994,0.027842,0.00270246,0.00224564,0.109844,0.0835316,0.000150671,0.148091,0.566954,0.282241,0.121916,0.113882,0.0370407,0.247843,0.0148832,0.0148796,0.0239089,0.0791796,0.0608059,0.00753445,0.0110907,0.0727618,0.0716074,
0.015,0.00242718,0.00657743,0.0664492,0.0780109,0.00464534,0.1478,0.0294338,0.0181773,0.0529102,0.0398048,0.0654857,0.0754248,0.513017,0.0973989,0.0369664,0.0449553,0.0690872,0.0236774,0.452006,0.000135651,0.0158951,0.583535,0.450737,0.340842,0.453924,0.33478,0.147642,0.324604,0.447211,0.0194843,0.0761323,0.0119843,0.0119843,0.0615772,0.0280825,0.150568,0.024018,0.0172139,0.0714882,0.025161,0.014902,0.0033074,0.120265,0.000282775,0.00727132,0.682688,0.0319142,0.0148018,0.0937297,0.0474638,0.328023,0.285741,0.0382711,0.0579422,0.0669568,0.0260553,0.0327331,0.00834999,0.030586,0.00593478,0.00227863,0.162965,0.097542,0.000175271,0.153737,0.627808,0.315552,0.13885,0.172552,0.0370407,0.28968,0.0147746,0.0147894,0.0267708,0.0894348,0.0737753,0.00954683,0.0141797,0.0718928,0.0714286,
0.02,0.00205055,0.00572237,0.055172,0.0839665,0.0046213,0.157807,0.0294224,0.0181322,0.0592781,0.0419176,0.0729066,0.077652,0.51,0.0990242,0.0368471,0.0444227,0.0685218,0.028068,0.514242,0.000147447,0.0181477,0.647738,0.47649,0.32344,0.478335,0.363638,0.105947,0.353207,0.499715,0.0189218,0.0791099,0.0119843,0.0119843,0.0487799,0.0302886,0.181054,0.0233967,0.0125852,0.0838898,0.0245051,0.016425,0.00373416,0.0978487,0.000321335,0.00848952,0.709269,0.032793,0.0147483,0.104776,0.053607,0.339357,0.270814,0.0443986,0.060112,0.0725018,0.0260553,0.0322561,0.00963295,0.0334585,0.00735201,0.00255838,0.192263,0.10714,0.000190645,0.153573,0.664736,0.315326,0.149095,0.181936,0.0370407,0.31974,0.0147746,0.0147594,0.0293942,0.0949797,0.0875284,0.008105,0.00141722,0.0716031,0.0713689,
0.025,0.00183782,0.00478508,0.0439054,0.0954004,0.00508403,0.162691,0.0312081,0.0190611,0.0644971,0.0440836,0.081203,0.0850283,0.519768,0.106012,0.0369067,0.043868,0.0678656,0.031482,0.570236,0.000153344,0.0205794,0.707447,0.48977,0.324173,0.487473,0.381025,0.101033,0.370875,0.555162,0.0180236,0.0794568,0.0125805,0.0126997,0.043314,0.0314214,0.195537,0.0239921,0.0165369,0.094622,0.0239685,0.0174376,0.00405423,0.0781358,0.000370606,0.00952422,0.721076,0.0325655,0.0151224,0.114689,0.05727,0.366919,0.291517,0.0514319,0.0641868,0.0754829,0.0272478,0.0317792,0.0108593,0.0364785,0.00812938,0.00292831,0.214347,0.113349,0.00019987,0.151254,0.686292,0.33977,0.154558,0.193339,0.0357634,0.340852,0.0151005,0.0151201,0.0332101,0.0970069,0.0927557,0.00800376,0.00532171,0.0707844,0.0704746,
0.03,0.0016495,0.00388069,0.03434,0.0967452,0.00496384,0.164194,0.0330549,0.020164,0.109477,0.0538472,0.0801756,0.101068,0.521131,0.110042,0.0369067,0.0433355,0.0672143,0.0299759,0.54397,0.000153344,0.0199688,0.679292,0.494195,0.323213,0.485406,0.389596,0.0933034,0.380125,0.507505,0.0170992,0.0781592,0.0133556,0.0134152,0.101875,0.0317792,0.178561,0.0366199,0.0926038,0.103864,0.0236108,0.0180589,0.00428095,0.0618005,0.000366322,0.0103981,0.723094,0.0316765,0.0154964,0.119163,0.064927,0.357597,0.26996,0.0497604,0.0660248,0.0766158,0.028321,0.031481,0.0103623,0.0383566,0.00742168,0.00289385,0.201844,0.116904,0.000202945,0.147292,0.697153,0.324424,0.156481,0.179107,0.0344861,0.355052,0.015535,0.0155409,0.0309444,0.0965896,0.0841166,0.0104304,0.147776,0.0694242,0.068984,
0.035,0.00148211,0.00307495,0.0262112,0.0954085,0.0047475,0.162933,0.0345817,0.0211348,0.0789702,0.0585254,0.0742021,0.0837092,0.517224,0.107386,0.0369067,0.0428473,0.0665854,0.0271305,0.504891,0.000153344,0.0188214,0.643702,0.491921,0.320073,0.475475,0.391298,0.0769434,0.382809,0.466484,0.0163002,0.0759062,0.0139518,0.0140711,0.064197,0.0316003,0.171773,0.0288098,0.0218145,0.111853,0.0233127,0.0183787,0.00443654,0.0486349,0.000357753,0.0111321,0.717895,0.0304255,0.0158705,0.109081,0.0610203,0.342755,0.259075,0.0479067,0.0626526,0.0764369,0.0291557,0.0312425,0.00960952,0.0391774,0.00632163,0.00279632,0.181529,0.11826,0.000202945,0.142397,0.700202,0.311508,0.155579,0.144412,0.0333563,0.363843,0.0158609,0.0158716,0.0304078,0.0945027,0.0794994,0.00788265,0.0181661,0.0676105,0.0670761,
0.04,0.00138795,0.00245009,0.0202397,0.0927611,0.00484064,0.159781,0.0357529,0.0219023,0.0645619,0.0608932,0.0704897,0.0762056,0.50966,0.103487,0.0368471,0.0424035,0.0659804,0.0246396,0.471866,0.000153344,0.0177477,0.613147,0.484785,0.314447,0.460221,0.387808,0.082762,0.380486,0.440226,0.0156851,0.0731752,0.0144884,0.0145481,0.0494427,0.0311233,0.163278,0.0254682,0.0132257,0.11865,0.0231934,0.0184724,0.00452545,0.0398186,0.000344899,0.0117412,0.707403,0.0290195,0.0161377,0.101469,0.0574188,0.339167,0.259505,0.0462136,0.0596184,0.0752445,0.0296327,0.0311233,0.00896218,0.0393236,0.00544709,0.00268523,0.164585,0.117925,0.000202945,0.137031,0.697412,0.312443,0.152655,0.140933,0.032472,0.368358,0.0161325,0.0161421,0.0298712,0.0912235,0.0754004,0.0073937,0.0014505,0.0654819,0.0649296,
0.045,0.00137052,0.00202256,0.0166602,0.0893721,0.00514713,0.155405,0.038572,0.0235105,0.0541227,0.0555133,0.0670015,0.0738087,0.498887,0.0991303,0.0369664,0.0419819,0.0654195,0.0223876,0.440886,0.000147447,0.0166846,0.583,0.47411,0.306502,0.441526,0.380435,0.0998973,0.374354,0.416154,0.0153328,0.0703708,0.0155617,0.0157405,0.0474733,0.0303482,0.143861,0.0238175,0.0124767,0.124434,0.0231934,0.0184008,0.00456546,0.0355866,0.000329904,0.0122425,0.692916,0.0276135,0.016672,0.0936134,0.0505731,0.343382,0.268707,0.0443986,0.0571692,0.0734558,0.0311829,0.0310637,0.00834413,0.0389461,0.00470455,0.00256424,0.149378,0.11629,0.000196795,0.131433,0.690118,0.321217,0.148295,0.147277,0.0304087,0.369437,0.0166757,0.0167133,0.0293942,0.0871691,0.0656158,0.00782566,0.000100143,0.0627236,0.0620081,
0.05,0.00134262,0.00171013,0.0144664,0.0863141,0.00512609,0.150217,0.0409975,0.0250295,0.048435,0.0521776,0.0638669,0.0720547,0.486095,0.0950301,0.0370856,0.0416269,0.0648925,0.0201048,0.409742,0.000141549,0.0156635,0.552841,0.460875,0.297688,0.420773,0.37021,0.102978,0.365375,0.391512,0.0152432,0.0677462,0.0165752,0.0167541,0.0488789,0.0295135,0.126457,0.0233736,0.0120684,0.129323,0.0233723,0.0182028,0.00456546,0.0330928,0.000319192,0.0126473,0.675407,0.0262799,0.0171529,0.0870835,0.0455634,0.340082,0.269198,0.0430143,0.0549489,0.0712497,0.0321965,0.0311829,0.00773292,0.0380562,0.00392902,0.00245535,0.133859,0.113675,0.000190645,0.125757,0.679301,0.320726,0.142941,0.133479,0.0286402,0.367748,0.0171646,0.0171642,0.0288576,0.0826974,0.0591294,0.00809291,6.39214e-06,0.0593859,0.05855,
