time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.005,0.00279213,0.00448032,0.0304667,0.0948081,0.00977038,0.030734,0.011957,0.011957,0.0442304,0.0533967,0.0619971,0.0590609,0.407472,0.0854636,0.036781,0.036781,0.036781,0.0163387,0.340208,5.57764e-05,0.0161564,0.42195,0.0771107,0.238024,0.172932,0.108928,0.0597524,0.0987224,0.385891,0.011101,0.011101,0.011957,0.011957,0.0230194,0.011101,0.0769169,0.0216574,0.0213866,0.021697,0.021697,0.00532212,0.00112011,0.0524858,0.000365541,0.00220543,0.151138,0.014739,0.014739,0.0686471,0.0355572,0.19478,0.174364,0.0485042,0.0487477,0.02602,0.02602,0.02602,0.0074787,0.0193462,0.00183956,0.00251785,0.100423,0.0296335,6.60231e-05,0.0853951,0.131893,0.190923,0.0435561,0.0860349,0.037008,0.037008,0.014739,0.014739,0.0320616,0.037008,0.0559009,0.00526929,0.00506734,0.07133,0.07133,
0.01,0.000742066,2.7619e-05,0.000137717,0.0604649,0.00303376,0.0139711,0.011957,0.011957,0.0427697,0.0455247,0.0481228,0.0498407,0.295903,0.0627126,0.036781,0.036781,0.036781,0.0153956,0.278402,7.61327e-05,0.0118995,0.322506,0.0634373,0.15552,0.110061,0.0753824,0.0740528,0.0717362,0.292625,0.011101,0.011101,0.011957,0.011957,0.0399847,0.011101,0.0924668,0.0210737,0.0136396,0.021697,0.021697,0.000829422,0.000735313,4.23137e-05,0.000244503,0.000734705,0.0927893,0.014739,0.014739,0.0621019,0.0408991,0.11935,0.15151,0.0320139,0.0388279,0.02602,0.02602,0.02602,0.00578007,0.0237755,0.00317808,0.00169186,0.0965168,0.0290241,7.56815e-05,0.0611445,0.090572,0.135094,0.0380692,0.0281403,0.037008,0.037008,0.014739,0.014739,0.0228811,0.037008,0.059656,0.00679217,0.00545798,0.07133,0.07133,
0.015,0.00136827,3.27751e-05,0.000174532,0.0716458,0.00406186,0.0173268,0.011957,0.011957,0.0420075,0.0148474,0.0627942,0.0657604,0.395511,0.0770778,0.036781,0.036781,0.036781,0.0290629,0.450988,0.000115803,0.0173321,0.487456,0.0815465,0.189119,0.140865,0.0954504,0.119274,0.0877883,0.436324,0.011101,0.011101,0.011957,0.011957,0.0418412,0.011101,0.124503,0.018887,0.0167901,0.021697,0.021697,0.000996414,0.000859232,6.87952e-06,0.000279619,0.000743789,0.103324,0.014739,0.014739,0.0803218,0.0360997,0.154687,0.197991,0.037943,0.0497531,0.02602,0.02602,0.02602,0.00908631,0.0520108,0.00814749,0.00215014,0.184235,0.0391621,0.000101604,0.0868398,0.105754,0.168869,0.0530579,0.0646137,0.037008,0.037008,0.014739,0.014739,0.0271654,0.037008,0.0737422,0.00869775,0.00710481,0.07133,0.07133,
0.02,0.00144572,4.11131e-05,3.30636e-06,0.0858283,0.00467151,0.0156953,0.011957,0.011957,0.0501808,0.0362593,0.0689338,0.064095,0.447431,0.0868045,0.036781,0.036781,0.036781,0.0303227,0.486136,9.14201e-05,0.0193592,0.536882,0.0849524,0.224576,0.161525,0.106377,0.0778345,0.0991278,0.476231,0.011101,0.011101,0.011957,0.011957,0.0266435,0.011101,0.147425,0.01913,0.0116036,0.021697,0.021697,0.00117307,0.00102538,3.11537e-05,0.00033608,0.000937433,0.122603,0.014739,0.014739,0.0888959,0.0472353,0.158687,0.180985,0.0446465,0.0522521,0.02602,0.02602,0.02602,0.00995903,0.0519183,0.0079456,0.00250164,0.191766,0.0400024,8.03641e-05,0.0980562,0.121791,0.164217,0.0550752,0.0638556,0.037008,0.037008,0.014739,0.014739,0.0296777,0.037008,0.0872366,0.00649933,4.04881e-07,0.07133,0.07133,
0.025,0.00155679,4.19862e-05,7.01628e-05,0.0997492,0.00534054,0.0172753,0.01289,0.01289,0.0537003,0.0353219,0.0768844,0.0723144,0.507564,0.0975905,0.036926,0.036926,0.036926,0.0332321,0.541531,9.6224e-05,0.0218789,0.603948,0.0938147,0.260113,0.184848,0.120569,0.0773416,0.111266,0.532879,0.011766,0.011766,0.01289,0.01289,0.0263456,0.011766,0.151371,0.0201015,0.0163117,0.02198,0.02198,0.0013578,0.00119037,2.87477e-05,0.00038733,0.00106044,0.141376,0.015259,0.015259,0.0962163,0.0476569,0.178342,0.199641,0.0516727,0.0572512,0.027384,0.027384,0.027384,0.011137,0.0558232,0.00842412,0.00287544,0.209932,0.042737,8.64306e-05,0.111296,0.138167,0.182579,0.0594804,0.0685807,0.035527,0.035527,0.015259,0.015259,0.0336767,0.035527,0.0910835,0.00684657,0.00282161,0.070168,0.070168,
0.03,0.00128957,3.42252e-05,0.00205004,0.0917276,0.00479781,0.0259911,0.013648,0.013648,0.106239,0.0478872,0.072482,0.0886513,0.453658,0.0951878,0.036934,0.036934,0.036934,0.0279665,0.468906,8.13219e-05,0.0193456,0.530052,0.0898557,0.238002,0.16653,0.114708,0.0709505,0.105988,0.465541,0.012374,0.012374,0.013648,0.013648,0.0870229,0.012374,0.123979,0.0360283,0.0971567,0.022172,0.022172,0.00124422,0.00109341,2.50826e-05,0.000356205,0.000982171,0.144338,0.015679,0.015679,0.0968061,0.0568325,0.163568,0.179865,0.0480505,0.0559984,0.028449,0.028449,0.028449,0.00968688,0.0456129,0.00670045,0.00260736,0.176416,0.0416094,8.4976e-05,0.0988974,0.131515,0.167982,0.057596,0.0610448,0.034262,0.034262,0.015679,0.015679,0.0306084,0.034262,0.0806465,0.00959475,0.0846983,0.068511,0.068511,
0.035,0.00115786,3.6642e-05,3.21229e-05,0.0895197,0.00456942,0.0151732,0.014244,0.014244,0.0501461,0.0475508,0.0654336,0.0620014,0.432746,0.0846387,0.036867,0.036867,0.036867,0.0246731,0.428274,7.59516e-05,0.0181019,0.49222,0.079096,0.231158,0.159249,0.103773,0.0574528,0.0968788,0.427015,0.012945,0.012945,0.014244,0.014244,0.0261644,0.012945,0.125191,0.0195891,0.0133847,0.022353,0.022353,0.00121327,0.00106662,4.36247e-05,0.000347998,0.0009872,0.128739,0.016,0.016,0.080544,0.0453914,0.154666,0.172798,0.0462979,0.0480783,0.029213,0.029213,0.029213,0.00892239,0.0387875,0.00547997,0.00250969,0.155235,0.0343194,7.35466e-05,0.0930592,0.122699,0.160574,0.048082,0.046579,0.0332,0.0332,0.016,0.016,0.0303516,0.0332,0.0767994,0.00599687,0.00127227,0.066472,0.066472,
0.04,0.00126243,0.000463795,0.00292416,0.0862314,0.00486939,0.0166001,0.014692,0.014692,0.0475495,0.0484004,0.0629995,0.0603224,0.412972,0.081801,0.036772,0.036772,0.036772,0.0226496,0.40042,7.69345e-05,0.0171081,0.463504,0.0771123,0.221935,0.153926,0.100508,0.0638755,0.0938482,0.403971,0.013489,0.013489,0.014692,0.014692,0.0280464,0.013489,0.117274,0.0198864,0.0120029,0.022594,0.022594,0.00156024,0.00102731,0.0050951,0.000336084,0.00107298,0.126004,0.016221,0.016221,0.0769406,0.0438752,0.155542,0.174023,0.0446841,0.0470218,0.029679,0.029679,0.029679,0.00837152,0.0349821,0.004826,0.00240454,0.142243,0.0331844,7.56811e-05,0.0881453,0.119429,0.162813,0.046433,0.0477994,0.032337,0.032337,0.016221,0.016221,0.0298224,0.032337,0.0728558,0.00623859,1.96028e-07,0.064205,0.064205,
0.045,0.00139795,0.00100481,0.00664894,0.0825371,0.00529187,0.0186657,0.016046,0.016046,0.0400014,0.0393524,0.0598235,0.05983,0.390728,0.0778883,0.037044,0.037044,0.037044,0.0205757,0.371501,8.2968e-05,0.0160503,0.433518,0.074941,0.211624,0.14865,0.0970265,0.0782122,0.089499,0.380793,0.014724,0.014724,0.016046,0.016046,0.0303108,0.014724,0.0973691,0.0190677,0.0119311,0.023464,0.023464,0.00201062,0.000983538,0.0115239,0.000319908,0.00115294,0.122139,0.016911,0.016911,0.0702596,0.0361196,0.159539,0.181532,0.0428838,0.0455202,0.031352,0.031352,0.031352,0.00778228,0.0311855,0.00417223,0.00228876,0.128915,0.0313717,8.27674e-05,0.0828884,0.114801,0.169078,0.0439721,0.0507741,0.030067,0.030067,0.016911,0.016911,0.0293387,0.030067,0.0624694,0.00682232,0,0.061088,0.061088,
0.05,0.00126035,0.000956422,0.00634012,0.0799942,0.00503764,0.0183311,0.017001,0.017001,0.0370762,0.0388125,0.0570773,0.0584426,0.372106,0.0749244,0.037084,0.037084,0.037084,0.0182737,0.341858,8.27344e-05,0.0150641,0.4045,0.0724848,0.204362,0.142924,0.0935038,0.079424,0.0861278,0.35679,0.015837,0.015837,0.017001,0.017001,0.0319226,0.015837,0.0856867,0.0191662,0.0115531,0.024369,0.024369,0.00193494,0.00095677,0.0109903,0.000310106,0.00111525,0.119039,0.017324,0.017324,0.0657817,0.0336667,0.15572,0.181161,0.0416314,0.0437784,0.032266,0.032266,0.032266,0.00719034,0.0266197,0.0033678,0.0021968,0.11416,0.0297359,8.44485e-05,0.0781169,0.111407,0.167613,0.041326,0.0441675,0.028383,0.028383,0.017324,0.017324,0.0287762,0.028383,0.0566574,0.00698858,0,0.057466,0.057466,
