time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.005,6.80242,6.66107,-3.92888,-2.11189,-0.89296,-2.94838,3.65612,-4.04607,-11.4192,-9.01002,6.50694,6.16305,12.1917,11.9009,-3.56026,-1.92992,0.308045,11.9725,-25.4248,-25.0558,
0.01,6.70482,6.36954,6.39591,-2.09036,-2.35079,-2.93103,3.87734,-3.89444,-12.041,-9.08449,6.57202,6.02079,13.5573,12.107,-3.99569,-1.90426,0.268746,12.1356,-24.2154,-25.178,
0.015,7.51437,6.21698,-4.07382,-2.09312,-1.64174,-2.92491,3.28491,-3.83426,-12.1492,-9.10912,7.33138,5.90221,13.8213,12.2597,-4.482,-1.88191,0.261872,12.2497,-24.0576,-25.2553,
0.02,9.7344,6.16575,2.30115,-2.08488,-2.84606,-2.92476,3.02461,-3.82632,-11.8478,-9.10616,7.7887,5.81471,13.5792,12.3708,-4.83251,-1.8634,0.912038,12.3192,-24.0793,-25.2934,
0.025,8.6195,6.16819,-4.10953,-2.03324,-2.35082,-2.92532,2.40633,-3.82684,-11.6297,-9.10071,7.94584,5.76006,13.1276,12.4504,-5.0325,-1.84992,1.02158,12.3509,-24.3772,-25.2996,
0.03,9.41878,6.18908,-3.51778,-1.9506,-2.739,-2.92446,0.285673,-3.82111,-11.5731,-9.09893,7.97222,5.74028,12.7929,12.5141,-5.12042,-1.84213,1.50678,12.3544,-24.4713,-25.2833,
0.035,9.48503,6.19449,-3.68305,-1.88153,-2.93258,-2.92032,0.40068,-3.81124,-11.32,-9.09604,7.70364,5.74054,12.4103,12.582,-5.08143,-1.83972,-2.47109,12.3493,-24.4565,-25.2575,
0.04,9.36343,6.1778,-3.71443,-1.84149,-3.08719,-2.91262,0.420728,-3.79905,-11.2433,-9.09297,7.64475,5.74527,12.2233,12.6593,-5.04994,-1.84037,1.19694,12.349,-24.4078,-25.2311,
0.045,9.09888,6.15175,-3.62718,-1.83498,-3.20594,-2.90505,0.842315,-3.79022,-11.3574,-9.09176,7.64437,5.74731,12.1613,12.7319,-5.01333,-1.84185,1.57753,12.3549,-24.4209,-25.2089,
0.05,8.73647,6.1367,-3.47874,-1.85877,-3.29073,-2.9014,0.787095,-3.79467,-11.487,-9.08609,7.45482,5.75962,12.018,12.7641,-4.91519,-1.8458,1.73612,12.3471,-24.4232,-25.1849,
