time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.005,0,17.8322,13.3264,0.932122,2.92325,14.1503,49.4442,25.0033,0,135.866,409.316,1178.88,190.449,0,3.51722,19.6409,65.1598,11.9746,6.82298,4.5133,189.629,72.8529,0.819165,11.7305,68.2204,91.863,35.6673,0,42.3842,20.5277,15.4256,0,0,16.8333,71.3665,1648.69,2108.47,0,21.4886,162.568,0.683968,0.188016,1.01313,0,0.820844,5.00438,68.1297,42.7281,5.9967,174.989,100.606,0.836094,0,0.120512,0,0,0,18.1618,6.43425,6.50039,23.7944,10.4265,0.51241,0.571717,79.207,60.8697,4.03849,0,11.6296,0,45.648,0,24.8334,0.360708,0.281662,0,0,0,0,0,
0.01,0,16.2388,12.6445,1.15292,2.59571,11.6081,58.5221,27.7638,0,139.288,409.132,1178.53,190.105,0,3.50534,19.5639,65.1914,10.413,6.06516,4.00791,186.286,71.7041,0.75607,10.1384,69.7883,92.4743,38.6435,0,38.779,20.7443,15.4185,0,0,15.6304,72.6193,1657.53,2107.84,0,24.8964,224.296,0.872563,0.213657,1.03589,0,0.797589,5.09917,68.4119,42.1798,7.71021,177.211,100.242,0.855469,0,0.0958571,0,0,0,16.2368,5.83803,5.93186,19.1062,8.8191,0.485022,0.646465,78.6909,59.9974,4.00932,0,12.033,0,45.5907,0,24.822,0.301856,0.307661,0,0,0,0,0,
0.015,0.717938,15.4951,14.0233,5.25961,3.80255,10.2087,96.4032,39.0772,0.666093,138.5,403.727,1169.18,217.445,7.83308,3.8505,24.6375,83.5085,18.7626,1.90913,0.758066,191.151,71.7877,0,10.6564,61.9628,104.264,49.7348,0,30.7578,3.64473,16.0255,20.9285,7.9592,0,64.7253,1634.78,2075.14,0,0,147.252,0.682316,0.162648,0.0927912,0,0.124347,3.73786,62.23,41.9035,8.65526,177.788,99.1739,0.738435,1.03709,0.236305,0,0,0,23.6725,9.67563,8.21169,22.4063,11.5743,1.62804,0.673825,75.3321,63.1729,5.66228,1.43022,12.4375,0.244794,45.9436,0,22.6688,0.653618,0.724111,0,0,0,0,0,
0.02,1.08255,14.5322,12.7766,7.76878,3.6906,9.566,121.006,43.539,0.00824623,137.037,398.506,1159.27,219.122,1.08046,4.0377,26.8001,92.4491,14.0804,3.39361,0,186.182,67.9734,0,9.80852,57.0934,108.486,55.5827,0,27.574,0,16.1883,26.2669,8.36344,65.6586,59.2656,1613.95,2044.17,0,0,99.205,0.479193,0.113552,0.0695408,0,0.00577665,2.98598,57.2474,41.5759,9.45772,178.416,97.7845,0.627912,0.0474863,0.465493,0,0,0,22.3247,9.23582,7.65912,21.6386,10.8172,2.0818,0.596048,66.0967,64.9164,6.99389,0.271866,10.2135,0.0303054,46.0922,0,21.2697,1.19194,1.05072,0,0,0,0,0,
0.025,1.19402,14.0112,11.7794,9.093,3.62723,9.56134,137.094,45.056,0.0182259,135.09,393.375,1149.2,220.838,2.89551,4.28349,28.3613,98.1262,12.9696,1.80988,0,186.288,67.0159,0,9.41926,53.5789,111.113,58.951,0,25.8075,0,16.4786,39.5906,11.2207,4.18256,54.4423,1591.46,2013.14,0,0,44.664,0.153381,0.0739442,0.178353,0,0,2.588,53.6418,43.1946,10.0419,178.802,96.7345,0.529759,0.106466,0.784789,0,0,0,23.92,9.672,7.59724,23.1333,11.2384,2.26075,0.507532,59.7362,67.1149,8.20703,0.70757,8.32687,0.0580591,46.3128,0,20.8589,1.89323,1.25442,0,0,0,0,0,
0.03,1.21593,14.1149,11.2856,9.80925,3.71467,9.91818,146.581,45.9583,0.0319137,132.991,388.328,1138.98,224.007,5.1523,4.58308,29.8932,103.831,12.1861,2.59959,0,186.448,66.2306,0,9.45549,52.367,114.067,60.4883,0,27.0568,0,16.7817,48.9955,12.499,0.421057,50.1688,1567.09,1981.86,0,0,80.1576,0.0593226,0.0506443,0.225995,0,0,2.48763,51.9696,46.4162,10.4145,178.989,96.0298,0.446135,0.192538,1.16636,0,0,0,25.9563,9.93318,7.46812,24.9405,11.865,2.30369,0.461479,57.8288,69.4045,9.33602,1.18545,7.00379,0.0891756,46.58,0,21.4305,2.69119,1.36731,0,0,0,0,0,
0.035,1.21999,14.4959,11.4972,10.2645,4.0863,10.3643,151.561,47.6976,0.0496914,130.992,383.289,1128.66,228.104,7.37061,4.93281,31.526,110.002,11.7826,2.49214,0,186.82,65.3593,0,9.63434,54.0372,118.301,61.5231,0,27.6812,0,17.0644,56.6312,13.1769,0.17421,46.2862,1540.27,1950.17,0,0,32.083,0.505924,0.0539758,0.212583,0,0,2.72218,51.7352,50.6556,10.6005,178.998,95.7029,0.373894,0.300766,1.56566,0,0,0,27.7847,9.9636,7.22328,26.6993,12.3571,2.29163,0.583218,61.0143,72.0754,10.5051,1.52848,7.55346,0.122711,46.873,0,22.6536,3.48674,1.42553,0,0,0,0,0,
0.04,1.21773,15.2817,12.0009,10.6188,4.42976,11.2649,157.53,50.364,0.0705179,129.284,378.421,1118.82,234.179,9.2423,5.33146,33.2781,116.581,15.3262,3.09676,0,189.981,66.9585,0,10.3347,57.0707,124.278,63.8588,0,31.8509,0,17.3116,62.8591,13.5576,0.41072,42.6974,1510.89,1918.9,0,0,75.4318,0.826961,0.0931236,0.168728,0,0,3.22178,52.5759,55.4814,10.6352,178.852,95.686,0.309908,0.415102,1.93725,0,0,0,31.3583,11.2274,7.95013,29.9564,13.9751,2.31817,0.750296,67.2355,75.2508,11.7815,1.67744,8.64568,0.157181,47.1856,0,24.3236,4.19808,1.45401,0,0,0,0,0,
0.045,1.21395,16.5573,12.7539,10.9331,4.75089,12.6069,166.363,54.2279,0.0922121,127.963,373.137,1107.44,238.986,10.8383,5.86146,35.6135,123.984,9.67115,3.28613,0,187.804,63.3591,0,11.1092,61.4497,130.091,66.2059,0,32.197,0,17.6722,67.8708,13.8884,0,39.3501,1478.95,1885.28,0,0,21.2816,0.92239,0.145743,0.0712229,0,0,3.80026,54.3963,62.0275,10.5593,178.577,95.8595,0.252549,0.520493,2.24788,0,0,0,34.0764,10.5975,7.06762,33.5569,14.6211,2.229,0.770984,74.6724,78.9543,13.164,1.65495,7.82092,0.190535,47.5986,0,26.5685,4.75607,1.47073,0,0,0,0,0,
0.05,1.20942,17.999,13.4761,11.2672,5.0268,13.9092,178.236,59.1483,0.111733,127.082,368.019,1096.54,245.406,12.2623,6.48291,38.4085,132.142,10.9021,3.42402,0.913339,191.583,64.7129,0,12.0668,67.3758,137.364,69.977,0,40.8086,0,18.0185,71.773,14.3418,2.77671,36.2334,1444.3,1852.09,0,0,57.9973,0.891514,0.178042,0.0542389,0,0,4.63216,57.6319,69.9537,10.4191,178.198,96.2133,0.202248,0.603825,2.4781,0,0,0,40.8817,12.0537,7.56031,39.4803,17.0406,2.24616,0.728673,85.957,83.2517,14.8215,1.50668,6.60225,0.222056,48.0814,0,29.51,5.13119,1.4853,0,0,0,0,0,
