mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0198966,0.0345664,0.0371278,0.0127658,0.0435676,0.00946229,0.0210133,0.015582,
addlong_r,0.0132354,0.0288899,0.0422974,0.0110588,0.00614019,0.0464871,0.00648062,0.0119399,
addmagDist_r,0.0121292,0.0453026,0.0011932,0.0105307,0.00140409,0.0280283,0.0389338,0.000977156,
addmagIsch_r,0.04702,0.0379963,0.00502163,0.00984058,0.0346857,0.0445385,0.0470754,0.0453142,
addmagMid_r,0.0485026,0.0305672,0.0224208,0.0296443,0.039584,0.0168707,0.0197677,0.0198487,
addmagProx_r,0.0324948,0.0338391,0.0417873,0.0368402,0.0353012,0.0398928,0.00253011,0.028903,
bflh_r,0.0210298,0.00146498,0.0490984,0.326903,0.0015707,2.13954e-05,0.013148,0.0870633,
bfsh_r,0.0210234,0.00143922,0.0490929,0.3269,0.00157525,6.08908e-05,0.0131426,0.0870635,
edl_r,0.0473433,0.00251717,0.0237377,0.0459064,0.00550847,0.0120329,0.0448523,0.0024063,
ehl_r,0.0146058,0.0208337,0.0350713,0.0229779,0.0343231,0.0447446,0.00773861,0.019461,
fdl_r,0.0456846,0.0297702,0.00739104,0.0191482,0.0211487,0.0153369,0.0289081,0.000891286,
fhl_r,0.0116467,0.0232631,0.0154659,0.0439145,0.00920882,0.0382095,0.0433432,0.0167569,
gaslat_r,0.0235129,0.0429982,0.010388,0.0301383,0.000143802,0.0421436,0.00713835,0.0251552,
gasmed_r,0.0257424,0.0172924,0.0073536,0.0475006,0.0380461,0.0290784,0.0226098,0.0265091,
glmax1_r,0.0714555,0.000128325,0.572807,0.00541017,0.00156625,0.00162324,0.00035646,0.0657271,
glmax2_r,0.0714565,0.000129468,0.572808,0.00540885,0.00156616,0.00161979,0.000359519,0.0657271,
glmax3_r,0.0714563,0.000129233,0.572808,0.00540937,0.00156614,0.0016205,0.0003588,0.065727,
