mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0,0.00143518,0.000115114,0,0.000470604,0.0308837,0.00471914,0,
addlong_r,0,0.000256589,0,0,0,0.0656438,0.000131454,0,
addmagDist_r,0,0,0,0.000432597,0,0.446965,8.07965e-06,0.0241706,
addmagIsch_r,1.59222e-05,0,0.000796123,0,0.12472,0.0143308,0.000831078,0.000227949,
addmagMid_r,0,0,0,0.00039847,0.00554571,0.0795493,0.00384785,0,
addmagProx_r,0.0659374,0.0302143,0.00164438,0,0.0137089,0.245295,0.0088325,0.132076,
bflh_r,0.0178103,0.0542371,0.624952,0.172722,0.0171485,0.0963551,0.00356681,0.0318576,
bfsh_r,0.0178103,0.0542366,0.624952,0.172722,0.017148,0.0963542,0.00356957,0.0318582,
edl_r,0.00514963,0.370832,0.000784996,0,0.010798,0.0238402,0.114636,0.742532,
ehl_r,0.0119943,0.645601,0.000912676,0,0.0059717,0.0612478,0.0101954,0.207635,
fdl_r,0.0545149,0.0531681,0.0265052,0.0882845,0.0674556,0.0377324,0.0779287,0.0551845,
fhl_r,0.163117,0.0204335,0.0068206,0.003047,0.0702691,2.18971e-06,0.0341696,0.295194,
gaslat_r,0.119791,0.0777844,0.0593551,0.180101,0.502881,0.0124556,0.413379,0.00012761,
gasmed_r,0.0491874,0.0781779,0.0808209,0.0757533,0.0920598,0.0754021,0.0783552,0.100113,
glmax1_r,0.136173,0.000187518,0.116425,0.0385689,0.00759699,0.214611,0.0541973,0.0187125,
glmax2_r,0.136173,0.000187534,0.116425,0.0385689,0.00759698,0.214611,0.0541972,0.0187125,
glmax3_r,0.136173,0.000187515,0.116425,0.0385689,0.00759699,0.214611,0.0541973,0.0187125,
glmed1_r,0,0,0.000971049,0.000484924,0.0154686,0.00200802,0.0879238,0,
glmed2_r,0.0618381,0.00470634,0.0120869,0.0676955,0.382917,0.00381385,0.981948,0.00344226,
glmed3_r,0.000611296,0,8.16784e-05,0,5.79878e-05,0,0.000108957,0,
glmin1_r,0.00114853,0.000583323,0.000248092,0,0.0194675,0.00141304,0.0263961,0.000152159,
glmin2_r,0.0586125,0.00172343,0.00638536,0.00289689,0.501781,0.000111445,0.846404,0,
glmin3_r,0.133323,0.0653683,0.130655,0.119671,0.0773422,0.0923051,0.100337,0.0916887,
grac_r,0,0,0.00054568,0,0.313691,0.000235552,0.0409538,0,
iliacus_r,0.0213348,6.90145e-06,0.137948,0,0.197005,0.255644,0.112657,0,
perbrev_r,0.0614508,0.0329227,0.0969981,0.0639696,0.121345,0.135074,0.0828603,0.0819847,
perlong_r,0.864547,0.0178908,0.0575049,0.00645073,0.0195872,0.424741,0.112118,0.10663,
piri_r,0.0625657,0.100575,0.0842199,0.0700812,0.104616,0.101414,0.0877617,0.0834702,
psoas_r,0.0192621,0.0019827,0.66668,0.0202715,0.405581,0.416378,0.876728,0.0181235,
recfem_r,0.196748,0.297967,0.241198,0.0330324,0,0.0013217,0.0884623,0.19527,
sart_r,0.196752,0.297972,0.241201,0.0330354,0,0.0013219,0.0884632,0.195272,
semimem_r,0.01781,0.0542328,0.62495,0.17272,0.0171439,0.0963476,0.00359055,0.0318635,
semiten_r,0.0178103,0.0542363,0.624951,0.172722,0.0171476,0.0963536,0.00357158,0.0318587,
soleus_r,0.355661,0.228331,0.0055129,0,0.000380192,0.000688334,0.000909252,0.798154,
