time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.005,0.00140454,0.001774,0.00599965,0.00302904,0.00185633,0.00836575,0,0.00306748,0.0191794,0.0163957,0.0027382,0.0073519,0.00768149,0,0.00191284,0.00222027,0.00555492,0.00271621,0.00362346,0,0.00291837,0.0133195,0,0.0237836,0.018174,0.0241867,0.0290923,0.00721151,0.00785804,0,0.0162095,0,0.00243341,0,0.0125795,0.00977568,0.00109388,0.00269925,0.00130531,0.00141893,0.00218833,0.00107426,0.0105644,4.78843e-05,0.00130201,0.0269868,0.00591269,0.00279476,0.00266464,0.00479207,0.0410227,0.0285354,0.00540439,0,0.00292357,0.00271847,0.00331945,0.00188371,0.00252195,0.00109481,0.00274389,0.0101117,0.00292591,0.000268641,0.0102003,0.0554062,0.0481319,0,0.0158936,0,0.0225653,0,0.00271111,0.00366417,0.00981797,0.00656177,0.00066528,0.00177757,0.00171042,0.00199433,
0.01,0.00136901,0.00186384,0.00624209,0.00280427,0.00158959,0.00992118,9.50284e-06,0.00305161,0.0191575,0.016308,0.00267652,0.00725217,0.00780975,-5.90353e-07,0.00191439,0.00228761,0.00583247,0.00265302,0.00328411,-1.03872e-05,0.00261067,0.0360559,-1.38423e-05,0.0241816,0.0203932,0.0250675,0.0292251,0.00805738,0.0201346,-4.93289e-06,0.0169358,8.32942e-06,0.0024401,3.85607e-07,0.0127818,0.0100268,0.00110386,0.00238322,0.00152377,0.00144088,0.0024032,0.00118981,0.0104729,3.24862e-05,0.00140456,0.0299111,0.00622445,0.00277498,0.00264144,0.00487958,0.0408597,0.0283771,0.00508998,-1.66163e-06,0.00343342,0.00276026,0.0034563,0.00185372,0.00266367,0.00125366,0.00287733,0.0100486,0.00348572,0.00028179,0.0112489,0.0556645,0.0479846,1.1292e-05,0.0123233,1.44377e-06,0.0246135,3.4773e-06,0.00270585,0.00346417,0.010383,0.00665731,0.000687582,0.00182602,0.00171532,0.00199961,
0.015,0.00128302,0.0018496,0.00590459,0.00264547,0.00142005,0.0109952,9.25494e-06,0.0030365,0.0191213,0.0157107,0.00268522,0.00734898,0.00784851,-8.11736e-07,0.00190643,0.0022928,0.00590393,0.00310487,0.00386198,-8.53232e-06,0.0027622,0.0236681,-1.25113e-05,0.0237329,0.0225154,0.0260298,0.0296724,0.00896607,0.016845,-4.93289e-06,0.0173746,8.16768e-06,0.00244207,9.64018e-08,0.0129621,0.0106862,0.00110365,0.00237231,0.00172028,0.00143775,0.00262222,0.00129306,0.00957772,1.75889e-05,0.00154581,0.0323031,0.0064711,0.00276276,0.00268127,0.00489522,0.0407171,0.0285746,0.00490042,-2.19033e-06,0.00378544,0.00276791,0.00347103,0.0019804,0.00280146,0.00170439,0.00288743,0.0125172,0.00392588,0.000302654,0.0119699,0.0558328,0.0479535,1.10568e-05,0.0128363,3.72975e-06,0.0263899,2.18342e-06,0.00269621,0.00340553,0.0109322,0.00707095,0.000723351,0.00199932,0.00171587,0.00200417,
0.02,0.00120195,0.00176899,0.00526581,0.00267326,0.00138019,0.0116341,9.00704e-06,0.00302989,0.0191983,0.015361,0.00273694,0.00743927,0.00786331,-1.10691e-06,0.00190388,0.00228224,0.00589572,0.00343963,0.00446703,-4.74842e-06,0.00297414,0.0329107,-9.7162e-06,0.0230686,0.0241798,0.0269095,0.0297075,0.00980173,0.0206797,-4.81258e-06,0.0175764,7.92508e-06,0.00244218,-2.89205e-07,0.013104,0.0114999,0.00110121,0.00214876,0.00188738,0.00142616,0.00277623,0.00137276,0.00833938,7.32349e-06,0.00165774,0.0338982,0.00663294,0.00275418,0.00276611,0.00503142,0.0406356,0.0286157,0.0049461,-2.56797e-06,0.00401224,0.0027689,0.00345024,0.00210599,0.00293976,0.00186984,0.0029089,0.0140575,0.00425051,0.000325172,0.0123404,0.055926,0.0479234,1.07039e-05,0.0128249,4.81258e-06,0.0277008,1.69822e-06,0.00269029,0.00343394,0.011393,0.00762523,0.000742205,0.00147458,0.00171636,0.00200749,
0.025,0.00114242,0.00165692,0.00454498,0.00282242,0.00141109,0.0119694,8.59387e-06,0.00309325,0.0193101,0.0152366,0.00282182,0.00761577,0.00790794,-1.84485e-06,0.00190589,0.0022691,0.00586139,0.00371448,0.00507965,7.4194e-06,0.00320586,0.0324294,-5.65669e-06,0.0227365,0.0254059,0.0276924,0.0296224,0.0105374,0.0225618,-4.69226e-06,0.0176218,7.52074e-06,0.00248974,-8.67616e-07,0.013205,0.0122635,0.00110153,0.00226942,0.00202897,0.00141366,0.00288225,0.00143227,0.0070752,2.81673e-06,0.00175118,0.0348649,0.00671597,0.00277767,0.0028715,0.00518827,0.0406343,0.0287429,0.0051285,-2.79456e-06,0.00414179,0.00282193,0.00342274,0.00222314,0.00308075,0.00196844,0.00293457,0.0154238,0.00447604,0.000346352,0.0124647,0.0559737,0.0479601,9.99816e-06,0.0131893,5.29384e-06,0.0286443,1.37475e-06,0.00271089,0.00354426,0.0117501,0.00809567,0.000757288,0.00143323,0.00171219,0.00200098,
0.03,0.00108704,0.00153215,0.00388499,0.00288176,0.00139449,0.0120974,7.93281e-06,0.00318494,0.0199599,0.0154107,0.00287377,0.00795669,0.00794357,-2.14003e-06,0.00190759,0.00225564,0.0058197,0.00370514,0.00506378,2.50776e-05,0.00318607,0.0328059,-2.66197e-07,0.0225394,0.0262061,0.0283637,0.0295035,0.0111559,0.0229389,-4.57195e-06,0.01757,7.1164e-06,0.00255199,-1.54243e-06,0.0132681,0.0127058,0.00114866,0.00585038,0.00214887,0.00140291,0.00295198,0.0014752,0.00594923,-1.0641e-06,0.00183062,0.0353709,0.006734,0.00280961,0.00296195,0.00543417,0.0406096,0.0287498,0.00521066,-2.94561e-06,0.00419888,0.00287835,0.00340293,0.00220621,0.00317997,0.00192215,0.00291984,0.0155241,0.00461945,0.000364146,0.012411,0.0559964,0.0479491,9.41004e-06,0.0129047,5.29384e-06,0.0292965,1.45561e-06,0.00274454,0.00355989,0.0119991,0.00825684,0.000789825,0.0100401,0.00170183,0.00198515,
0.035,0.00103299,0.00140492,0.00330365,0.00288189,0.00136142,0.0120639,7.35437e-06,0.00327427,0.0200497,0.0155831,0.00287471,0.00804133,0.00795466,-2.73038e-06,0.00190929,0.00224305,0.00577613,0.00354501,0.00473791,4.80777e-05,0.00310231,0.0324156,5.72324e-06,0.0223642,0.026615,0.0289166,0.0292897,0.0116511,0.0223403,-4.69226e-06,0.0174568,6.71206e-06,0.00261456,-2.50645e-06,0.0132993,0.0129566,0.00115599,0.00486586,0.00225117,0.00139405,0.00299412,0.00150654,0.00501378,4.19379e-06,0.00189734,0.0355362,0.00670406,0.0028445,0.00297001,0.00554666,0.0405593,0.0286932,0.00522447,-3.09667e-06,0.00420359,0.00292458,0.00338768,0.00213901,0.00323046,0.00181093,0.00289332,0.0147772,0.00469412,0.000378554,0.0122354,0.0560072,0.0479116,8.35141e-06,0.0116588,5.05321e-06,0.0297209,1.61735e-06,0.00277708,0.00355396,0.0121443,0.00824542,0.00079672,0.00283675,0.00168553,0.00196164,
0.04,0.000990284,0.00128794,0.00284353,0.00284665,0.00135419,0.0119127,6.61067e-06,0.00334911,0.0198551,0.0157308,0.0028512,0.00797523,0.0079348,-3.39453e-06,0.00191006,0.00223144,0.00573216,0.00336321,0.00439824,7.70134e-05,0.00301855,0.0316463,1.22451e-05,0.0221438,0.0266805,0.029349,0.0292224,0.0120232,0.0215139,-4.57195e-06,0.0173119,6.06511e-06,0.00266508,-3.27766e-06,0.0133064,0.0130415,0.00114898,0.00302829,0.00233754,0.00138813,0.00301548,0.00152744,0.00434888,5.07011e-06,0.00195497,0.0354466,0.0066418,0.00287272,0.00293261,0.00556128,0.0405115,0.0286477,0.00519278,-3.24773e-06,0.00416837,0.00295248,0.00337953,0.00206623,0.00324455,0.00170127,0.00286259,0.0138019,0.00471276,0.000390837,0.0119807,0.0560134,0.0478881,7.52803e-06,0.0110137,4.57195e-06,0.0299662,1.77908e-06,0.00280558,0.00353639,0.0121937,0.00813263,0.000798552,0.00167856,0.00166426,0.00193337,
0.045,0.000965716,0.00119022,0.00253731,0.002791,0.00137051,0.0116819,5.86697e-06,0.00347576,0.0195467,0.0157117,0.00281272,0.00787506,0.00788092,-4.28006e-06,0.001914,0.00222027,0.00568956,0.00318931,0.00408783,0.000108398,0.0029371,0.0306836,1.92993e-05,0.0218456,0.0264571,0.0296623,0.0293284,0.0122775,0.0206493,-4.57195e-06,0.0171579,5.49904e-06,0.00275692,-4.33808e-06,0.0132938,0.0128379,0.00113752,0.00235624,0.00241024,0.00138507,0.00302152,0.00154096,0.0039946,5.94642e-06,0.00200408,0.0351648,0.00656192,0.00291747,0.0028644,0.0054402,0.0404838,0.02866,0.00512672,-3.47431e-06,0.00410742,0.00302384,0.00337582,0.00199279,0.00323087,0.00160029,0.00282766,0.012835,0.00468714,0.000399261,0.0116767,0.0560176,0.0478928,6.4694e-06,0.0110151,4.21101e-06,0.0300689,2.10255e-06,0.00285149,0.00351266,0.0121582,0.00780262,0.000803508,0.00118984,0.00163643,0.00189547,
0.05,0.000942848,0.00110806,0.00233744,0.00273254,0.00135694,0.0113979,5.12327e-06,0.00360777,0.0192638,0.0156217,0.00276594,0.0077666,0.00779504,-4.94421e-06,0.00191817,0.00221046,0.00564813,0.00301334,0.00379579,0.000141711,0.00285796,0.0296122,2.67528e-05,0.021484,0.0260019,0.0298598,0.0293958,0.0124217,0.0197513,-4.69226e-06,0.0170108,4.93296e-06,0.00284941,-5.3985e-06,0.013269,0.0123765,0.00112669,0.00210433,0.00247135,0.00138559,0.00301642,0.00154844,0.00379557,7.32349e-06,0.00204654,0.0347348,0.00647484,0.00296304,0.0027834,0.00524061,0.0404552,0.0286708,0.00504704,-3.54984e-06,0.00402916,0.00307945,0.00338227,0.00191855,0.00319064,0.00149271,0.0027923,0.01186,0.00462717,0.00040556,0.0113435,0.0560214,0.0478935,5.41077e-06,0.0105308,3.48912e-06,0.0300591,2.42602e-06,0.00289544,0.00348368,0.0120518,0.00738535,0.000809864,0.000924559,0.00160186,0.00184897,
0.055,0.000923761,0.00104414,0.00223092,0.0026737,0.00134755,0.0110787,4.2143e-06,0.00371464,0.0190391,0.0154951,0.00271954,0.00765955,0.00768334,-5.68215e-06,0.00191787,0.00220052,0.00560742,0.00287518,0.0035802,0.000176062,0.00279882,0.0286256,3.3674e-05,0.0210765,0.0253703,0.0299472,0.0294852,0.012466,0.0189904,-4.69226e-06,0.01688,4.20514e-06,0.00291977,-6.36252e-06,0.0132364,0.0117879,0.00111735,0.00200604,0.00252229,0.00139015,0.00300338,0.00155059,0.00372607,8.38758e-06,0.00208264,0.0341906,0.00638796,0.00299415,0.00270588,0.00501825,0.0404298,0.0286857,0.00495814,-3.62537e-06,0.00394009,0.0030984,0.003388,0.00185572,0.00313632,0.00140672,0.00275778,0.0110726,0.00454119,0.000410205,0.0109959,0.0560241,0.0478958,4.11689e-06,0.0103503,3.00786e-06,0.0299563,2.91123e-06,0.00292634,0.0034498,0.0118882,0.00702366,0.000817406,0.000750694,0.00156153,0.00179635,
0.06,0.00092773,0.00100429,0.00225306,0.00262619,0.00138279,0.010743,3.38797e-06,0.00378837,0.0189039,0.0154298,0.00267754,0.00754473,0.007555,-6.42009e-06,0.00191454,0.00219033,0.00556697,0.00277649,0.00343226,0.000209895,0.00276305,0.0278356,4.0462e-05,0.0206665,0.0246154,0.0299322,0.0295389,0.0124223,0.0184332,-4.69226e-06,0.01677,3.63907e-06,0.00296799,-7.23013e-06,0.0131997,0.0112449,0.0011097,0.00199062,0.00256415,0.00139881,0.00298354,0.00154834,0.00387806,9.57687e-06,0.00211326,0.0335573,0.00630591,0.00300362,0.00264018,0.00482555,0.040419,0.0286722,0.0048758,-3.54984e-06,0.00384554,0.00308495,0.00339687,0.00180893,0.00307391,0.00134032,0.00272537,0.0104878,0.00443698,0.000414299,0.0106469,0.0560243,0.0478993,2.94064e-06,0.010997,2.16566e-06,0.0297788,3.31556e-06,0.00293993,0.00341728,0.0116829,0.00673889,0.000822039,0.000626332,0.00151825,0.00174177,
0.065,0.000931698,0.000987083,0.00234487,0.00259133,0.00138698,0.0104067,2.56164e-06,0.00383202,0.0191979,0.015436,0.00265003,0.00760492,0.00741925,-7.01045e-06,0.0019086,0.00218039,0.00552697,0.0027028,0.00332768,0.000243431,0.00274305,0.0272294,4.63183e-05,0.0202904,0.023784,0.0298242,0.0295977,0.0123036,0.0180146,-4.93289e-06,0.0166822,2.99212e-06,0.00299779,-8.19415e-06,0.0131608,0.0106496,0.00112605,0.00389377,0.00259842,0.00141066,0.00295916,0.00154229,0.0040822,1.10791e-05,0.00213868,0.0328569,0.00623026,0.00299248,0.00260833,0.00475043,0.0404122,0.0286576,0.00481427,-3.62537e-06,0.00374798,0.00304452,0.00340058,0.00177099,0.00300756,0.00128512,0.00269633,0.0100374,0.00432098,0.000417527,0.0103068,0.0560214,0.0479024,1.88201e-06,0.0113175,1.74456e-06,0.0295396,3.88164e-06,0.00293303,0.00338591,0.01145,0.0064856,0.000837014,0.00986223,0.00147596,0.00169019,
0.07,0.000955888,0.000997737,0.00251749,0.00258507,0.00144142,0.0100758,2.80954e-06,0.00385771,0.0191319,0.0154106,0.00262762,0.0075517,0.00729188,-7.6008e-06,0.00190149,0.00217027,0.00548763,0.00266358,0.00329199,0.000272292,0.00275547,0.0269608,5.14426e-05,0.0200167,0.0229193,0.0296347,0.0296483,0.012123,0.0179383,-6.25635e-06,0.0166165,3.5582e-06,0.00301248,-8.96537e-06,0.0131231,0.010194,0.0011252,0.00325653,0.00262349,0.00142434,0.00293195,0.00153379,0.00445134,1.22684e-05,0.00215919,0.0321078,0.00616101,0.00296669,0.00257167,0.00462451,0.0404326,0.0286748,0.00478691,-3.7009e-06,0.00364817,0.00298341,0.00339804,0.00175387,0.00294173,0.00124223,0.0026757,0.00976603,0.00419767,0.00041926,0.00998631,0.0560138,0.0479275,7.05753e-07,0.0120688,2.28597e-06,0.0292489,3.63903e-06,0.00291045,0.00338819,0.0112014,0.00629171,0.000841324,0.00276487,0.00144224,0.00165222,
0.075,0.000990851,0.00103287,0.00275777,0.00261123,0.00150598,0.00975605,1.7353e-06,0.00386913,0.0189589,0.0154424,0.00261845,0.00748886,0.00718275,-7.96977e-06,0.00189523,0.00215996,0.00544965,0.00260458,0.00325029,0.000294847,0.00277715,0.0268211,5.52359e-05,0.0198957,0.0220574,0.0293762,0.0297031,0.0118934,0.0179062,-5.77509e-06,0.0165637,2.66865e-06,0.00301599,-9.44737e-06,0.0130882,0.00977349,0.00112149,0.00250283,0.00264549,0.00144355,0.00290096,0.00152252,0.00495605,1.37081e-05,0.00217537,0.0313278,0.00609866,0.00293161,0.002541,0.00449995,0.0404805,0.0287351,0.00481152,-3.39878e-06,0.00354999,0.00290767,0.0033912,0.00173918,0.00287009,0.00116618,0.00266223,0.00938606,0.00407149,0.000420834,0.00969305,0.0560005,0.0479756,0,0.0127199,1.08283e-06,0.0289206,4.60944e-06,0.00287659,0.00342287,0.0109467,0.0061547,0.000844017,0.00163722,0.00141834,0.00163014,
0.08,0.00103791,0.00109249,0.00308582,0.0026424,0.00158483,0.00946818,8.26334e-07,0.00387888,0.0193916,0.0155672,0.00262934,0.00767967,0.00709301,-8.26495e-06,0.00188735,0.0021499,0.00541324,0.00255966,0.00322694,0.000309315,0.0027984,0.0267745,5.70328e-05,0.0198928,0.0212247,0.0290635,0.0298501,0.0116275,0.0178923,-5.41415e-06,0.0165228,1.94084e-06,0.00302311,-1.00258e-05,0.0130544,0.00925136,0.00115079,0.00493903,0.00266321,0.00146615,0.00286883,0.00150828,0.00560579,1.48348e-05,0.00218605,0.0305434,0.00604202,0.00288629,0.00254898,0.00450454,0.0405556,0.0288347,0.00485588,-3.32326e-06,0.00345412,0.00283156,0.00337497,0.00173038,0.00279721,0.00109889,0.00265213,0.00909035,0.00394691,0.0004217,0.00943082,0.0559814,0.0480426,-7.05753e-07,0.0139722,1.20314e-07,0.0285603,5.33725e-06,0.00283495,0.0034636,0.0106957,0.00599326,0.000864487,0.00758463,0.00141215,0.0016334,
0.085,0.00107967,0.00115928,0.00340877,0.00264904,0.00162165,0.00919928,1.65267e-07,0.0038974,0.0193205,0.0155788,0.00262339,0.00764507,0.00701717,-8.33874e-06,0.00187878,0.00213953,0.00537885,0.00256173,0.00322891,0.000316957,0.00280914,0.0267454,5.70328e-05,0.019913,0.0204361,0.028709,0.0297974,0.0113353,0.0179379,-5.05321e-06,0.0164887,1.5365e-06,0.00303549,-1.02186e-05,0.0130238,0.00900717,0.00114835,0.00404254,0.00267724,0.00148966,0.00283444,0.0014922,0.00625041,1.834e-05,0.0021927,0.0297616,0.00598972,0.00283707,0.00253524,0.00443529,0.0406041,0.0288071,0.00486111,-2.87008e-06,0.00336065,0.00276094,0.00335685,0.00172904,0.00273469,0.00108909,0.00264077,0.00906131,0.00382512,0.000421228,0.00919732,0.055956,0.048055,-1.17625e-06,0.0146758,-4.81258e-07,0.0281767,5.90332e-06,0.00278771,0.00345767,0.0104556,0.00598949,0.000860286,0.00500234,0.00142962,0.00166896,
0.09,0.00109026,0.0012107,0.00360617,0.00268709,0.00158627,0.00893927,-3.30534e-07,0.00393207,0.0191119,0.0155634,0.00262848,0.00751896,0.00697214,-8.26495e-06,0.00186649,0.00212965,0.00534641,0.00265545,0.00338184,0.000314212,0.00288722,0.0273203,5.53025e-05,0.0200442,0.019703,0.0283264,0.0294973,0.0110258,0.0186622,-4.69226e-06,0.0164569,1.21302e-06,0.0030607,-1.02186e-05,0.0129948,0.00907805,0.00113306,0.00280893,0.00268797,0.00151252,0.00279797,0.00147438,0.00661583,2.35979e-05,0.00219458,0.0289969,0.00594106,0.00278996,0.00253694,0.00439714,0.0406163,0.028682,0.0049121,-2.87008e-06,0.00326965,0.00270508,0.00333216,0.00176862,0.00269405,0.0011506,0.00264624,0.00953776,0.00370839,0.000419023,0.00900543,0.0559246,0.0480214,-9.41004e-07,0.0143711,-8.42201e-07,0.0277742,6.46939e-06,0.00274399,0.0034547,0.0102299,0.00612431,0.000842186,0.00238872,0.001474,0.00173799,
0.095,0.00109744,0.00125086,0.00374039,0.00270625,0.00157804,0.00869359,-5.78434e-07,0.0039884,0.0189288,0.0155162,0.00263561,0.00748851,0.00694536,-7.96977e-06,0.00184927,0.00211947,0.00531501,0.00267736,0.00341504,0.000300708,0.00289963,0.0275476,5.09768e-05,0.0201876,0.019028,0.0279281,0.0297469,0.0107063,0.0187403,-4.45164e-06,0.0164241,1.13215e-06,0.00310136,-9.92938e-06,0.012966,0.00904828,0.00112276,0.00237183,0.00269576,0.00153167,0.00275771,0.0014545,0.00686223,2.8981e-05,0.00219183,0.0282582,0.00589545,0.00275444,0.00253502,0.00433172,0.0406503,0.0288133,0.00494548,-2.56797e-06,0.00318336,0.00267156,0.00330641,0.0017753,0.00266025,0.00116166,0.00264834,0.00963972,0.00359879,0.000414772,0.00884541,0.0558876,0.0480627,-7.05753e-07,0.0141271,-1.08283e-06,0.027361,6.79286e-06,0.00270673,0.00349532,0.0100207,0.00608975,0.000841647,0.00148346,0.0015459,0.00184024,
0.1,0.00118305,0.00132256,0.00410282,0.00274017,0.0018016,0.00848566,-5.78434e-07,0.00406624,0.0187991,0.0155051,0.00264525,0.007445,0.00693169,-7.6008e-06,0.00182872,0.0021078,0.00528433,0.0026424,0.0033754,0.000278673,0.00290426,0.0275777,4.51204e-05,0.0203575,0.0184194,0.0275255,0.0298197,0.0103837,0.0189188,-4.09069e-06,0.016384,1.13215e-06,0.00315801,-9.54378e-06,0.0129387,0.00884844,0.00111512,0.00237821,0.00270121,0.00154678,0.0027186,0.00143309,0.00765095,3.47396e-05,0.00218519,0.0275655,0.005853,0.00272563,0.0025274,0.00421438,0.0407485,0.0288741,0.00499542,-2.56797e-06,0.00309962,0.00266502,0.00328295,0.00177864,0.00262086,0.00111395,0.00265929,0.00943112,0.00349597,0.000408473,0.00871244,0.0558458,0.0481385,0,0.0169442,-1.20314e-06,0.0269384,7.11633e-06,0.00267911,0.00353936,0.00982939,0.00595733,0.000835829,0.00108211,0.00164244,0.00197115,
0.105,0.00126261,0.00140964,0.00454529,0.00281222,0.00191338,0.00831144,-1.15687e-06,0.00415912,0.0187367,0.0155314,0.00266571,0.00740282,0.0069411,-6.93665e-06,0.00180153,0.0020962,0.00525339,0.00263068,0.00341504,0.00024536,0.00294888,0.0278977,3.76004e-05,0.0206358,0.0178853,0.0271295,0.0297327,0.0100639,0.0193387,-2.82739e-06,0.0163365,7.27813e-07,0.00322607,-8.67616e-06,0.0129117,0.00861996,0.00110673,0.00244056,0.00270605,0.0015572,0.00267948,0.00141087,0.00855591,4.26265e-05,0.00217479,0.0269375,0.00581419,0.00271078,0.00252836,0.0041091,0.0408423,0.0288761,0.00509751,-2.26586e-06,0.0030243,0.0026915,0.00326301,0.00180431,0.00258022,0.0010632,0.0026837,0.00934713,0.00340054,0.000400363,0.00861254,0.0558008,0.0481901,1.17625e-06,0.0181929,-2.04535e-06,0.0265151,7.84414e-06,0.00266311,0.00359047,0.00965493,0.00594076,0.000821931,0.000888138,0.00175737,0.00212192,
