time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.005,4.61901,6.66107,-1.58303,-2.11189,-1.61589,-2.94838,-1.05559,-4.04607,-9.1687,-9.01002,6.17826,6.16305,16.148,11.9009,-2.13981,-1.92992,6.44507,11.9725,-23.897,-25.0558,
0.01,4.89871,6.36954,1.19513,-2.09036,-1.14448,-2.93103,-1.88668,-3.89444,-8.74483,-9.08449,5.64411,6.02079,12.3483,12.107,-2.07814,-1.90426,6.2804,12.1356,-22.9008,-25.178,
0.015,4.05457,6.21698,0.240112,-2.09312,-1.42192,-2.92491,-2.18583,-3.83426,-9.33522,-9.10912,5.76211,5.90221,15.746,12.2597,-2.06745,-1.88191,6.45803,12.2497,-23.7374,-25.2553,
0.02,3.78827,6.16575,-0.0153337,-2.08488,-1.40391,-2.92476,-2.54589,-3.82632,-9.77018,-9.10616,5.39415,5.81471,15.6876,12.3708,-1.98301,-1.8634,6.6773,12.3192,-24.057,-25.2934,
0.025,3.40077,6.16819,-0.581352,-2.03324,-1.39881,-2.92532,-2.87511,-3.82684,-10.1951,-9.10071,5.07814,5.76006,16.0811,12.4504,-1.87683,-1.84992,6.93193,12.3509,-24.3114,-25.2996,
0.03,3.08658,6.18908,-1.17777,-1.9506,-1.35915,-2.92446,-2.05282,-3.82111,-10.4038,-9.09893,4.63643,5.74028,16.1766,12.5141,-1.75228,-1.84213,7.37548,12.3544,-24.3203,-25.2833,
0.035,2.85888,6.19449,-1.7692,-1.88153,-1.31773,-2.92032,-2.55015,-3.81124,-10.4466,-9.09604,4.23472,5.74054,16.2262,12.582,-1.65445,-1.83972,7.40664,12.3493,-24.1519,-25.2575,
0.04,2.69808,6.1778,-2.34098,-1.84149,-1.28048,-2.91262,-2.86374,-3.79905,-10.4052,-9.09297,3.87383,5.74527,16.2366,12.6593,-1.57118,-1.84037,7.45306,12.349,-23.9522,-25.2311,
0.045,2.56948,6.15175,-2.83846,-1.83498,-1.23602,-2.90505,-2.66359,-3.79022,-10.3127,-9.09176,3.49234,5.74731,16.2008,12.7319,-1.4774,-1.84185,7.61584,12.3549,-23.7099,-25.2089,
0.05,2.50816,6.1367,-3.20561,-1.85877,-1.19054,-2.9014,-3.09187,-3.79467,-10.2457,-9.08609,3.15691,5.75962,16.2609,12.7641,-1.3874,-1.8458,7.48259,12.3471,-23.5081,-25.1849,
0.055,2.49222,6.14172,-3.52905,-1.88133,-1.16395,-2.90219,-3.20226,-3.8057,-10.2527,-9.07577,2.8913,5.78813,16.4234,12.7393,-1.32282,-1.8522,7.69394,12.3171,-23.4065,-25.1587,
0.06,2.47458,6.15012,-3.66206,-1.88469,-1.10436,-2.90457,-3.23088,-3.80565,-10.2966,-9.06987,2.70305,5.8254,16.7056,12.6588,-1.25275,-1.85845,7.94048,12.2683,-23.3608,-25.1317,
0.065,2.53476,6.15709,-3.76901,-1.89618,-1.0734,-2.90704,-3.29508,-3.8007,-10.3885,-9.06804,2.57442,5.86535,16.9859,12.5371,-1.21029,-1.86478,8.14852,12.2064,-23.4117,-25.1046,
0.07,2.63501,6.16668,-3.85003,-1.93717,-1.05975,-2.90859,-3.08365,-3.80101,-10.5185,-9.06656,2.46276,5.91088,17.1769,12.4089,-1.17408,-1.87383,8.37994,12.1443,-23.5144,-25.0853,
0.075,2.74456,6.17476,-3.90634,-2.00703,-1.05542,-2.90993,-2.9524,-3.80703,-10.662,-9.06299,2.39191,5.96056,17.3017,12.3074,-1.15036,-1.88291,8.59414,12.0958,-23.6479,-25.0805,
0.08,2.84296,6.18663,-3.86597,-2.08187,-1.0381,-2.90992,-3.10137,-3.81541,-10.795,-9.05695,2.39466,6.00637,17.4485,12.2584,-1.13447,-1.88882,8.70314,12.073,-23.7575,-25.0925,
0.085,2.97109,6.21655,-3.82262,-2.12226,-1.03701,-2.90811,-3.10321,-3.82082,-10.926,-9.04977,2.42118,6.04199,17.52,12.2787,-1.13212,-1.88941,8.75963,12.0816,-23.8831,-25.1172,
0.09,3.10107,6.27718,-3.80282,-2.11999,-1.05187,-2.9063,-3.09442,-3.82585,-11.0366,-9.04383,2.47578,6.06727,17.5194,12.3567,-1.14892,-1.88672,8.81238,12.1134,-24.0145,-25.1463,
0.095,3.21095,6.35749,-3.73819,-2.08898,-1.06044,-2.90605,-3.20691,-3.82938,-11.1283,-9.04144,2.56169,6.07447,17.5132,12.4639,-1.1702,-1.88229,8.77462,12.1594,-24.0921,-25.173,
0.1,3.33767,6.44088,-3.66078,-2.05929,-1.07772,-2.90863,-3.41158,-3.83799,-11.219,-9.03514,2.66203,6.05261,17.4931,12.5633,-1.20172,-1.87583,8.56518,12.2085,-24.2137,-25.1909,
0.105,3.47368,6.51532,-3.64046,-2.0389,-1.11448,-2.91331,-3.40839,-3.85183,-11.27,-9.02197,2.7573,5.99514,17.3918,12.6367,-1.25181,-1.86702,8.39513,12.2564,-24.3132,-25.1975,
0.11,3.59752,6.58117,-3.65845,-2.02536,-1.15829,-2.9194,-3.38068,-3.87005,-11.2853,-9.0046,2.84122,5.91237,17.2264,12.6752,-1.30836,-1.8574,8.19814,12.2941,-24.3397,-25.1891,
0.115,3.68558,6.62881,-3.68695,-2.01148,-1.19475,-2.92429,-3.34169,-3.88378,-11.2586,-8.9895,2.93927,5.81863,17.0715,12.6757,-1.37121,-1.84594,8.0715,12.3167,-24.332,-25.1686,
0.12,3.82819,6.64504,-3.72058,-2.00786,-1.24203,-2.9245,-3.69022,-3.89044,-11.2074,-8.97781,3.02523,5.72814,16.8704,12.6523,-1.43644,-1.83162,7.39699,12.3277,-24.3191,-25.144,
0.125,3.94235,6.62191,-3.84368,-2.006,-1.29671,-2.92075,-3.15557,-3.88037,-11.1751,-8.97718,3.0627,5.66757,16.5947,12.6287,-1.49821,-1.8158,7.39198,12.3253,-24.3367,-25.1177,
0.13,4.02745,6.55872,-3.93933,-1.99488,-1.33188,-2.91705,-2.91454,-3.8463,-11.1698,-8.99509,3.08077,5.66052,16.3463,12.6204,-1.54042,-1.80022,7.23653,12.3048,-24.3636,-25.0882,
0.135,4.10881,6.46538,-3.96507,-1.97176,-1.34298,-2.91514,-2.76183,-3.78791,-11.1825,-9.03656,3.09432,5.69671,16.1576,12.6331,-1.56427,-1.78837,6.99493,12.2754,-24.3841,-25.0616,
0.14,4.19329,6.3642,-3.9011,-1.91833,-1.33282,-2.91643,-2.85939,-3.70412,-11.2236,-9.10811,3.13704,5.74199,16.0887,12.6694,-1.57983,-1.78198,6.80543,12.2547,-24.4465,-25.0456,
0.145,4.27475,6.29045,-3.74402,-1.80938,-1.29599,-2.92239,-2.92875,-3.60056,-11.2622,-9.21102,3.20375,5.78743,16.107,12.7144,-1.58308,-1.77766,6.66539,12.2392,-24.4847,-25.0347,
0.15,4.36967,6.25781,-3.53024,-1.64381,-1.23675,-2.93208,-2.95807,-3.48507,-11.2897,-9.34138,3.2612,5.84977,16.1314,12.7388,-1.56588,-1.7728,6.5829,12.2094,-24.4956,-25.0204,
0.155,4.44393,6.25072,-3.24292,-1.46784,-1.16472,-2.94289,-2.81036,-3.37145,-11.3161,-9.48726,3.30454,5.93212,16.1683,12.7167,-1.53713,-1.76657,6.65079,12.1541,-24.4903,-24.9982,
0.16,4.52887,6.25709,-2.95967,-1.3412,-1.08492,-2.95365,-2.77978,-3.27928,-11.3128,-9.63462,3.33404,6.01003,16.1635,12.6423,-1.49541,-1.75928,6.75105,12.0819,-24.4552,-24.9694,
0.165,4.6253,6.27026,-2.7212,-1.29724,-1.02954,-2.96505,-2.89369,-3.22062,-11.2614,-9.77533,3.37921,6.06817,16.1253,12.5271,-1.47635,-1.75303,6.8398,12.0041,-24.367,-24.9381,
0.17,4.68875,6.26973,-2.47098,-1.34641,-0.970928,-2.97537,-3.11335,-3.18972,-11.1856,-9.9121,3.449,6.10881,16.1121,12.4011,-1.46003,-1.74775,6.95768,11.9322,-24.272,-24.9111,
0.175,4.73344,6.25817,-2.29925,-1.47914,-0.93487,-2.98149,-3.05569,-3.18384,-11.0977,-10.0469,3.49174,6.13655,16.0332,12.2958,-1.45417,-1.74234,7.17852,11.8752,-24.2192,-24.8907,
0.18,4.76487,6.26316,-2.19144,-1.65595,-0.924193,-2.9832,-3.00464,-3.20419,-11.0198,-10.1762,3.50106,6.14208,15.9102,12.2192,-1.45674,-1.735,7.41813,11.8385,-24.1625,-24.8763,
0.185,4.77186,6.29813,-2.10826,-1.84533,-0.931153,-2.98378,-3.01753,-3.25092,-10.9622,-10.2919,3.48863,6.12715,15.7964,12.1764,-1.4702,-1.72708,7.64934,11.8221,-24.1601,-24.8665,
0.19,4.74024,6.36006,-2.04202,-2.01346,-0.951284,-2.9864,-2.93705,-3.31575,-10.9301,-10.3878,3.43727,6.09581,15.6952,12.1534,-1.49166,-1.72516,7.90609,11.817,-24.2451,-24.8562,
0.195,4.71189,6.43377,-2.00077,-2.12993,-0.99996,-2.99138,-3.23652,-3.38397,-10.903,-10.4617,3.35414,6.04762,15.6053,12.1393,-1.5348,-1.73046,7.76015,11.8183,-24.3884,-24.8431,
0.2,4.6592,6.50669,-1.92927,-2.17251,-1.05388,-3.00088,-3.37384,-3.4419,-10.8744,-10.5175,3.18145,5.98291,15.4798,12.1484,-1.56899,-1.73966,7.51978,11.8332,-24.4826,-24.8325,
0.205,4.53424,6.56806,-1.86323,-2.13024,-1.1119,-3.01669,-3.02059,-3.47807,-10.8898,-10.5625,2.94067,5.91169,15.4246,12.195,-1.60612,-1.74985,7.95568,11.8637,-24.5762,-24.8277,
0.21,4.3844,6.59768,-1.75707,-2.00891,-1.17529,-3.03562,-2.96808,-3.4819,-10.9567,-10.6038,2.63375,5.82767,15.4538,12.2918,-1.64681,-1.75744,7.99544,11.9197,-24.7877,-24.8358,
0.215,4.2215,6.57599,-1.60985,-1.83748,-1.23815,-3.0497,-2.82512,-3.4512,-11.0181,-10.6459,2.22983,5.72092,15.4678,12.4235,-1.67995,-1.76117,7.83479,12.0005,-25.0081,-24.8581,
0.22,4.05993,6.51613,-1.54072,-1.67506,-1.33544,-3.05434,-3.14389,-3.41456,-11.0409,-10.6783,1.83122,5.58785,15.5396,12.5654,-1.76004,-1.76381,7.56253,12.098,-25.1691,-24.8938,
0.225,3.83477,6.45271,-1.47864,-1.55441,-1.42646,-3.0514,-2.82658,-3.40132,-11.0773,-10.6919,1.4208,5.45723,15.7006,12.71,-1.84474,-1.76772,7.84607,12.1928,-25.3045,-24.934,
0.23,3.59098,6.4057,-1.40893,-1.47675,-1.50674,-3.04446,-2.71219,-3.42136,-11.0913,-10.6843,0.969164,5.3511,15.8331,12.8527,-1.91897,-1.77402,7.56236,12.2707,-25.4165,-24.9715,
0.235,3.40719,6.3929,-1.32369,-1.42492,-1.59027,-3.03871,-3.29331,-3.47454,-11.0839,-10.6572,0.551614,5.27249,15.9904,12.9726,-1.99941,-1.78152,6.8036,12.3234,-25.5023,-25.0043,
0.24,3.30288,6.39991,-1.28132,-1.36893,-1.69177,-3.0345,-4.16062,-3.54183,-11.0641,-10.6168,0.207818,5.21704,16.1642,13.0634,-2.09976,-1.78859,5.88121,12.3501,-25.61,-25.0296,
0.245,3.1032,6.38782,-1.3014,-1.28816,-1.75163,-3.03078,-2.87889,-3.59929,-11.0123,-10.5655,-0.158451,5.18433,16.2303,13.1331,-2.15825,-1.79391,6.44969,12.355,-25.5781,-25.0486,
0.25,2.88951,6.33405,-1.42364,-1.18639,-1.79129,-3.03037,-1.04831,-3.63899,-10.9359,-10.5008,-0.512508,5.17651,16.2164,13.1846,-2.19651,-1.79902,7.92175,12.338,-25.4527,-25.0608,
0.255,2.7372,6.24566,-1.54859,-1.08255,-1.82136,-3.03619,-0.851275,-3.66979,-10.8699,-10.4184,-0.722384,5.18356,16.3143,13.2223,-2.2421,-1.80463,8.14771,12.3037,-25.3881,-25.0634,
0.26,2.71007,6.12842,-1.61614,-0.99776,-1.84988,-3.04678,-1.74534,-3.69785,-10.7862,-10.319,-0.757928,5.18615,16.4974,13.2337,-2.30037,-1.80988,7.51409,12.2556,-25.366,-25.0531,
0.265,2.69217,5.97424,-1.61385,-0.941101,-1.84498,-3.05564,-2.55874,-3.71485,-10.6979,-10.2145,-0.659039,5.15279,16.7329,13.2042,-2.34237,-1.81503,6.81923,12.2035,-25.3196,-25.0299,
0.27,2.65172,5.78827,-1.58743,-0.925361,-1.81278,-3.05883,-3.09917,-3.72004,-10.603,-10.1177,-0.429525,5.07703,17.0184,13.1495,-2.37957,-1.82272,6.64377,12.1561,-25.2317,-24.9922,
0.275,2.66893,5.59093,-1.60255,-0.956076,-1.78478,-3.05505,-3.3113,-3.7169,-10.4961,-10.0412,-0.151746,4.95511,17.1776,13.1069,-2.40627,-1.83402,6.47814,12.1315,-25.1349,-24.9461,
0.28,2.63381,5.41655,-1.68922,-1.04215,-1.74629,-3.04589,-2.77381,-3.71966,-10.4036,-9.98873,0.159724,4.77595,17.2483,13.1012,-2.42037,-1.84986,7.23206,12.1469,-24.9912,-24.8996,
0.285,2.62304,5.27826,-1.74261,-1.18164,-1.7003,-3.03285,-2.65943,-3.73297,-10.3551,-9.96074,0.509692,4.54183,17.316,13.1426,-2.41568,-1.86898,7.50172,12.2071,-24.9049,-24.857,
0.29,2.61481,5.17376,-1.73262,-1.34968,-1.6508,-3.01835,-2.63928,-3.74816,-10.3591,-9.95734,0.872084,4.2814,17.3827,13.2255,-2.40269,-1.89143,7.65763,12.2963,-24.889,-24.8134,
0.295,2.66423,5.0955,-1.7827,-1.51922,-1.62117,-3.00275,-2.80239,-3.75518,-10.3662,-9.97477,1.25618,4.03324,17.4069,13.3429,-2.39707,-1.91972,7.65704,12.3938,-24.9051,-24.7631,
0.3,2.65737,5.03252,-1.7597,-1.6694,-1.59048,-2.9876,-2.86324,-3.74578,-10.3842,-10.0059,1.60658,3.8213,17.4092,13.4686,-2.39225,-1.95586,7.64443,12.4797,-24.9348,-24.7023,
0.305,2.69456,4.97781,-1.72722,-1.78333,-1.57341,-2.97596,-2.78945,-3.71673,-10.4126,-10.0406,1.92915,3.65157,17.4083,13.5687,-2.38183,-1.99565,7.68678,12.541,-24.9913,-24.6302,
0.31,2.67809,4.93264,-1.71355,-1.85169,-1.55011,-2.97133,-2.74031,-3.66992,-10.4064,-10.0724,2.18575,3.51464,17.3331,13.6222,-2.3708,-2.03198,7.6868,12.5779,-25.0208,-24.5531,
