time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
0.005,0.27566,0.00522111,0,0.00112525,0.073362,0.0429775,0.58857,0,
0.01,0.288849,0.00185634,0,0,0.0961114,0.0437887,0.701094,0,
0.015,0.412219,0.00238567,0,0,0.0791137,0.020257,0.705964,0,
0.02,0.395494,0,0,0,0.088384,0.0162928,0.736101,0.000766652,
0.025,0.387966,0,0.0012043,0,0.0885791,0.00848026,0.768887,0,
0.03,0.38318,0,0,0,0.0368027,0.0227791,0.723791,0,
0.035,0.389985,0,0.000297687,0,0.0803383,0.0257661,0.679065,0.000286775,
0.04,0.393125,0,0,0,0.0800421,0.033136,0.656222,0.00851008,
0.045,0.380927,0.000229887,0,0,0.0603797,0.0366824,0.652252,0,
0.05,0.366251,0.00610744,0,0,0.0685539,0.0331742,0.665686,0,
0.055,0.373188,0,3.98541e-05,0,0.0786501,0.0310343,0.685498,0.008673,
0.06,0.329921,0,0,0,0.0763371,0.0391181,0.714744,0,
0.065,0.338205,0,0,0,0.0794754,0.036062,0.729927,0,
0.07,0.335306,0.000763277,0.000859216,0,0.0630423,0.033947,0.752646,0.00782648,
0.075,0.33383,0,0,0,0.0654075,0.0336484,0.765528,0.00508448,
0.08,0.314733,0.00019586,0.000302084,0,0.0774275,0.0314598,0.780904,2.65951e-05,
0.085,0.320726,0.00181062,0.000867811,0,0.0693618,0.0287591,0.786372,0.0023761,
0.09,0.330871,0.000952143,0.000155414,0,0.0753958,0.0297159,0.783034,0.00191869,
0.095,0.323733,0.00148133,0,0,0.0828694,0.0214921,0.787858,0,
0.1,0.331327,0.00444859,0,0.000368066,0.0847359,0.0232549,0.788995,0.00460784,
0.105,0.354272,0.00424412,0,0,0.0844798,0.0220475,0.771099,0,
0.11,0.369513,0.00420849,0,0,0.0874924,0.0124715,0.756834,0.00512738,
0.115,0.379078,0,0,0.000232422,0.103526,0.015104,0.740198,0.0133183,
0.12,0.39843,0.0114414,0.000833077,0,0.0935557,0.0089487,0.721917,0.000604427,
0.125,0.428425,0,0.000699642,0,0.0924196,0.0121571,0.710233,0.000452149,
0.13,0.425299,0,0,0,0.0930073,0.0113923,0.715317,0,
0.135,0.416559,0,0,0.00118045,0.0909284,0.00795832,0.722251,0.000905647,
0.14,0.401082,0,0,0,0.102825,0.011055,0.736233,0,
0.145,0.372774,0,0,0,0.102292,0.0107021,0.748158,6.32939e-05,
