mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.0331769,0.0472584,0.0282656,0.0585037,0.0375574,0.00209737,0.0412778,0.0434866,
addlong_r,0.0619098,0.058029,0.00143267,0.00838321,0.0411823,0.0530989,0.0626264,0.0119925,
addmagDist_r,0.00415153,0.0502889,0.0398964,0.062407,0.0330981,0.0277903,0.0141037,0.0269762,
addmagIsch_r,0.0129654,0.0483833,0.000606427,0.0034394,0.0316873,0.0170052,0.000369353,0.021567,
addmagMid_r,0.0546319,0.0570518,0.0177221,0.0619095,0.0507644,0.0611231,0.00584312,0.0563737,
addmagProx_r,0.0621604,0.0160931,0.0507323,0.0495955,0.0241707,0.0489539,0.00311576,0.00121468,
bflh_r,0.0045079,0.12773,0.434809,0.00744937,0.0962217,0.000344124,0.000873471,0.0129184,
bfsh_r,0.00450789,0.12773,0.434809,0.00744941,0.0962217,0.000344083,0.000873464,0.0129185,
edl_r,0.00406295,0.00412493,0.020553,0.0475138,0.0557059,0.0372448,0.0013943,0.0187695,
ehl_r,0.0523735,0.0392463,0.0357939,0.0104295,0.0596727,0.0208609,0.033948,0.0563555,
fdl_r,0.0060568,0.0257097,0.00717624,0.010777,0.0620667,0.0159737,0.0393865,0.0536719,
fhl_r,0.0360607,0.0332613,0.00152125,0.0225169,0.0280411,0.0539571,0.0321956,0.0423145,
gaslat_r,0.0588964,0.0315082,0.0407417,0.0489092,0.0350453,0.00101107,0.0310212,0.0396844,
gasmed_r,0.0459084,0.053074,0.0293287,0.0140935,0.0404221,0.0422317,0.0428171,0.00789899,
glmax1_r,0.000802992,0.225275,1.44076e-07,1.95414e-10,0.063177,2.55556e-15,0.0709989,2.01819e-10,
glmax2_r,0.000802992,0.225275,1.48221e-07,1.94918e-10,0.063177,2.57391e-15,0.0709989,8.4024e-11,
glmax3_r,0.000802993,0.225275,1.38534e-07,1.93751e-10,0.063177,2.53304e-15,0.0709989,1.62724e-10,
glmed1_r,0.00363131,0.00433969,0.0389627,0.0626325,0.0312268,0.044762,0.0487897,0.0427579,
glmed2_r,0.035411,0.0278835,0.0097936,0.0505053,0.0398971,0.0473441,0.00373995,0.0135118,
glmed3_r,0.0140021,0.0256043,0.00203588,0.0301453,0.0591892,0.0190979,0.0325604,0.0320077,
glmin1_r,0.0164046,0.0565833,0.0198225,0.0503335,0.0131552,0.0437322,0.0581108,0.00327027,
glmin2_r,0.0454568,0.0050248,0.025288,0.000174206,0.019908,0.056424,0.0341025,0.0506891,
glmin3_r,0.0378809,0.0591316,0.0463324,0.0441349,0.0271132,0.00749718,0.0394073,0.0181438,
grac_r,0.0192166,0.0369694,0.0257758,0.0557466,0.0375821,0.0491785,0.0299166,0.0104836,
iliacus_r,0.000603467,0.0209599,0.0215403,0.0186921,0.0602009,0.014811,0.0228164,0.0289072,
perbrev_r,0.0340712,0.0550182,0.017015,0.0582842,0.0329435,0.0261191,0.0361794,0.0213566,
perlong_r,0.039091,0.0451617,0.0250421,0.0053547,0.0357672,0.023813,0.0256169,0.0502376,
piri_r,0.0271781,0.00715122,0.00851788,0.0182289,0.00544272,0.0511548,0.0190419,0.0136779,
psoas_r,0.0311862,0.00319756,0.00230722,0.00022523,0.0052468,0.0496941,0.00357008,0.0452204,
recfem_r,2.43735e-05,0.0158451,0.0118417,0.324817,0.0741167,0.028874,0.0168102,0.0359903,
sart_r,2.47213e-05,0.015845,0.0118417,0.324817,0.0741167,0.0288739,0.0168101,0.03599,
semimem_r,0.0045079,0.12773,0.434809,0.0074494,0.0962217,0.000344087,0.000873464,0.0129185,
semiten_r,0.00450792,0.12773,0.434809,0.00744961,0.0962216,0.00034385,0.000873436,0.0129185,
soleus_r,0.0551139,0.0207642,0.0213575,0.0367716,0.0308913,0.0535772,0.0309627,0.0250042,
tfl_r,2.50857e-05,0.015845,0.0118417,0.324817,0.0741168,0.0288739,0.0168099,0.0359897,
tibant_r,0.00790085,0.0564667,0.0620576,0.0072945,0.000388193,0.0306579,0.0589659,0.0375944,
tibpost_r,0.0598147,0.0345672,0.0261789,0.0139065,0.030546,0.0360917,0.0149464,0.040585,
vasint_r,0.0157688,0.0398946,0.0315792,0.0519536,0.0408001,0.0403318,0.0320072,0.00774893,
vaslat_r,0.00428731,0.0295031,0.15991,0.0208701,0.00568247,0.00203283,0.0385937,0.344733,
vasmed_r,0.00426801,0.0295194,0.159911,0.0208163,0.00568788,0.0020907,0.0386076,0.344731,
addbrev_l,0.029714,0.048723,0.0463103,0.00164297,0.0290648,0.0321828,0.0477614,0.0227631,
addlong_l,0.055461,0.0495958,0.031751,0.0456826,0.0418232,0.0617802,0.0586536,0.0563738,
addmagDist_l,0.0303638,0.00914208,0.0495732,0.0378672,0.0186661,0.0489218,0.0325918,0.0564549,
addmagIsch_l,0.040039,0.0519066,0.0546438,0.0235,0.0131174,0.0372883,0.0108306,0.0427577,
addmagMid_l,0.0180495,0.0542791,0.0014663,0.00223841,0.0390294,0.0522496,0.053826,0.0609278,
addmagProx_l,0.0189342,0.0477852,0.0220041,0.0274667,0.0496095,0.0594095,0.0427515,0.0545592,
bflh_l,0.0584591,4.62746e-10,0.111312,0.000597538,1.98196e-20,0.0334959,0.113839,3.10792e-06,
bfsh_l,0.0584591,4.68098e-10,0.111312,0.000597535,2.15976e-20,0.0334959,0.113839,3.10793e-06,
edl_l,0.000196122,0.0442542,0.0111445,0.0428629,0.0556282,0.0528186,0.0194013,0.0527658,
ehl_l,0.0404357,0.0190314,0.019894,0.00722868,0.041593,0.00857611,0.0337055,0.00510633,
fdl_l,0.00712594,0.0395525,0.0406483,0.0571095,0.0423767,0.0618316,0.0506379,0.0547469,
fhl_l,0.0376164,0.0475655,0.0309677,0.0417437,0.031957,0.0584694,0.00811847,0.0167866,
gaslat_l,0.0366479,0.0367749,0.0450355,0.0594279,0.0407515,0.00965955,0.0262394,0.0524627,
gasmed_l,0.0401312,0.0171098,0.0442423,0.0162858,0.0257513,0.0463868,0.0614163,0.00219031,
glmax1_l,0.0396163,0.324482,0.0217817,0.00159764,9.65455e-09,0.114368,1.12815e-05,0.00608984,
glmax2_l,0.0396164,0.324482,0.0217817,0.00159764,9.7977e-09,0.114368,1.12755e-05,0.00608984,
glmax3_l,0.0396163,0.324482,0.0217817,0.00159762,9.39003e-09,0.114368,1.13062e-05,0.00608986,
glmed1_l,0.0605897,0.0497782,0.0374538,0.0567377,0.00117975,0.0536199,0.00558247,0.0264826,
glmed2_l,0.0289599,0.0448559,0.0282875,0.0356194,0.0471123,0.0581742,0.0199107,0.0288039,
