time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.195941,0.282731,0.011422,0.0378727,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.0781182,0.081448,0,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.0998516,0.0377229,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0449784,0.058817,0.0639678,0.0465633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641093,0.0883907,0.00012476,0,0,0,0,0,0,0,0.087356,0.073296,0,0,0,
3.605,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.166502,0.242182,0.0134276,0.0496348,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.101656,0.0974102,0,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.0851332,0.0487812,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0520164,0.0557993,0.0653481,0.0488019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0589297,0.0895347,0.0001623,0,0,0,0,0,0,0,0.0854048,0.0716622,0,0,0,
3.61,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.249716,0.35511,0.00791558,0.00173142,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.00679126,0.0297301,0,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.126412,0.00357143,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0249009,0.0604001,0.0542395,0.0384415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718476,0.076603,1.2936e-05,0,0,0,0,0,0,0,0.0822023,0.0738357,0,0,0,
3.615,0.392853,0.392853,0.392853,0.392853,0.392853,0.392853,0.022408,0.022408,0.274931,0.389005,0.00724071,0.00194486,0.076649,0.076649,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.035113,0.392853,0.011268,0.00422593,0.0307203,0,0.011268,0.011268,0.011268,0.022408,0.022408,0.076649,0.011268,0.138782,0.00230656,0.06329,0.06329,0.06329,0,0,0,0,0,0,0,0,0.0227352,0.0659307,0.0628589,0.0401544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818878,0.0806248,2.27774e-05,0,0,0,0,0,0,0,0.0914764,0.0752832,0,0,0,
3.62,0.392896,0.392896,0.392896,0.392896,0.392896,0.392896,0.022695,0.022695,0.278764,0.394068,0.00775561,0.00145078,0.074954,0.074954,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.035742,0.392896,0.011545,0.00303795,0.0302571,0,0.011545,0.011545,0.011545,0.022695,0.022695,0.074954,0.011545,0.140631,0.00161819,0.064932,0.064932,0.064932,0,0,0,0,0,0,0,0,0.0229389,0.0668074,0.0643181,0.0409598,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083756,0.0813173,2.35462e-05,0,0,0,0,0,0,0,0.0927063,0.0764001,0,0,0,
3.625,0.39291,0.39291,0.39291,0.39291,0.39291,0.39291,0.023013,0.023013,0.252362,0.358402,0.00807181,0.0064005,0.073294,0.073294,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.036383,0.39291,0.011835,0.0145209,0.0364574,0,0.011835,0.011835,0.011835,0.023013,0.023013,0.073294,0.011835,0.127633,0.00722546,0.06665,0.06665,0.06665,0,0,0,0,0,0,0,0,0.026241,0.0622479,0.0592041,0.0400116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750844,0.0792474,3.20885e-05,0,0,0,0,0,0,0,0.086493,0.0737979,0,0,0,
3.63,0.392895,0.392895,0.392895,0.392895,0.392895,0.392895,0.023358,0.023358,0.242538,0.34517,0.00878561,0.011195,0.071671,0.071671,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.037034,0.392895,0.012138,0.0243523,0.0432977,0,0.012138,0.012138,0.012138,0.023358,0.023358,0.071671,0.012138,0.122783,0.011907,0.068444,0.068444,0.068444,0,0,0,0,0,0,0,0,0.0293639,0.0615045,0.0597218,0.0411098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731222,0.0805097,4.62241e-05,0,0,0,0,0,0,0,0.0862448,0.0738447,0,0,0,
3.635,0.392849,0.392849,0.392849,0.392849,0.392849,0.392849,0.02373,0.02373,0.265477,0.375956,0.00842963,0.00453129,0.070088,0.070088,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.037694,0.392849,0.012455,0.00986028,0.0342907,0,0.012455,0.012455,0.012455,0.02373,0.02373,0.070088,0.012455,0.134041,0.00483848,0.070312,0.070312,0.070312,0,0,0,0,0,0,0,0,0.0252834,0.0648065,0.0627979,0.0411801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801858,0.0807578,3.13444e-05,0,0,0,0,0,0,0,0.0901727,0.0756588,0,0,0,
3.64,0.39277,0.39277,0.39277,0.39277,0.39277,0.39277,0.024124,0.024124,0.271428,0.383836,0.00873024,0.00320275,0.068546,0.068546,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.038359,0.39277,0.012786,0.00683242,0.0325925,0,0.012786,0.012786,0.012786,0.024124,0.024124,0.068546,0.012786,0.136929,0.00328012,0.072254,0.072254,0.072254,0,0,0,0,0,0,0,0,0.0247523,0.0658754,0.0643286,0.0417221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825753,0.0811874,2.98892e-05,0,0,0,0,0,0,0,0.0916003,0.0765951,0,0,0,
3.645,0.392658,0.392658,0.392658,0.392658,0.392658,0.392658,0.02454,0.02454,0.191042,0.274559,0.0121565,0.0213339,0.067046,0.067046,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.03903,0.392658,0.013129,0.0473428,0.0562623,0,0.013129,0.013129,0.013129,0.02454,0.02454,0.067046,0.013129,0.0971408,0.0225409,0.074268,0.074268,0.074268,0,0,0,0,0,0,0,0,0.0382848,0.0534679,0.0537845,0.0422578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0598784,0.0774399,7.3014e-05,0,0,0,0,0,0,0,0.0756226,0.0715526,0,0,0,
