time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,398.235,567.519,360.69,353.586,351.126,507.427,46.2006,120.224,529.68,464.044,18.1244,265.731,214.017,756.532,60.9158,82.0238,51.1743,145.038,53.7815,58.8726,35.8596,34.1736,29.7693,212.573,27.0336,863.65,2596.32,0,116.114,739.759,297.833,79.6475,69.9284,864.051,239.253,992.36,992.742,307.563,914.87,455.387,21.912,0.641954,0,0.636811,0,0,0,0,247.048,157.354,135.039,174.656,0,14.3489,0,0,1.26159,0,0,0,0,0,0,51.5217,0,432.456,756.575,0,38.737,0,98.1188,19.3524,82.7838,2584.96,0,549.098,550.913,0,0,0,
3.605,397.398,567.376,360.376,353.548,350.483,122.621,48.6527,120.224,789.865,457.327,18.8226,271.073,227.122,884.854,67.3657,86.5816,50.7979,161.908,71.0956,81.7393,44.3076,47.0881,44.7965,212.453,39.8344,882.501,2612.69,0,154.316,1187.63,372.12,86.4941,71.8473,1016.95,308.104,953.294,1007.45,333.229,991.318,492.212,21.912,0.641745,0,0.636823,0,0,0.000182132,0,258.38,163.786,145.813,189.191,0,14.1933,0,0,1.26133,0,0,0,0,0,0,51.5217,0,443.683,790.235,0,38.737,0,98.1188,19.3525,82.7839,2584.96,0,571.241,607.934,0,0,0,
3.61,404.557,526.789,486.156,446.007,472.072,428.871,77.7844,95.3389,798.357,446.147,18.4444,183.92,228.765,908.624,103.542,134.576,89.3437,180.912,128.156,174.47,45.3275,64.4405,90.1689,229.783,23.3044,690.821,2406.31,29.3326,119.368,1063.61,287.451,139.799,86.4477,1126.06,209.062,899.761,775.009,430.09,1268.54,629.229,15.9404,0,1.39622,4.26918,0,0,1.60019,0,253.097,165.111,151.075,196.806,0,9.13261,9.0469,12.2758,8.88915,17.9897,13.8514,14.6939,5.56578,7.91192,14.2449,50.6696,0,434.577,780.894,21.8937,5.13117,0,80.4038,35.45,87.0675,2592.16,0,577.078,638.654,3.24135,8.81229,3.64441,
3.615,410.517,502.59,542.27,508.565,517.132,384.272,92.5494,85.0654,850.84,455.922,18.9536,209.19,228.211,927.611,105.942,141.037,98.8787,183.857,144.528,209.202,46.1748,72.8289,116.206,240.224,11.8885,685.44,2442.21,28.4472,119.584,1076.04,314.416,168.472,91.9886,1209.68,141.92,1007.47,830.172,471.831,1387.08,679.907,12.5295,0,2.24906,6.43678,0,0,5.84855,0,243.3,165.496,155.562,199.92,0,5.74578,10.7173,14.8728,11.4697,21.4924,16.0525,17.6282,7.15945,10.2323,15.7119,50.3611,0,428.02,768.98,22.6017,0,0,67.981,45.6802,89.1831,2598.18,0,581.26,661.99,4.20989,11.1315,5.19361,
3.62,416.001,488.802,559.537,546.794,528.827,399.587,98.7444,79.8058,900.559,463.37,18.9222,193.073,225.607,938.145,102.593,138.166,100.878,180.097,150.537,227.506,45.366,77.5644,135.57,246.728,9.32927,655.928,2396.77,39.0351,125.768,1098.31,336.804,181.296,94.5686,1267.69,75.4558,1028.03,788.978,485.047,1424.34,691.743,9.78597,0,2.6672,7.52737,0,0,9.61635,0,231.57,165.273,158.604,199.589,0,3.51137,11.9724,16.5282,12.8446,24.4952,18.8072,18.4241,8.17746,11.2981,19.0753,50.109,0,423.922,755.186,32.6243,0,0,91.1272,52.8916,90.9884,2605.06,0,582.526,678.606,7.1098,19.0337,8.38809,
3.625,421.307,482.209,563.724,564.854,532.476,408.347,100.856,75.8041,949.532,465.48,19.0329,190.891,221.707,940.48,99.1709,135.866,102.061,173.637,150.549,240.105,43.4348,79.5961,151.213,251.025,9.63105,659.588,2386.05,43.7425,127.901,1136.91,353.848,186.019,96.7894,1301.2,16.316,1022.25,781.261,487.88,1432.25,692.396,7.84878,0,2.85273,8.3415,0,0,11.9996,0,220.149,164.394,159.831,196.58,0,2.03006,12.5654,17.1573,14.0959,24.7854,19.2738,19.4364,8.16217,11.5688,19.6233,49.8771,0,420.196,740.057,37.745,0,0,77.8822,58.8935,92.7669,2613.88,0,579.774,688.136,8.68819,23.4775,10.0449,
3.63,426.503,480.529,566.701,571.526,535.511,414.764,101.768,72.0815,997.072,465.141,19.4875,202.275,216.967,935.284,96.4542,134.549,103.39,166.271,146.933,246.686,40.7181,79.7256,162.801,254.059,10.7083,685.308,2400.55,46.0768,127.996,1185.17,363.668,188.649,99.3436,1312.47,6.21289,1011.29,819.928,490.665,1440.38,695.077,6.19038,0,3.0055,9.16071,0,0,13.5846,0,210.696,163.123,160.169,192.763,0,1.06493,12.8808,17.4903,15.437,24.777,19.3932,20.2525,8.1357,11.6658,19.8062,49.6639,0,416.164,725.648,40.8321,0,0,75.6104,64.5487,94.5761,2625.14,0,574.629,692.682,9.55918,25.957,10.9347,
3.635,431.624,482.243,569.936,574.726,538.873,419.948,102.521,68.5918,1042.91,466.496,19.7035,198.376,211.876,923.324,94.4643,134.264,104.961,158.986,141.465,248.979,37.5345,78.517,170.95,256.381,11.9943,665.58,2387.88,47.1792,126.165,1238.37,368.799,192.606,102.339,1305.84,26.6746,1013.83,809.988,496.753,1458.14,703.143,4.66056,0,3.16641,10.0691,0,0,14.8241,0,202.95,161.994,160.192,189.016,0,0.401277,13.1056,17.7292,16.9285,24.7298,19.4701,20.7889,8.10807,11.6999,19.8922,49.4711,0,413.266,712.895,42.9861,0,0,70.3079,70.2378,96.4065,2639.5,0,570.558,694.341,10.1525,27.6662,11.5583,
3.64,436.724,486.392,573.367,577.341,542.365,424.494,103.355,65.2915,1086.73,468.641,20.0303,197.401,206.561,905.723,93.1585,134.519,107.381,152.261,135.206,248.462,34.7829,76.3147,176.448,258.305,13.2693,654.341,2377.84,47.5464,123.12,1293.4,371.811,198.415,105.593,1286.4,48.4325,1025,807.747,506.273,1485.94,716.277,3.25738,0,3.34189,11.0913,0,0,15.9779,0,196.569,161.153,160.188,185.959,0,0,13.3029,17.933,18.5915,24.6603,19.5299,21.1169,8.07397,11.701,19.9331,49.2996,0,411.745,702.318,44.6653,0,0,65.8538,76.1142,98.2679,2657.3,0,568.143,694.534,10.6631,29.1559,12.1209,
3.645,441.791,492.342,576.907,579.687,545.364,428.627,104.354,62.1678,1128.33,456.658,21.6472,201.958,201.144,883.84,92.3513,135.196,110.615,146.191,128.801,245.67,31.5765,73.4583,179.789,259.94,14.4466,671.393,2391.28,47.4056,119.357,1348.59,373.535,206.144,109.023,1259.09,28.5128,938.621,815.288,518.57,1521.88,733.374,1.99021,0,3.53197,12.2366,0,0,17.1851,0,193.748,159.382,159.192,183.78,0,0,13.4849,18.1167,20.4463,24.5507,19.5644,21.3367,8.02469,11.6747,19.9366,49.1513,0,407.65,693.127,46.0518,0,0,61.7847,82.2191,100.152,2678.96,0,557.142,692.548,11.176,30.6616,12.7038,
3.65,446.835,499.693,580.43,581.741,547.82,432.422,105.319,59.2266,1167.61,460.811,22.579,211.269,195.663,859.25,91.8119,135.983,114.63,140.907,122.503,241.096,31.3833,70.2068,181.31,261.33,15.5252,680.653,2393.95,46.8679,115.33,1403.36,374.327,215.146,112.55,1227.78,0,955.581,861.093,532.917,1563.87,753.369,0.868452,0,3.73384,13.5097,0.130843,0,18.5113,0,192.47,157.817,158.238,182.395,0,0,13.6476,18.2793,22.4956,24.3779,19.5598,21.4948,7.95408,11.6174,19.8966,49.0265,0,404.583,685.858,47.2116,0,0,57.7626,88.5368,102.052,2704.85,0,548.259,691.054,11.7193,32.2617,13.3341,
3.655,451.961,508.214,583.813,583.614,550.027,435.801,106.261,56.4452,1204.4,442.28,24.4986,229.495,190.149,832.947,91.5017,136.96,119.316,136.348,116.301,235.46,7.57047,66.7829,181.298,262.494,16.5568,713.625,2421.91,45.9874,111.407,1457.99,374.307,225.302,116.071,1195.19,0,861.642,918.924,548.703,1610.11,775.392,0,0,3.94355,14.9124,0.295784,0,19.9822,0,193.075,155.268,156.397,181.767,0,0,13.7819,18.4129,24.7345,24.1215,19.5011,21.5975,7.85425,11.5188,19.7991,48.927,0,398.667,679.669,48.1631,0,0,53.7122,95.0339,103.956,2735.42,0,531.679,687.606,12.2957,33.9764,14.013,
3.66,457.042,517.743,586.953,585.495,551.739,438.661,107.045,53.8931,1238.69,442.965,25.3198,235.588,184.739,805.972,91.3467,137.794,124.528,132.614,110.024,228.822,45.8234,63.416,180.016,263.425,17.6056,711.951,2423.21,44.7984,107.715,1513.21,373.672,236.216,119.533,1162.96,0,872.423,941.78,565.438,1659.18,798.828,0,0,4.1588,16.4441,0.701755,0,21.602,0,194.013,153.39,155.109,181.964,0,0,13.8781,18.5077,27.16,23.7615,19.3766,21.6392,7.71942,11.3709,19.6258,48.8524,0,395.35,675.574,48.8977,0,0,49.6312,101.648,105.853,2770.88,0,521.14,685.701,12.9071,35.7871,14.7386,
3.665,462.107,528.12,589.71,587.27,552.994,440.979,107.606,51.5729,1270.41,413.243,28.0188,248.23,179.343,779.599,91.3498,138.566,130.144,129.595,103.733,221.518,26.5728,60.2596,177.711,264.075,18.7441,732.936,2445.19,43.3303,104.467,1570.14,372.654,247.395,122.889,1131.94,0,740.302,981.873,582.767,1710.08,823.215,0,0,4.37662,18.1022,1.08883,0,23.3615,0,196.665,150.471,153.377,183.461,0,0,13.9272,18.5523,29.766,23.2827,19.174,21.61,7.54526,11.1645,19.3556,48.8033,0,388.936,672.467,49.3976,0,0,45.5322,108.315,107.728,2811.59,0,503.212,683.068,13.5449,37.6783,15.4998,
3.67,467.124,539.213,591.977,588.946,553.856,442.63,107.998,49.5009,1299.39,415.843,29.6913,252.285,173.858,753.429,91.3353,139.112,136.036,127.385,98.1221,213.297,9.19601,57.3923,174.641,264.412,19.9949,730.977,2436.25,41.6179,101.496,1630.04,371.464,258.447,126.045,1102.53,0,767.746,999.629,600.467,1761.97,848.232,0,0,4.59205,19.8851,1.43739,0,25.2482,0,199.236,148.432,152.296,185.684,0,0,13.9223,18.5388,32.5449,22.6821,18.8868,21.5006,7.32883,10.8855,18.969,48.7788,0,386.199,670.987,49.6433,0,0,41.43,114.964,109.568,2857.84,0,492.243,682.486,14.2073,39.6393,16.29,
3.675,472.011,550.849,593.636,590.369,554.247,443.602,108.125,47.6784,1325.63,414.635,31.2915,287.033,168.48,728.508,91.3601,139.569,142.072,125.941,93.6193,204.064,38.553,54.9189,171.065,264.405,21.476,777.286,2477.35,39.7044,99.0469,1694.46,370.326,269.154,128.954,1074.8,0,791.887,1108.13,618.366,1814.33,873.596,0,0,4.80181,21.7897,1.77392,0,27.24,0,201.216,146.486,151.807,188.322,0,0,13.8574,18.4583,35.4937,22.2993,18.51,21.3047,7.0711,10.5364,18.4566,48.7776,0,383.406,671.202,49.6127,0,0,37.3039,121.515,111.356,2909.96,0,483.771,681.926,14.8856,41.6483,17.1034,
3.68,476.565,562.888,594.569,591.464,554.035,443.814,107.944,46.1039,1349.11,405.219,32.6062,332.817,162.151,704.966,91.3987,140.253,148.129,125.309,89.9408,194.677,4.93598,52.8364,167.224,264.034,23.203,851.431,2551.75,37.6419,97.0673,1764.72,369.514,279.114,131.632,1048.76,0,774.539,1235.19,636.352,1866.84,899.191,0,0,5.00308,23.8098,2.10782,0,29.3158,0,204.193,144.821,152.289,192.149,0,0,13.7307,18.3064,38.5906,22.257,18.0499,21.0213,6.77386,10.1354,17.8595,48.7986,0,381.131,674.112,49.2932,0,0,33.1437,127.875,113.075,2968.09,0,479.302,681.763,15.5725,43.6869,17.933,
