time,synergy1,synergy2,synergy3,synergy4,
3.6,0.0493862,0.0391001,0.184372,1,
3.605,0.0493875,0.0391002,0.184371,1,
3.61,0.0493875,0.0391002,0.184371,1,
3.615,0.049386,0.0391001,0.184372,1,
3.62,0.0552535,0.0447976,0.177939,0.995547,
3.625,0.061184,0.0506935,0.171622,0.99082,
3.63,0.067184,0.0567487,0.165437,0.985834,
3.635,0.0732411,0.0629361,0.159415,0.980598,
3.64,0.0793693,0.0692133,0.153565,0.975122,
3.645,0.0855642,0.0755715,0.147888,0.969414,
3.65,0.0918323,0.0819822,0.142397,0.963476,
3.655,0.0981774,0.0884284,0.137088,0.957321,
3.66,0.104608,0.0948994,0.131953,0.950948,
3.665,0.111128,0.101377,0.127,0.944367,
3.67,0.117752,0.107843,0.122215,0.937591,
3.675,0.124493,0.114304,0.117571,0.930615,
3.68,0.131358,0.120744,0.113076,0.923457,
3.685,0.138366,0.127157,0.108697,0.916127,
3.69,0.145526,0.133548,0.104424,0.908632,
3.695,0.152853,0.139903,0.100236,0.900994,
3.7,0.160357,0.146236,0.0961079,0.893216,
3.705,0.168057,0.152528,0.0920293,0.885321,
3.71,0.175956,0.158796,0.0879752,0.877326,
3.715,0.184069,0.165023,0.0839285,0.869246,
3.72,0.192406,0.17122,0.0798675,0.861097,
3.725,0.200973,0.177381,0.075781,0.852894,
3.73,0.20977,0.183505,0.0716498,0.84466,
3.735,0.218812,0.189586,0.0674559,0.836402,
3.74,0.228095,0.195624,0.0631835,0.828144,
3.745,0.237625,0.201627,0.0588078,0.81989,
3.75,0.247401,0.207576,0.0543268,0.811656,
3.755,0.257428,0.213488,0.0496953,0.80345,
3.76,0.267701,0.21936,0.0449016,0.795278,
3.765,0.278217,0.225194,0.0399235,0.787148,
3.77,0.288955,0.230977,0.034777,0.779068,
3.775,0.299883,0.236704,0.0294907,0.771045,
3.78,0.310929,0.242337,0.0241861,0.763096,
3.785,0.321983,0.247832,0.0190555,0.755229,
3.79,0.332913,0.253119,0.0143517,0.747467,
3.795,0.343581,0.258141,0.0103232,0.739824,
3.8,0.353908,0.262861,0.00710624,0.732311,
3.805,0.363857,0.26728,0.0047213,0.724932,
3.81,0.373451,0.271429,0.00305704,0.717691,
3.815,0.382735,0.275351,0.00195148,0.71058,
3.82,0.39175,0.279089,0.00123929,0.703608,
3.825,0.400527,0.282688,0.00078926,0.696766,
3.83,0.409077,0.286167,0.000508337,0.690068,
3.835,0.417402,0.289542,0.000332809,0.683524,
3.84,0.425494,0.292831,0.000222697,0.677137,
3.845,0.433341,0.296041,0.000152599,0.670916,
3.85,0.440928,0.299182,0.000107511,0.664871,
3.855,0.448243,0.302254,7.81023e-05,0.659007,
3.86,0.455276,0.30526,5.86112e-05,0.653331,
3.865,0.462022,0.308202,4.55896e-05,0.647847,
3.87,0.468473,0.311079,3.67194e-05,0.642555,
3.875,0.474631,0.313895,3.06907e-05,0.637458,
3.88,0.480494,0.316642,2.6739e-05,0.632554,
3.885,0.48607,0.319321,2.42219e-05,0.627839,
3.89,0.491364,0.321926,2.28637e-05,0.623311,
3.895,0.496386,0.324453,2.25e-05,0.618966,
3.9,0.501144,0.326898,2.30833e-05,0.614802,
3.905,0.505654,0.329259,2.47097e-05,0.610805,
3.91,0.509927,0.331526,2.7592e-05,0.606977,
3.915,0.513977,0.333704,3.20765e-05,0.6033,
3.92,0.517817,0.335783,3.88195e-05,0.599775,
3.925,0.521463,0.337768,4.87389e-05,0.596383,
3.93,0.524924,0.339663,6.34531e-05,0.593114,
3.935,0.528223,0.341462,8.54341e-05,0.58996,
3.94,0.531363,0.343177,0.00011834,0.586902,
3.945,0.534368,0.344801,0.000168399,0.58393,
3.95,0.537238,0.346348,0.000244598,0.581027,
3.955,0.539983,0.347819,0.000361104,0.578178,
3.96,0.542616,0.349206,0.00053965,0.575373,
3.965,0.545127,0.350519,0.000810547,0.572597,
3.97,0.547517,0.351747,0.00121595,0.569839,
3.975,0.549769,0.352888,0.00181292,0.567087,
3.98,0.551867,0.353928,0.00266478,0.564334,
3.985,0.553795,0.354853,0.00384385,0.561576,
3.99,0.555538,0.355646,0.00541171,0.558807,
3.995,0.557078,0.356316,0.00741237,0.556017,
4,0.558429,0.356858,0.00985529,0.553197,
4.005,0.55961,0.35728,0.0127226,0.550344,
4.01,0.560647,0.357612,0.0159596,0.547446,
4.015,0.561582,0.357874,0.0195055,0.544495,
4.02,0.562446,0.358088,0.0232956,0.541483,
4.025,0.563278,0.358288,0.0272587,0.538397,
4.03,0.564111,0.358494,0.0313429,0.535232,
4.035,0.564961,0.358717,0.0355122,0.531985,
4.04,0.565858,0.358984,0.0397226,0.528648,
4.045,0.566811,0.359308,0.0439484,0.525218,
4.05,0.567832,0.359696,0.0481736,0.521694,
4.055,0.568937,0.360154,0.0523873,0.518071,
4.06,0.570131,0.360683,0.0565743,0.514354,
4.065,0.571419,0.36129,0.0607251,0.510539,
4.07,0.572811,0.361966,0.0648379,0.506629,
4.075,0.574303,0.362704,0.0689193,0.502632,
4.08,0.575907,0.363485,0.0729625,0.498555,
4.085,0.577614,0.364309,0.0769823,0.494395,
4.09,0.57943,0.365148,0.0809798,0.490168,
4.095,0.581351,0.36599,0.0849637,0.485881,
4.1,0.583378,0.366808,0.0889528,0.481544,
4.105,0.585506,0.367579,0.0929558,0.477172,
4.11,0.587737,0.368283,0.0969813,0.472775,
4.115,0.590063,0.368896,0.101052,0.468366,
4.12,0.592496,0.369393,0.105175,0.463956,
4.125,0.59503,0.369747,0.109363,0.459561,
4.13,0.597671,0.369952,0.113625,0.455188,
4.135,0.600422,0.369986,0.117966,0.45085,
4.14,0.603297,0.369834,0.122388,0.446559,
4.145,0.606303,0.369482,0.126895,0.442325,
4.15,0.609453,0.368923,0.131487,0.438154,
4.155,0.612758,0.368148,0.136158,0.434058,
4.16,0.616234,0.367149,0.140908,0.430042,
4.165,0.619893,0.365932,0.145717,0.426116,
4.17,0.623749,0.364483,0.150588,0.422289,
4.175,0.62782,0.362815,0.155493,0.41856,
4.18,0.632107,0.360918,0.160437,0.414943,
4.185,0.636623,0.358802,0.1654,0.411438,
4.19,0.641379,0.356461,0.170364,0.408055,
4.195,0.646375,0.353898,0.175322,0.404799,
4.2,0.651613,0.351124,0.180257,0.401674,
4.205,0.657098,0.348132,0.185162,0.398687,
4.21,0.66283,0.344926,0.190012,0.395844,
4.215,0.668803,0.341511,0.194796,0.39315,
4.22,0.675022,0.337886,0.199506,0.39061,
4.225,0.681478,0.334054,0.204135,0.38823,
4.23,0.688172,0.330013,0.208664,0.386016,
4.235,0.6951,0.325771,0.213086,0.38397,
4.24,0.702255,0.321335,0.217392,0.382093,
4.245,0.709636,0.316693,0.221585,0.380398,
4.25,0.717236,0.31186,0.225649,0.378883,
4.255,0.725042,0.306842,0.229588,0.377547,
4.26,0.733055,0.30164,0.233395,0.376395,
4.265,0.741251,0.296259,0.237086,0.37543,
4.27,0.749622,0.290714,0.240657,0.374642,
4.275,0.758149,0.285019,0.244111,0.374031,
4.28,0.766808,0.279186,0.247463,0.373593,
4.285,0.775576,0.273226,0.250722,0.373323,
4.29,0.784425,0.267163,0.253907,0.373208,
4.295,0.793329,0.261006,0.257028,0.37324,
4.3,0.802248,0.254781,0.260113,0.373406,
4.305,0.811151,0.248505,0.263176,0.373698,
4.31,0.819996,0.242198,0.266245,0.3741,
4.315,0.828744,0.235881,0.269342,0.3746,
4.32,0.837349,0.229573,0.272486,0.375192,
4.325,0.845769,0.223302,0.275707,0.375857,
4.33,0.853951,0.21708,0.27903,0.376594,
4.335,0.861857,0.210923,0.28248,0.377394,
4.34,0.869439,0.204861,0.286067,0.378251,
4.345,0.876648,0.198903,0.289829,0.379161,
4.35,0.883446,0.193071,0.293773,0.380118,
4.355,0.889796,0.187385,0.29791,0.381125,
4.36,0.895661,0.181862,0.302255,0.382177,
4.365,0.901011,0.176511,0.306824,0.383279,
4.37,0.905815,0.17136,0.31162,0.384426,
4.375,0.910051,0.166419,0.316645,0.38562,
4.38,0.913707,0.161693,0.321905,0.386866,
4.385,0.916759,0.15721,0.327398,0.388162,
4.39,0.919195,0.152981,0.33312,0.389505,
4.395,0.92101,0.149007,0.339078,0.390901,
4.4,0.922195,0.145319,0.345246,0.392341,
4.405,0.922747,0.141908,0.35163,0.393835,
4.41,0.922656,0.1388,0.358216,0.395371,
4.415,0.921925,0.135991,0.364999,0.396952,
4.42,0.920548,0.133506,0.371958,0.398568,
4.425,0.918526,0.131344,0.379087,0.400217,
4.43,0.915867,0.129508,0.38637,0.40189,
4.435,0.912568,0.128018,0.393791,0.403579,
