mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.355101,0.291854,0.264412,0.357472,
addlong_r,0.355101,0.291854,0.264412,0.357472,
addmagDist_r,0.355101,0.291854,0.264412,0.357472,
addmagIsch_r,0.355101,0.291854,0.264412,0.357472,
addmagMid_r,0.355101,0.291854,0.264412,0.357472,
addmagProx_r,0.355101,0.291854,0.264412,0.357472,
bflh_r,0.0137203,0.149048,0.171373,0.0321307,
bfsh_r,0.0137203,0.149048,0.171373,0.0321307,
edl_r,0.442766,0.00164493,0.00294729,0.00853166,
ehl_r,0.226029,0,0,0.000558403,
fdl_r,0.058674,0.0274513,0.150883,0.0992524,
fhl_r,0,0.00404119,0.0722824,0.0165563,
gaslat_r,0.120753,0.0497885,0.0132698,0.0429041,
gasmed_r,0.120753,0.0497885,0.0132698,0.0429041,
glmax1_r,0.0419453,0.0835382,0.141628,0.0105324,
glmax2_r,0.0425052,0.0850373,0.142471,0,
glmax3_r,0.0425052,0.0850373,0.142471,0,
glmed1_r,0.0425052,0.0850373,0.142471,0,
glmed2_r,0.0425052,0.0850373,0.142471,0,
glmed3_r,0.0425052,0.0850373,0.142471,0,
glmin1_r,0.0425052,0.0850373,0.142471,0,
glmin2_r,0.0425052,0.0850373,0.142471,0,
glmin3_r,0.0425052,0.0850373,0.142471,0,
grac_r,0.355101,0.291854,0.264412,0.357472,
iliacus_r,0.0180706,0.066512,0.072128,0.443289,
perbrev_r,0,0.0677246,0.112477,0.402814,
perlong_r,0.00161433,0.0054828,0.0955728,0.15055,
piri_r,0.000252456,0,0.000275947,0,
psoas_r,0.0180706,0.0665121,0.0721277,0.44329,
recfem_r,0.0180706,0.0665121,0.0721278,0.44329,
sart_r,0.0180706,0.066512,0.072128,0.443289,
semimem_r,0.0137203,0.149048,0.171373,0.0321307,
semiten_r,0.0137203,0.149048,0.171373,0.0321307,
soleus_r,0.120753,0.0497885,0.0132698,0.0429041,
tfl_r,0.0180706,0.0665121,0.0721278,0.44329,
tibant_r,0.280561,0.0234309,0,0,
tibpost_r,0,0.00034668,0.0149864,0.0200123,
vasint_r,0.0079644,0.623265,0.302581,0.245902,
vaslat_r,0.0079644,0.623265,0.302581,0.245902,
vasmed_r,0.0079644,0.623265,0.302581,0.245902,
addbrev_l,0,0,0,0,
addlong_l,0,0,0,0,
addmagDist_l,0,0,0,0,
addmagIsch_l,0,0,0,0,
addmagMid_l,0,0,0,0,
addmagProx_l,0,0,0,0,
bflh_l,0,0,0,0,
bfsh_l,0,0,0,0,
edl_l,0,0,0.00178725,0.279198,
ehl_l,0,0.000723051,0,0.236246,
fdl_l,0.000197181,0,0.1651,0,
fhl_l,0,0,0.207953,0,
gaslat_l,0,0,0,0,
gasmed_l,0,0,0,0,
glmax1_l,0,0,0,0,
glmax2_l,0,0,0,0,
glmax3_l,0,0,0,0,
glmed1_l,0,0,0,0,
glmed2_l,0,0,0,0,
glmed3_l,0,0,0,0,
glmin1_l,0,0,0,0,
glmin2_l,0,0,0,0,
glmin3_l,0,0,0,0,
grac_l,0,0,0,0,
iliacus_l,0,0,0,0,
perbrev_l,0,0.000277394,0.72759,0,
perlong_l,0,0,0.379726,0,
piri_l,0,0,0,0.000125622,
psoas_l,0,0,0,0,
recfem_l,0,0,0,0,
sart_l,0,0,0,0,
semimem_l,0,0,0,0,
semiten_l,0,0,0,0,
soleus_l,0,0,0,0,
tfl_l,0,0,0,0,
tibant_l,0,0,0,0.33993,
tibpost_l,0,0,0.193971,0,
vasint_l,0,0,0,0,
vaslat_l,0,0,0,0,
vasmed_l,0,0,0,0,
