mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.0847307,0.294846,0.24473,0.211847,
addlong_r,0.0847307,0.294846,0.24473,0.211847,
addmagDist_r,0.0847307,0.294846,0.24473,0.211847,
addmagIsch_r,0.0847307,0.294846,0.24473,0.211847,
addmagMid_r,0.0847307,0.294846,0.24473,0.211847,
addmagProx_r,0.0847307,0.294846,0.24473,0.211847,
bflh_r,0.125322,0.0164697,0.0382675,0.125654,
bfsh_r,0.125322,0.0164697,0.0382675,0.125654,
edl_r,0.0564896,0.0497902,0.0469956,0.0475633,
ehl_r,0.0412139,0.0117441,0.0135564,0.00746284,
fdl_r,0.00418038,0.0512171,0.0502307,0.00495094,
fhl_r,0.0301519,0.0414084,0.000498647,0.0161181,
gaslat_r,5.51695e-13,0.0975292,0.0252698,0.00418506,
gasmed_r,5.26185e-13,0.0975292,0.0252698,0.00418506,
glmax1_r,0.0457244,0.0173969,5.46303e-06,0.133444,
glmax2_r,0.0457248,0.0173972,3.49065e-06,0.133444,
glmax3_r,0.0457246,0.017397,4.47598e-06,0.133444,
glmed1_r,0.0457244,0.0173969,5.18801e-06,0.133444,
glmed2_r,0.0457245,0.017397,4.92241e-06,0.133444,
glmed3_r,0.0457245,0.017397,4.70778e-06,0.133444,
glmin1_r,0.0457245,0.017397,4.84973e-06,0.133444,
glmin2_r,0.0457243,0.0173968,6.05636e-06,0.133444,
glmin3_r,0.0457245,0.017397,5.0688e-06,0.133444,
grac_r,0.0847307,0.294846,0.24473,0.211847,
iliacus_r,0.0313509,0.00762332,0.408973,0.0322967,
perbrev_r,0.0207405,0.00548497,0.0315289,0.00653667,
perlong_r,0.0538128,0.0544204,0.0130661,0.0298205,
piri_r,0.040956,0.0217553,0.0342675,0.0563359,
psoas_r,0.0313509,0.00762332,0.408973,0.0322966,
recfem_r,0.0313509,0.00762332,0.408973,0.0322967,
sart_r,0.0313509,0.00762332,0.408973,0.0322967,
semimem_r,0.125322,0.0164697,0.0382675,0.125654,
semiten_r,0.125322,0.0164697,0.0382675,0.125654,
soleus_r,5.20106e-13,0.0975292,0.0252698,0.00418506,
tfl_r,0.0313509,0.00762332,0.408973,0.0322967,
tibant_r,0.0505658,0.000867099,0.0111056,0.0120525,
tibpost_r,0.0585939,0.0474541,0.011331,0.0049982,
vasint_r,0.711207,0.0738797,0.131695,0.0757481,
vaslat_r,0.711207,0.0738797,0.131695,0.0757481,
vasmed_r,0.711207,0.0738797,0.131695,0.0757481,
addbrev_l,0,0,0,0,
addlong_l,0,0,0,0,
addmagDist_l,0,0,0,0,
addmagIsch_l,0,0,0,0,
addmagMid_l,0,0,0,0,
addmagProx_l,0,0,0,0,
bflh_l,0,0,0,0,
bfsh_l,0,0,0,0,
edl_l,0.0518687,0.0295988,0.000475642,0.0441842,
ehl_l,0.0233788,0.0337496,0.0289571,0.0326014,
fdl_l,0.0290217,0.0194334,0.0217814,0.0496704,
fhl_l,0.0410159,0.00836023,0.030935,0.00778066,
gaslat_l,0,0,0,0,
gasmed_l,0,0,0,0,
glmax1_l,0,0,0,0,
glmax2_l,0,0,0,0,
glmax3_l,0,0,0,0,
glmed1_l,0,0,0,0,
glmed2_l,0,0,0,0,
glmed3_l,0,0,0,0,
glmin1_l,0,0,0,0,
glmin2_l,0,0,0,0,
glmin3_l,0,0,0,0,
grac_l,0,0,0,0,
iliacus_l,0,0,0,0,
perbrev_l,0.0275719,0.0542312,0.00784467,0.0476291,
perlong_l,0.0498128,0.0191774,0.020215,0.0160455,
piri_l,0.0158913,0.0398807,0.0187123,0.0180547,
psoas_l,0,0,0,0,
recfem_l,0,0,0,0,
sart_l,0,0,0,0,
semimem_l,0,0,0,0,
semiten_l,0,0,0,0,
soleus_l,0,0,0,0,
tfl_l,0,0,0,0,
tibant_l,0.0419693,0.0499734,0.0146334,0.00811197,
tibpost_l,0.00353285,0.0239222,0.024818,0.0389224,
vasint_l,0,0,0,0,
vaslat_l,0,0,0,0,
vasmed_l,0,0,0,0,
