time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,164.506,214.019,52.1518,129.313,23.8312,92.4377,441.957,415.839,2470.1,1336.92,143.611,41.9663,402.729,815.469,1285.96,1878.3,1285.05,1410.59,1368.79,1978.14,834.717,828.761,52.6899,116.995,0,351.306,42.006,0,0,0,55.3806,967.07,332.082,24.326,0,0,8751.46,4053.42,12032.8,5919.08,0,0,0,7.60664,0,0,113.672,1624.09,0.382486,708.692,0.126723,4.17412,730.624,1190.21,522.318,828.991,491.401,800.214,531.476,879.836,372.517,326.963,515.841,36.7,62.417,0,0,1263.36,197.517,26.3276,129.722,368.628,106.895,0,314.05,19.6866,0.0684828,390.009,1343.01,622.211,
3.605,164.506,214.018,52.1518,129.313,23.8312,92.4377,441.802,466.125,2509.23,1368.61,143.705,42.0553,403.06,816.938,1285.62,1877.93,1287.2,1410.38,2.0279,0,63.0367,26.0672,52.5416,116.995,0,350.612,42.109,0,0,0,55.3806,966.811,331.995,23.7445,0,0,8977.76,4615.05,13697.3,6729.92,0,0,0,7.60664,0,0,113.693,1624.8,0.496071,1075.94,0.133216,4.40426,793.216,1289.31,521.951,828.599,491.099,799.607,531.308,879.509,460.251,326.187,515.772,36.6999,88.2214,0,0,1263.36,304.125,26.3228,132.425,368.802,106.946,0,314.035,23.4762,0.00104693,417.282,1425.77,655.443,
3.61,156.807,201.74,53.7499,132.843,23.1965,88.6318,463.786,464.67,2533.8,1409.82,154.362,50.5772,393.961,793.167,1395.14,2017.61,1377.4,1480.64,1320.96,2016.1,831.649,815.585,71.6238,115.908,0,303.005,16.0332,12.7542,0,0,13.9186,1002.58,341.56,16.3862,0,25.9404,9356.32,4925.03,14594,7169.29,3.94976,1.83421,6.50743,17.1919,7.04709,4.19264,135.56,1602.77,0.278097,1102.9,0.291592,6.65087,813.74,1312.97,588.004,945.464,620.699,745.695,538.089,925.024,402.57,289.558,500.972,39.0353,68.7593,0,0,1270.54,318.442,12.5202,113.23,401.948,114.17,1.60735,289.035,24.3973,0.0819999,469.713,1577.55,727.89,
3.615,154.683,196.195,54.4109,134.689,23.1209,87.5033,482.134,453.942,2552.33,1446.12,162.748,56.5867,385.928,771.444,1464.99,2112.01,1430.88,1528.7,120.197,52.2378,218.87,123.078,84.6605,115.346,0,275.895,4.59947,13.1471,0,0,69.037,1032.38,347.077,12.357,0,14.8087,9716.36,5082.31,15058.4,7365.11,4.79858,3.05543,7.86898,21.2689,7.71684,5.05293,148.905,1590.47,0.148089,1198.97,0.53643,9.02739,831.35,1332.63,619.422,1003.9,680.188,716.915,541.585,944.535,394.074,275.089,491.728,40.1224,71.5158,0,0,1276.58,366.539,5.07782,106.63,423.333,117.761,0.292182,271.246,24.5212,0.216677,497.917,1660.68,763.506,
3.62,152.08,191.562,55.0445,136.381,23.1055,86.377,497.395,437.675,2565.52,1477.1,169.366,60.7901,378.737,751.424,1509.13,2174.74,1461.98,1562.4,1278.91,1905.94,704.799,774.258,94.9051,114.842,0,257.116,0.850662,20.3672,0,0,47.9082,1057.32,350.603,10.0228,0,32.9535,10062.5,5119.03,15175.4,7374.75,5.34185,4.36634,9.07483,24.1733,8.71464,5.68528,159.98,1578.57,0.0593527,1285.86,0.892711,11.3246,845.915,1348.14,634.661,1034.14,708.797,699.42,543.5,955.421,385.728,267.741,485.034,41.073,76.5905,0,0,1282.57,407.425,1.68537,102.781,441.604,120.86,0.587491,256.587,23.9527,0.448697,510.265,1697.76,777.106,
3.625,149.696,187.135,55.7338,138.154,23.1433,85.3005,510.239,419.945,2575.19,1503.89,174.544,63.744,372.216,732.775,1536.99,2217.25,1479.31,1587.73,168.9,274.449,549.145,317.09,103.998,114.375,0,242.252,0.306136,23.9499,0,0,24.9245,1078.58,353.236,8.43637,0,46.9016,10395.4,5074.68,15056,7269.69,5.59988,4.93045,9.37773,26.9945,9.46861,5.99519,170.731,1566.39,0,1370.4,1.37501,13.4233,858.039,1359.99,643.697,1052.99,721.854,687.346,544.804,964.515,381.208,262.841,479.658,42.0271,79.5655,0,0,1288.87,444.709,0.423751,99.3808,459.362,123.974,0.934637,243.856,22.9461,0.805245,515.248,1712.42,782.107,
3.63,147.411,182.892,56.4936,140.054,23.2402,84.2781,521.223,403.477,2582.42,1527.25,178.615,65.903,366.239,715.251,1556.25,2245.93,1489.87,1608.65,1280.34,1786.88,573.957,629.333,112.926,113.947,0,229.209,0,25.5463,0,0,54.407,1097.11,355.485,7.22951,0,55.0183,10715.3,4990.14,14816.4,7117.79,5.74223,5.16435,9.59627,30.0023,9.85457,6.17481,181.844,1553.85,0,1452.13,1.98224,15.2668,867.915,1368.58,650.576,1067.29,731.596,677.549,545.918,973.809,377.254,258.559,474.925,43.0111,80.3229,0,0,1295.68,476.01,0.328029,96.386,477.488,127.194,1.29439,232.108,21.7347,1.28934,518.582,1720.8,786.141,
3.635,145.26,178.848,57.3296,142.097,23.3991,83.3167,530.796,389.491,2587.66,1547.73,181.824,67.5427,360.72,698.666,1570.44,2267.24,1496.91,1627.68,266.256,562.022,574.184,607.513,122.18,113.562,0,217.235,0,26.1415,0,0,26.5694,1113.64,357.595,6.26093,0,58.8871,11021.8,4898.1,14551.2,6966.91,5.84574,5.27823,9.83409,33.2795,10.1255,6.32677,193.557,1540.91,0,1530.55,2.69899,16.8545,875.938,1374.31,656.86,1079.94,741.298,668.443,547.005,983.81,372.962,254.244,470.46,44.0302,79.104,0,0,1303.14,501.999,0.479916,93.6758,496.321,130.542,1.63577,220.823,20.4917,1.87828,522.899,1730.81,791.933,
3.64,143.249,175.018,58.2464,144.294,23.6249,82.4214,539.291,378.145,2591.35,1565.75,184.368,68.8097,355.597,682.887,1581.1,2283.19,1501.78,1646.17,1248.33,1650.6,577.581,607.203,132.047,113.222,0,206.123,0,26.2271,0,0,47.2905,1128.65,359.655,5.47497,0,60.2072,11314.2,4817.84,14317.2,6841.99,5.94116,5.3489,10.0759,36.8536,10.3907,6.4858,205.941,1527.51,0,1605.78,3.4976,18.2238,882.574,1377.54,663.13,1092.18,751.403,659.243,548.108,994.598,368.079,249.698,466.059,45.0858,76.2635,0,0,1311.36,523.072,0,91.1012,515.99,134.016,1.94503,209.723,19.3232,2.53394,528.887,1744.71,800.012,
3.645,141.39,171.418,59.2457,146.654,23.9197,81.6008,546.955,369.08,2593.42,1581.29,186.384,69.8945,350.832,667.826,1589.8,2295.31,1505.32,1664.99,740.83,1511.9,582.73,609.755,142.699,112.93,0,195.632,0,26.0366,0,0,38.2017,1142.48,361.706,4.84507,0,59.9791,11592,4757.77,14140,6751.34,6.03797,5.40811,10.3177,40.7692,10.6665,6.65667,219.04,1513.65,0,1677.71,4.3459,19.4102,888.089,1378.6,669.569,1104.49,761.861,649.52,549.162,1006.07,362.269,244.825,461.58,46.1776,72.1599,0,0,1320.37,539.579,0,88.5904,536.573,137.626,2.22305,198.563,18.2824,3.21446,536.446,1762.52,810.192,
