time,synergy1,synergy2,synergy3,synergy4,
3.6,0.38633,0,0.44207,0,
3.605,0.389147,0,0.434846,0,
3.61,0.388712,0,0.435904,0,
3.615,0.388997,0,0.435778,0,
3.62,0.388972,0,0.436349,0,
3.625,0.388507,0,0.437431,0,
3.63,0.388575,0,0.437494,0,
3.635,0.388331,0,0.438017,0,
3.64,0.387139,0,0.439911,0,
3.645,0.387231,0,0.439712,0,
3.65,0.386156,0,0.441339,0,
3.655,0.385922,0,0.441584,0,
3.66,0.385307,0,0.442429,0,
3.665,0.384724,0,0.443188,0,
3.67,0.383304,0,0.445132,0,
3.675,0.383279,0,0.445035,0,
3.68,0.38281,0,0.445633,0,
3.685,0.382187,0,0.446437,0,
3.69,0.381898,0,0.446768,0,
3.695,0.381225,0,0.447655,0,
3.7,0.380646,0,0.448401,0,
3.705,0.380453,0,0.448616,0,
3.71,0.379712,0,0.4496,0,
3.715,0.379469,0,0.449895,0,
3.72,0.379066,0,0.4504,0,
3.725,0.378614,0,0.451013,0,
3.73,0.37811,0,0.451685,0,
3.735,0.378221,0,0.451522,0,
3.74,0.377881,0,0.451983,0,
3.745,0.377511,0,0.452484,0,
3.75,0.377374,0,0.452662,0,
3.755,0.377622,0,0.452338,0,
3.76,0.377044,0,0.453137,0,
3.765,0.376961,0,0.453253,0,
3.77,0.376967,0,0.45326,0,
3.775,0.376624,0,0.453749,0,
3.78,0.376206,0,0.454346,0,
3.785,0.376239,0,0.454321,0,
3.79,0.375898,0,0.454818,0,
3.795,0.375869,0,0.454879,0,
3.8,0.375562,0,0.455334,0,
3.805,0.37572,0,0.455128,0,
3.81,0.375611,0,0.455303,0,
3.815,0.375541,0,0.455422,0,
3.82,0.375442,0,0.455581,0,
3.825,0.375438,0,0.455605,0,
3.83,0.375375,0,0.455711,0,
3.835,0.375272,0,0.455874,0,
3.84,0.374911,0,0.456408,0,
3.845,0.374966,0,0.456344,0,
3.85,0.374912,0,0.456434,0,
3.855,0.374869,0,0.456507,0,
3.86,0.374638,0,0.456848,0,
3.865,0.37446,0,0.457113,0,
3.87,0.374299,0,0.457353,0,
3.875,0.374024,0,0.457753,0,
3.88,0.374111,0,0.457635,0,
3.885,0.373876,0,0.457972,0,
3.89,0.373655,0,0.458291,0,
3.895,0.373571,0,0.458413,0,
3.9,0.37333,0,0.458755,0,
3.905,0.372971,0,0.459264,0,
3.91,0.372899,0,0.45937,0,
3.915,0.372739,0,0.459598,0,
3.92,0.372756,0,0.459579,0,
3.925,0.372593,0,0.459809,0,
3.93,0.372437,0,0.460033,0,
3.935,0.372203,0,0.460367,0,
3.94,0.372077,0,0.460555,0,
3.945,0.371892,0,0.460826,0,
3.95,0.372124,0,0.460519,0,
3.955,0.371845,0,0.46092,0,
3.96,0.371677,0,0.461174,0,
3.965,0.371569,0,0.461347,0,
3.97,0.371661,0,0.461243,0,
3.975,0.371544,0,0.461429,0,
3.98,0.371716,0,0.461213,0,
3.985,0.372015,0,0.460814,0,
3.99,0.372052,0,0.460781,0,
3.995,0.372617,0,0.459996,0,
4,0.372428,0,0.460282,0,
4.005,0.372493,0,0.460211,0,
4.01,0.372803,0,0.459787,0,
