time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
3.6,0.0142088,0.01303,0.00641641,0.0123446,0.00381715,0.00970896,0.0170898,0.0202379,0.0254905,0.027937,0.00441963,0.00158112,0.0139223,0.0141643,0.0421627,0.0427956,0.043243,0.0417851,0.0135212,0.013555,0.0133873,0.0133115,0.00796801,0.0198042,0,0.00688379,0.00143466,0,0,0,0.00332976,0.0205409,0.0241489,0.00126938,0,-1.11245e-07,0.0286159,0.0185603,0.0182936,0.0172024,-1.08783e-07,0,-8.83407e-08,0.00206904,8.27599e-08,9.5607e-08,0.00637728,0.0198221,0.000245999,0.02172,0.000137037,0.000646402,0.0220332,0.0193736,0.0232676,0.0249426,0.0229064,0.0288507,0.0278506,0.03561,0.0379485,0.0313513,0.0388013,0.00857585,0.0052854,0,0,0.0403926,0.0100365,0.00163597,0.0166439,0.0102774,0.0108551,0,0.0216001,0.002309,0,0.0107946,0.0117976,0.0106296,
3.605,0.00766683,0.0103768,0.00783329,0.0134595,0.00299852,0.00592691,0.0178693,0.020559,0.0257293,0.0286463,0.00469125,0.00177058,0.0136577,0.0138255,0.0461196,0.0461071,0.0468699,0.0438717,0.0495193,0.0741589,0.0871359,0.0680653,0.0118568,0.0188919,-0.00280352,0.00553616,0.000871862,0.00204821,-0.00246894,-0.000310405,-0.000156712,0.0211717,0.0250344,0.000988186,-0.000337315,0.000708517,0.0294849,0.0200004,0.0196732,0.018632,0.00803072,0.00139284,0.00993471,0.00649712,0.0152772,0.00851352,0.00836951,0.0187117,0.000146044,0.02271,0.000248237,0.000782651,0.0224945,0.0196708,0.0274964,0.0297601,0.0325912,0.0262914,0.028286,0.0387787,0.0276203,0.0249658,0.0374785,0.0115014,0.0023967,-0.000158171,-6.35927e-05,0.0406748,0.00969772,0.00105994,0.00923877,0.0117682,0.0134172,0.000168442,0.0198817,0.00238539,0.000145368,0.0126621,0.0135042,0.0123822,
3.61,0.00808196,0.00994459,0.00806777,0.0137316,0.00306321,0.00592795,0.0184956,0.0205539,0.0258943,0.029228,0.0049022,0.00189784,0.0134279,0.0135203,0.0486189,0.0483236,0.0490462,0.0452853,0.0265943,0.021123,0.0340926,0.0308315,0.0138928,0.0188133,-0.00412068,0.00487322,0.000456275,0.00313313,-0.00369856,-0.000449071,0.0154901,0.0216825,0.0255142,0.000838775,-0.000508221,0.00113269,0.0303033,0.0209437,0.0205859,0.0195178,0.0103506,0.00228971,0.0127867,0.00783031,0.0191822,0.010937,0.00926381,0.0185467,5.92981e-05,0.0239095,0.000357896,0.000900041,0.0228825,0.0199129,0.0294801,0.032199,0.0371496,0.0249421,0.0285036,0.0399406,0.0255881,0.0226011,0.0367144,0.0120749,0.00215306,-0.000194144,-6.74002e-05,0.0408162,0.0106822,0.000662848,0.00786776,0.0124426,0.0139882,0.000209134,0.0187176,0.00243519,0.000289648,0.0137307,0.014499,0.0133071,
3.615,0.00789334,0.00975519,0.00822679,0.0139001,0.00318806,0.00589707,0.0190014,0.020218,0.0260082,0.0297095,0.00506564,0.00198339,0.0132258,0.0132422,0.0501913,0.0498001,0.0503428,0.0462773,0.0470363,0.0679554,0.0640745,0.0581866,0.0151077,0.0187878,-0.00438533,0.00449206,0.000103917,0.00417469,-0.00397312,-0.000557222,0.00172226,0.0221018,0.0257967,0.000752899,-0.00065628,0.00166555,0.0310743,0.021416,0.0210499,0.0199072,0.0115562,0.00287362,0.0142811,0.00841025,0.0222118,0.0122481,0.00982432,0.0184319,-1.93746e-05,0.0251202,0.0004655,0.000998331,0.0232029,0.020106,0.0304284,0.0334597,0.039087,0.024163,0.02862,0.0404477,0.0242799,0.0215896,0.0362207,0.0123364,0.00229191,-0.000217553,-6.94255e-05,0.0409462,0.0117104,0.000351359,0.00739449,0.0128783,0.0142722,0.000327457,0.0178264,0.00244103,0.000432249,0.014243,0.0149893,0.013706,
3.62,0.00786166,0.00959137,0.00840648,0.0140713,0.0033556,0.00588998,0.0194151,0.0196861,0.0260898,0.030117,0.00519349,0.00204134,0.0130455,0.0129858,0.0511961,0.0507933,0.0511273,0.047022,0.0322907,0.0344055,0.0507946,0.0420492,0.0160379,0.0187747,-0.00445496,0.00423434,-0.000228748,0.00467065,-0.00404401,-0.000641227,-0.000417133,0.0224525,0.0259881,0.00069436,-0.000787683,0.00200296,0.0318001,0.0215279,0.0211671,0.0199371,0.012089,0.00311071,0.0146408,0.00882883,0.0238996,0.0128017,0.0102925,0.0183105,-9.34972e-05,0.0263128,0.000570315,0.00107904,0.0234692,0.0202559,0.0309561,0.0341906,0.0398089,0.0236561,0.0286938,0.0408026,0.0235898,0.0210305,0.0358633,0.0125553,0.00237682,-0.000236896,-7.16937e-05,0.0410859,0.012715,6.57999e-05,0.00687132,0.0132512,0.0145322,0.000431928,0.0170739,0.00240962,0.000571292,0.0144624,0.0152063,0.0138629,
3.625,0.00784217,0.00944396,0.00861632,0.01426,0.00356713,0.005905,0.019759,0.0190931,0.0261503,0.0304684,0.00529282,0.0020814,0.0128827,0.0127469,0.0518721,0.0514732,0.0516411,0.0476356,0.0494302,0.0589015,0.0524153,0.0548335,0.0169201,0.0187728,-0.00449727,0.00403158,-0.000558808,0.00488578,-0.00408418,-0.000705327,0.007658,0.0227525,0.0261388,0.000648641,-0.000907,0.00218562,0.0324824,0.0214203,0.0210697,0.019766,0.0123651,0.00320766,0.0149007,0.00923729,0.0247001,0.0130904,0.0107466,0.0181794,-0.000166152,0.0274644,0.000671166,0.00114473,0.0236861,0.0203678,0.0313322,0.034694,0.0402631,0.0232637,0.028755,0.0411564,0.0230066,0.0205875,0.0355733,0.0127766,0.00237032,-0.000255605,-7.46101e-05,0.0412412,0.0136048,-0.000226292,0.00634629,0.0136167,0.0148054,0.000520237,0.0163751,0.00235387,0.000704505,0.0145774,0.0153187,0.0139501,
3.63,0.00786422,0.00931376,0.00885528,0.0144675,0.00382071,0.00594381,0.0200505,0.0185268,0.0261942,0.0307725,0.00537005,0.00211034,0.0127344,0.0125222,0.0523507,0.0519589,0.0520067,0.0481921,0.0372654,0.0464158,0.0524013,0.0530418,0.0178286,0.0187822,-0.00453527,0.00385559,-0.000884394,0.00496188,-0.0041212,-0.000752891,-0.000497363,0.0230148,0.026273,0.000610275,-0.00101828,0.00227072,0.0331227,0.0212189,0.0208779,0.019523,0.0125566,0.0032545,0.0151917,0.00967793,0.0252566,0.0133247,0.0112104,0.0180391,-0.000191324,0.0285624,0.000766879,0.00119819,0.0238626,0.0204466,0.0316641,0.035107,0.0407084,0.0229089,0.0288138,0.0415459,0.0223862,0.0201486,0.0353129,0.013006,0.00227732,-0.000275128,-7.78505e-05,0.0414138,0.0143623,-0.000543034,0.00582926,0.0139917,0.0150953,0.000593155,0.0156842,0.002286,0.000828922,0.0146831,0.015413,0.0140418,
3.635,0.00792396,0.00920248,0.00912129,0.0146932,0.00411601,0.00600599,0.0203024,0.018026,0.0262243,0.0310347,0.00543027,0.00213218,0.0125982,0.0123095,0.0527099,0.052314,0.0522902,0.0487352,0.0506611,0.0623175,0.0528588,0.0527976,0.0187715,0.0188024,-0.00457056,0.00369705,-0.00109019,0.00496809,-0.00415686,-0.000786478,0.00490465,0.0232483,0.0263996,0.000577659,-0.00112389,0.00229909,0.0337223,0.02101,0.020675,0.0192905,0.0127265,0.0032833,0.0155217,0.0101595,0.0257955,0.013565,0.0116907,0.0178888,-0.000210038,0.0296002,0.000856206,0.0012423,0.0240083,0.0204965,0.0319937,0.03549,0.041183,0.0225526,0.0288729,0.0419747,0.0216956,0.0196808,0.0350616,0.0132431,0.00211794,-0.000295916,-8.14149e-05,0.0416049,0.0149767,-0.000889073,0.00531089,0.0143811,0.0154013,0.000652798,0.014979,0.002215,0.00094237,0.0148165,0.0155273,0.0141614,
3.64,0.00802373,0.00911128,0.00941056,0.0149354,0.00444883,0.00609508,0.0205237,0.0175982,0.0262429,0.0312604,0.00547708,0.00214889,0.0124729,0.012107,0.0530022,0.0525822,0.0525304,0.0492895,0.0440895,0.0592412,0.0535846,0.0529321,0.0197328,0.0188326,-0.00460107,0.00355376,-0.00122048,0.00493678,-0.00419005,-0.000807332,-0.0014525,0.0234593,0.0265223,0.000550605,-0.00121882,0.00229342,0.034283,0.0208419,0.0205087,0.0191099,0.012894,0.0033073,0.0159073,0.0106806,0.026355,0.0138188,0.0121872,0.0177301,-0.000226331,0.0305742,0.000938487,0.00127938,0.0241294,0.0205215,0.0323329,0.0358651,0.0416837,0.0221744,0.0289284,0.0424335,0.0209343,0.019182,0.0348061,0.013486,0.00191816,-0.000318241,-8.51414e-05,0.0418138,0.0154449,-0.00125128,0.00479733,0.0147868,0.0157244,0.00070234,0.0142506,0.00214679,0.00104356,0.0149869,0.0156716,0.0143127,
3.645,0.00816289,0.00904154,0.00971895,0.0151919,0.00481431,0.00620817,0.0207201,0.0172361,0.0262498,0.0314506,0.00551345,0.002163,0.0123573,0.0119135,0.0532536,0.0527927,0.052746,0.049865,0.0491762,0.0598637,0.0544794,0.0533049,0.0206886,0.0188714,-0.0046249,0.00342199,-0.00128387,0.00488347,-0.00421822,-0.000816186,-0.00346063,0.0236513,0.0266404,0.000529584,-0.00130018,0.0022665,0.034806,0.0207344,0.0203998,0.0189958,0.0130689,0.00333201,0.0163585,0.0112265,0.0269356,0.0140849,0.0126982,0.0175626,-0.000242256,0.0314826,0.00101321,0.0013111,0.0242264,0.0205248,0.0326786,0.0362355,0.0421986,0.0217653,0.028975,0.0429094,0.020151,0.018659,0.0345364,0.0137341,0.00170763,-0.00034156,-8.87058e-05,0.042039,0.0157703,-0.00147669,0.00429124,0.0152088,0.0160635,0.000744667,0.0135005,0.00208375,0.00113191,0.0151906,0.015845,0.0144922,
