time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,knee_angle_r,knee_angle_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
0.175,-37.1751,12.4287,9.71319,-16.1319,4.4609,0.132259,8.57335,-3.49536,11.2894,1.61192,8.76361,-15.7698,-13.258,-4.70039,-2.41864,0.634063,2.98043,5.15622,1.3016,1.39703,
0.18,-47.1026,-18.4745,14.1777,1.31418,3.08556,-1.23077,-11.9715,4.78568,12.2707,8.26146,10.8013,-11.5607,-7.82941,-9.04981,-2.84924,0.832126,2.99319,4.56963,1.21562,1.30262,
0.185,-33.7561,-36.4628,6.55779,12.523,3.69427,-1.96096,-1.29586,8.02382,19.8438,13.0405,12.6977,-6.66793,-6.74954,-13.1306,-0.870537,1.01749,1.05139,3.75944,1.81881,1.23567,
0.19,-24.4102,-48.772,11.1068,23.4776,3.76937,-2.96681,-12.6891,7.54538,25.7858,18.2712,13.6448,-1.10567,-6.45957,-16.8081,-0.0205791,1.17983,0.590593,2.72129,2.76698,1.20109,
0.195,-21.6578,-51.555,3.61705,31.0126,3.81408,-3.95824,-15.101,2.48736,28.662,22.8887,14.2581,5.09711,-5.90173,-19.9151,0.389498,1.30367,-0.635895,1.46341,3.22712,1.20308,
0.2,-19.1663,-47.6428,3.46033,33.6962,3.87548,-4.54357,-16.82,-5.31159,30.725,26.3921,15.5457,11.8858,-5.56631,-22.2649,0.532382,1.36774,-1.63423,0.0101337,4.34598,1.24469,
0.205,-19.6847,-42.3449,-1.73504,32.0496,3.97937,-4.50671,-18.9159,-13.1711,31.7932,28.6927,17.8783,19.167,-5.45413,-23.6717,0.719509,1.34508,-2.39807,-1.59492,2.99285,1.32726,
0.21,-18.3097,-39.1912,-0.30081,27.0764,4.16882,-3.82626,-20.9483,-19.4199,30.9159,29.8468,20.2915,26.796,-5.31759,-23.9742,0.928306,1.20442,-3.12041,-3.28732,3.31863,1.44999,
0.215,-19.6127,-39.1294,-5.26183,19.5707,4.35567,-2.61215,-23.4176,-23.7227,29.8255,29.9745,22.2677,34.5678,-5.02466,-23.062,1.07798,0.912843,-3.82813,-4.98253,3.67666,1.60956,
0.22,-20.0814,-40.9888,-7.20612,9.88568,4.51714,-1.02055,-25.3571,-26.8645,28.6532,29.2892,23.4856,42.2143,-4.59126,-20.8983,1.1365,0.440141,-4.61206,-6.57958,4.04971,1.79997,
0.225,-20.69,-42.4694,-10.7481,-1.69549,4.73412,0.790576,-27.3017,-30.1875,27.3962,28.1073,24.4176,49.4332,-3.73394,-17.5145,1.07673,-0.239424,-5.41503,-7.96988,4.44642,2.01297,
0.23,-25.6468,-41.659,-18.6508,-14.2447,5.57151,2.66342,-29.5144,-34.6753,25.0703,26.7658,29.8968,55.8551,2.11973,-13.0699,0.872565,-1.13302,-6.09674,-9.04119,4.85523,2.23773,
0.235,-31.6992,-38.0912,-29.9913,-26.0725,7.23571,4.44185,-32.5463,-40.341,19.695,25.4916,35.2441,61.0956,8.59931,-7.82307,0.51586,-2.22601,-6.67244,-9.69312,5.27142,2.46205,
