time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.973966,0.491142,0.906119,-0.0839186,0.749328,0.543606,1.07023,1.30102,0.842771,1.39697,1.42047,1.24424,0.377676,-0.333759,0.989915,0.943515,1.05052,0.84092,0.755494,0.736663,1.1513,1.34793,1.05484,0.652512,1.01967,1.31319,1.44097,0.686302,1.33012,0.300107,1.10907,-0.208258,1.31759,1.0691,1.23072,1.3917,1.43144,1.01291,0.624866,0.695826,0.75973,0.317003,0.722955,-0.818459,0.591839,0.851962,-0.490047,1.00355,0.339561,1.44542,1.51214,0.44096,-1.24808,-1.96887,-0.140547,0.197386,0.574252,0.641323,0.595456,0.662253,0.776614,0.553585,0.670261,0.739127,1.10946,1.40551,0.582942,0.535283,1.33186,0.72145,1.41946,-0.74464,1.02446,-2.51239,0.471175,-0.00231227,0.930937,0.0733432,-0.748473,-0.667672,
0.18,0.973936,0.491148,0.906042,-0.0839186,0.749326,0.543586,1.06566,1.29974,0.839274,1.39643,1.42016,1.24386,0.377676,-0.333759,0.989922,0.943534,1.05054,0.840996,0.755499,0.737017,1.15134,1.34796,1.05599,0.649764,1.01986,1.31272,1.44106,0.68646,1.33004,0.300107,1.10874,-0.208258,1.31752,1.06967,1.22989,1.3911,1.43136,1.01293,0.634104,0.695229,0.759794,0.317003,0.723272,-0.818459,0.591855,0.851978,-0.490047,1.00356,0.339561,1.44532,1.51204,0.44096,-1.24808,-1.9687,-0.140547,0.197533,0.574004,0.637171,0.595176,0.661681,0.769681,0.553495,0.669515,0.739259,1.1099,1.40401,0.580592,0.535131,1.33213,0.721429,1.41946,-0.74464,1.02446,-2.51222,0.471175,-0.00231227,0.92852,0.0733432,-0.748473,-0.667672,
0.185,0.962863,0.490757,0.901105,-0.089476,0.74528,0.542493,1.05863,1.29806,0.835548,1.39618,1.42018,1.24341,0.3727,-0.33774,0.988964,0.942282,1.04741,0.841836,0.755732,0.737261,1.15337,1.35113,1.06035,0.643588,1.02186,1.30976,1.43873,0.686981,1.33083,0.303727,1.10973,-0.212505,1.31456,1.06706,1.23334,1.39196,1.43178,1.0149,0.630758,0.696455,0.763696,0.321688,0.726586,-0.817279,0.595078,0.858403,-0.491017,1.00204,0.341403,1.44899,1.5121,0.439831,-1.25108,-1.96918,-0.146311,0.182831,0.574589,0.631951,0.590593,0.657104,0.762687,0.547251,0.662773,0.740731,1.11035,1.40018,0.576744,0.531796,1.33334,0.723468,1.41869,-0.745806,1.0227,-2.51283,0.469364,0.00364007,0.926207,0.0742471,-0.746161,-0.664576,
0.19,0.966313,0.489322,0.896278,-0.099356,0.739929,0.541069,1.05001,1.29624,0.831704,1.39688,1.42039,1.24293,0.362767,-0.345714,0.987446,0.94035,1.04261,0.843126,0.756081,0.737324,1.15595,1.35486,1.06498,0.642477,1.02464,1.30539,1.43559,0.687904,1.33193,0.308368,1.11086,-0.220169,1.3096,1.06182,1.24011,1.39431,1.43231,1.01742,0.633104,0.698787,0.768489,0.327187,0.730779,-0.816561,0.599317,0.866774,-0.492372,0.999611,0.343756,1.45415,1.51231,0.438598,-1.25719,-1.97617,-0.155647,0.146001,0.575526,0.62607,0.58416,0.650474,0.75561,0.538977,0.650813,0.742463,1.11101,1.39499,0.571838,0.519691,1.33452,0.72693,1.41787,-0.747853,1.0204,-2.52164,0.465873,0.0598555,0.924012,0.0759139,-0.743669,-0.661462,
0.195,0.960927,0.487468,0.890358,-0.110279,0.73395,0.539579,1.04001,1.29438,0.828009,1.39842,1.42086,1.24258,0.351144,-0.355467,0.985362,0.937779,1.03606,0.844638,0.756524,0.737445,1.1587,1.35882,1.06936,0.637677,1.02767,1.30021,1.43218,0.689506,1.33318,0.314719,1.11213,-0.228629,1.30322,1.05693,1.24913,1.39793,1.43292,1.02003,0.635565,0.701598,0.773816,0.333744,0.735134,-0.814891,0.603638,0.875346,-0.494051,0.999393,0.347436,1.45956,1.51276,0.437359,-1.26451,-1.98407,-0.16529,0.112088,0.576849,0.619683,0.576832,0.642302,0.748432,0.529096,0.63496,0.74417,1.11181,1.38886,0.566068,0.50619,1.33561,0.731227,1.41694,-0.750515,1.01859,-2.53134,0.461157,0.127589,0.922086,0.0781864,-0.73936,-0.656083,
0.2,0.958693,0.485398,0.883724,-0.121528,0.727494,0.538093,1.02877,1.29253,0.824629,1.40066,1.42152,1.24231,0.339469,-0.365582,0.982906,0.934812,1.02956,0.846192,0.757045,0.737667,1.16158,1.36301,1.0737,0.635368,1.03057,1.29455,1.42854,0.691743,1.33448,0.321777,1.11351,-0.237226,1.29587,1.05138,1.25885,1.40246,1.43356,1.02247,0.638062,0.704504,0.779343,0.340577,0.73958,-0.812199,0.607994,0.884016,-0.495879,0.998593,0.351813,1.46489,1.51338,0.436172,-1.2723,-1.99237,-0.174538,0.0807476,0.57862,0.613137,0.568985,0.633516,0.741143,0.518763,0.618527,0.745801,1.11214,1.38208,0.559918,0.492421,1.33625,0.735986,1.41587,-0.753412,1.01654,-2.54142,0.455864,0.200998,0.920512,0.0808886,-0.733767,-0.649095,
0.205,0.951296,0.483109,0.876584,-0.13302,0.720517,0.536476,1.01641,1.29074,0.821636,1.40338,1.42231,1.24202,0.328239,-0.375597,0.98027,0.931648,1.02285,0.847805,0.757723,0.738009,1.1646,1.36751,1.07834,0.630322,1.03331,1.28853,1.42461,0.694429,1.33581,0.329158,1.11495,-0.245833,1.28799,1.04494,1.26855,1.40753,1.43422,1.02449,0.640528,0.707345,0.78482,0.34745,0.744175,-0.808583,0.612403,0.892749,-0.4977,0.997343,0.356545,1.47021,1.5141,0.435093,-1.28038,-2.00097,-0.183156,0.0525786,0.580899,0.606521,0.560845,0.624744,0.733738,0.508216,0.60149,0.747379,1.11159,1.37484,0.554159,0.4785,1.33635,0.741006,1.41464,-0.756367,1.01466,-2.55175,0.450228,0.200987,0.919307,0.0840127,-0.727197,-0.640893,
0.21,0.950245,0.480561,0.86915,-0.144776,0.713096,0.534678,1.00312,1.28902,0.819096,1.40645,1.4232,1.24172,0.317641,-0.385329,0.977601,0.928426,1.01609,0.849527,0.758557,0.738534,1.16775,1.37236,1.08342,0.628309,1.03594,1.28225,1.42046,0.697668,1.33715,0.336702,1.11646,-0.254418,1.27988,1.03899,1.27812,1.41284,1.4349,1.02612,0.642941,0.710071,0.790243,0.354271,0.749007,-0.804092,0.616917,0.901513,-0.499428,0.995652,0.361479,1.47548,1.51491,0.434177,-1.28874,-2.00987,-0.190982,0.0282165,0.583749,0.599878,0.552795,0.615986,0.726222,0.497507,0.583978,0.748881,1.11075,1.36718,0.548813,0.464417,1.33637,0.746171,1.41322,-0.759324,1.01259,-2.56233,0.4443,0.202532,0.918503,0.0876032,-0.719771,-0.631633,
0.215,0.945733,0.477715,0.861477,-0.156821,0.705292,0.532753,0.988964,1.28738,0.817065,1.40974,1.42418,1.24143,0.307787,-0.39467,0.975018,0.925252,1.00919,0.851424,0.759555,0.739286,1.17103,1.37763,1.0891,0.622075,1.03846,1.27577,1.41618,0.701632,1.33846,0.34433,1.11803,-0.262962,1.27172,1.03331,1.2876,1.41819,1.43564,1.02746,0.645292,0.712674,0.795595,0.360991,0.754171,-0.798739,0.62152,0.910251,-0.501018,0.993714,0.366546,1.48074,1.51582,0.433483,-1.2974,-2.01912,-0.197882,0.00832028,0.587316,0.593249,0.544848,0.607251,0.71861,0.486653,0.566113,0.750271,1.10965,1.35908,0.53563,0.450158,1.33628,0.751406,1.41158,-0.762268,1.01069,-2.57315,0.43808,0.205564,0.91813,0.0917202,-0.7115,-0.621346,
0.22,0.941508,0.474543,0.853614,-0.169171,0.697147,0.530768,0.973985,1.28584,0.815591,1.41317,1.42528,1.24126,0.298732,-0.403547,0.97261,0.922207,1.00222,0.853596,0.76077,0.740265,1.17464,1.38334,1.09547,0.621088,1.04087,1.26917,1.41187,0.706522,1.33971,0.351992,1.11967,-0.271444,1.26359,1.02798,1.29702,1.42348,1.43649,1.02869,0.647577,0.715161,0.800875,0.367573,0.759692,-0.792492,0.626175,0.918932,-0.502449,0.991572,0.37171,1.48591,1.51685,0.433048,-1.30638,-2.02872,-0.203714,-0.00661961,0.59177,0.586682,0.53704,0.598558,0.710924,0.475673,0.548004,0.751511,1.10848,1.35051,0.518822,0.435734,1.33617,0.75665,1.40969,-0.76519,1.00857,-2.58421,0.431554,0.209601,0.918264,0.0964271,-0.702349,-0.610004,
