mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
addbrev_r,0.00429998,0.0323462,0.0297572,0.00367795,0.0223998,0.0384473,0.0167711,0.0194133,
addlong_r,0.021963,0.0382149,0.0170693,0.0170341,0.0182518,0.00280007,0.0317412,0.00829769,
addmagDist_r,0.0323476,0.0274864,0.0125989,0.0375531,0.00738492,0.0309917,0.0172955,0.0195413,
addmagIsch_r,0.0280003,0.0376782,0.0369686,0.00358999,0.0352236,0.0263963,0.0383982,0.00597543,
addmagMid_r,0.0203808,0.0327319,0.014327,0.0242954,0.0180432,0.0387446,0.00440521,0.0183927,
addmagProx_r,0.0119569,0.0133747,0.00256925,0.00713753,0.0133477,0.0197169,0.0216719,0.0141704,
bflh_r,0.0367643,6.27073e-06,0.0108511,0.069962,0.21907,0.0527868,0.0108105,5.2273e-06,
bfsh_r,0.0367649,8.93622e-06,0.0108523,0.0699623,0.219072,0.0527852,0.0108097,2.26308e-06,
edl_r,0.0152592,3.16486e-05,0.0213145,0.0147377,0.0162875,0.0266601,0.0189219,0.0110083,
ehl_r,0.0384503,0.0359869,0.0268209,0.0291219,0.00940024,0.0339398,0.00471841,0.0314506,
fdl_r,0.0101151,0.0169389,0.0125879,0.00569713,0.0203157,0.0392003,0.0327121,0.0382795,
fhl_r,0.000190117,0.00132283,0.0267932,0.0359813,0.0364361,0.00280621,0.0191729,0.0063001,
gaslat_r,0.0364737,0.0044688,0.0386416,0.000154685,0.0354118,0.00147001,0.033139,0.0295736,
gasmed_r,0.0231903,0.012656,0.0321879,0.0299878,0.0188249,0.0273141,0.00691625,0.0385141,
glmax1_r,0.308424,0.0128429,0.00079851,0.0565402,0.0441378,0.00599302,0.129334,0.00259403,
glmax2_r,0.308521,0.0128425,0.000927597,0.0566663,0.044372,0.00568336,0.129286,0.00245965,
glmax3_r,0.308443,0.0128424,0.000830046,0.0565642,0.0441805,0.00593406,0.129324,0.00256473,
glmed1_r,0.0270591,0.0332648,0.0299923,0.0183088,0.0077623,0.0145729,0.0357765,0.0371936,
glmed2_r,0.0303988,0.03212,0.0334407,0.0329226,0.0349417,0.0342752,0.0135639,0.0170157,
glmed3_r,0.00779406,0.0149318,0.0308092,0.0221715,0.0260035,0.0286217,0.0170073,0.0285827,
glmin1_r,0.0158968,0.00740211,0.0363599,0.0215251,0.0230317,0.0257435,0.0283316,0.00224223,
glmin2_r,0.0328591,0.0127254,0.0197942,0.0206479,0.0122153,0.0380194,0.0141078,0.0270496,
glmin3_r,0.0389622,0.0320948,0.010191,0.00291614,0.00982633,0.00913034,0.017234,0.0238353,
grac_r,0.0393968,0.0132309,0.00607809,0.0273528,0.0132241,0.031736,0.00480202,0.019838,
iliacus_r,0.0262439,0.00862857,0.0104646,0.0237279,0.0319549,0.0218725,0.00258952,0.0346626,
perbrev_r,0.0237356,0.0145919,0.000103153,0.0319855,0.0382413,0.00458243,0.0194804,0.0188823,
perlong_r,0.0180432,0.00125304,0.0356497,0.00605345,0.00327947,0.0284719,0.0160396,0.0174398,
piri_r,0.0029054,0.0108089,0.00239984,0.0294351,0.0243107,0.00144606,0.00450047,0.0191221,
psoas_r,0.00672945,0.0243416,0.0124955,0.0347153,0.0287076,0.0329764,0.0369272,0.0364444,
recfem_r,1.08234e-06,0.0360936,1.94118e-31,0.00656178,0.00631667,0.0318884,4.17509e-05,1.4013e-45,
sart_r,1.11093e-06,0.0360936,2.40004e-31,0.00656178,0.00631667,0.0318884,4.17459e-05,1.4013e-45,
semimem_r,0.0367652,9.27067e-06,0.0108529,0.0699626,0.219072,0.0527845,0.0108095,1.09506e-06,
semiten_r,0.0367642,6.45486e-06,0.0108511,0.0699619,0.21907,0.0527869,0.0108104,5.26632e-06,
soleus_r,0.0383019,0.0344149,0.0392774,0.00913364,0.0380657,0.0121332,0.0277561,0.0114689,
tfl_r,1.12023e-06,0.0360935,4.1757e-31,0.00656178,0.00631667,0.0318884,4.17443e-05,1.4013e-45,
