time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.0103104,0.000607287,0.00449439,0,0.00559092,0.00839083,0.0243047,0.0312116,0.0121867,0.0411768,0.0388506,0.0187262,0,0,0.0120468,0.0117222,0.0128355,0.000846718,0.000980904,0.0106657,0.00882446,0.0258856,0.00552698,0.00165068,0.0131188,0.0260041,0.0404303,0.00755035,0.0343154,0,0.00984105,0,0.03106,0.0037534,0.0159121,0.0416048,0.0387805,0.00596927,0.010699,0.0102069,0.00147112,0,0.0044567,0,0.00170518,0.000913301,0,0.00326494,0,0.0423265,0.0614676,0,0,0.00027012,0,6.88548e-05,0.00240041,0.00255119,0.00422285,0.00504638,0,0.00293584,0.00700231,0.00472794,0.00927971,0.0375097,0.0036538,0.00197059,0.0243911,0.00131299,0.0359914,0,0.00350223,0.000299776,0,0,0.0110678,0,0,0,
0.18,-0.000189465,-0.00123324,-0.00168291,-0.00245847,-0.00440558,-0.00960394,0.0220625,0.0301836,0.0131313,0.0431518,0.0392436,0.0188679,-0.00138501,-0.00126041,0.0102157,0.00939315,0.00641481,0.00201484,0.00174896,0.00867992,0.022304,0.0344681,0.00784356,0.000700524,0.0163251,0.0232022,0.0390661,0.00844193,0.0371221,0.00240356,0.0171601,-0.00230444,0.0266883,0.0016981,0.01864,0.0453887,0.0391993,0.0103537,0.00527887,0.0129487,0.0261947,0.00481805,0.0103804,0.000670969,0.05238,0.0132703,-0.000670262,-0.000908098,0.00138947,0.0457258,0.0617092,-0.000141875,-0.00150872,-0.00108164,-0.00307961,-0.0030102,0.00447812,-0.00247326,-0.0055217,-0.00619082,0,-0.0157474,-0.00622159,0.0074983,0.0104543,0.0354376,0.00273624,-0.00225825,0.0273385,0.00241367,0.031917,-0.000953572,0.0014994,-0.00116312,-0.00102403,0.0031555,0.0114127,0.00175575,0.00138802,0.00153858,
0.185,0.0236893,-0.00270768,-0.0034922,-0.00368179,-0.0082732,-0.0151775,0.0201485,0.0293444,0.0140852,0.0450022,0.0395569,0.019044,-0.002222,-0.00204222,0.00918216,0.00814208,0.00321174,0.00259322,0.0021244,0.00763069,0.0257862,0.0362424,0.00775127,0.0040058,0.0167655,0.0214316,0.0382231,0.00926238,0.0379354,0.00360091,0.0192182,-0.00347579,0.0235373,0.000689231,0.0204814,0.0483876,0.039428,0.0113249,0.0102564,0.014209,0.0337838,0.00641848,0.01151,0.00114104,0.0647744,0.0168075,-0.00103314,-0.00056353,0.00224797,0.0473374,0.0619547,-0.000162784,-0.00243118,-0.00234113,-0.00436767,-0.00474679,0.00555021,-0.00580585,-0.0100298,-0.0119868,0,-0.0231906,-0.0146294,0.00762406,0.0115053,0.0337699,0.00191403,-0.00549451,0.0273054,0.00308486,0.0315748,-0.00153611,0.00115409,-0.00252578,-0.00170632,0.00549116,0.0117717,0.0028134,0.00227842,0.00249354,
0.19,0.00166938,-0.00323424,-0.00549499,-0.00396142,-0.0103493,-0.0174249,0.0184494,0.0285905,0.0150294,0.0464682,0.0398314,0.0192458,-0.002495,-0.00233561,0.00863265,0.0074768,0.00166357,0.00286869,0.00240529,0.00824508,0.0270342,0.0371849,0.00764037,0.000983069,0.0160212,0.0202377,0.0375474,0.0100463,0.0380093,0.00447217,0.0206889,-0.00373387,0.0212278,0.000565264,0.0216504,0.0505683,0.0396365,0.0112705,0.0105075,0.0145505,0.0372446,0.007432,0.0114574,0.00181044,0.0654514,0.0176165,-0.0012495,0.00230977,0.00296922,0.0482783,0.0622093,-0.000164565,-0.00275711,-0.00254403,-0.00447562,-0.0044574,0.00663929,-0.0080691,-0.0122629,-0.0149868,0,-0.0270789,-0.0188981,0.00719989,0.012103,0.0323034,0.00114509,-0.00601655,0.0271282,0.0034722,0.0309131,-0.00183763,0.00133184,-0.00270242,-0.00208054,0.00633851,0.0121499,0.00338998,0.00320138,0.00352014,
0.195,0.0066127,-0.00350182,-0.00663846,-0.00404735,-0.0117874,-0.0197679,0.0169368,0.0278868,0.0159313,0.0475708,0.0400588,0.019428,-0.00253196,-0.00239442,0.00859421,0.00737733,0.00183927,0.0030572,0.00270731,0.0091745,0.0280925,0.038166,0.00801796,0.00249459,0.0148887,0.0193679,0.036925,0.0107569,0.0377047,0.00480698,0.0216554,-0.00377791,0.0195184,0.00037026,0.022378,0.0520271,0.0398519,0.0109569,0.0106268,0.0144649,0.0381514,0.00769097,0.0114873,0.00237841,0.0658532,0.0180778,-0.00133312,-0.00176627,0.00332213,0.0491729,0.0624734,-0.000154033,-0.00287787,-0.00263264,-0.00433647,-0.00420131,0.00785705,-0.00948183,-0.0133625,-0.0158845,0,-0.0282394,-0.0201415,0.00674042,0.0122526,0.0309413,0.000406169,-0.00613167,0.0268736,0.00371046,0.0301196,-0.00194202,0.0010964,-0.00277381,-0.00224662,0.00675868,0.0125419,0.00371625,0.00380931,0.00420318,
0.2,0.000765567,-0.00376676,-0.00730348,-0.0041117,-0.0129158,-0.0233278,0.0155953,0.0272203,0.0167674,0.048362,0.0402579,0.0196069,-0.0024984,-0.00237831,0.00892657,0.00764789,0.00186119,0.00333512,0.00312822,0.0103674,0.0294393,0.0393522,0.00879867,0.00083776,0.0139189,0.0186766,0.0363438,0.0114479,0.0372191,0.00494082,0.022338,-0.00378103,0.0182145,0.000447678,0.0229965,0.052935,0.0400958,0.0108207,0.0106637,0.0142452,0.037971,0.00771357,0.0117847,0.00285185,0.0666615,0.0183267,-0.00132959,-0.00447417,0.00349566,0.0501827,0.0627567,-0.000133976,-0.00295092,-0.00269888,-0.00411469,-0.00388459,0.00925484,-0.0105604,-0.0137646,-0.0159373,0,-0.0288403,-0.0210856,0.00630561,0.0126555,0.0296081,-0.000346388,-0.00620741,0.0274927,0.00388777,0.0291641,-0.00196752,0.0011032,-0.00282229,-0.00234443,-0.000332215,0.0129479,0.0040024,0.00425713,0.00470735,
0.205,0.00995463,-0.00407598,-0.00770823,-0.00418134,-0.0137504,-0.026738,0.0144103,0.0265873,0.0175234,0.0489113,0.0404518,0.0198267,-0.00243675,-0.00233209,0.00949138,0.0081304,0.00197781,0.00371549,0.00356931,0.0119128,0.0312139,0.0407329,0.00979187,0.00250248,0.0131519,0.0181086,0.035819,0.0122085,0.0365793,0.00499432,0.0228519,-0.0037739,0.0171423,0.000886605,0.023662,0.0534813,0.0403918,0.011265,0.0106576,0.0140052,0.0377774,0.00764454,0.0123066,0.00327513,0.067782,0.0184034,-0.00127769,-0.00629895,0.00359061,0.0512892,0.063069,-0.000107258,-0.00302247,-0.00276494,-0.00383428,-0.00349568,0.0108721,-0.0114071,-0.0137128,-0.0159941,0,-0.0293302,-0.0217198,0.00580787,0.0137791,0.0282576,-0.00117581,-0.00629019,0.0291494,0.00405591,0.028052,-0.00196857,0.000962954,-0.0028682,-0.002427,0.00313085,0.0133727,0.00430909,0.00464418,0.00514035,
0.21,-0.00201975,-0.00442712,-0.00806826,-0.00425784,-0.014478,-0.0296207,0.0133611,0.0259878,0.0181859,0.0492623,0.0406531,0.0200972,-0.0023559,-0.00226835,0.0101821,0.00871414,0.00202076,0.00418114,0.00408704,0.0135637,0.0335419,0.0423057,0.0109666,0.000301857,0.0125254,0.0176243,0.0353323,0.0130395,0.035842,0.00501107,0.0232658,-0.00376061,0.0161773,0.00124951,0.0244006,0.053806,0.0407383,0.0122093,0.0106115,0.01377,0.0375485,0.00752916,0.0129599,0.00368045,0.0686458,0.0183402,-0.00119624,-0.00732875,0.00365028,0.0525097,0.0634151,-7.69004e-05,-0.00309724,-0.00283724,-0.003499,-0.0030286,0.012723,-0.0120402,-0.0136459,-0.0160389,0,-0.0297949,-0.0221432,0.00525431,0.0147829,0.026872,-0.00208859,-0.00638102,0.0304119,0.00424571,0.0267921,-0.00196252,0.00100495,-0.00291423,-0.00250933,0.00498243,0.0138197,0.00465216,0.00502274,0.00555813,
0.215,-0.00458297,-0.00481139,-0.00844855,-0.00433807,-0.0152446,-0.0327852,0.0124449,0.025423,0.0187436,0.049453,0.0408667,0.0204068,-0.00226305,-0.00219176,0.0109167,0.00931683,0.00207317,0.00470047,0.00471173,0.0151842,0.0366221,0.044072,0.0122531,0.00326864,0.0120006,0.0171965,0.0348652,0.0139143,0.0350632,0.00500602,0.0236083,-0.00374093,0.015251,0.0016267,0.0252083,0.0539941,0.0411261,0.0134494,0.0105179,0.0135317,0.0373111,0.0073803,0.0136277,0.00408978,0.0694914,0.0181982,-0.00109163,-0.00820902,0.00369177,0.0538262,0.0637978,-4.62332e-05,-0.00317593,-0.00291364,-0.00310501,-0.00248359,0.0146584,-0.0124615,-0.0135323,-0.0160438,0,-0.0302285,-0.0224276,0.00467912,0.0155803,0.0254506,-0.00247094,-0.00647205,0.0312993,0.00447714,0.0253976,-0.0019532,0.000906829,-0.00295897,-0.00259415,0.00566777,0.0142911,0.00503191,0.00541362,0.00598552,
0.22,-0.00956256,-0.00521775,-0.00889675,-0.00441838,-0.0161428,-0.0371378,0.0116611,0.024898,0.0191863,0.0495081,0.0410884,0.0207258,-0.00215681,-0.00210398,0.0116332,0.00987331,0.00206438,0.00521302,0.00537378,0.0168853,0.0395067,0.0460183,0.0136081,-0.000388111,0.0115916,0.0167947,0.0343971,0.0147904,0.0343058,0.00498395,0.023888,-0.0037142,0.0143374,0.00200115,0.0260758,0.0540864,0.0415372,0.0146555,0.0103669,0.0132729,0.0369979,0.0072006,0.0143051,0.00451336,0.0707566,0.0179998,-0.000962632,-0.00911036,0.00372056,0.0552666,0.0642177,-1.68825e-05,-0.00325704,-0.00299227,-0.00265263,0.00156767,0.0164757,-0.0126813,-0.0133566,-0.015975,0,-0.0306002,-0.0226143,0.00413088,0.0158534,0.0240029,-0.00262944,-0.00655417,0.0314553,0.00476282,0.0238976,-0.00194011,0.00102227,-0.00299998,-0.00268109,0.00596389,0.0147851,0.00544119,0.00582223,0.00642946,
0.225,-0.014856,-0.00563153,-0.00936076,-0.00449546,-0.0172756,-0.0413873,0.0109924,0.0244196,0.0195066,0.0494529,0.0413479,0.0210836,-0.00203802,-0.00200355,0.0122796,0.0103309,0.0020132,0.00582142,0.00640256,0.0193527,0.0415862,0.0481803,0.0154151,0.00163658,0.0113889,0.0164186,0.0339405,0.0156679,0.0336647,0.00494587,0.0241098,-0.00367939,0.0134477,0.00249848,0.0269914,0.0541215,0.0419909,0.0157194,0.0101508,0.0129757,0.0368396,0.00698951,0.0150316,0.00495514,0.0715229,0.0181635,-0.000800551,-0.0100832,0.00373723,0.0568044,0.0646779,1.13841e-05,-0.00332818,-0.00307054,-0.00213876,0.00084745,0.0185467,-0.0127153,-0.0131045,-0.0157976,0,-0.0308733,-0.0227023,0.00389185,0.0157511,0.0225458,-0.00272096,-0.00661716,0.0313587,0.00511132,0.0223253,-0.00192159,0.00093992,-0.00303433,-0.00276909,0.00614849,0.0153005,0.00587133,0.00624466,0.0068873,
0.23,-0.0194492,-0.00604219,-0.0092635,-0.00456543,-0.0186064,-0.0436896,0.0104136,0.0239979,0.0197063,0.0494298,0.0418861,0.0217442,-0.00190988,-0.00189339,0.0128083,0.0106484,0.0018928,0.00837521,0.0128097,0.026311,0.0450331,0.0516924,0.0231491,-0.000532301,0.0111879,0.0161615,0.0336105,0.0168402,0.0331482,0.00489158,0.0242775,-0.00363604,0.0126217,0.00356404,0.0279458,0.0542383,0.0426744,0.0178021,0.00986343,0.0126262,0.0405998,0.00674544,0.016117,0.00541588,0.0733267,0.0234924,-0.000601925,-0.011144,0.00374041,0.0584786,0.0651983,4.03476e-05,-0.00340939,-0.00314569,-0.00155099,0.00117224,0.0213218,-0.012626,-0.0127617,-0.0154834,0,-0.0309936,-0.0226722,0.00779983,0.0161443,0.0211057,-0.00278928,-0.00665063,0.0321211,0.00552715,0.0206854,-0.00189548,0.00113547,-0.00305933,-0.00285686,0.0062965,0.015933,0.0063157,0.00667501,0.00735445,
0.235,-0.024987,-0.00643584,-0.00909537,-0.00462548,-0.0203149,-0.045893,0.00991284,0.0236435,0.0197841,0.0493979,0.0426418,0.0227097,-0.00177043,-0.00177269,0.0131762,0.0107933,0.00171809,0.0113802,0.0172423,0.032449,0.049339,0.0559435,0.0285214,0.00146128,0.0113129,0.0160437,0.0333675,0.0182793,0.0328623,0.00482087,0.0243891,-0.0035836,0.0118943,0.00490252,0.0289292,0.0543574,0.0435744,0.0203544,0.00950273,0.0122146,0.0436634,0.00646754,0.0175464,0.00589246,0.0748926,0.0286759,-0.000366345,-0.0122307,0.00372771,0.0602459,0.0657703,0.000101372,-0.00347218,-0.00321603,-0.000871607,0.00201627,0.0242313,-0.0123936,-0.0123118,-0.0150282,0,-0.030897,-0.0225011,0.0108244,0.0162851,0.019708,-0.00284326,-0.00664433,0.0322765,0.00601011,0.0191554,-0.00186029,0.00106583,-0.0030723,-0.00294273,0.00642321,0.0167092,0.00676691,0.00710651,0.00782466,
