time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,
0.175,0.101738,0.174237,0.132953,0.0612972,0.0863253,0.186363,0.677654,0.45616,0.308619,0.522086,0.140975,0.0526989,0.0424559,0.0962079,0.209597,0.209017,0.211657,0.0193668,0.0717139,0.22797,0.00660368,0.0148872,0.0455816,0.101774,0.171507,0.119806,0.0437731,0.163128,0.322662,0.0549792,0.0841006,0.573839,0.525576,0.00462163,0.0650519,0.60017,0.153071,0.114702,0.341699,0.372305,0.0116836,0.0109738,0.0151079,0.0304364,0.013826,0.0180864,0.0606107,0.0841228,0.0480765,0.177935,0.0964514,0.0922351,0.116477,0.122815,0.131197,0.130684,0.187412,0.387796,0.186868,0.155491,0.428565,0.278687,0.337143,0.133529,0.0517341,0.129209,0.177529,0.17833,0.0352815,0.00706621,0.00903379,0.0605745,0.0763783,0.109911,0.00681229,0.0811231,0.11172,0.0291396,0.0153839,0.0165384,
0.18,0.10709,0.177,0.140201,0.0620039,0.09394,0.187957,0.858265,0.448389,0.314524,0.52466,0.141194,0.051718,0.0385954,0.0932163,0.206936,0.206793,0.208057,0.0177032,0.0652669,0.222871,0.00619338,0.0135703,0.0409586,0.1106,0.157189,0.117815,0.0414748,0.156744,0.319339,0.0538246,0.116088,0.651976,0.544625,0.00402127,0.0705304,0.595297,0.168936,0.111815,0.347134,0.394769,0.0112943,0.0107455,0.0135559,0.0313718,0.0146574,0.0186574,0.0586312,0.102169,0.0484826,0.169685,0.0916424,0.0922965,0.116391,0.131937,0.128421,0.127632,0.237958,0.419486,0.177801,0.143713,0.443567,0.260786,0.317761,0.140365,0.0502643,0.138855,0.174047,0.178198,0.0316473,0.006838,0.00873833,0.058582,0.0865709,0.107928,0.00659972,0.08005,0.11314,0.0267298,0.0149002,0.0160085,
0.185,0.121036,0.185791,0.138384,0.0645316,0.0953179,0.195283,0.97811,0.426837,0.334115,0.524595,0.133461,0.0481223,0.0312339,0.0859321,0.206162,0.20622,0.20676,0.0143496,0.0526037,0.213847,0.00476532,0.0108356,0.0318019,0.126816,0.130959,0.111666,0.0367837,0.146717,0.292631,0.0511953,0.142508,0.670845,0.526215,0.00213739,0.0697029,0.586849,0.168862,0.108361,0.331864,0.385886,0.0100988,0.00937942,0.0108131,0.0302033,0.0139961,0.017063,0.0570376,0.110883,0.0505044,0.152362,0.0826884,0.0943987,0.110885,0.12869,0.122146,0.121516,0.269262,0.461775,0.156401,0.117609,0.46998,0.220254,0.277057,0.134779,0.0411251,0.137732,0.163574,0.166796,0.0208947,0.00657277,0.0085021,0.0569236,0.0884592,0.103676,0.00645021,0.0798782,0.118821,0.0221689,0.0145578,0.0156138,
0.19,0.132468,0.197627,0.13403,0.0664301,0.0945457,0.20415,1,0.409072,0.353105,0.530582,0.123617,0.043424,0.0240159,0.0781578,0.206003,0.206113,0.206436,0.0109786,0.0399382,0.20465,0.00370333,0.00820074,0.0236327,0.138146,0.102464,0.105438,0.0318366,0.135955,0.259488,0.049133,0.164083,0.658283,0.498295,0.000475976,0.0663638,0.583123,0.16017,0.104397,0.313807,0.366313,0.00821049,0.00777742,0.00812698,0.0285422,0.0125369,0.0143704,0.0562685,0.113472,0.05284,0.134029,0.0733574,0.0977558,0.104748,0.120016,0.117236,0.116887,0.286422,0.485024,0.134318,0.0929311,0.487988,0.18198,0.235975,0.124558,0.0365523,0.132658,0.152633,0.152864,0.0108177,0.00641164,0.00838866,0.0561049,0.0860855,0.0997488,0.00638539,0.0800382,0.124795,0.0187233,0.0144085,0.0154332,
0.195,0.140192,0.208014,0.1291,0.065813,0.0936512,0.212299,1,0.390188,0.36154,0.536363,0.115137,0.0401551,0.0159384,0.0705837,0.221125,0.221733,0.220583,0.00746068,0.0251686,0.188519,0.00535738,0.00586763,0.0161573,0.144276,0.0759138,0.103685,0.0325961,0.124167,0.225956,0.0490967,0.181476,0.628676,0.467726,0.00459244,0.0628966,0.579518,0.147507,0.099966,0.298866,0.345495,0.00736592,0.00719763,0.0059228,0.0271835,0.0108666,0.0120761,0.0521091,0.111845,0.0571264,0.119517,0.065256,0.101406,0.0988516,0.109642,0.114841,0.114774,0.293397,0.484106,0.103322,0.0616495,0.489113,0.135643,0.184724,0.113558,0.0579558,0.127427,0.142546,0.138743,0.0205985,0.00645173,0.00853597,0.0519962,0.0811909,0.0961625,0.00651971,0.080245,0.131688,0.0218453,0.0142692,0.0152777,
0.2,0.145575,0.215771,0.124118,0.0635681,0.0934491,0.219106,1,0.368883,0.361677,0.538753,0.108996,0.03905,0.00690716,0.0632226,0.241722,0.242566,0.240684,0.00377151,0.00865905,0.168844,0.00921842,0.00366022,0.00896009,0.147775,0.0517545,0.106604,0.0384051,0.111468,0.193759,0.0506154,0.195263,0.590479,0.436906,0.0113418,0.0602695,0.573474,0.133584,0.0950606,0.287814,0.327059,0.0081207,0.00791056,0.00437232,0.0264666,0.00934539,0.0109547,0.0473609,0.1075,0.062945,0.108798,0.0580356,0.105066,0.0932285,0.0993555,0.114254,0.114403,0.293191,0.473543,0.0676981,0.0269297,0.480326,0.0834593,0.12604,0.103333,0.0921109,0.123746,0.13319,0.125005,0.0477892,0.00678634,0.00908872,0.0472841,0.075096,0.0926736,0.00696997,0.0803406,0.139413,0.0301754,0.0140701,0.015064,
0.205,0.150068,0.221744,0.120544,0.0629838,0.0944162,0.226924,1,0.345411,0.363291,0.544029,0.108559,0.0414369,0.00369452,0.0604025,0.263566,0.264481,0.262385,0.00293506,0.00526684,0.166551,0.0144126,0.00369537,0.00878785,0.150851,0.0466202,0.116688,0.0500156,0.112347,0.175145,0.0529231,0.205949,0.548658,0.406551,0.0194084,0.0587101,0.579513,0.121589,0.0963361,0.279798,0.311898,0.0111398,0.0100848,0.00355414,0.0263781,0.00824689,0.0114705,0.0436831,0.101582,0.0697684,0.111579,0.0618284,0.108955,0.0906912,0.0916228,0.114699,0.114991,0.288071,0.475244,0.0643626,0.025442,0.485462,0.0807519,0.116201,0.0967018,0.132077,0.122775,0.130711,0.11699,0.0870472,0.00753575,0.0102257,0.0436075,0.0687477,0.0927344,0.00787808,0.0828826,0.148139,0.0417216,0.0137954,0.0147725,
0.21,0.145217,0.218808,0.116551,0.0594867,0.0949024,0.226092,1,0.320741,0.348852,0.537927,0.109772,0.0446967,0.00231304,0.0588208,0.284202,0.285095,0.283091,0.00298104,0.00371505,0.156432,0.0196982,0.00437428,0.0100769,0.143173,0.0477345,0.126882,0.0614168,0.110953,0.164108,0.0553704,0.213971,0.506144,0.376959,0.0258902,0.0580783,0.577695,0.111457,0.0960346,0.273669,0.299709,0.0144484,0.0130014,0.00307969,0.0263658,0.00746137,0.0130326,0.0415293,0.0949399,0.0735195,0.117839,0.0637995,0.109037,0.0886005,0.0859427,0.115664,0.116042,0.27974,0.441106,0.0577414,0.0223231,0.465211,0.078718,0.109808,0.092408,0.165294,0.122866,0.129375,0.111773,0.127039,0.00885031,0.012157,0.0414325,0.0627712,0.0921024,0.00940873,0.0829523,0.150438,0.0518411,0.0134649,0.0144209,
0.215,0.136607,0.20903,0.111773,0.0546043,0.0947747,0.219973,1,0.296186,0.324975,0.521425,0.11315,0.0495459,0.00222513,0.0586148,0.301543,0.302338,0.300664,0.00368327,0.00398841,0.146319,0.0262134,0.00573273,0.0132679,0.132613,0.0558654,0.139482,0.076061,0.111382,0.160367,0.0574797,0.219707,0.464716,0.348528,0.0352911,0.0580772,0.570603,0.103643,0.0959852,0.268383,0.289734,0.0189383,0.0169268,0.00315051,0.0264477,0.00706789,0.015953,0.0408114,0.0881865,0.0771582,0.129548,0.0683187,0.106854,0.0868607,0.0824474,0.116862,0.117288,0.269457,0.399467,0.052045,0.0212645,0.436867,0.081344,0.107859,0.0905548,0.210714,0.123932,0.129588,0.10889,0.176771,0.0108981,0.0151156,0.0406846,0.0575481,0.0913888,0.0117447,0.0822857,0.151059,0.0650802,0.0131166,0.0140498,
0.22,0.12692,0.196264,0.106351,0.0501839,0.093619,0.209954,1,0.273079,0.301587,0.500551,0.116439,0.0539286,0.00264167,0.0587269,0.313766,0.314389,0.313259,0.0045769,0.0047428,0.137347,0.0318737,0.00706965,0.0162388,0.122734,0.0637133,0.150305,0.0881588,0.110797,0.16005,0.058934,0.223484,0.425508,0.321834,0.0411212,0.0583709,0.561346,0.0974411,0.0952249,0.263086,0.2811,0.0227172,0.0209255,0.00315103,0.0264054,0.00683071,0.0192623,0.0412808,0.0817426,0.0791746,0.140708,0.0711737,0.1032,0.0852133,0.0804559,0.118121,0.118575,0.258152,0.368045,0.0495112,0.0222136,0.412363,0.0865456,0.109859,0.0900771,0.242173,0.125172,0.129894,0.107475,0.219335,0.013858,0.0193356,0.0411222,0.053274,0.0902081,0.0150694,0.0805715,0.149821,0.0752266,0.0127981,0.0137092,
